"","LAMB2","RIN3","USP9X","GPC4","FAT4","NCOA3","RBM27","TEAD3","HCLS1","PHF2","GABRR2","ZNF219","CDH10","MAP3K13","CTNNA2","LCK","APC","BRD9","MATN1","UNC79","WDR73","FUT7","CLCA4","ITPKB","CELSR2","FOXO4","SDSL","BCAP31","NTNG2","MYLK","PLXNA2","SP5","GRP","SMAD4","MUC20","NUDCD2","DCP1B","MYCT1","SLC16A3","CACNA1B","RPN1","OPRD1","NRAS","PRODH2","OGDHL","CTRC","HDC","SUPT6H","RRAGD","PAG1","PTPRN","IRF5","PIK3CA","MAG","CD79A","PCBP1","HJURP","KLB","RGMA"
"Extracellular matrix organization",0.820179021088372,0,0.798518059894122,0.808960677100438,0,0.809138815922685,0.798825080317954,0.799090487010778,0.810088706590045,0.799612107785644,0.798685173565229,0.786364880366564,0.810014352210351,0,0.809783889168813,0.809977247514947,0.810292968588272,0,0.821981134595283,0,0,0.798881237229676,0,0.797124337889449,0,0.809619066531527,0,0.797870970467852,0,0.808977053751075,0.809151438137605,0.810586963955939,0.821248165668052,0.809077142103373,0.797574400452396,0.810093161012643,0,0.799592575927231,0.79887639697698,0.797676277441417,0.796357463704002,0.819565965220327,0.809120421383066,0.810225965834927,0,0.821981134595283,0,0.810511198672204,0.799262032692945,0.809288672698539,0,0.808982322378596,0.809856411406405,0.819857193032048,0.809356409885417,0.797598626253451,0.798173636602998,0.798752467427442,0.798065210512355
"Activation of Matrix Metalloproteinases",0.789745779197215,0,0,0.789905801321628,0,0.78934108484713,0,0.75947204870963,0.756998116349321,0.760482134702445,0.759722891889387,0,0.7925015968495,0,0.791515916922007,0.788935030069984,0.788719975092151,0,0,0,0,0,0,0,0,0.790641766297501,0,0.755486991925748,0,0.754628550227414,0.791391724275801,0.794613782361617,0.819853023373966,0.789037450688428,0.753041643014694,0,0,0.762047269598684,0.762096230144217,0,0,0.819404852229541,0.789040046685189,0.757620135463222,0,0.826703506181726,0,0,0,0.791797994111173,0,0.788775612108174,0.787354308877194,0.76075634233263,0.791204084146763,0,0.756223677892549,0,0.757127867567627
"Degradation of the extracellular matrix",0.754199060042647,0,0.73361044236632,0.754726812411002,0,0.754861232487558,0,0.734695606927298,0.757269623821586,0.735719840372071,0.734280059127638,0,0.756346514564265,0,0.755692738668125,0.754591906899803,0.754625136428056,0,0,0,0,0,0,0,0,0.755723940712704,0,0.733841295515849,0,0.754383017296562,0.755610364911388,0.757725925367287,0.75391340723996,0.754659839835981,0.731518767410488,0.755110159739753,0,0.736659846405669,0.734311145188642,0.732769803851857,0.731380299682685,0.774900427345393,0.754306720588037,0.756449522110989,0,0.779642756193863,0,0.757120854176485,0.711172669373158,0.75587983314168,0,0.754742331451567,0.753287293241135,0.754185089839493,0.756096911537779,0.709528767090363,0.732895316569354,0.733711311112385,0.732682415485512
"TNFs bind their physiological receptors",0.224110586037474,0,0.223549484699693,0.361676487171761,0,0.221398774705479,0,0,0.228825320764581,0,0,0,0,0.234792742709776,0.224752723165428,0.357152372181212,0.356234263121389,0,0,0,0,0,0,0,0,0.361297643779667,0,0.298046694044354,0,0,0,0,0,0.35692217629029,0,0,0,0,0,0,0.355739719379073,0,0.293002113072291,0,0,0,0,0,0,0.228975962885069,0,0.355911332677618,0.357372955284244,0,0.227761250591375,0.35801636882204,0,0.229083020533418,0.22420499128914
"Cytosolic sulfonation of small molecules",0,0,0.560933172714999,0,0,0.457936123782487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461985487034179,0.562683575536775,0,0,0,0,0,0,0.456990830833275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459043574735072,0,0,0,0,0,0,0
"Drug ADME",0.683844064731974,0,0.718806158127636,0.719284057275158,0,0.682291207729086,0.616650913583199,0,0.61783527261264,0,0.606540127745312,0,0.64464080554825,0.648894077439111,0.6146573717387,0.716652916449543,0.717998461065709,0,0,0,0,0,0,0.644117342895776,0,0.719083244918739,0.719415703088099,0,0,0.683699213751935,0.677228461334906,0.647929398711235,0.641082542984533,0.717343949552761,0.642736434758848,0.648182842472672,0,0.620219430065467,0.757599058910366,0.646724881319003,0.641277572244314,0.677969830932041,0.71618677339737,0.648951584365668,0.650420819283112,0,0.683908170849531,0,0.64946773742099,0.643878004902703,0,0.718058779125072,0.71551919590952,0.720879932192725,0.643234126077947,0.680478658116346,0.615996978406453,0.684546997982276,0
"Phase II - Conjugation of compounds",0,0,0.666369177877569,0.628778547801009,0,0.618289995410545,0,0,0,0,0,0,0,0,0,0.617264208632117,0.581881188348205,0,0,0,0,0,0,0,0,0.619907747298209,0.66592272264213,0,0,0,0,0,0,0.619112375163996,0,0,0,0,0,0,0,0,0.618607034799698,0.624367169006148,0.622063279429976,0,0.625807044657372,0,0,0,0,0.619932462203764,0.617018929577028,0,0,-0.0313831974672545,0,0,0.584604908569665
"Regulation of FZD by ubiquitination",0.656872409070192,0,0.732180953682694,0.657226097508436,0,0.629584900672425,0.638013106669131,0.643913301809417,0.655255140986047,0.647871604339072,0,0,0.664265919655057,0,0.661355820349201,0.651759061725757,0.731212657764762,0,0,0,0,0,0,0.652440367403166,0,0.655159489070036,0.632296932093011,0,0,0.63468443005582,0.6590121505872,0.669606090001213,0.650285590110444,0.724325237497679,0,0,0.638073454975185,0,0,0.65386203081931,0.724229600330791,0.648555975663392,0.722753426599796,0,0,0,0,0.641579844765947,0.636877697940994,0.651788588932594,0,0.628454143334844,0.649069182116385,0.642336274361795,0.650035142477042,0.643638422459437,0.635299031984866,0.732629942502315,0.660744633713701
"Signaling by GPCR",0.883584363931052,0.873199966538539,0.88327140951121,0.884439796697422,0,0.882951418360298,0.872548090596439,0.873054288525893,0.884064239025929,0.873133418733906,0.872841536515734,0.8726249199418,0.883523686781906,0.874262919729496,0.883826379528703,0.882338968048885,0.883051040108513,0,0.873399024892514,0.874543974025961,0,0,0,0.883111380087784,0.873220439432993,0.882604345799176,0.872673220067553,0.873062586268399,0,0.883348141385393,0.882894723427474,0.872746065364029,0.893792580796757,0.882767321860744,0.871477612962695,0.873544959745354,0.872234587457421,0.873090123837204,0.873424855275528,0.893466292048281,0.88271358498179,0.892084865236987,0.892852732870113,0,0.883431358390591,0.884817883838352,0,0.872464179939459,0.883066375586562,0.881653271681365,0,0.883144674992071,0.892490031095426,0.882188273867367,0.881383675398601,0.882599928711462,0.871796105528013,0.883079067761732,0.883543957804168
"Biological oxidations",0.810355922297171,0,0.861449828628689,0.835954168353512,0,0.857756711630659,0,0.838510972630217,0.811998160107746,0.839732940841196,0,0.837104553304518,0,0,0.837101235015318,0.83517737614535,0.836443097868545,0,0,0,0,0,0,0,0,0.837297103585188,0.861194106358475,0,0,0.810641866549625,0.836055129078439,0.839964463002383,0.83523369995504,0.859616547639527,0,0,0,0,0,0.834658637176894,0.80898549652801,0.834533287709058,0.835908861968447,0.862507591038086,0.839098133203812,0,0.863540734344536,0.838361050569097,0.83701603249099,0.811161676511018,0,0.836878857066162,0.835210033142701,0,0.836793878888816,0.836631910621592,0.836699162498682,0,0.83832582208528
"L1CAM interactions",0.791480244787227,0,0.750329930944661,0.750467247688891,0,0.70733789709053,0,0,0.751372152768371,0,0.753986963233527,0.710281396875498,0.708010067521018,0.671396389467691,0.709973077216344,0.705162395174208,0.749561790029042,0,0.714714646455499,0,0,0,0,0.751009220546429,0,0.745851430280878,0,0.71023523143758,0,0.75053630043113,0.751212249144024,0.711628348229226,0.747497992197725,0.747125960338302,0.750364420364543,0.712689780469048,0.705925777516466,0.713742077577766,0.711915547675156,0.749017460607222,0.747446359128552,0.746935836737385,0.785603528010539,0,0,0.709867153620094,0.700026928660479,0.7088270783177,0.751331385321658,0.747567345342147,0,0.749049615060232,0.703179645814156,0.710234883359979,0.752387224484477,0.740461539829263,0.70795350095223,0.752713407030944,0.752544077350394
"GPCR downstream signalling",0.90110664681924,0.889713239223187,0.900845493223844,0.901346111771032,0,0.900412200468514,0.888998023112933,0.889553406262918,0.901633149450493,0.889642073457485,0.889319981994085,0.889082317657329,0.901040073915117,0.890879475308184,0.901001682112904,0.899811210594838,0.900183316943137,0,0.889931639278242,0.891187838522265,0,0,0,0.900633856467064,0.889735701386601,0.900050730332744,0.889137736342051,0.88956251026375,0,0.900847471477202,0.900349996716686,0.890071164303111,0.912306755134022,0.900147724670557,0.887823531465253,0.890091754034836,0.888655906354476,0.889625053226598,0.88995997949587,0.911948762217834,0.899663529739685,0.910433107709414,0.91127558595763,0,0.900938774344697,0.90246002290362,0,0.88890780741623,0.900538327626926,0.899058887864207,0,0.900310715630874,0.910877641907665,0.899574904289064,0.898692126217376,0.900026557981655,0.888174818896397,0.900552253049802,0.888757221016267
