"","COX5A","WNT9A","PLCL1","NSA2","HCK","PHF2","KIF21B","OR2M3","APC","KRT1","HIF3A","TK1","GRIK2","PFAS","FAF1","NEFH","KHK","TRAK1","MDN1","ADAMTS17","MAGED2","TRIM45","MKI67","KCNMB3","GRIA1","NOL6","CACNA1B","EPC1","TCF7L2","CDH7","MERTK","COL20A1","RYR3","BBS5","TBCA","S1PR2","ZNF772","CP","PACSIN2","RAB35","TTN","OR6N1"
"Extracellular matrix organization",0.817011477163081,0.835283461054221,0,0.826031050443559,0.835167702450537,0.828044052824678,0.835599191478608,0.83612267328491,0.83608914993091,0.836457147767887,0.836068826251468,0.835755368931822,0.836716175966624,0.825586308499404,0.826306060862693,0.817521822134817,0,0,0,0.835493405344461,0.844484285285892,0.83554857516062,0,0.82597638055863,0.845552691614672,0.83537565148627,0.825723110245294,0.83515421997509,0.83550246856286,0.836079004367401,0.836138049113137,0.84445114722909,0.825848392995744,0.826284434322834,0,0.834982764327676,0,0.826431991246841,0.836537798339625,0.826723490358821,0.834931090255235,0.83612267328491
"Activation of Matrix Metalloproteinases",0,0.872251649335848,0,0.844926885485867,0.871151441180539,0.850108227243575,0,0,0.870524661049112,0.873814056482251,0.872850189322664,0.872713534596494,0,0,0,0,0,0,0,0.871418449269979,0.870503651368206,0.871417700873028,0,0,0.845178930910984,0,0,0.847145483336987,0.871369373842363,0.873180601120912,0.874414310377094,0.871474346120157,0,0,0,0.869781412477278,0,0.874232528686113,0.842002240222628,0,0.843402815923224,0
"Chemokine receptors bind chemokines",0,0,0,0,0.90398612443755,0.837275059910779,0,0.874445388776832,0.835631446729308,0.83551867931595,0.833680498240582,0,0,0.872121129449096,0,0,0,0,0,0.832633807429898,0.867548842338134,0.871919990606035,0,0.873885829894187,0.870943992223133,0.831116335000548,0.867719849461411,0.833335318394148,0.870897540870401,0,0.836301986275403,0,0,0.869600115008621,0,0.902720781645766,0,0.835206084958061,0.870865472093763,0,0.832723405855285,0.874445388776832
"Degradation of the extracellular matrix",0.795318415959889,0.834284314556232,0,0.814318240990092,0.834397991097873,0.818241767024957,0.794367151226898,0.796026691605955,0.833771558375213,0.835964039122845,0.835462920246214,0.835359439641964,0.814486340516174,0,0.795458916609017,0.796481011370008,0,0,0,0.833993580667745,0.833537686305088,0.834606941968682,0,0.795708047067876,0.832391815218227,0.8143127757673,0.814112720373242,0.815998254939532,0.834341585587841,0.835167476112363,0.836467616440058,0.853199856010615,0,0,0,0.833703013198865,0,0.836509684720579,0.814404598033935,0,0.812755670510079,0.796026691605955
"Class A/1 (Rhodopsin-like receptors)",0,0.90662406859761,0,0.886490674178205,0.923386391204299,0.888967181438866,0,0.907641893631782,0.905726396655586,0.888225113021071,0.906920098221661,0,0,0.905920839160832,0.887012246533431,0.889920321927578,0,0,0.886294225094655,0.887082169112106,0.90555980684162,0.90453075687709,0,0.908144750672871,0.90662705856588,0.905597248103611,0.906941688050519,0.886934671398558,0.903790528500468,0.887790548164101,0.887756759449205,0.886644726862981,0,0.903874281031045,0,0.922733601695679,0,0.887832823222893,0.923312107533946,0,0.885910572179498,0.907641893631782
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0.41405061550883,0,0.347892074633978,0.44381707715731,0,0.377083378687928,0.415839298240237,0.415072118451395,0.41607453337229,0.414772207893907,0.379089772486754,0.381992432052459,0,0.41575351780783,0.351821771997647,0,0,0,0.413836754498108,0.412733885492957,0.411901198437837,0,0.415331991128487,0.415694671016333,0.412447486961574,0.412567444211494,0.413572759101198,0.412622749401208,0.414806342545579,0,0.41325380757659,0,0.349590070179272,0,0.411212827772318,0,0.382353144100965,0.442490968444405,0,0.413917986196523,0.415839298240237
"Collagen formation",0,0,0,0.88923761868001,0.913436057012085,0,0.913780622733119,0,0.913253099251439,0.916142189596498,0.914928074908948,0.913966716887227,0,0,0.890686801548104,0,0,0,0,0.91335181931661,0.913708433976804,0.912468918084266,0,0,0.934806285354972,0.913234450546953,0,0.88894764760995,0.913627468218778,0.915218277031379,0,0.93504093840725,0,0.890654458835127,0,0.888063759265741,0,0.892305412302547,0.888752313609045,0,0.888988270875406,0
"Signaling by GPCR",0.897494833949711,0.913853917985118,0.89045376923589,0.897985047548242,0.913607596584075,0.899065168135308,0.906584125874052,0.914386162920394,0.905815222460155,0.906687422626418,0.905836200816088,0.906127962476915,0.906438459297617,0.905084104723089,0.906344545668784,0.906443373686262,0,0.891714965733462,0.897276073396676,0.898247656811601,0.89887055396479,0.904911851812898,0,0.905927278622254,0.90612039316144,0.905676222458283,0.913730954683755,0.898172439845977,0.906046269844697,0.906268698062741,0.89872062057604,0.906484711624818,0.906197419349421,0.906530939976314,0.90671798222857,0.913277054908026,0,0.898861855170582,0.913574969373067,0.898485594470786,0.898201037308886,0.914386162920394
"Phase II - Conjugation of compounds",0.780958715406111,0,0,0,0,0,0,0,0.713278059309461,0,0.780679656561225,0.748170722137972,0,0.68024949258315,0.745424353924711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781469067685038,0,0,0,0.712326901140605,0,0.747711596167091,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.769697063670003,0,0,0,0,0,0,0,0,0,0.670319212382714,0.669772764242768,0,0,0.66279170253082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664397800899256,0,0,0,0,0,0.669672885918976,0,0,0,0,0,0,0
