"","TCOF1","OBSCN","FBXO11","CCNA2","SERPINB1","POC1A","IQCA1","MRPS5","FAT1","FAT4","NR5A2","VAV3","IGSF3","UVSSA","SNRNP200","HERC3","LRP2","DSP","MAP1B","KCNN3","RAB5A","NBAS","APBB3","HSD17B4","NIPBL","SLC6A11","PRKD3","RCOR3","OXSM","TADA2B","KLHL5","PCYOX1L","RGS12","TRIM41","GULP1","SPTBN1","NSD1","CHN1","ROBO2","HHIP","KCNC4","ACAA1","COL11A1","KPNA1","FNIP2","SEC22C","WDFY1","AK5","IFI16","GALNT13","CACNA2D2","KCNH1","UBR4","LRIG1","CASR","DNAH1","DNAH7","KIF17","KHK","IQSEC1","SEL1L3","FLT4","PFKFB2","CENPH","STEAP3","PLXNA2","ATP1A2","ZFYVE28","ERC2","AAMP","OR2G6","BIRC6","NSUN2","PARP14","EIF4G1","ADAMTSL4","ARHGEF16","PGAP1","GABRA6","ASB14","TNNT2","SOX13","MCCC1","OR5K3","NDST1","ADRB2","LRRTM1","LRRTM2","DTL","PDE6A","ALK","RNF13","CAMK1","COL7A1","THUMPD3","DNAJC8","DNAJC6","CAPN10","OR2T3","WDR36","TP63","PIK3CA","PIK3CD","RPL14","INSRR","PHLDB2","CP","SOCS5","UBA7","TAS1R1","CSF1","CNTN3","BMPR2","TTN","SHROOM3","UXS1","ACSL3","SNTG2","SLC1A3","SF3B1","BCL11A","MTR","HAO2"
"Extracellular matrix organization",0.908646270807602,0.908313311273159,0.908463792862573,0.907968497169241,0.912288758726897,0,0.904667084936474,0.9075509211858,0.90846781690405,0,0.908615403634344,0.911674723967104,0.908683667464009,0.908147276628901,0.907954327869474,0.907895436950223,0.912577517664776,0,0.908362019045331,0.904079103181367,0.908949121982921,0.907734956321981,0.908660363045042,0.908123776228561,0,0,0.912888803969396,0.908583992150097,0.904196250375499,0.908177866743373,0.907895436950223,0.912623283225831,0.908615403634344,0.907895436950223,0.904573828886181,0.912555926601088,0.908580082318088,0.908300008924313,0.908362019045331,0.908443690656523,0,0.904089487430601,0.896638934394917,0.908343957548197,0,0.908924087607005,0.908550928724725,0,0.908472844249886,0.904078098334104,0.908178348367157,0,0.907891543379757,0.90848865006722,0.907820928956654,0.903963157403344,0.904014740937765,0.908231269367207,0,0.908615403634344,0.904489170801725,0.912551750669333,0.904065589478896,0.908028724472679,0.908526071520078,0.908240316924421,0.908088143361419,0.908360578835847,0.904726596802951,0,0.908452073485081,0.908588718504972,0.904184026039598,0.904297737254013,0.907956443548549,0.912759426999982,0.908360331822936,0.908182635471086,0.904016301406929,0.907895436950223,0.908163222753236,0.908472844249886,0,0.908452073485081,0.912653499315949,0.907905800462808,0.913169961360882,0.913169961360882,0.908063939481598,0.908125916900855,0.908408369340266,0,0.908400319395517,0.912497039242154,0,0.907975391789841,0.908050965629591,0.912520766026346,0.908452073485081,0.907858548160365,0.908253093754733,0.912252270868463,0.912460793944645,0.907950162322762,0.908200002851494,0,0.908354358542255,0.908375356553932,0.907882491424115,0.908615403634344,0.911948742092886,0,0.908184626642236,0.909141058973226,0.90848865006722,0,0.904472139987991,0.908820608340786,0,0.907908422130537,0,0,0
"Signaling by GPCR",0.946309279172311,0.94902108589291,0.949241531798922,0.948855263352195,0.949249585711796,0,0.949269323505221,0.946026575715548,0.949087714427681,0,0.949335401401565,0.951403288337659,0.9494055314259,0.948945863246675,0.948845670342225,0.948847963935231,0.951379099709438,0.949220585832583,0.949109500703928,0.949187634748255,0.951379099709438,0.948936637317678,0.948763251349494,0.949135639456287,0.946121174117171,0,0.951632013577073,0,0,0.948866653284264,0.948847963935231,0.951452248649949,0.951870438241969,0.948847963935231,0.949156793899487,0.948853604897463,0.946262768895252,0.94890341669201,0.949033493896692,0.949130950341509,0,0.946129604380985,0.948943964542205,0.949035370391675,0.946346117500641,0.948978229118267,0.949291750094803,0.95147887465986,0.949293237018559,0.946143079559139,0.951453863225636,0,0.948845327879751,0.949056059698259,0.943879733580313,0.949025353744585,0.949060277231849,0.949002728666219,0,0.949084190745185,0.94633819121691,0.951445983502995,0.951597119616788,0.948777403541164,0.949189783390711,0.948965202807289,0.951551210772358,0.948999774266795,0.946482284134865,0.946274806649056,0.951681347125359,0.946435722824891,0.94902297610806,0.949335401401565,0.948816663944497,0.948954813514341,0.951602284064467,0.946221706381802,0.94916271069208,0.948847963935231,0.948954098871579,0.949238884733926,0.946275186292317,0.951681347125359,0.949081963755934,0.944164552233154,0.946338021669181,0.946338021669181,0.94892547802256,0.951460530047917,0.951768012665037,0,0.949017259915837,0.948893982263078,0,0.94885993120207,0.951367621569983,0.946273287243415,0.951681347125359,0.948766720184864,0.948969753372,0.951615488068314,0.951342238888005,0.948842850151264,0.951625455834026,0.946462366262873,0.949127154422704,0.949081963755934,0.948839199454061,0.951764875689824,0.948933652271986,0,0.949001589015645,0.948946919342237,0.949232756693009,0.946458818447466,0.951574127337359,0.948890765106123,0,0.948814590880396,0,0.949059701141884,0.946240515230336
"GPCR downstream signalling",0.944955666791046,0.947922663566528,0.948163854167369,0.947741236571798,0.948172665980301,0,0.948194261165901,0.944646359996333,0.947981302510442,0,0.948266557212627,0.950529039204744,0.948343286706099,0.947840362218453,0.947730740827603,0.947733250255358,0.95050257434595,0.948140937115753,0.948045562360762,0.948104885224515,0.95050257434595,0.947747533390876,0.947640565932831,0.948047997002195,0.944749860422986,0,0.950779288251867,0,0,0.947753698334455,0.947733250255358,0.950582606845678,0.951040149472753,0.947733250255358,0.948071142149041,0.947798889066801,0.94490524229755,0.947832257542066,0.94793623920484,0.948091603778847,0,0.944759084002733,0.947838284839562,0.947938292284259,0.94499597172891,0.947875773826486,0.948218798172344,0.950611738451906,0.948220425020584,0.944773827240086,0.950584373358321,0,0.947730366138268,0.947969016835703,0.942297492857564,0.947953496891958,0.947991706795825,0.947902578863593,0,0.947991706795826,0,0.950575752127504,0.950741110653566,0.947656049892927,0.948107236061393,0.94786152169621,0.950690881633793,0.947905888982776,0.945144952097458,0.944917950288404,0.950833264251549,0.945094009212962,0.9479375586201,0.945263138510484,0.947602508638079,0.947850154736152,0.950746761092993,0.944729106647544,0.948077615731545,0.947733250255358,0.947849372843124,0.94816095800473,0.944669180947449,0.950833264251549,0.94798927023946,0.942611031012552,0.944987114052714,0.944987114052714,0.947818058676776,0.950591667550808,0.950928085307495,0,0.947918477552255,0.947783599061303,0,0.947746343681911,0.950490016075299,0.944916287901626,0.950833264251549,0.94765718816005,0.947866500484232,0.950326047228284,0.950462244798309,0.947727655247268,0.950772113403333,0.945123159887298,0.948038713498661,0.94798927023946,0.947723661007285,0.950924653132454,0.947827002150331,0,0.947947464160143,0.947841517696131,0.94815425329473,0.945119278210631,0.950715954723975,0.947780079159153,0,0.947696736684781,0,0.947964912639192,0.944880431932841
"Signaling Pathways",0.917339195256955,0.918237237506167,0.917307855689991,0.917262880719083,0.91736227906283,0.916355832443389,0.917322013989518,0.91826751677213,0.918283700163885,0.917440535746935,0.914013874983577,0.918317686518171,0.917361793675904,0.917265619880598,0.917273887146883,0.917184493960911,0.918241646598596,0.918405105884482,0.917385953748147,0.917424699654545,0.918241646598596,0.918273605538498,0.917425899129198,0.917280408383033,0.917350384983232,0,0.918334911570541,0.917306394376403,0.916451222956266,0.918284644897503,0.917184493960911,0.918268621133241,0.918422833478067,0.917184493960911,0.917405856083125,0.918319985595833,0.917320113155598,0.91831204403419,0.918272835073495,0.915407839071752,0,0.917362137062608,0.918276307538971,0.918252777190588,0.917365778593341,0.91728162366469,0.917311396451305,0.918278439788463,0.917310789333561,0.917360158641283,0.919229579710934,0,0.917243512268184,0.917362331520921,0.91540283261164,0.9172027798312,0.917288992546885,0.918297977502856,0.917360183776845,0.91739920569754,0.916318284338964,0.916174906788386,0.918322044011093,0.91829306464945,0.918371578395081,0.918300236333997,0.918301784714247,0.917336259198967,0.917460291314202,0.917413523584298,0.918353103898387,0.917338207540747,0.917400826635562,0.918347320230252,0.920003156974823,0.917254523861787,0.918318368613828,0.917288486500117,0.918330199492424,0.917184493960911,0.918228221952321,0.918430259603627,0.917315801758572,0.918353103898387,0.917360441146588,0.915507862849464,0.917383028925397,0.917383028925397,0.917331430066373,0.915599496188661,0.918300236333997,0,0.917330425242232,0.918246651328018,0.916404729586291,0.917215329731406,0.918237413899281,0.91636408064235,0.918353103898387,0.918136548639468,0.917356776405274,0.918099052908872,0.916649209641088,0.918222989649305,0.91833249332544,0.917320806734603,0.917465705907611,0.918349499210253,0.917204590576784,0.918383906041797,0.918320216654905,0.918411854385929,0.918348271647662,0.91822557441619,0.918405105884482,0.917365419016704,0.918532263429449,0.917305200290968,0,0.918217374819191,0.917256607700562,0.918259858295758,0.917386957046387
"Elastic fibre formation",0,0.915980918218295,0,0.914837063480754,0,0,0.916753943645882,0,0.916724814787403,0,0,0.914695478150041,0,0.915697830987421,0.91230375999906,0.914485301244303,0.915015897990295,0,0.916515283365883,0,0.915015897990295,0.914748200650239,0.917951716954227,0.916014790219565,0,0,0.916814497122654,0,0,0.915845112876589,0.914485301244303,0.930177216480925,0,0.914485301244303,0,0.914525416995456,0,0.915916871544976,0.895621820378256,0.917641290312927,0,0,0.912181123262798,0.895805137040193,0,0.915195217625015,0,0,0,0.894873013225263,0.915547579375046,0,0.914466554913219,0.917481803429344,0.913743329265332,0,0,0.91610222990477,0,0.917265337846994,0,0.912146746926064,0,0.915127039219088,0,0.915094947260837,0.91594001491568,0.917265337846994,0,0,0.89575555213287,0.897556984234338,0.895383022188925,0,0.914779029045201,0.915140743426208,0.916207307544397,0.895488786333734,0,0.914485301244303,0.914988222736554,0,0,0.89575555213287,0.91657949932249,0.914990355587628,0,0,0.915982967644134,0,0.896472443346883,0,0.916916153224863,0.911779269429616,0,0.893296477149245,0.914934271103415,0.8970582539666,0.89575555213287,0.915134437785679,0.89531384455677,0.911054389185069,0.913702918124904,0.91474878689619,0.916081482569669,0,0.916107371711216,0,0.914422972561516,0,0.915480264353639,0,0.915877659687618,0.914937165452247,0.917117338718003,0,0.914988599743246,0.89453040095691,0,0.913284529623635,0,0,0
"GPCR ligand binding",0,0.949976158192343,0.9503123958172,0.949470470813368,0.950193962642835,0,0.949765980147263,0.944215710695256,0.950168083853828,0,0.950351414912217,0.94964451405572,0,0.949769911282473,0.949259113678674,0.949379715992443,0.953736262114079,0,0.949723609156103,0,0.954101136406911,0.949752983801476,0.949309775573499,0.949984897184455,0,0,0.949980649614459,0,0,0.949381296559636,0.949379715992443,0.954235348072837,0.949503123077983,0.949379715992443,0.950307539055086,0.94964451405572,0.944725723061746,0.949959634120781,0.950036662598166,0.950138114421715,0,0,0.94968906554042,0.944700552759267,0,0.949773447073141,0.950271324694103,0.943995011554988,0.944854566669518,0,0.95423831045194,0,0.949374879430287,0.950112232164748,0.953906023355241,0.944660525364874,0.944724602019611,0.949874246391598,0,0.950174328782699,0.944852216028396,0.949639326746626,0.949567375667404,0.949445560610737,0.945814914830061,0.949885485194955,0.949540495414554,0.950274052860948,0,0,0.949812429824284,0,0.950094726899881,0.950351414912216,0.94953285995322,0.949720214497444,0.950034566743975,0.944638492853931,0.950034566743975,0.949379715992443,0.949745843573714,0.950230177003817,0.944736616324118,0.949812429824284,0.950053230344895,0.940902824797444,0,0,0.949416863153903,0.954250542554256,0.949868893569474,0,0.950006876936201,0.949618873258333,0,0.94928527911243,0.953715202339225,0,0.949812429824284,0.949624555573883,0.945364856389433,0.95380881387477,0.953668630891845,0.949447695413413,0.949968617647723,0,0.950063361143372,0.950053230344895,0.949363635163238,0.949461266752276,0.949851686912068,0,0.949738945119655,0.949732670770571,0,0,0,0.944208415390416,0,0.949473208131055,0,0.949922929703232,0
"Biological oxidations",0,0.934973382120812,0.942168789577376,0.941003114029445,0.935404646221058,0,0,0.933809196569087,0.941844382295194,0,0.94820626618225,0.94102931725932,0,0.941064138655001,0.940874312309924,0.933931564076339,0.940885016720143,0,0,0,0.941065694505077,0,0.929343705082675,0.941490990887239,0,0,0.941454899353502,0,0.941833655141125,0.941175188131232,0.933931564076339,0.941007542359802,0.929163027297741,0.933931564076339,0,0.934081184527528,0.935044790998957,0.934950969940471,0.9283796094738,0,0,0.941243603283486,0,0.934746631516509,0,0,0,0.934325251816148,0,0,0.928321735124466,0,0.933925004076713,0,0.940560867644456,0,0,0.934601554797492,0.934917251996305,0,0,0.940864917720621,0.934479117787429,0.934260301327466,0.942273718452684,0.934272439631199,0.941313326563017,0,0,0,0.928887843959619,0,0.941639956799158,0.942059913368943,0.934034349749716,0,0.935052603696903,0,0,0.933931564076339,0,0.942033530297141,0.941503977317113,0.928887843959619,0.928863517940472,0.940628112692041,0,0,0.934455650148311,0.93473779672742,0,0,0.94149047239387,0,0,0.940909801409437,0.934019389538139,0,0.928887843959619,0,0.941663288335794,0.940669207157312,0.940793286111034,0.934023766959661,0.941311546569459,0,0.941942531349559,0.934845398578688,0.933909753081222,0.929163027297741,0.934607180464362,0,0.934680773272058,0,0,0.947808313023546,0.941442157537792,0,0,0.940796968999233,0,0.941269208351896,0.941665803138947
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0.760856579527776,0.760102325482044,0.7602003268877,0,0,0,0,0.761618387052474,0,0,0.771272786779601,0.772850236444527,0.760578335169481,0.759952277428471,0.759761195008546,0.770073087211556,0,0.761331301921345,0,0.770710895325756,0,0.762445212983747,0.760994012834252,0,0,0.76133087155107,0.748198203749241,0,0.760677590422641,0.759761195008546,0.76067141521844,0.762299333905892,0.759761195008546,0,0.760452864259862,0,0.76107390319557,0.761331301921345,0,0,0,0.760423356471459,0.76133087155107,0,0.760587570877833,0.748090923383925,0.76079902147873,0.761374577921305,0,0.760679153139596,0,0.759748561602985,0.761982652838454,0.771584195472047,0,0,0,0,0.761836773760599,0,0.770508237082523,0.761017761716767,0.75993318530664,0.760304400041875,0.760734342444301,0.760943620747627,0.761836773760599,0,0,0.761769379193613,0.748555048232452,0,0,0.760161216698218,0.760765205098313,0.7610091463505,0.748905749453277,0.761269631935962,0.759761195008546,0.76083214986285,0.761836773760599,0,0.761769379193613,0.747294191188445,0.770330749857371,0,0,0.76077049261129,0.760711104162751,0.761722167252993,0,0,0.760037935241343,0,0.760020623192606,0.770018077750666,0.748016872613199,0.761769379193613,0.760198656885996,0.761269631935962,0.782939000949743,0.771752911632382,0.759938761545952,0.761038957709217,0,0.749107824013108,0.761722531558993,0.759719190867887,0.762299333905892,0.761139891912108,0,0.746902388899576,0.760797741669771,0.761888058642268,0,0,0.76067449923472,0,0.759803327814573,0,0.761180103500537,0
"Interaction between L1 and Ankyrins",0,0.901385736363295,0.927705785968736,0.923828435424726,0,0,0,0,0,0,0,0.923162998668775,0,0,0,0,0,0,0.924954742420153,0.92496437112646,0.92400367205675,0.92475398124913,0,0,0,0,0,0,0,0,0,0.900011524823445,0.905606570454625,0,0,0.944393959246309,0,0.92458467416729,0,0,0.904488421874496,0,0.900439529221006,0,0,0.923418214444807,0,0,0,0,0.923856530122896,0.904488421874496,0,0,0.922054717957627,0.924258204001546,0.924547288132223,0.925301061782481,0,0.926025737122183,0,0.923488617611957,0,0.924165960913291,0.928054807643318,0.924250148623613,0.924498955889109,0.926352207287928,0,0,0.925576178051752,0,0,0,0.899385780425945,0,0.901649248643106,0.92415880353661,0.924596265224061,0,0.900890127435306,0,0.924601491098789,0.925576178051752,0,0.922417697676356,0,0,0,0.902863391872237,0,0,0.924820363335742,0.922720849124123,0,0,0.922513495405482,0.903679703472499,0.925576178051752,0,0.926024352813925,0.922368749642441,0.923382452562191,0,0.924974225346532,0.927911015756204,0,0,0,0.905606570454625,0.924698649386976,0.927310711532288,0,0.90083069786051,0,0,0,0,0,0.921635678361241,0,0,0
"L1CAM interactions",0.899895778110101,0.911039612595502,0.912181794687443,0.898895488513464,0,0,0.900137235524136,0.898927169811684,0.900281643831702,0,0,0.921382110278898,0.913280388907535,0.899213302704419,0.908164520628186,0.910618314752712,0.909531220742133,0,0.911451587352379,0.911349977668055,0.910609994933597,0.910992903955676,0.900580090195164,0.898834069271928,0,0,0.911377680003,0,0,0.899300790926287,0.910618314752712,0.911064389478366,0.901120291032941,0.910618314752712,0.901228868868593,0.921322574221987,0,0.911001567662776,0.911824162445484,0.901256476456256,0.900957382850499,0.898324288629495,0.91115244150668,0.899529094571986,0,0.91061791804703,0.900416729757488,0.898786376163578,0.912677431107269,0.89878398566294,0.899624250973007,0.900957382850499,0.910607179078242,0.911823783096998,0.910484272002229,0.910960273966762,0.911107803709035,0.911272098285363,0,0.911695198455652,0,0.920753226853999,0.8990427303902,0.899196324216193,0.912359912654617,0.921981947355417,0.910580770278037,0.911862307935678,0,0,0.911321582007305,0.91310227094036,0.899832049521977,0,0.910614676642898,0.910952603138696,0.911174092127931,0.910909546433089,0.911219118560666,0.910618314752712,0.911690889086498,0.900611053161688,0.911097319888369,0.911321582007305,0.911606816644857,0.91019069909643,0.890468024356233,0.890468024356233,0.899035150368002,0.899821370598254,0.911654564563507,0,0.899491907709317,0.910812713209996,0,0.908224763780926,0.910111181847011,0.912359912654617,0.911321582007305,0.899627131742381,0.911323700542336,0.91917342206971,0.898936209519458,0.899398047835502,0.910777006452666,0.912604049078318,0.899552006204807,0.899458264415054,0.910581290338786,0.901221310568389,0.911425840535144,0.912321129665348,0.899642206941219,0.911660560095998,0.911917293515709,0,0,0.910744066107264,0,0.910477334611137,0,0,0
