"","TNRC6A","TP53","APC","IRF5","SMURF1","NPY2R","OPRD1","RPS6KA2","WASF3","FGF12","SPRED1","OR8D1","OR1L4","MC3R","CDK13","ROR2","ITGAX","PTPN3","CSTF1","NRXN1","GPR156","BACE1","PRKX","MED16","RNF213","COL6A6"
"Interaction between L1 and Ankyrins",0.92611787968654,0.946800533780616,0.925378854650634,0.925419947220238,0.896708933646365,0.900009015909864,0.900002929225483,0.925582343694763,0.924987011938557,0.925657622499609,0.924799008477575,0.926925844816849,0.926925844816849,0.900718224278336,0.926507329307196,0.899539643181767,0.925615885404677,0,0,0.900001567463184,0,0,0,0,0,0.925358500591538
"Phase 0 - rapid depolarisation",0.91481270388731,0.928992053003174,0.914020540797815,0.914064588042917,0.912755078144776,0.912170627559477,0.912164103224753,0.914436927506077,0.914937347506635,0.915012476907017,0.913766315760924,0.91465450814026,0.91465450814026,0.912930830076265,0.915230156070541,0.915902853883036,0.915611438807497,0,0,0.914206939451411,0,0,0,0.913658921903557,0,0.913692965650853
"Potassium Channels",0.941012798338635,0.939686971117019,0.940593696197596,0.940616999851823,0.939924189988171,0.954523479172405,0.954520027405101,0.942562604428082,0.941078742344887,0.942518488760417,0.929049960599036,0.956379495363985,0.956379495363985,0.954925672239255,0.941006030442752,0.94282523853521,0.941367469218777,0.926769474569884,0.93997553160397,0.941205241873876,0.942398655772068,0.942376594426843,0.943294344343121,0,0.928163874506342,0
"GABA receptor activation",0.672886647864808,0.672484252077576,0.673493658958621,0.673739347449906,0.672871790882128,0.696796227214769,0.695064025345131,0.674374034075365,0.674493685133514,0.675721668642264,0.673794415370018,0.698101793741842,0.698101793741842,0.695726717623099,0.67240546246997,0.674949203209453,0.675076311265422,0.676408096600429,0.672374576800307,0.674964614753787,0.676988192790048,0.674697329259997,0.676143826239609,0,0,0
"Glucagon-type ligand receptors",0.905039613375658,0.902548118607881,0.906574135995247,0.904295828783737,0.904894910526621,0.930428887375788,0.930422400814011,0.905629909831612,0.905163535364785,0.881199379914872,0.87623974033323,0.933916713357061,0.933916713357061,0.931184688663734,0.903865811300486,0.906123451895828,0.905833723981811,0.878294791903927,0.903090381530003,0.905214550176665,0.908891087864355,0.907602459244777,0.882672217555003,0.907178507972728,0,0
"Arachidonic acid metabolism",0.908771797198465,0.906634316713573,0.883376095227498,0.908753517091205,0.882203732119557,0.908048048600536,0.908041710382322,0.909843619567214,0.909601379772059,0.885193231496719,0,0,0,0,0.884551204396257,0.885047998215389,0,0,0.907164178425955,0,0.913243685505748,0,0,0.884937029834252,0.8825009235826,0
"Blood group systems biosynthesis",0.792367174126899,0,0.791042887407023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA B receptor activation",0.892630371129068,0.89209656546947,0.893711032418371,0.893761535716036,0.892610662320747,0.924348070917614,0.922050186121308,0.894603491132791,0.89476221648242,0.896391220979141,0.893834587095672,0.926079994618719,0.926079994618719,0.922929292960334,0.891992045641502,0.895593818810423,0.895535110077508,0.89730181482878,0.891951073678597,0.895386936980372,0.898071352281596,0.895032364408194,0.896951242037649,0,0,0
"Activation of GABAB receptors",0.892630371129068,0.89209656546947,0.893711032418371,0.893761535716036,0.892610662320747,0.924348070917614,0.922050186121308,0.894603491132791,0.89476221648242,0.896391220979141,0.893834587095672,0.926079994618719,0.926079994618719,0.922929292960334,0.891992045641502,0.895593818810423,0.895535110077508,0.89730181482878,0.891951073678597,0.895386936980372,0.898071352281596,0.895032364408194,0.896951242037649,0,0,0
"Activation of Matrix Metalloproteinases",0.895661519705024,0.893165286711643,0.894145989531686,0.894189865045478,0.892885460661866,0.893771077788338,0.893764578890677,0.896252938763289,0,0.869987016953693,0,0,0,0,0.869168026780396,0,0.867720610227759,0.86994425970704,0,0,0,0.897111342704839,0,0.895477966447431,0.866595364688222,0.894546147101726
"Nitric oxide stimulates guanylate cyclase",0.719918922360632,0.715912274393018,0.670050329369293,0.718556603297614,0.668547033588246,0.717791006734245,0.717779125919749,0.721556896475727,0.672520946418169,0.721377853762078,0.671178793734232,0.725033103146113,0.725033103146113,0.719175335629477,0.716394094208559,0,0.672947354879649,0.675997587253362,0.717294490377438,0.672956351619417,0,0,0.67724902520252,0.720140148158749,0.669104110754475,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.885632299651258,0.885485815949787,0.887294343364625,0.887356081500733,0.886114277512583,0.921518339358084,0.921509194625779,0.888928872936738,0.888579371230556,0.890735849881279,0.88753166299125,0.926435464334998,0.926435464334998,0.922583865393643,0.886321283998149,0.889504097882743,0.88952420081945,0.891849012182108,0.886384625814952,0.887427686092949,0.890663137436348,0.889026341669787,0.892383690934881,0,0,0.887092164473545
"Lewis blood group biosynthesis",0.774242446339254,0,0.772776741651069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.800959456188646,0.792867302085004,0.702968760789481,0.705722886524186,0.793327837640906,0.700766067990407,0.700745000212872,0.708688202863602,0.801361943822101,0.71214158924173,0.799723885354779,0.712094217538292,0.712094217538292,0,0,0.709046951901043,0.71071783377393,0.807526933243598,0.700440040100851,0,0,0,0,0,0.794315680504049,0.706877862566551
"ADP signalling through P2Y purinoceptor 12",0.853401603265333,0.852522791119083,0.855180711916472,0.855263856241781,0.853369156362927,0.901848194912707,0.901835879468064,0.856969076916362,0.85691129177605,0.859593145953261,0.855703218836797,0.908470212751914,0.908470212751914,0.903283166049039,0.851173012067488,0.858280370978486,0.858183717923858,0.861092270065142,0.849588585108447,0.857939778364268,0.8603926298401,0.858188315161056,0.803584232684273,0,0,0
"Phase II - Conjugation of compounds",0.779401937913912,0.795377791159151,0.75997009215092,0.778471720036805,0.774922127084461,0,0,0.776977106244253,0,0,0,0,0,0,0,0,0,0.78045498791435,-0.015859710200807,0,0,0,0,0.778919374772108,0.755156885151076,0.779605912764695
"G beta:gamma signalling through BTK",0.838365914306404,0.832857924295102,0.840827400413141,0.841855121888432,0.838976926489731,0.894494415716702,0.894480075763862,0.839670892757555,0.843773375638335,0,0.77469754337662,0.902205012148399,0.902205012148399,0.896165278524997,0.840904474898094,0.84429254018126,0.840121468178372,0.847969625452473,0.834056714193114,0.839165397868485,0.846880434700703,0.844313757698123,0.780077062136499,0,0.839649309708494,0
"Sensory perception of taste",0.874191892331866,0.87124596218431,0.873260665689311,0.872953012338635,0.871773052149504,0.901964290421322,0.901956620745215,0.874889855718376,0.874338417031992,0.875649159398004,0.873459705377881,0.905805897065931,0.905805897065931,0.902857945839957,0.872162181731191,0.875473417227259,0.872412543363533,0.843746483060632,0.871887130976172,0.874260060405359,0.876027554139442,0.874598532278057,0,0,0.871490860802029,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0,0,0,0,0,0,0,0,0,0.753359028545237,0,0,0,0,0,0,0,0,0,0,0,0,0.645523166111759,0,0.644635705413561
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0.753359028545237,0,0,0,0,0,0,0,0,0,0,0,0,0.645523166111759,0,0.644635705413561
"Adenylate cyclase inhibitory pathway",0.811330502565703,0.804838468036402,0.809895316831328,0.810025282416622,0.806161448935921,0.881940602788212,0.881921352118185,0.813082370918152,0.812600442208309,0.815890368461763,0.81039490081815,0.89229169314935,0.886397548926462,0.884183652604517,0.804885407271674,0.815449260585521,0.814589412693386,0.818233697870024,0.805545616772235,0.813305936083385,0.818677294275295,0.815231658672795,0.817647442465557,0,0,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.783490969982708,0.837953964961234,0.781615535468089,0.775224469358695,0.778619571167377,0,0,0.784896626312955,0.783786061926284,0.786425818308519,0,0,0,0,0,0.786071884134359,0,0,0,0,0,0,0,0.776559362124256,0,0
"Cytosolic sulfonation of small molecules",0.735516174605669,0.727680084277588,0,0.733176870777983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739663639000192,0,0,0,0,0,0.734939970417065,0,0
"Phase 4 - resting membrane potential",0,0,0,0,0,0.8327005296701,0.832682758857788,0,0,0,0,0.842255900146531,0.842255900146531,0.834771149406196,0,0,0,0,0.768286567506779,0,0.847267823687819,0,0,0,0,0
