"","TP53","PROKR2","ETS1","CSNK1D","TIAM1","APC","COL2A1","ABCA1","OR11A1","TAS1R3","SYNE1","SDK2","ADAMTS20","COL6A2"
"Collagen biosynthesis and modifying enzymes",0.913701468358981,0.914821177775021,0.916044658508678,0.93395472567033,0.913623857889626,0.915075135108446,0.93635482276295,0.894645858967287,0,0,0,0,0.93601579438734,0.934915701960873
"Collagen chain trimerization",0.872047166759329,0.874235027539609,0.876625652709187,0.868691041037357,0.871895519466192,0.874731248507038,0.913850804562214,0,0,0,0,0,0.874678419290681,0.914028802622461
"Phase II - Conjugation of compounds",0.783856874814497,0,0.785665913298411,0,0.734128752155856,0.734048578332728,0,0.787715474817646,0,0,0,0,0,0
"Biological oxidations",0.845392332109019,0.827265846273774,0.847442845298918,0.826882353550135,0.827902487248391,0.828167468017725,0,0.847622061930864,0.813276434481192,0.813887042659798,0.828298838084514,0,0,0
"Glucuronidation",0.843142834079577,0,0.789812795004924,0,0,0,0,0.850795893732157,0,0,0,0,0,0
"O-linked glycosylation",-0.0210000204435674,-0.0210000204435674,0,-0.0210000204435674,-0.0210000204435674,-0.0210000204435674,0.900046433638321,0,0,0,0,0,0.873646589866235,-0.0210000204435674
"Defective B3GALTL causes PpS",0.755348250312254,0.758475459268116,0,0.75667559582331,0,0,0.881396321029855,0,0,0,0,0,0.883830707247413,0.82553955337398
"O-glycosylation of TSR domain-containing proteins",0.755308171848254,0.758435380804117,0,0.75663551735931,0,0,0.881396321029855,0,0,0,0,0,0.883759234926206,0.82553955337398
"GABA receptor activation",0.73077928014402,0.786290193760539,0.736640430330253,0.731517318490357,0.740339790604558,0.735767238421048,0.675467646215151,0.735333387100667,0.792591195072714,0.794336546557102,0.73360577813075,0.7434061604244,0,0
"Cytosolic sulfonation of small molecules",0.53936258792815,0,0.555188611808668,0,0,0,0,0.559358705803913,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0,0.658134378064897,0,0,0,0,0,0,0.676326874076868,0.681366120753084,0,0,0,0
"Ethanol oxidation",0.667253607206549,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.779851059076176,0.871748277638887,0.789308025684134,0.781769183331556,0.787306323262338,0.785395090823593,0.69925786066451,0.791192423261726,0.881914944097273,0.884731068950339,0.788719079244835,0.8027679725489,0,0
"G protein gated Potassium channels",0.779851059076176,0.871748277638887,0.789308025684134,0.781769183331556,0.787306323262338,0.785395090823593,0.69925786066451,0.791192423261726,0.881914944097273,0.884731068950339,0.788719079244835,0.8027679725489,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.779851059076176,0.871748277638887,0.789308025684134,0.781769183331556,0.787306323262338,0.785395090823593,0.69925786066451,0.791192423261726,0.881914944097273,0.884731068950339,0.788719079244835,0.8027679725489,0,0
"Heme degradation",0.337840592880921,0,0.355564109785869,0,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.0132612680055368,0,0.0273321839660052,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.72850093645066,0.841833340766875,0.740163756936208,0.730866466518266,0.737695153949787,0.744655841640145,0.621203758036649,0.743236863487897,0.854371399824927,0.857844390688463,0.739949501141397,0.756014089804199,0,0
"GABA B receptor activation",0.801131904126018,0.878326120116307,0.809282497657106,0.802158230082565,0.807557307806428,0.803901650302353,0.724214809124178,0.807464905929643,0.887088376482816,0.88951548550854,0.805062469880907,0.818691012058934,0,0
"Activation of GABAB receptors",0.801131904126018,0.878326120116307,0.809282497657106,0.802158230082565,0.807557307806428,0.803901650302353,0.724214809124178,0.807464905929643,0.887088376482816,0.88951548550854,0.805062469880907,0.818691012058934,0,0
"ADP signalling through P2Y purinoceptor 12",0.717993789312913,0.839272073549099,0.729672609836541,0.720525169721184,0.727832625168519,0.72531034000502,0.611741068468784,0.733214906209312,0.852689191975087,0.856405678673122,0.72897013397019,0.747956403967634,0,0
"Collagen degradation",0.800700152754524,0.643667682667247,0.808373299375441,0.801888464837612,0.805838491737969,0.805365857838182,0.885206469373567,0,0,0,0,0.661311958234959,0.723681929959458,0.885662181140333
"Voltage gated Potassium channels",0,0,0,0.687437605082917,0.684425851542415,0.692542708476294,0,0.693080638470186,0.695240442852819,0,0,0,0,0
