"","MTCH2","MEIS1","DCN","COL27A1","FBN2","DOCK4","FZD10","NEDD4","APBB1IP","NBAS","TBXA2R","KRAS","SYNE1","ZNF135","ROBO3","KCNC1","MTOR","NRBP1","PIK3C2B","ZC3H3","NCAM1","NTNG1","NEFH","MRPS2","GRM2","FLT4","TP53","NKD1","EGLN3","SPTB","ATP2A1","IFT80","BMP7","ZNF793","NT5C","CUBN","WDR59","GFPT2","OGT","TUBB1","ESRRB","ATM","ZNF560","DYNC1H1","BTC","TRIM36","CDH6","POLA2","HTR7","SOX9","SOX3","DOT1L","PPP1R15A","LRBA","IRF5","PIK3CA","PDS5B","CLGN","OR52D1","EXOC6","ZIK1","POLD1","MPDZ","GDNF","TTN","ASH2L","MYH9","NFIC"
"Extracellular matrix organization",0,0.842164302827418,0.850566102567058,0.85039049240562,0.85259301283589,0.84241157564461,0.842584754100656,0.84135785764886,0.850744519149733,0.842259845839552,0.8507660444161,0.858429641082164,0.832718310827015,0,0,0,0.841928301974468,0,0.833153363230681,0.833841850375984,0.83262249914602,0,0.825018219575268,0.832743442549578,0.850679407377005,0.841572648482534,0.850477771135213,0.843294374163142,0.851271159597887,0.850366479924719,0.842657363038617,0.833141093676463,0.8327468747901,0,0.841586487078852,0.83392424046536,0.84288041249283,0,0.842201886352123,0.841507908913601,0.824536593308526,0.841347602860726,0,0.841833551012753,0.843240079235595,0.84139076095252,0.842472820798182,0.832435032111321,0.832901971178342,0.842678466360024,0.843159655337545,0.842316684330734,0.841729123680252,0,0.850334517277982,0.851579214174938,0.841409688025461,0.834089076643912,0.842594703214441,0.841479514667897,0,0.841783988522098,0.85098422885642,0.85059229304598,0.841468741856179,0.850247055553527,0.842631573237918,0.824521418260255
"Activation of Matrix Metalloproteinases",0,0.895003827971114,0.915365339062782,0.894184356001141,0.895487546097461,0.870881748007067,0,0.86607615069648,0.867946575878822,0.866839333506458,0.893666919755578,0.893586210843295,0.868255492697464,0,0,0,0.867084396602979,0,0,0,0.894154852390824,0,0,0,0.892995751046504,0.893859061580006,0.89243506303424,0.896682291855016,0.897010276387286,0.894342599627894,0.871873909830685,0,0.869841993858569,0,0,0.872285882500258,0,0,0,0,0.842884533533274,0.866216175189128,0,0.865991708181698,0.895803654009073,0.866172677125243,0.896352094872151,0.867936962097604,0,0.897280443892356,0.898692078846719,0.869162861877443,0.869124150779936,0,0.893447782287745,0.89233991171216,0.867146016894825,0,0,0,0,0.893793763802437,0,0.894922050580977,0.868195758025106,0.89442061426798,0,0
"Neuronal System",0.873640938454315,0.873605305114494,0.873605305114494,0.863845050366939,0.874142488148494,0.873979074911339,0.873344413596899,0.873167656946007,0.883091800533121,0.873435423780661,0.882207316398837,0.882848087094666,0.872662008399555,0,0.86432242990666,0.883698203038915,0.892092728112779,0,0.873530896354388,0.87419035065041,0.882384591294657,0,0.873889604216074,0.864072350778147,0.882114974732632,0.873450270165641,0.890579259379486,0.87425868199195,0.883422019322484,0.873474442163511,0.874476001622661,0.873463931416292,0.874084904395389,0,0.87353294407451,0.874078665815565,0.874064205079323,0.874104012111874,0.882672627435785,0.873541723111617,0.874252474422983,0.87328811984257,0,0.872629976025846,0.882897704513551,0.873202726771976,0.873736118718506,0.87342599508929,0.882392601282513,0.883781055868174,0.874773734160641,0,0.873847216797895,0.883367667423091,0.873561724563146,0.882142918828062,0.873015075194144,0.865498413769632,0.883383720061077,0.882805518300165,0,0.873426546282712,0.873993336760244,0.882602857989895,0.873742449072925,0.873393412855203,0.871450116366229,0.873778244729257
"Drug ADME",0.861315022785003,0.861268056833434,0.840247847937203,0.840164408868761,0.841315709086942,0.862853495569316,0.836464107116702,0.834288378387587,0.840204898224319,0.835679968871242,0.859664574197526,0.838738559583164,0,0,0.839494993899538,0,0.860512800641498,0.864141675608367,0.83619366489955,0,0.835171643056376,0,0.838139119962086,0,0.8590132610514,0.839553740579048,0.856654694183266,0.839534073102267,0.862758108806146,0.860142808770641,0,0.861084252399306,0.837915093025118,0,0.879271395983573,0,0,0.86164598284775,0.861198170444968,0.860897967439487,0.862980367246166,0.858535679209555,0,0.859718381485823,0.836528061088508,0.834367787691352,0.836979246402739,0.880906505491194,0.859641896364613,0.838333685537336,0.839494993899538,0,0.83453270394975,0,0.859827355231857,0.858928042354183,0.835326096894259,0,0.837433990174437,0.861019094648715,0,0.880701619504388,0,0.860449474958063,0.836375172340974,0.860788264980514,0.859887958321783,0.861431362536319
"Transmission across Chemical Synapses",0.868796399615421,0.868747630832183,0.868747630832183,0.855389473821828,0.86948283452277,0.869311600044218,0.868470402775496,0.868148653336087,0.881366753531459,0.868515126498109,0.880520583517657,0.881397560172866,0.86745660862514,0,0.856042828781308,0,0.893478318490416,0,0.868645792926703,0.869548340478509,0.880763206886986,0,0.869136730516058,0.855700563507496,0.880394202136467,0.868417843970606,0.891978658302569,0.869641860659348,0.882183059835611,0.868568528145697,0.86993929037031,0.868554142843748,0.869404023791378,0,0.868648595493604,0.86950555776871,0.869375694129792,0.869430175145366,0.868422264286715,0.868757677107628,0.869633364807236,0.868313522217876,0,0.867412768224607,0.869145342471432,0.868196650878543,0.86898432081488,0.868502222127988,0.880774169579886,0.882674447271066,0.870394847409504,0,0.869078717912704,0.882108672309394,0.868687985273479,0.879860731850923,0.867939825692647,0,0.882130642397698,0.881339299332819,0,0.868502976506687,0.869278701770697,0.881144694404713,0.868935329880734,0.8684576291732,0.865797979370117,0.86898432081488
"Phase II - Conjugation of compounds",0.706706951052121,0.730211835721313,0.703269145251619,0,0,0,0,0.677737926600578,0,0,0,0,0,0,0,0,0.729919086478767,0.734429508313015,0,0,0,0,0,0.705650761393881,0,0,0.727753034833252,0.705563066094347,0,0,0,0,0.704303915356181,0,0.707237491203096,0,0,0.730939251629601,0.730317372354949,0.73036723574564,0.733078302825279,0.680046421215542,0,0.728383698638638,0,0.677830320912474,0,0.706953530344488,0,0,0,0,0.729054940373938,0,0.729409710334863,0.700719266292586,0.682381356006061,0,0,0,0,0.705854441854444,0,0.703190868599441,0,0.729653588311981,0,0
"Degradation of the extracellular matrix",0,0.835298795904413,0.851454622482814,0.871995353578056,0.835228562785292,0.835601267422443,0,0.815067511698906,0.83556395374556,0.814623011652722,0.834327050942711,0.834049572778783,0.814412471419242,0,0,0,0.816242692369039,0,0.815948569599014,0,0.83415978994004,0,0.798752589574278,0,0.833620391234418,0.83468552522117,0.851090794379249,0.836518803982475,0.836757202784311,0.852258492129844,0.817964666428059,0,0.815539726299773,0,0.815361363677363,0.817356450044197,0,0,0.835007245499724,0.815849251604823,0.797338749113198,0.833448485027305,0,0.815110428282125,0.835661343279678,0.815137672888531,0.835756877373608,0.814180944301699,0.815209788165705,0.836413251585298,0.837439312416343,0.835844866507328,0.816151252634254,0,0.834386582799048,0.835030277393598,0.814355924002079,0,0.798318024684106,0.816035875788728,0,0.834419248792964,0,0.834936249626618,0.815191387137867,0.852162320495884,0.815874506991696,0
"Biological oxidations",0.854081296882531,0.854068989526735,0.839116553294293,0,0.839289954013427,0.822414248886193,0.822220340577306,0.837189539027894,0.821210135752351,0,0.837446614254726,0.837494561313879,0.838409136143235,0,0,0,0.852588079570437,0.856660299221078,0,0,0.83783801262265,0,0,0.839279675259637,0.837041238016321,0.838242565153808,0.853121772052967,0.840706857240695,0.854139841619196,0.820732979651788,0,0,0.838429818870305,0,0.854475532056976,0.83942085503435,0,0.855158795264822,0.854844243400046,0.85487570707146,0.855807692029974,0.853491996877074,0,0.853624100253251,0.838257329141565,0.837247839601311,0,0.83906471508654,0.837502768309284,0.840215820388744,0.841068427579848,0.839802072758644,0.83808000960457,0,0.853492819594251,0.837507586222558,0.824021043102553,0.822849689136721,0.822932407498091,0.838160382839306,0,0.838532918193747,0,0.839067160927885,0,0.853716736845754,0.835248968460237,0.83906842137043
"Collagen formation",0,0.881153825387646,0.923011370353537,0.924149459476469,0.903937149004408,0.903514242607972,0,0.879393116032469,0.901680195069065,0.903293877531869,0.879913983580051,0.902822469291808,0,0,0,0,0.880449179125491,0,0,0.883346062713415,0.922419263251713,0,0,0.880743206010638,0.879708682969024,0.903135846640366,0.902690182242896,0.88344471839191,0.883255901093205,0.90294642064025,0,0.881685505287916,0.8829120425884,0,0.901896019390913,0.883570976296346,0.905101251133247,0,0.881242885686418,0.881318272756043,0,0.88065748959868,0,0.902014021463843,0.905074340442379,0.879471085783245,0.904569601414536,0,0,0.905562647331466,0.906702903186652,0.903428565617835,0.902043530813457,0,0.90187490883271,0.901328738522809,0.90294642064025,0.883931905724646,0,0.880285086884428,0,0.879968697362097,0,0.903414475316853,0.880530963180703,0.902672597807855,0.879118066294564,0
"Phase 0 - rapid depolarisation",0,0.755761200536539,0,0,0,0.761489977934364,0.764057063455707,0,0.756478373154162,0,0.809884980405256,0.806324673715521,0.809213684464243,0,0,0,0.809842315890714,0,0.756420093548951,0,0.860483481719561,0,0,0,0.809850268719791,0.812139310790693,0.846466697490643,0.815974785173163,0,0.863531398232448,0,0,0.757764515623741,0,0.80675155469041,0,0,0,0.810516155134005,0.756265874748235,0,0.81126190524174,0,0.809408980385201,0.75888988605022,0,0,0,0.810887568509894,0.815881799338623,0,0,0.811016570232946,0,0.815421214501775,0.809114089632102,0.809963457595577,0,0.816098113408311,0.813586843192605,0,0.755216603241107,0,0.812664984425958,0.757381255519555,0.754614638256795,0.805778895299461,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.84985658287353,0.852470676049791,0.832003782723227,0.850839161873583,0.850610311821736,0.849756779430748,0.849056066340895,0.86672168450751,0.849545847387557,0.865590802145679,0.866762856715019,0.848492268250937,0,0.832876973202256,0,0.882908449534453,0,0.849720479384637,0.851203833782124,0.849769573395477,0,0.850376603628592,0.832419545315532,0.865421896993618,0.850722878621002,0.881278809428302,0.851292030880516,0.869119701451669,0.849417158620199,0.851449202241972,0.84959799163326,0.850733833553507,0,0.848944494981838,0.833016241992653,0.850695971759679,0.833564413763397,0.849421739660702,0.84987000943736,0.851040341353887,0.849276408952178,0,0.848089960161278,0.850388113264097,0.849120213702878,0.850258572298796,0.84952860106079,0.865929712766835,0.869776426902249,0.852058041378351,0,0.850299071420139,0.867713238032446,0.8497768682663,0.86470892900061,0.849151587529443,0,0.867742600435915,0.851369367682525,0,0.849529609266647,0.850566344206891,0.866424908746582,0.850107437358888,0.849469003834216,0.85094258466239,0.850172912360851
"FGFR4 ligand binding and activation",0,0.606897582948647,0.692768344769547,0,0.613346738218938,0.699543890635941,0,0.686630524274786,0.693932930786399,0,0.688500394067247,0.772179824454709,0,0,0,0,0.692172622663372,0,0.69402407310772,0,0.690058072005846,0,0,0,0,0.858995156767019,0.684567810141235,0,0,0.690657436975706,0,0,0.616844003818418,0,0,0,0,0,0.693120328056558,0,0,0.687689006895958,0,0.688684320130103,0.69532171235362,0.686938675600841,0,0,0,0.618728200684581,0.623234709302639,0,0,0,0.610915676278971,0.768201134526565,0,0,0,0.614579231914664,0,0.688905331468772,0,0.692507278328628,0.696440323320185,0.607306173754809,0,0.611201795160302
"Assembly of collagen fibrils and other multimeric structures",0,0,0.899151734731064,0.899169272868308,0.870635550807978,0.870003300800896,0,0.832347401591534,0.867325781718634,0.869673852435727,0.834720637631874,0.868969091605369,0,0,0,0,0.835520761229542,0,0,0,0.898266527691222,0,0,0.80323109722461,0.834413710818119,0.869437594405313,0.868771320920612,0.838470851669054,0.837377346224776,0.869154400320466,0,0,0,0,0.867759402756948,0,0.872375897100684,0,0.834802326770443,0.834979183427337,0,0.83610594632452,0,0.867760452650599,0.870415196129209,0.802249403758756,0.871581074555433,0,0,0.873065689811431,0.874770385646229,0.869683361896496,0.86780456947328,0,0.867552477640621,0.866735946641772,0.869154400320466,0,0,0.83527544141067,0,0.802993338886964,0,0.869854147534246,0.835643029348262,0.868745031984637,0.834499910582055,0
"Adrenaline,noradrenaline inhibits insulin secretion",0,0.851259297491585,0.789321341836012,0,0,0.793136510080009,0.848663128716126,0.785020172899614,0.852075398451807,0,0.903552513478364,0.848087911732766,0.847111064168567,0,0,0,0.84800293599506,0,0.8477826104025,0,0.904644079445165,0,0.853072981948762,0,0.902983921858666,0.847968200071112,0.845512650968564,0.854981331358962,0.851122777385094,0.848577491258793,0,0,0,0,0.850140271610785,0,0,0,0.849866695778964,0.847622021674078,0,0.847699875983903,0,0.846524250888441,0.84869195039051,0,0,0.851120995003092,0.904693400755424,0.852760107637771,0,0,0.850436139219385,0,0.84818203433967,0.900583831506237,0.848140788248802,0,0.910796191129283,0.849615408224524,0,0.84855223350619,0,0.849873795080523,0,0.849954575930192,0.848875927029224,0.854275538171193
"Interaction between L1 and Ankyrins",0,0,0,0,0.796840345554787,0.797725640556241,0.801246294357969,0,0.854339351082423,0.855904850851643,0.796771417817655,0.893303916640027,0,0,0,0.803281893030458,0.851975532703628,0,0,0,0.907363234077216,0,0,0,0.796219040068343,0.852619119820165,0.890802091612117,0,0,0.90717923714265,0,0.857457100343574,0,0,0,0,0,0,0,0.856964971879912,0,0.852949136585494,0,0.905262576218348,0.855284808520664,0,0,0,0.797879771730179,0.86041664347434,0,0,0.794148731683412,0,0.854585810104235,0.847756950585753,0.854969990235224,0,0.858039824126509,0.853371621353408,0,0,0,0.853730520586865,0.79378399302428,0,0.846731953983269,0
"Collagen biosynthesis and modifying enzymes",0,0.868754210562766,0.901630102800826,0.933753491446059,0.901713940374314,0.902557899480786,0,0,0.900065098267847,0.902224759342678,0.867903228992943,0.900079333399478,0,0,0,0,0.868632087849244,0,0,0.872068357515598,0.93113784190909,0,0,0.86813345069289,0,0.899445082191471,0.899370124325838,0.872585112843318,0.871932054362936,0.901699486287126,0,0.869557985455497,0.871412221221467,0,0.900288856488636,0.872408373925663,0.904957082911491,0,0.868888848776578,0.869002816285543,0,0.86803593523899,0,0.900289918147314,0.903483632662203,0,0,0,0,0,0,0.902428376033462,0.900334529339703,0,0.901483625796543,0.89671315997172,0.901699486287126,0.872954014286277,0,0,0,0,0,0.899866303182601,0,0.8689464631563,0.86567662187484,0
"Phospholipase C-mediated cascade; FGFR4",0,0.606897582948647,0.692503364660273,0,0.613346738218938,0.699278910526667,0.605329131366349,0.686630524274786,0.693932930786399,0,0.688235413957973,0.772179824454709,0,0,0,0,0.691761129148268,0,0.69402407310772,0,0.690058072005846,0,0,0,0.597944602133438,0.858995156767019,0.684567810141235,0,0.609429333307346,0.690657436975706,0,0,0.616844003818418,0,0,0,0,0,0.693120328056558,0,0,0.687689006895958,0,0.688272826614999,0.69532171235362,0.686938675600841,0,0,0.600384049354192,0.618669967126082,0.62317647574414,0,0.599165489978176,0,0.610915676278971,0.768201134526565,0,0,0.609092805598321,0.614579231914664,0,0.688905331468772,0,0.692507278328628,0.696028829805082,0.607247940196309,0.601962084212698,0.611201795160302
"Cytosolic sulfonation of small molecules",0,0.523895936376487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608196356507378,0.539481495734953,0,0,0,0,0,0,0,0,0.514809933051589,0,0,0,0,0,0,0,0.608983863387542,0,0,0,0,0.611327400894507,0.53448838807268,0.518268147104264,0,0.603997639124536,0,0,0,0,0,0,0,0,0.606478077727095,0,0.520931843609294,0,0,0,0,0,0,0,0,0,0,0.521833045541391,0,0
"Metabolism",0.888867748812234,0.888918888542574,0.892343993998622,0.889105860148802,0.889344397588036,0.889312862719642,0.88913681756727,0.888331460961458,0.889244608315857,0.889197527977513,0.892229566218498,0.888734334229461,0.888990396601951,0.88621025169531,0.886248765819686,0.886590617884562,0.891845121090326,0.889473067392571,0.892597063545818,0.889236190033855,0.891844167303404,0,0.889351396334914,0.888889851257694,0.892197613321255,0.89171841964654,0.895365612048554,0.889373251049879,0.888901083269652,0.889169891819575,0.889430069793213,0.889220306041851,0.889287674081911,0.88621025169531,0.89169094091763,0.892822559198349,0.889630077489377,0.892129956860136,0.892411501897606,0.889258851842066,0.889190737279792,0.88868716810977,0.88621025169531,0.888620520398609,0.889312796473966,0.888824615687591,0.885938043160901,0.892142605876824,0.89204641757743,0.892526863171767,0.889531042610502,0.885876604180963,0.888605528332512,0.886217861077676,0.889195452502258,0.891794050594024,0.888949292270677,0.888804095358812,0.89214211085785,0.89243656144253,0.88621025169531,0.89224138178212,0.885811404256991,0.892387359643877,0.889420481480628,0.888794947405395,0.889249050488289,0.889162523359207
"Glucuronidation",0,0.700085818657785,0.627690448523211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711188069320463,0,0,0,0,0,0,0,0,0.693613475630831,0.633728775027362,0,0,0,0,0,0,0.698825480245189,0,0,0,0.699312920537115,0,0.70763126833711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69797437048118,0.620978359154687,0,0,0,0,0,0,0,0.627484399572131,0,0.698616334591527,0,0
"PI-3K cascade:FGFR4",0,0.617665146419236,0.702709638108988,0,0.626699456116813,0.709485183975382,0.620600553289152,0.697270714796776,0.704093181584291,0,0.691587164208123,0.783084995085969,0,0,0,0,0.702296147213456,0,0.704184323905611,0,0.700218322803738,0,0,0,0.61141435666178,0.858995156767019,0.695208000663225,0.62887494986591,0,0.700817687773598,0,0,0.627638472406917,0,0,0,0,0,0.703280578854449,0,0,0.698329197417948,0,0.699177997246261,0.705481963151512,0.69757886612283,0.624197277197818,0,0.617690729718286,0.626053867895126,0.631619476474379,0,0.613966498789568,0,0.621710144867471,0.870518414164939,0.61911341147537,0,0.622562560126664,0.617482020533815,0,0.699545521990761,0,0.702667529126519,0.706934000436344,0.617983237249556,0.616763093024089,0.621969358630891
"Transcription of E2F targets under negative control by DREAM complex",0,0.702650632274457,0.704462013392806,0.702210066335667,0.710100418263807,0.711869829542151,0.707598589293913,0.694299160813603,0.706046616085529,0,0.698654794280254,0.69830421349055,0.702458067782353,0.718607660150753,0,0,0.701322126630011,0.719569313256729,0.706170629568171,0,0.698962879324286,0,0.71463142971944,0.695515761676041,0,0.702608443960083,0.798836153710303,0.71487190125779,0,0,0.709877611748963,0,0.579319682594234,0.718607660150753,0.697294939497769,0,0.583678147316857,0.710488341064548,0.704940942090489,0.705577097955645,0.713437498528042,0.803083033468848,0.718607660150753,0.696575741642329,0.707936272134269,0.694718449225078,0.583403571352969,0.809725734156834,0,0.714351104757603,0.720482919486289,0.584284081996792,0.70423523496718,0,0.700821942135301,0.798422838443221,0.70158979088128,0,0,0,0.718607660150753,0.697394394272407,0,0.704106791383204,0,0.701928668377658,0.701205810229001,0.708507190881503
"FGFR2 ligand binding and activation",0,0.802104122157566,0.804231712672035,0,0.730120009326467,0.810520422805629,0,0.87052184477966,0.805312620989982,0,0.800270422266732,0.872018218505026,0,0,0,0,0.802089895208954,0,0.805397214563842,0,0.873703116750175,0,0,0,0,0.874954272153203,0.79662040190315,0,0,0.80227247757925,0,0,0.807251069362482,0,0,0,0,0,0.804558405296884,0,0,0.797389744277546,0,0.798852233783206,0.806601615985714,0.798820916213762,0,0,0,0.729538333573932,0.733721041059402,0,0.715789669312143,0,0.801748703323239,0.868325404942409,0.717411647345928,0,0,0.805149025585898,0,0.798518673638755,0,0.803989404346635,0.801720743188614,0.800376046273511,0,0.806099068614475
"APAP ADME",0.71740053863777,0.717587044706766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728949517091288,0,0,0,0,0,0,0,0,0.7754869597941,0,0.787285012312891,0,0,0,0,0,0,0,0,0.783799008945714,0,0.781454324683815,0.725309349509191,0.713484169813359,0,0.776110646360766,0,0,0,0,0,0,0,0,0,0,0.715426107044038,0.703347037782155,0,0,0,0,0,0,0,0,0.721029329525133,0.71608311792384,0,0
"FGFR2c ligand binding and activation",0,0.761111046563548,0.763757282652828,0,0.66466150913774,0.771579000035649,0,0.846207048598611,0.765101685431796,0,0.758830343206845,0.848068195340987,0,0,0,0,0.761093351492714,0,0.76520690049388,0,0.850163823476552,0,0,0,0,0.85171997469939,0.754290552515433,0,0,0.761320442210715,0,0,0.767512671947121,0,0,0,0,0,0.764163613574168,0,0,0.755247438505616,0,0.757066441026897,0.766704900455275,0.757027489131817,0,0,0,0.670855799000035,0.676058130662866,0,0,0,0.760668986806366,0.843475179695388,0,0,0,0.764898210158061,0,0.756651568481551,0,0.763455906504061,0.760634210792466,0.758961715318505,0,0.766079846441685
"Cardiac conduction",0.86175784025183,0.860797376893269,0.862167697383096,0,0.858895237825377,0.864344926651218,0.888861781351761,0.860195392466683,0.887924383881242,0,0.886976673855805,0.887217802371569,0.886091278549822,0,0,0.864999388585347,0.912513298531801,0,0.862571208560585,0,0.913352363529471,0,0.836314445278518,0,0.8874400082513,0.887512556359642,0.91297849254051,0.889801273476713,0.864354835088206,0.91466684543068,0.916736509018308,0.861229852441972,0.863977640713981,0,0.88495931785951,0,0,0,0.887054611026136,0.860997562546037,0.836476356563995,0.886689114144597,0,0.886087857910233,0.862988187236746,0.859163189117505,0,0.888056613728327,0.888743165220676,0.888997390750482,0.866816027753003,0.836114194717251,0.887315729832156,0,0.888583525683758,0.887226606229497,0.886763710021912,0,0.889619250723781,0.888267885152203,0,0.886878705814374,0,0.888480015456454,0.859658871462119,0.862125390477219,0.886600293117438,0.835646112134806
"SHC-mediated cascade:FGFR4",0,0.606165027503405,0.691047340502891,0,0.612628973070852,0.697626491043673,0.610976145503365,0.685335524810704,0.692015531194131,0,0.686582994474979,0.868019385433746,0,0,0.61691326789455,0,0.69050436924246,0,0.692961438685426,0,0.688140672413578,0,0.619268671488716,0,0.603591616270454,0.858995156767019,0.767707241643969,0.61600912124902,0.614791491112592,0.686099632162079,0,0,0.616183222144948,0,0,0,0,0,0.691606371134027,0,0,0.686394007431877,0,0.688134240499394,0.693404312761352,0.685643676136759,0,0,0.606031063491208,0.618005856781888,0.622512365399946,0,0.611628104491984,0,0.610254894605501,0.767403480213545,0.60624758285848,0,0.614427356243616,0.610247953054232,0,0.68761033200469,0,0.691444643906334,0.695890243689476,0.606583829852116,0.609401662680803,0.61046923971506
"GABA receptor activation",0,0.512997135645773,0.467386041786081,0,0,0.240543602712147,0.513017375805898,0.464348996884219,0.514951239511761,0.278910622065032,0.551774636593265,0.512135684858973,0.511132068367474,0,0,0,0.510535289073237,0,0.512298465921655,0,0.510535682221295,0,0.516033984375153,0,0.551373155436542,0.511003063346044,0.508939442543358,0,0.514208533338639,0.830634450767143,0,0,0,0,0.512206994198973,0,0,0,0.512050912120075,0.512282252661214,0,0.510483836795313,0,0.509779591109084,0.512848113202743,0,0,0.512899480595761,0.552580214318676,0.515515620572325,0.477545105131615,0,0,0.282375287020728,0.510553021853275,0.549678457488929,0.469540298444559,0,0.556889379726065,0.512365779814438,0,0.511085684364172,0,0.511547943182362,0,0.512075874931541,0.511059270446616,0.515126895837536
"GPCR ligand binding",0,0.9199437239458,0.91945556437537,0.904645113683739,0.920820803928525,0.920815862725301,0.936484299134625,0.918747228559577,0.919917024814051,0.903744759820136,0.931684576177521,0.919218752377541,0.917289786288494,0,0,0,0.919360800093508,0.922197111491996,0.919397512696267,0,0.919296298580733,0,0.920178237719142,0.889816009427343,0.931554597427037,0.919725499066809,0.918630053626621,0.920496197077113,0.920481665165463,0.919392312805043,0,0.892592405841315,0.919400794562766,0,0.919474659221402,0.92014769765637,0,0,0.918824096961728,0.918898993015926,0.921475199216395,0.91795403595644,0,0.919015255517236,0.920139498251134,0.918796592322941,0.906587212054623,0,0.931945380413069,0.920082553847017,0.920804466122617,0.90586746239641,0.918696902521293,0,0.919301912253158,0.931005942233665,0.918976846996829,0,0.933340464406176,0.919613887532174,0,0.918148882946571,0,0.919688644909066,0.904438437394434,0.919645467565644,0.919285462241365,0
"NCAM1 interactions",0,0,0.818979552868894,0.881986340865905,0.818718325754654,0.824053500298931,0.745475460435382,0.81470722614057,0.819525693220937,0,0.816216131908613,0.878595652316287,0.812171264472643,0,0,0,0.817798032057207,0,0.816908702310162,0,0.745372087992671,0,0,0,0.813102321254243,0.817486635359765,0.813042703152666,0.822069117726715,0.821064263941353,0.880544211656139,0,0,0,0,0.815409650300624,0.756855742289571,0,0,0.818869957216682,0,0,0.814487110956281,0,0.814983119578086,0.820646381156418,0.814955891216175,0.822059238654923,0,0.81456797159817,0.825525056564645,0.829161618251956,0.820902627538224,0.81547231576492,0,0.880088827817124,0.875385017968357,0.814191969466528,0,0.821595569232096,0.817998669145403,0,0,0,0.886905743903729,0.7522637056335,0.816307964344338,0.818803314780403,0
