"","PIK3CA","PPP2R5E","TP53","CTNNB1","FLT4","SPTB","RELN","KRAS"
"Collagen biosynthesis and modifying enzymes",0.924268742296247,0.903808750824491,0.922796398606117,0.924752428382619,0.943593420180727,0.924207403280581,0.924813756982472,0.923612383054453
"Defective B3GALTL causes PpS",0.855776201173426,0.811804751387761,0.810310426816362,0.856752976275326,0.859330237508213,0.858957693729218,0.860633006935343,0.857756085995642
"Collagen chain trimerization",0.88613003513931,0.846362788422254,0.886264571201874,0.88699939749915,0.92364449231839,0.886019786296284,0.887109627621114,0.884950315409042
"O-glycosylation of TSR domain-containing proteins",0.855776201173426,0.811776747813832,0.810282423242433,0.856752976275326,0.859330237508213,0.858957693729218,0.860633006935343,0.857756085995642
"Ethanol oxidation",0,0,0.832634460517224,0,0.834298964211687,0,0,0
"O-linked glycosylation",0.881613255729026,0.859699150490378,0.858767948849213,0.882160086159775,0.88360292071544,0.883126626588451,0.884332253358768,0.882721659565345
"Diseases associated with O-glycosylation of proteins",0.806130001630292,0.734885105076409,-0.0254005713284127,0.805707444238585,0.809019278821685,0.807110998723483,0.77458035626681,0.807739562006032
"Glucagon-type ligand receptors",0.916703842748912,0.880128112673468,0.878782009228976,0.882816529649569,0.88184735775833,0.881511766365585,0.883020906294441,0.880429345357422
"Phase 4 - resting membrane potential",0.761390232514073,0.701332267531428,0,0,0,0.766736804409508,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.837319523104812,0.839771053550056,0.837544727231217,0.838774775971937,0,0.842059484386128,0.844555457452811,0
"Heme degradation",0,0,0.0474549242949968,0,0,0,0,0
"Arachidonic acid metabolism",0.83280329165906,0.791913948514784,0.830664288237897,0.792753537381373,0.792109559229277,0.789809376346827,0.795276336508291,0.834876313125637
"RA biosynthesis pathway",0,0,0,0,0,0,0,0
"WNT ligand biogenesis and trafficking",0.824242582912524,0.7613404719751,0.759137646182533,0.823966501831204,0.761371024294033,0,0.763291473271971,0.761833423039517
"Metabolism of amine-derived hormones",0.448896285174735,0.454862368658127,0.55563483429329,0.453204432861752,0,0,0,0.455691455128972
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.359784032502581,0.363656102217288,0.454033131203909,0.455914639522364,0.368147215949225,0.367270564257418,0.371212828869704,0.364443000057117
