"","PC","SCN9A","SCN1A","MAP2","KCNN3","TECPR1","LRR1","SYNE1","APC","SCN3A","MMP9","GRIK2","COL12A1","PPP1R12A","DNAH8","TWIST1","TP53","ABCA2","PLXNA4","FN1","F9","CACNA1H","CRB1","UQCRC2","RBBP7","LRBA","IL15RA","PTPRK","RNF43","PBRM1","LAMA3","TTN"
"Extracellular matrix organization",0.818812854786191,0.819122657095035,0.819425653692763,0,0.809239339415178,0,0.816420382535092,0.819396926182417,0.817509526723704,0.819089919801853,0.82879809313298,0.820183399593166,0.828058885554805,0.819279962856272,0.81886079826519,0.818441496233872,0.824914411048611,0.819066546314902,0.819926377656885,0.83692936993782,0.818644911865497,0.819318362284067,0,0.809257749295543,0.816489764276682,0,0.819279851868612,0.819365289021055,0.819775511548718,0.808331268434751,0.836353148676841,0.817641754789351
"Adrenaline,noradrenaline inhibits insulin secretion",0.845605876946706,0.845875210270876,0.897505275485012,0,0.798270594686805,0,0,0.844123063263342,0.846062967130218,0.845697610474644,0.846706761498842,0.848845093420314,0,0.848651833678208,0,0,0.84352989326856,0,0.849945841189901,0.846109585210715,0.846632697206091,0.894042914028563,0,0,0.84534543326065,0,0,0.85314075898641,0.846632301019461,0,0.847771004016497,0
"Integration of energy metabolism",0.918283798053485,0.896991473716202,0.91834761839254,0.877160102825404,0.897738078365752,0,0.895141103801241,0.896993984035937,0.895991604735715,0.896913023632807,0.896749436582249,0.898878651296496,0.869178395059004,0.896767883138476,0.894872459789009,0.877325240916685,0.915903721382499,0.895937131154422,0.897339477247025,0.917043233095285,0.897838051628144,0.916818210415932,0,0.872570353857435,0.895307366887912,0,0.896713432750584,0.897247929645508,0.895818683939178,0.896913023632807,0.896378799581604,0.895907961461996
"Regulation of insulin secretion",0.882671935163668,0.884282943112057,0.911474861887779,0,0.885233564738566,0,0.881926941633551,0.884286139401059,0.883009850214636,0.884183055780896,0.883974766978824,0.886685810308196,0,0.883998254235827,0.855306191197934,0.859242721058241,0.882252696519515,0.882940491197808,0.884726041990026,0.90981404063035,0.885360856666575,0.909527528316804,0,0,0.882138637724615,0,0.883928924750225,0.885452479057271,0.882789677129777,0.884183055780896,0.883502849815423,0.883881550038679
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0.858539168142141,0.860825363727079,0.899413655431742,0,0.862861449533975,0,0.814341074625054,0.856875966423291,0.859018706370605,0.860683612734652,0.860388028259005,0.864235293752869,0,0.860421359232521,0.816574142138289,0.818751978937611,0.856333290712036,0.858920278378237,0.861454169251915,0.89705676934071,0.862355040357006,0.860489721497806,0,0,0.85778236104393,0,0.860322973148177,0.862174399259546,0.858809472481015,0.860683612734652,0.859718326451202,0.860255743277286
"ADP signalling through P2Y purinoceptor 1",0.782632840641282,0.785112578660654,0.84365372681596,0,0,0,0.720522437710257,0.783491576677723,0.785179005366829,0.784910700110756,0.786446851430322,0.788341461816638,0,0.787176631774417,0.79012273990582,0.72981127333083,0.777087608225492,0.724198346717776,0.788647536390078,0.786892788917608,0.785942385825498,0.783007102723669,0,0,0.784363381136595,0,0.724568570926708,0.793224365703525,0.785679172533887,0.726709647533126,0.787120539181003,0.724941268771803
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0.815348101895142,0,0,0,0,0,0.810653497301007,0,0,0,0,0,0,0,0.812023183679049,0,0,0,0,0.816705344595046,0.866572885033259,0
"Collagen formation",0.867098536209327,0,0,0,0,0,0.866221506769469,0,0.869942643278005,0,0.891799186315773,0,0.914254695073006,0.868339793056057,0.891807807483808,0.892532629089148,0.869373744468848,0,0.868322882124728,0.869589786139599,0.894348287993549,0.891058627055144,0,0,0.890755121588329,0,0,0.869895324074195,0.8690306799056,0,0.914177820337687,0.867416462241435
"Phase II - Conjugation of compounds",0.844223758348631,0,0,0,0,0,0.819716574011119,0,0.825069071234472,0,0.843465183315024,0,0,0.868636498545495,0,0,0.866502795476137,0,0,0,0,0,0,0.869899258881659,0.868736743385741,0,0,0,0,0.869156388412229,0.86797273985087,0
"G alpha (z) signalling events",0.848409464024839,0.847784215469216,0.893095255877222,0,0,0,0.846370244055299,0.850042789375581,0.848783987508054,0.849087552077203,0.85028606613647,0.850491833168575,0,0.850322628571794,0.803216563919955,0,0.845838218873725,0.848676016851172,0.851455570263946,0.848096815155252,0.84788613531958,0.849669630752334,0,0,0.847427777614477,0,0.849486716030512,0.854252814902758,0.848554468242675,0,0.84955143625767,0
