"","PNISR","PDE7B","HBS1L","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Eukaryotic Translation Elongation",0,0,0.952610337692446,0.953947872448072,0.940073775679638,0,0.939147501053366,0,0.940397544589889,0.93999203065101,0,0.951653520064953,0.940339642638324,0,0,0.941712243438615,0.940656517045268,0,0.940839167577778,0,0.939385750802022,0.940411816933207,0,0,0.940921613683447,0.940257363568055,0.939435614384206,0.941067730272994,0.942388439125829,0,0.940488547823567,0.941426690190113,0,0.939668337272501,0,0.93973324747587,0.953170774127519,0,0.940174295927424,0,0.95165614667732,0.939484930769955,0,0,0.942417935780308,0.940194407455498,0,0,0.9406783737997,0.940499755039698,0.940318145054939,0.953032234487222,0.95218404038702,0.939424347134314,0,0,0.940620283405152,0.939972300285937,0,0.9394452944417,0,0.93999203065101,0,0.93972306510739,0,0.940321068523401,0.939435614384206,0.93974333790476,0.940975317849974,0.939597894430291,0,0.952601529010671,0.940992288092185,0,0.939438825652547,0.94078462304803,0.940474942373891,0.940921613683447,0.940557610148335,0,0,0,0.940445878851412,0,0.951648297010067,0.940713569371442,0,0.940620283405152,0.941862736883788,0,0.939847505594006,0.941165525488306,0.940635416203324,0.95165614667732,0.940281921505394,0.952123123161412,0.940411816933207,0.940992288092185,0,0,0.951650903535578,0.940724593080848,0,0.942071203355734,0.926242244478639,0,0.940620283405152,0.953471056682415,0.952612741373162,0.95165614667732,0,0,0.926332659775528,0.953694485514875,0.952528156614946,0,0,0.940955901114068,0.94016447394814,0.940649848436386,0.941165525488306,0.940539165391465,0.940883898461997,0.940505102899496,0.939812996258182,0.939812996258182,0.939812996258182,0.939812996258182,0.939812996258182,0,0,0.941449254212218,0.952478312796981,0.940921613683447,0.940801287976156,0.952893467040918
"Peptide chain elongation",0,0,0.93920143687857,0.953772772475792,0.93854550285702,0,0.937528886517183,0,0.93890084970034,0,0,0.951254646581087,0.938837300437087,0,0,0.940343774178317,0.939185080340194,0,0.939385545202949,0,0.937790373316642,0.938916514058418,0,0,0.939476032468607,0.938746996498179,0.937845100209698,0.939636400148168,0.941085920799908,0,0.939000728690556,0.940030370258912,0,0.938100521101282,0,0.938171762147401,0.95291988195291,0,0.938655827077814,0,0.951257529373053,0.937899226536979,0,0,0.94111829433154,0.938677900129886,0,0,0.939209068834601,0.93901302897248,0.938813706144513,0.952767830220036,0.951836909781149,0.93783273403878,0,0,0.939145312749083,0.938434130332715,0,0.937855724385661,0,0,0,0.938160586668896,0,0,0.937845100209698,0.938182836719234,0.939763773217773,0.938023207805222,0,0.952295117038977,0.939553599916417,0,0.937848624680492,0.939325680818653,0.939037568186605,0.939476032468607,0.939076526824106,0,0,0,0.938953898114539,0,0.951248914109539,0.939247697112119,0,0.939145312749083,0.940508945598396,0,0.938297164124913,0.93974373355775,0.939161921484174,0.951257529373053,0.93877394962813,0.951770051157179,0.938916514058418,0.939553599916417,0,0,0.951251774855532,0.939259795989483,0,0.940737744289061,0.923364950324237,0,0.939145312749083,0.953249451762139,0.952307422969198,0.951257529373053,0,0,0.923479176209471,0.953494672127058,0.952214588463249,0,0,0.939513664031895,0.9386450471381,0.939177761326413,0.93974373355775,0.939056283107299,0.939434638794097,0.939018898421454,0.938259289013495,0.938259289013495,0.938259289013495,0.938259289013495,0.938259289013495,0,0,0.940055135002449,0.952159883262065,0.939476032468607,0.939343971115888,0.952615528462708
"Eukaryotic Translation Termination",0,0,0.93877663776136,0.953624305361309,0.938348130607991,0,0.937328249220636,0,0.938704618712064,0.923851580472824,0,0.951098092049177,0.938640865348841,0,0,0.940152177403364,0.938989762210101,0,0.939190870902074,0,0.937590575832315,0.938720333379065,0,0,0.939281648783976,0.938550271382476,0.937645478490702,0.939442531513388,0.940896707563258,0,0.938804818481749,0.939837766930503,0,0.937901719712744,0,0.937973189562386,0.952768675626026,0,0.938458809155003,0,0.951100984099752,0.937699778654487,0,0,0.94092918506835,0.938480953098681,0,0,0.939013827747904,0.938817158268256,0.938617195278923,0.952616135551471,0.951682225292973,0.937633072603586,0,0,0.938949866898168,0.938236400390651,0,0.93765613678813,0,0.923851580472824,0,0.937958982124471,0,0,0.937645478490702,0.937984299702213,0,0.93782415811103,0,0.952141904166407,0.939359465353695,0,0.937649014280972,0.939130814252464,0.938841776294512,0.939281648783976,0.938880860054734,0,0,0,0.938757837500854,0,0.951092341166758,0.939052580087131,0,0.938949866898168,0.940317879301376,0,0.938098994291064,0.939550209643656,0.93896652897522,0.951100984099752,0.938577311077286,0.951615151940422,0.938720333379065,0.939359465353695,0,0,0.951095211100555,0.939064717822232,0.9401083018718,0.940547412820479,0.923118822981048,0,0.938949866898168,0.953099303908394,0.952154249619351,0.951100984099752,0,0,0.951749149584449,0.953345311842932,0.952061116958571,0,0,0.939319401207846,0.938447994593561,0.938982419689982,0.939550209643656,0.938860551321564,0.939240122166182,0.938823046568028,0.938060997536866,0.938060997536866,0.938060997536866,0.938060997536866,0.938060997536866,0,0,0.9398626112105,0.952001667704891,0.939281648783976,0.939149163292302,0.952463344649461
"Viral mRNA Translation",0,0,0.937002471180719,0.953448951544556,0.937748507628794,0,0.936700300811219,0,0.938114896569417,0,0,0.950852577055074,0.938049372567507,0,0,0.939602658683593,0.938407959431761,0,0.938614653567582,0,0.936969913087905,0.938131047683939,0,0,0.938707952647136,0.937956262511424,0.937026340572058,0.938873303614308,0.94036786687267,0,0.938217879213286,0.939279516007147,0,0.937289698448002,0,0.93736315324831,0.952569558182776,0,0.937862260079791,0,0.95085554942732,0.937082148828373,0,0,0.940401246383932,0.937885019032958,0,0,0.938432693347985,0.938230561715884,0.938025045102599,0.952412781573177,0.951452933582913,0.937013590133023,0,0,0.938366956096986,0.937633674299157,0,0.937037294885144,0,0,0,0.937354722147245,0,0,0.937026340572058,0.93737457195293,0,0.937209982707812,0,0.95192537923689,0.938787930436623,0,0.937029974562748,0.938552928949072,0.938255863464966,0.938707952647136,0.938296032708595,0,0,0,0.938169593417427,0,0.950846666451907,0.938472521965979,0,0.938366956096986,0.939772962663385,0,0.937492451984338,0.938983972317209,0.938384080934223,0.95085554942732,0.937984053186688,0.951383997384749,0.938131047683939,0.938787930436623,0,0,0.950849616093119,0.938484996805543,0,0.940008871076431,0.922096232492259,0,0.938366956096986,0.95290936909016,0.9519380675633,0.95085554942732,0,0,0.951521716580089,0.953162209466852,0.951842348304983,0,0,0.938746753578863,0.937851145162729,0.938400412985928,0.938983972317209,0.938275159935714,0.93866527269982,0.938236613552932,0.937453399936432,0.937453399936432,0.937453399936432,0.937453399936432,0.937453399936432,0,0,0.939305050293773,0.951788301434595,0.938707952647136,0.938571787601549,0.952255747169829
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",0.923429748711863,0,0.93877663776136,0.953624305361309,0.938348130607991,0,0.937328249220636,0,0.938408736968429,0.923846474354147,0,0.951098092049177,0.938640865348841,0,0,0.940152177403364,0.938989762210101,0,0.939190870902074,0,0.937590575832315,0.938720333379065,0,0,0.939281648783976,0.938550271382476,0.937645478490702,0.939442531513388,0.940896707563258,0,0.938804818481749,0.939837766930503,0,0.937901719712744,0,0.937973189562386,0.952768675626026,0,0.938458809155003,0.92321104102779,0.951100984099752,0.937304543237372,0,0,0.94092918506835,0.938480953098681,0,0,0.938717946004269,0.938817158268256,0.938617195278923,0.952616135551471,0.951682225292973,0.937633072603586,0,0,0.938949866898168,0.938236400390651,0,0.93765613678813,0,0.923846474354147,0,0.937953025698529,0,0,0.937645478490702,0.937984299702213,0.922461284407628,0.93782415811103,0,0.952141904166407,0.939359465353695,0,0.937649014280972,0.939130814252464,0.938545894550877,0.939281648783976,0.938880860054734,0.924049689330403,0,0,0.938757837500854,0,0.951092341166758,0.938657344670016,0,0.938949866898168,0.940317879301376,0,0.938098994291064,0.939550209643656,0.93896652897522,0.951100984099752,0.938577311077286,0.951615151940422,0.938720333379065,0.939359465353695,0,0,0.951095211100555,0.939064717822232,0.940763483170337,0.940547412820479,0.923107945177935,0,0.938949866898168,0.953099303908394,0.952154249619351,0.951100984099752,0,0,0.951749149584449,0.953345311842932,0.952061116958571,0,0,0.939319401207846,0.938447994593561,0.938982419689982,0.939550209643656,0.938860551321564,0.939240122166182,0.938823046568028,0.938060997536866,0.938060997536866,0.938060997536866,0.938060997536866,0.938060997536866,0,0,0.9398626112105,0.951990365522694,0.939281648783976,0.939149163292302,0.952463344649461
"Formation of a pool of free 40S subunits",0,0,0.938279602966832,0.953329438937466,0.938962285578751,0,0.938003093075625,0,0.939297560563783,0,0,0.950953550034759,0.93923760089709,0,0,0.940658981079683,0.939565736362483,0,0.939702004871694,0,0.938249809725632,0.939312340116546,0,0,0.939840253984723,0.939152397799512,0.93830144535599,0.939991563254455,0.94135920735754,0,0.939391797863422,0.940363279861669,0,0.938542438732495,0,0.938609655709712,0.952524724156206,0,0.939066378107419,0,0.950956269991476,0.938352514343686,0,0,0.941389752261868,0.93908720435744,0,0,0.939588369860583,0.939403403360745,0.939215339334231,0.952381261104764,0.951502923947473,0.938289777691433,0,0,0.939528215054035,0.938857203960267,0,0.938311469422627,0,0,0,0.938601940582509,0,0,0.93830144535599,0.938620104731492,0,0.938469492497947,0,0.951935249249915,0.939913440015195,0,0.93830477074614,0.939698394986577,0.939426556471015,0.939840253984723,0.939463314519808,0,0,0,0.939347612524594,0,0.950948141363348,0.939130666216249,0,0.939528215054035,0.940814822749409,0,0.938727974324114,0.940092833908655,0.93954388564043,0.950956269991476,0.939177828474951,0.951439841850159,0.939312340116546,0.939913440015195,0,0,0.950950840519364,0.939636231679011,0,0.941030697686897,0.924639210479351,0,0.939528215054035,0.952835678129582,0.951946860076486,0.950956269991476,0,0,0.951565865853715,0.953067047158808,0.9518592693516,0,0,0.939875759919432,0.939056207075386,0.939558830765088,0.940092833908655,0.939444214274578,0.939801198442618,0.939408941272374,0.938692238598153,0.938692238598153,0.938692238598153,0.938692238598153,0.938692238598153,0,0,0.940386645762266,0.951780177539098,0.939840253984723,0.939715652151645,0.952237562151562
"Selenocysteine synthesis",0,0,0.937002471180719,0.953448951544556,0.937748507628794,0,0.936700300811219,0,0.938114896569417,0,0,0.950852577055074,0.938049372567507,0,0,0.939602658683593,0.938407959431761,0,0.938614653567582,0,0.936969913087905,0.938131047683939,0,0,0.938707952647136,0.937956262511424,0.937026340572058,0.938873303614308,0.94036786687267,0,0.938217879213286,0.939279516007147,0,0.937289698448002,0,0.93736315324831,0.952569558182776,0,0.937862260079791,0,0.95085554942732,0.937082148828373,0,0,0.940401246383932,0.937885019032958,0,0,0.938432693347985,0.938230561715884,0.938025045102599,0.952412781573177,0.951452933582913,0.937013590133023,0,0,0.938366956096986,0.937633674299157,0,0.937037294885144,0,0,0,0.937354722147245,0,0,0.937026340572058,0.93737457195293,0,0.937209982707812,0,0.95192537923689,0.938787930436623,0,0.937029974562748,0.938552928949072,0.938255863464966,0.938707952647136,0.938296032708595,0,0,0,0.938169593417427,0,0.950846666451907,0.938472521965979,0,0.938366956096986,0.939772962663385,0,0.937492451984338,0.938983972317209,0.938384080934223,0.95085554942732,0.937984053186688,0.951383997384749,0.938131047683939,0.938787930436623,0,0,0.950849616093119,0.938484996805543,0,0.940008871076431,0.922093422331889,0,0.938366956096986,0.95290936909016,0.9519380675633,0.95085554942732,0,0,0.951521716580089,0.953162209466852,0.951842348304983,0,0,0.938746753578863,0.937851145162729,0.938400412985928,0.938983972317209,0.938275159935714,0.93866527269982,0.938236613552932,0.937453399936432,0.937453399936432,0.937453399936432,0.937453399936432,0.937453399936432,0,0,0.939305050293773,0.951783592040401,0.938707952647136,0.938571787601549,0.952255747169829
"Response of EIF2AK4 (GCN2) to amino acid deficiency",0,0,0.924174445430123,0.939888710779219,0.925036103489792,0,0.923885728010839,0,0.925237344442698,0.896136462806924,0,0.937407929677687,0.925154059997194,0,0,0.926425515360734,0.925517359830852,0,0.925714851721187,0,0.924143336858658,0.925252776492211,0,0.927421903501617,0.925803997025258,0.925085772943779,0.924197252130458,0.925728631964475,0.927390010082137,0,0.925335742188375,0.926350113769043,0,0.924448885030192,0,0.924519069543696,0.939048468956801,0,0.92499595560162,0,0.937410769716719,0.924250575743109,0.910717370245427,0,0.927421903501617,0.925017701301686,0,0,0.925540992566493,0.925347860052301,0.925376898776413,0.938898672210674,0.937981557686464,0.924559310828744,0,0,0.925478182008692,0.924777546706073,0,0.924581960219776,0,0.896136462806924,0,0.924493465134319,0,0.924830165524223,0.924197252130458,0.924529979875292,0,0.924372718320589,0.900290686035065,0.938432969551215,0.925880414117439,0,0.92420072433197,0.925139909118893,0.92537203534027,0.925803997025258,0.92541041620592,0,0,0,0.925289606128141,0,0.937402282220937,0.925579047971529,0,0.925478182008692,0.925490839777903,0.911872523533109,0.924642611760771,0.926067728002411,0.925494544429737,0.937410769716719,0.925112326348256,0.938289932076117,0.925252776492211,0.925880414117439,0.912358565650202,0,0.937405100540946,0.925590967417803,0,0.927046997165301,0.909918519760965,0,0.925478182008692,0.939373151116694,0.938445092979671,0.937410769716719,0,0,0.938047278390544,0.939614734767567,0.938353635245802,0.89702837184799,0.912916604087979,0.924510318626807,0.924985335532634,0.925510149360913,0.926067728002411,0.925390472711362,0.9261374587092,0.925353642455048,0.924605298352089,0.924605298352089,0.924605298352089,0.924605298352089,0.924605298352089,0,0,0.926374511241734,0.938288576012992,0.925803997025258,0.925673894194118,0.939122870622097
"Regulation of expression of SLITs and ROBOs",0.91734215338581,0,0.928964023305581,0.940741056251541,0.928389444716165,0.906771343243234,0.927580484209809,0,0.92818055195862,0.916908072970782,0,0.938737287160859,0.928856329880697,0,0,0.928826805984781,0.928898380982844,0,0.929292589210808,0,0.929058414544843,0.928684672519993,0,0,0.928972008904213,0.928715775962777,0.92783210753986,0.928263921412511,0.930325725556643,0,0.928751685323927,0.929805701171873,0,0.928839628196976,0,0.928006818052647,0.940062378640115,0,0.929623145905134,0.917347203147473,0.938739581108691,0.927598871605084,0,0,0.930159141887801,0.928494798290272,0,0,0.928330231728976,0.928996163797783,0.928517637444985,0.939941385260414,0.939200616260242,0.929306127412812,0,0,0.928919363189046,0.928023249926848,0,0.928257316141619,0.918313065767837,0.916908072970782,0,0.928292210138138,0,0,0.92783210753986,0.928100857398643,0.916016565681481,0.927973834566089,0,0.939565229301351,0.928727930672381,0,0.927834912096078,0.929244952830462,0.928452806016795,0.929129902720105,0.929228755336589,0.917833884564457,0,0.927687825086499,0.928949111112411,0,0.938732725613986,0.92876614367378,0.918061530536842,0.929101427058573,0.929951831205564,0,0.928426522757325,0.929342922716084,0.928879952595302,0.938739581108691,0.92857122854984,0.939147414295861,0.929830584506666,0.929106399219623,0.918462471751138,0,0.938735002018994,0.928957835082797,0.930539970752043,0.930186521874617,0.916533623210748,0,0.929101427058573,0.940324629943097,0.939575021600719,0.938739581108691,0,0,0.939253699990753,0.940519761166942,0.940647061620163,0.917073827628932,0,0.929159847594389,0.928468655908108,0.928945183763159,0.929257695830489,0.928848518897768,0.929331654859075,0.92876614367378,0.928161693413425,0.928161693413425,0.928161693413425,0.928161693413425,0.928161693413425,0,0,0.929825407425537,0.939430958030522,0.929129902720105,0.929024816450507,0.939820192926689
"L13a-mediated translational silencing of Ceruloplasmin expression",0,0,0.933188785578616,0.948238621549249,0.933871468190534,0,0.932912275687408,0,0.934206743175566,0,0,0.941790078735967,0.934126980156683,0,0,0.935568163691467,0.934474918974266,0,0.934611187483477,0,0.933158992337415,0.934221522728329,0,0,0.934749436596506,0.934061580411295,0.933210627967773,0.934900745866239,0.936268389969323,0,0.934300980475206,0.935272462473452,0,0.933451621344278,0,0.933518838321495,0.939288598946843,0,0.933975560719202,0,0.945865452603259,0.932996974451281,0.919621627919941,0,0.936298934873651,0.933996386969223,0,0,0.934497552472366,0.934312585972528,0.934124521946014,0.947290443716547,0.946412106559256,0.933198960303216,0,0,0.934437397665818,0.93376638657205,0,0.93322065203441,0,0,0,0.933483330602087,0,0,0.933210627967773,0.933529287343275,0.919345989095371,0.93337867510973,0,0.942771777951124,0.934822622626978,0,0.933213953357923,0.934607577598361,0.934335739082798,0.934749436596506,0.934372497131591,0,0,0,0.934256795136377,0,0.945857323975131,0.933650706058928,0,0.934437397665818,0.935724005361192,0,0.933637156935898,0.935002016520438,0.934453068252214,0.945865452603259,0.934087011086734,0.946349024461942,0.934221522728329,0.934822622626978,0,0,0.945860023131147,0.934545414290794,0,0.93593988029868,0.918609192697519,0,0.934437397665818,0.947744860741365,0.94685604268827,0.941792798692684,0,0,0.946475048465498,0.947976229770591,0.946768451963383,0,0,0.934784942531215,0.933965389687169,0.934468013376871,0.935002016520438,0.934353396886361,0.934710381054402,0.934318123884157,0.933601421209936,0.933601421209936,0.933601421209936,0.933601421209936,0.933601421209936,0,0,0.93529582837405,0.942709578075127,0.934749436596506,0.934624834763428,0.947146744763346
