"","LAMA5","NCOR2","PRKACG","NOS3","LPAR2","PTPN1","EZR","HIF1A","KRAS","ARAF","NFATC1","TGFB3","RELN","TGFBR2","PARP1","HDAC5","WASL","TNC","KEAP1","OPRM1","DRD2","SLC9A1","SNIP1","ITGA2","CSNK1E","CCKBR","GRM1","SMARCB1","NF1","TPI1","CSF1R","FLNC","SIN3A","ARPC5","ALOX15","PRKAA2","RASGRF1","MYH2","KIF5B","CACNA1C","C5","CAPN2","NT5M","PIK3C2G","ITGAL","NR1H3","APC","WASF3","COL6A3","SH3GL1","UBE2E1","XPO1","GP6","COL18A1","RPGRIP1L","STX1A","RANBP2","NCL","MYH11","RAPGEF1","TRIM29","TRIM34","MBP","TCP1","ACVR1B","GABBR1","EPHA1","CHEK1","DDX17","CACNG2","TAS2R8","HTR1E","OPRD1","CXCL9","PRKD2","PAXIP1","SF3A1","BMPR2","ATP1A2","CENPN","CACNA1H","SUPT3H","HSP90B1","THBS3","TNXB","TCTN3","CDK5RAP2","HLA-DMB","RNF2","CACNA1A","ARHGEF18","DAPK1","ADORA2A","ZFYVE28","CCNB2","KHDRBS1","WWP1","FBN2","NAALADL2","SOX9","KIF20B","TP73","RALB","MYO18A","PHKA2","G6PD","TRAPPC9","CCAR1","DAPK3","COL14A1","MMP10","ALOX12","COL12A1","UBR4","HUWE1","DOCK2"
"Activation of Matrix Metalloproteinases",0.880555218445765,0.880396846627794,0.878141779796666,0.880555709984868,0.879056882251822,0.881185691906536,0.881557104870615,0.880845004662672,0.879975808273512,0.881125649249229,0.881279810180563,0.908585879950147,0.882056861201861,0.880800611020043,0.850047561525574,0.880830572202133,0.880025702985775,0.881609490115437,0.84839709452038,0.879254715839289,0.879206478965308,0.881960606881143,0.883228724343552,0.880214212273619,0.878687321532176,0.880233551370735,0.879911698112044,0.880460190773661,0.850912111105486,0.851469031018051,0.881013712073688,0.849416792739863,0.880592035489067,0.879754352210215,0,0.850657972926245,0.880706492746017,0.880901155765656,0.880592035489067,0,0.879233859490025,0.883154195446439,0,0,0.849484753491611,0.882570845928197,0.879766899008656,0,0.880289351890178,0.880485576967451,0.878994422989883,0.879314566717485,0.882310398651905,0.909050430044866,0.849812435837131,0,0.848399442710221,0.882619350158405,0.849118203813872,0.882434626595847,0.881104767722493,0.881104767722493,0.853793461435762,0.880788091204045,0.881077905710096,0.87926173059585,0.881929904202903,0.84993239326048,0.851149332766611,0,0.879348476697339,0.879333677972279,0.879333677972279,0.87926173059585,0.853143274325276,0.880889157035777,0.878343036928299,0.88125234938293,0,0.849279296021379,0,0.852061056751154,0.882160053870016,0.881896567753296,0.881844455514382,0,0,0.850452635428314,0.850737455362989,0,0.881566857683826,0.883789401228609,0.880474197617903,0.884566935490897,0.848798596897611,0.852857365921231,0.848323936190001,0.88216070811755,0,0.884220998171007,0,0.851976051127897,0,0.882721704233706,0,0.851492212023066,0.881200335772009,0,0,0.909523307709123,0.913194834841828,0,0.880854398452118,0.876895328076235,0.849474709941793,0.853089597031253
"Potassium Channels",0.921357164357433,0.920558731926421,0.943538080377124,0.922163111868349,0.944280979526117,0.921199132881487,0.921500653627481,0.923067830191837,0.920216924259611,0.921539412822576,0.921275540048013,0.920660494091093,0.921906366180315,0.921275540048013,0.923258710101367,0.920910839341561,0.92025742982166,0.897451918774951,0.921918826761865,0.94483060875013,0.944791449055575,0.921828224926791,0.902581246832373,0.920799489385888,0.921178724082518,0.945236223916689,0.944974936767218,0.896739528441798,0.923191678690416,0.897684974354311,0.921059516086944,0.923574589442307,0.895956065105826,0.920426165450591,0.898001185160601,0.893968680532225,0.946009191347586,0.921357164357433,0.92071719029151,0.945440823522198,0.944813677133313,0.922797204874786,0.922829022189906,0.921686068325263,0.897200412942161,0,0.922862464571043,0.921559279532878,0,0.9206307650561,0.921565489615532,0.895588852372126,0.922112193139706,0.896438007695804,0.920243281001992,0.921519874504756,0.895193018913914,0,0.921663965498547,0.922213043960634,0.921803299855935,0.921803299855935,0.899571995167644,0.94568641085251,0.919353529432429,0.94640446948213,0.921803299855935,0.920640072963879,0.898551752914927,0.92095839972435,0.944906725758954,0.944894711847079,0.944894711847079,0.944836303474967,0.922857708978921,0,0.899994766559835,0.894381837568208,0.922112193139706,0.895907302076871,0.92157948616953,0.923574589442307,0.921990140128164,0,0,0.92035415861417,0.920185795712337,0.89990726952819,0.920831839126723,0.946541621517953,0.922178434068611,0.924788289475016,0.945431585530269,0.897072687303121,0,0.92322268938227,0.921859435312226,0,0.923994590210634,0.923653845443016,0.894015106997806,0,0.922685223077103,0.922446099539994,0.920783848157406,0,0,0.900022830450855,0.92377510704157,0,0,0.898285153373516,0,0.921956799445904,0.921951990488581,0.898650094227331
"Collagen biosynthesis and modifying enzymes",0.919219462880019,0.894477300937194,0.917305006673728,0.894699276892278,0.893510334278483,0.91782295088656,0.917858891843325,0.916943098974233,0.91823992434524,0.91953215773194,0.893373442323371,0.919308467093082,0.918255322724361,0.919274321695636,0.895019314617657,0.89261068740364,0.916902791598727,0.918554984496707,0.893710084402688,0.918187841344002,0.9180097790867,0.918178969144065,0.896723683239234,0.941475355782099,0.918392294895568,0.89255916899598,0.89230385943224,0.920014207625147,0.919570350475824,0.920938024138712,0.919203038250623,0.918255322724361,0.894967116230733,0.91706766698543,0.91995416098644,0.895467328018179,0.917564269125468,0.917718685242995,0.919248667938568,0.918644297516379,0.918551421018981,0.919125781294208,0.918396329042965,0.918040064724187,0.918309232477989,0.896297780137708,0.919248667938568,0.917916176537047,0.941475355782099,0.894511712007814,0.892785645646428,0.918889856098679,0.942758028211209,0.943299801223978,0.919449335316042,0.920032988777614,0.918503078303696,0.918645437790434,0.917962389188003,0.918813666257799,0.920309930077287,0.920309930077287,0.922781874713055,0.895122637101529,0.895397673864304,0,0.920309930077287,0.918653392482891,0.897123297362122,0.919484359112792,0,0,0,0,0.897199765039203,0.894963783212471,0.894288124026853,0.896012132818476,0,0.919201020483748,0.918194602658314,0.89579410474534,0.919444428793057,0.919889957012693,0.918741370409787,0.919557676330329,0.919393165143674,0.920131770022599,0.894744160139052,0,0.894255680424131,0,0,0,0.918819706700942,0,0,0.919460124996293,0.898225774265262,0,0.919794244072089,0.897058665292243,0,0,0,0.896129086798348,0.942257596611949,0.89431554588739,0,0.941742386116748,0.897258227129287,0,0.94178211992171,0.916316260913434,0.893742489427646,0
"Glucuronidation",0.732805321484524,0.731258831485407,0.732072803521663,0.679590918977248,0.677234129407329,0,0,0.737076916794594,0,0,0.732647222723375,0.679766575276131,0,0,0.732333241784145,0.73194083108234,0,0,0.67782029856811,0,0,0,0.73571173805808,0,0,0,0,0.733083246970125,0,0.733102019467862,0,0,0.731565750727872,0,0.729562523899401,0.731803795680047,0,0,0,0,0,0,0.732254479179439,0,0,0.734677275622271,0,0,0,0,0,0,0,0,0,0,0,0.73475354473668,0,0,0,0,0,0,0,0,0,0,0.736593358677756,0,0,0,0,0,0.683794025326226,0.73203295115848,0,0,0.682350029886227,0,0,0.732945070941778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733010553736382,0.733869074776091,0,0,0,0,0,0.730112544144424,0,0,0,0
"GABA receptor activation",0.492686680951374,0.49359153591755,0.524852102802894,0.494498710789661,0.525921097339135,0.492459281600372,0.493796318830998,0.493261620769359,0.493417174115525,0.495320168687491,0.49264778060645,0.491124609152003,0.493476954770842,0.492817426216001,0.493536287365279,0.490604559532247,0.853999784584771,0.45595351909841,0.489944289424473,0.52671198616735,0.526655637335106,0.49344306636829,0,0.49196276763063,0.491407825272204,0.527295646005238,0.52691966692981,0.495668509488651,0.49156007099131,0.456288874363407,0.492183473339639,0.494677274297336,0.454205174187066,0.854242586673911,0.459326799334943,0.454941806072715,0.528407907287864,0.492686680951374,0.491765790436509,0.527590054554101,0.526687622421757,0.494758826877375,0.493477773774821,0.493238510163683,0.455995728180872,0,0.49201398897984,0.492977514530245,0,0.854536995222774,0.48989950866332,-0.0264020168070549,0.493851682354031,0.494513040704433,0.492964465274864,0.851126178320319,-0.0264020168070549,0,0.493128152373179,0.493918248682662,0.493576846053648,0.493576846053648,0.459004202469463,0.527943442378853,0.491684157486434,0.528976692656236,0.493328647510317,0.492855142004568,0.497554613834933,0.494484120041682,0.5268215147173,0.526804227301947,0.526804227301947,0.526720180590165,0.494382235609006,0.493313198213334,0.492324393656665,0.45553631828164,0.493773129420252,-0.0264020168070549,0.494206910391267,0,0.493253414519986,0,0,0.493124012585924,0.492881746832343,0.455101552303492,0.492009317281749,0.52917404754233,0.493868446787583,0.496701174257366,0.527576761548029,0.459408315804272,0.456291811780282,0.495371077698192,0.452761865497295,0,0.496436386721199,0.496289490037505,0.453591033204597,0,0.494676243632652,0.494253603947659,0.494039469736332,0.494677274297336,0,0.492364776185311,0.496165978944634,0,0,0.459735415320684,0,0,0,-0.0264020168070549
"Activation of the phototransduction cascade",0.695937563831769,0.693104966055986,0.79088523622363,0.797837585576706,0.790361601341221,0.695376915754509,0.77685444815817,0.796294310038783,0.702233909851056,0.706925700936253,0.69564798536735,0.693884245068611,0.697885966478665,0.69564798536735,0,0.79427308001946,0.793151897529513,0.698973966871272,0.690319385885979,0.792311520278597,0.792172593477293,0.697608744847464,0,0.693959101005544,0.793452780995384,0.792553603039044,0.792177488258093,0,0.694835081142925,0,0.711590362628159,0,0,0.793750520717449,0,0.695483278251211,0.799651993643255,0.798832502398377,0.79656206717395,0.797635595792308,0.792251452001966,0.701046393844247,0.879611529938387,0.777512243658623,0.698081699930594,0,0.794782989195764,0.696654607596751,0,0.794476378491984,0.689065852116644,0,0.698616178535091,0,0.797290642539989,0.713223575633677,0,0,0.697026001871324,0.698973966871272,0.697520318203545,0.697520318203545,0,0.794701584015289,0.691239133399528,0.792331723447055,0.697520318203545,0.693393539556802,0,0.694522867022296,0.792581560499311,0.79253893875859,0.79253893875859,0.792331723447055,0.70126104418176,0,0,0.696949034971154,0.698616178535091,0,0.80100137254606,0,0.698183171212753,0,0,0.79768400291144,0.797086702046978,0,0.694073868142222,0.797735613865113,0.698851181398944,0.807150925016407,0.794443604879119,0.70649535934129,0,0.702555884720013,0,0,0.719166699607696,0.70649535934129,0.798542923933958,0,0.803544054721818,0.699800777870036,0.800588551309627,0,0,0,0.704515696185905,0,0,0,0,0,0,0.703224732483471
"Assembly of collagen fibrils and other multimeric structures",0.875468482055373,0.845634745158119,0.874400810287966,0.844611533904865,0.843167733092276,0.876034176989609,0.873520951982461,0.875244391325266,0.875536134127965,0.875806573482987,0.846485292200229,0.876833726517808,0.874061396060301,0.876792261814628,0.846292943277362,0.843349245001308,0.872613584254005,0.876442416165394,0.844703070371549,0.874174093436635,0.87395786228401,0.873909640100405,0.848362655282156,0.903157206888332,0.875721166375801,0.844301202798353,0.843991165836675,0.876391954156071,0.875852953109737,0.87624106955227,0.877167304437922,0.874061396060301,0.846197714725553,0.87281380183771,0.876319036098672,0.846805150422449,0.876034176989609,0.873409726566188,0.87722271516992,0.874728394195091,0.874615608968237,0.875059408084061,0.874427271938007,0.873740960542649,0.874126861748208,0.847728929758046,0.876761108994575,0.873590516052572,0.902825971321809,0.843229947722827,0.842874097466861,0.876325383316997,0.904011072406624,0.937963028341947,0.875705997500609,0.876414761180463,0.874556903652436,0.874544198734482,0.873658194656464,0.87723725915812,0.875478339117894,0.875478339117894,0.878480162445938,0.846386572587171,0.846752406485611,0.843826666951812,0.845701807461314,0.874739438731545,0.848816088424555,0.875748528894152,0.843910228317177,0.843895972902231,0.843895972902231,0.843826666951812,0.845920755049447,0.845647375048349,0.841414641545272,0.846920445754592,0,0.875404454640186,0.87418230408615,0.846177172355387,0.875916124150051,0.876457154472353,0.876668755207866,0.875837562172149,0.875637786857331,0.875261989204329,0.844902164749349,0.844584497746553,0.846146932572728,0,0,0.847410040218531,0.874941403570202,0.84592905248543,0.841929295693668,0.875465420706666,0.847934116794137,0.879291283945283,0.876124839870688,0.848737602016611,0.845454685484435,0.845170947324863,0,0.847608761844447,0.903403369779706,0,0,0.931985305128403,0.905138022644871,0,0.903403369779706,0.871901326597323,0.843685778886572,0.84652916707841
"Interaction between L1 and Ankyrins",0.850150151971121,0.787656141274701,0.896609459254544,0.847486659033269,0.787179990613227,0.847054850294368,0.848921621459395,0.795387003046193,0.904169800818773,0.848656596839898,0.848409563088904,0.788155789116053,0.849491293435519,0.84084147147596,0.848455065020927,0.847994225546914,0.845740512754713,0.850188883180334,0.785870119713347,0.788430213924888,0.788341138670386,0.851221657777737,0.792885547897262,0.847326706484275,0.847585752673006,0.789352853250892,0.846297412783683,0,0.847888355877649,0.853512016137267,0.847564991699808,0.850258717329405,0.794919864700354,0.787117400091607,0,0.847123046397455,0.848649997271687,0.789235112333992,0.901134154397101,0.847357149886847,0.844335453881651,0.851517654578809,0,0.848990189233156,0.849616791229188,0,0.794919864700354,0.848701786984928,0.849659197040841,0.846589725992962,0,0.848744037194887,0.849959481172917,0.796016123477267,0.850046462130216,0.85052026333045,0.847843647995457,0,0.789932982683505,0.850188883180334,0.852049861079588,0.852049861079588,0.857804359606909,0.795281905422873,0.845582753521503,0.789143015311683,0.851164961548227,0.794744448480611,0,0.84810240956748,0.78860335475272,0.788576027107036,0.788576027107036,0.788443167526031,0,0,0.783863531874847,0,0.850312670044118,0.849468404144585,0.848747750349118,0,0,0.850719006953778,0.850622775366597,0.850298671746136,0.849915702254169,0.903189948676836,0,0.848265951490851,0.791340423855831,0.85186291622755,0.789797235814318,0.85501135042342,0.848580734748654,0.793478560048629,0.843923078758028,0.793289051225166,0.85368175691673,0.855364539294621,0.850849383401193,0.799788831351193,0.851262933308854,0,0.848836251943609,0.797624843534984,0.84796679150435,0.847543613721742,0.794735126121276,0,0,0,0,0,0,0.793907403037842
"Phase 4 - resting membrane potential",0,0,0.754921619788946,0.763233918153008,0.758072748466202,0,0.766682192304123,0,0,0,0,0,0,0,0,0.764180398200392,0,0,0,0.760404091034025,0.760237988762037,0,0.680174223505792,0,0,0.762124574339207,0.761016282007989,0,0,0,0,0,0,0,0,0,0.765403242569456,0,0,0.762992417148219,0.7603322728022,0,0,0.767468659178071,0,0,0,0,0,0,0,0,0,0,0,0.67271119421146,0,0,0,0,0,0,0,0.76403411611956,0,0.859405981848869,0,0,0,0.67032960677191,0.760726953820528,0.760675994841386,0.760675994841386,0.760428246144132,0,0,0.669203242894224,0,0,0,0.666737923203301,0,0,0,0,0,0,0,0,0.767661632528247,0,0,0.762953232689158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669322280494291,0,0,0,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0.604664451376237,0.600486787347229,0,0,0,0.603837578134534,0,0,0.718577680555342,0.725497380562108,0,0,0.607538057972115,0,0,0,0,0.60914269811644,0,0,0,0,0,0,0.71027327278419,0,0,0,0.722917796582884,0,0,0.607538057972115,0,0,0.724973039560081,0,0,0,0,0,0,0,0,0,0,0.729600663769351,0,0,0.603535125728838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727855735731951,0.610362122419407,0.610140764423405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726458855694793,0,0,0,0
