"","SLC25A31","HACE1","EPHA6","VCAM1","ZNF154","ANP32B","PHF2","AASDH","NEK9","OR6C74","ARFGEF1","IFIH1","MAPK10","TYRO3","ADAMTS5","MGAT5","RPRD1B","LONP1","GRIK3","OPN1LW","FLT1","TP53","SDC2","SP5","DBNL","POLQ","NEB","PDE4DIP","OR4C15","WASF1","CACNA1B","OPRD1","TCF7L2","UNC13C","KALRN","TRAF3","RYR2","PCLO","IRF5","NINL","ATP2B4","LAMTOR2"
"GPCR downstream signalling",0.9216825313142,0.922100869905812,0.928234468584638,0.92224491194921,0,0.915439311356938,0.916593491209363,0,0.916779396354629,0.928129928236639,0.922637030090916,0.92265412482677,0.927939394059341,0.923046489203355,0.922722844953474,0,0.922396711747055,0.916138175070164,0.928355881820134,0.92836620791376,0.927974874846318,0.921567363388051,0.922432228249517,0.92286765251374,0.922440593235693,0.916411192409353,0.922444482667063,0.922348714585898,0.928129928236639,0.922499255641711,0.928084372285125,0.928199300563513,0.922508856999825,0,0.928274854061491,0.927994337967609,0.928069163251382,0.92291983512718,0.922327061654832,0.921593398998185,0.922043196369528,0.922119608159952
"Signaling Pathways",0.839906589236468,0.839612011359859,0.842179543090859,0.842088645802785,0.840239064980819,0.840203721662068,0.83997839343772,0.83782962659954,0.839871523373478,0.842309495098227,0.840058654504258,0.839778633698154,0.8421770973696,0.840001586814436,0.840010937537733,0,0.839748064424312,0.839815547543218,0.842225501969319,0.842229410733302,0.842077275303953,0.84199494365863,0.842077275303953,0.840114663287528,0.842179543090859,0.839988441873897,0.840077868740097,0.83995159280542,0.842309495098227,0.842102524708617,0.844456943778792,0.842166230845271,0.84205661160776,0.835616490864458,0.842191221363945,0.842258169749147,0.842140604184444,0.840087991728113,0.839897063740884,0.839707135756679,0.842331987636423,0.842093083540057
"Signaling by GPCR",0.922523347885086,0.9224948110561,0.928426873499262,0.922634120202431,0,0.916485266071763,0.917167471622898,0,0.917348189138334,0.928758897868457,0.92301335422531,0.923029887266652,0.928141494458164,0.923409359433686,0.923096349404796,0,0.922780932200872,0.916631017493859,0.928544297369342,0.928554284170793,0.928175809426406,0.922411964117557,0.92281528171107,0.923203984209668,0.922786718315102,0.91699208354526,0.92282713347606,0.922734512118309,0.928758897868457,0.922880106734147,0.928281709026034,0.928392861020089,0.922889392613261,0,0.92846593200032,0.928194633033376,0.92826699972688,0.923286866925145,0.922713570653782,0.922437144256191,0.922872162299153,0.922512933613421
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.552854990302032,0.57386757793136,0.575772513343618,0.596008160381732,0,0,0,0,0.535107221258647,0.577063487009779,0.576860317233343,0.575590988273018,0.595822953047047,0,0.575591636164358,0,0.507538118128362,0.578087114345868,0.575601650790562,0.575640481367105,0.575153396013719,0.57405351376755,0.575216841316266,0.5783569885836,0.596932560838266,0,0.575796229508824,0.578176894531012,0.577063487009779,0.596267958539556,0.574747806251812,0.573842676076398,0.574786948940486,0,0.574284501511894,0.595887050036308,0.575150893820461,0,0.57507522406426,0.574837562193522,0.577363402188057,0.575292255226785
"Transmission across Chemical Synapses",0.913108861407868,0.912289583074322,0.912833709225361,0.912829021746379,0,0,0,0,0.901812183059755,0.926309386501651,0.913389247425029,0.912735977228461,0.92501692800666,0.900697183881999,0.900731724518128,0,0.912432969256622,0.913690919901675,0.886959652184919,0.924974348612852,0.912375083287013,0.923133720256907,0.913867153327177,0.914202484037933,0.912627668384827,0.901439888023416,0.912042074648534,0.912797271808666,0.926309386501651,0.912069176265851,0.893542280640368,0.923807398816511,0.913115591283894,0.914087008680721,0.923906493417677,0.911802045580059,0.925279657930101,0.926237877287067,0.912266050005214,0.912474012850898,0.913100427876451,0.91285759835513
"Neurotransmitter receptors and postsynaptic signal transmission",0.898967370478827,0.896851713964577,0.897518687150982,0.898624351584496,0,0,0,0,0.885378205982904,0.912925349816594,0.899345823037353,0.897398890259651,0.911341093740949,0.883753515948484,0.883840819887869,0,0.897092993105739,0.899680839970318,0.865803059742632,0.912400311424709,0.898067927710919,0.896670661335378,0.897674041107153,0.900307899635358,0.898557258840552,0.884719959392175,0.89770470099601,0.898585433482352,0.912925349816594,0.897721818962425,0.911700884077931,0.910969900071469,0.897864209553116,0.899570530718505,0.912202777403234,0.897394378341625,0.911663140041916,0.900681940920323,0.897736349985099,0.897077782341398,0.897845622712252,0.897547969715278
"Extracellular matrix organization",0.859821339944215,0.859551678941588,0.86921964656725,0.887378196708083,0,0,0.861210677747666,0,0,0.859499115993755,0.869646774591415,0.869407450434709,0.869129349857378,0.870274675871153,0.870528578791164,0,0.859541778742229,0.859779144323772,0.86992726720062,0.859406711915184,0.869820288072995,0.878015033084695,0.905076800842707,0.870207377879238,0.887626351058138,0.859878656032294,0.868729961226578,0.860662014798782,0.859499115993755,0.869313974417813,0.859623769924693,0.868789051795867,0.869254236126004,0.861128083558609,0.878378230164475,0.869108125909653,0.869479947831758,0.861128083558609,0.869590661989172,0.869201811672203,0.859623545262359,0.869463878372141
"Phase 0 - rapid depolarisation",0,0,0.862076980349507,0.860246139879586,0,0,0,0,0,0.863037267015761,0.864186414558394,0,0.859827228155303,0,0,0,0,0,0.861345489154634,0.861424218932372,0.860097746182136,0.856934485510631,0.860017116881575,0,0.862076980349507,0.814073283145257,0.860651612345469,0.863205060400223,0.863037267015761,0.861252118630796,0.903111055381591,0.857440235052247,0.860601361485443,0,0.859060006325069,0,0.902995096347178,0,0.858692656835653,0.858524159520357,0.862541612299844,0.859968691680277
"TNFs bind their physiological receptors",0.393594075283402,0.304606237294753,0.390873526862961,0.389214215379507,0,0.394161930064664,0,0,0.391390774933192,0,0,0.390112318369632,0.389063040794989,0,0,0,0,0.392661546007117,0,0,0.389308214350948,0.386441315326364,0.429532915071724,0,0.390873526862961,0,0,0,0,0.390125945331635,0,0,0.389536156749853,0,0,0.467967299831389,0,0,0.389164568348595,0,0,0
"G alpha (i) signalling events",0.906057705633126,0.905275347839596,0.905724722723916,0.905273990976919,0,0.893612037145152,0.894937847141256,0,0.89555885904905,0.917432672711927,0.906037665483737,0.906135591589374,0.916234417633244,0.894385910411789,0.894596423592182,0,0.905457839774277,0.883220201374824,0.917016176570725,0.917035558931364,0.905738935635779,0.905114558697183,0.905719085634593,0.906969333648761,0.906097534030398,0.894595667299215,0.905770615139939,0.905740559094297,0.917432672711927,0.905709946422895,0.916506545734993,0.916720492950323,0.90604115079264,0,0.916045536492829,0.905064413657377,0.916477997961978,0.906812567997212,0.90569991594946,0.90525803997067,0.906090002983537,0.905439565809255
"Class A/1 (Rhodopsin-like receptors)",0.90243185589499,0.916483359676375,0.917730698777954,0.917139423666363,0,0,0.902956096290872,0,0,0.91816518355743,0.91806090824658,0.917611837363011,0.917237940285082,0,0.901385192842463,0,0,0,0.915977326736371,0.915428581665679,0.917091499501773,0.91606991551493,0.917065460040952,0.903089699833109,0.917730698777954,0,0.900805355104292,0.918800916991479,0.91816518355743,0.917464307351289,0.917594921071993,0.930480595895459,0.915028548959132,0,0.930611817545622,0.917139423666363,0.91667528668383,0,0.917040313026588,0.916614344275722,0.918268247588792,0.917585014701642
"Activation of Matrix Metalloproteinases",0,0.891701308288313,0.92310326331711,0.892752626154288,0,0,0.897315995313542,0,0,0,0,0,0.921263090866898,0,0.921785724549497,0,0.893291678326932,0,0,0,0.921878487556462,0.919921020845883,0.921380596472344,0.925897893472944,0.893885573971246,0.895422099470608,0.893996517486072,0,0,0,0,0.9205573972056,0.922190131234785,0,0.921236320680128,0.892752626154288,0,0,0.921009000053926,0,0,0
"GABA receptor activation",0.64351132471058,0,0.64029934259604,0.640093844996519,0,0,0,0,0,0.676537293010965,0.64331561425437,0,0.672945740273606,0,0,0,0.640644898493525,0,0.675288921205458,0.675347016323641,0.638913819922134,0.637650157773285,0.639924847718508,0.608781390620491,0.604454485663535,0,0,0.644758487907905,0.676537293010965,0.639690672783803,0.673761395008677,0.672104233865517,0.638768001600257,0,0.672379603239046,0.639023320414054,0.640514815778046,0.645413583373625,0.638958761715818,0.639762453234392,0.642031094493588,0.639966473402443
"Neuronal System",0.921340683740268,0.920841393636707,0.921132520528351,0.922628946604402,0,0,0,0,0.912013977202104,0.931531327763045,0.921548537192702,0.921002500259077,0.930462025870832,0.911091494402687,0.911120071233366,0,0.920800972545559,0.921841724732402,0.899725892571024,0.93192710247115,0.920697694151146,0.929654125924987,0.921987529596613,0.922228088784767,0.931556408854162,0.911705962833861,0.920477570017971,0.921102374416294,0.932281479869196,0.920951303147025,0.905171960735242,0.930961638875853,0.921365732673839,0.922169424602502,0.931043623748053,0.920278984501992,0.931429544805679,0.932222317475384,0.92066287366496,0.920834929530013,0.92135318738876,0.921902437053837
"GPCR ligand binding",0.912534024010825,0.923626246777031,0.924610893217367,0.924010903021385,0,0,0.91294785809895,0,0.901153472482745,0.936215653108784,0.924737927618507,0.924517064306713,0.934974811045826,0,0.911707790753487,0,0,0.901616549779205,0.935784354347562,0.935804425573454,0.924106310869904,0.92348444033464,0.924085755383129,0.913039655925385,0.924477654150369,0,0.911250068259147,0.92533439893344,0.936215653108784,0.924267365408783,0.935256610807138,0.934675630862095,0.924419267005344,0,0.934779216912243,0.924010903021385,0.923777753487959,0,0.924065904391409,0.923608323772016,0.924571284799388,0.924171577443787
"Anti-inflammatory response favouring Leishmania parasite infection",0.784226344879659,0.781286295832425,0.782727522466238,0.783160870231706,0,0.746898566490979,0.754402590149448,0,0.747740824356611,0.81603922622024,0.784870340949956,0.783549546711697,0.815077704379169,0.751793640019723,0,0,0.782213937812314,0,0.816672299867062,0.816730083647907,0.783583308504018,0.780730278963858,0.783524130566939,0.751674732108697,0.815992883618712,0,0.751828849172378,0.783073114632637,0.81603922622024,0.81538747572667,0.81746140630563,0.813504679573561,0.783952937342719,0,0.813778573216072,0.783692222172246,0.781679305322381,0.786174341079519,0.782935628885705,0.777036495691265,0.778821241992655,0.78104526257266
"Leishmania parasite growth and survival",0.784226344879659,0.781286295832425,0.782727522466238,0.783160870231706,0,0.746898566490979,0.754402590149448,0,0.747740824356611,0.81603922622024,0.784870340949956,0.783549546711697,0.815077704379169,0.751793640019723,0,0,0.782213937812314,0,0.816672299867062,0.816730083647907,0.783583308504018,0.780730278963858,0.783524130566939,0.751674732108697,0.815992883618712,0,0.751828849172378,0.783073114632637,0.81603922622024,0.81538747572667,0.81746140630563,0.813504679573561,0.783952937342719,0,0.813778573216072,0.783692222172246,0.781679305322381,0.786174341079519,0.782935628885705,0.777036495691265,0.778821241992655,0.78104526257266
"GABA B receptor activation",0.866405765526651,0,0.862182172392628,0.861804565805473,0,0,0,0,0,0.910871011511906,0.866142266406864,0,0.906035444709349,0,0,0,0.86254648892102,0,0.909190238403059,0.909268456055819,0.860215812836172,0.858514453233941,0.861577032566501,0.819646347352391,0.81382072275553,0,0,0.868084911399027,0.910871011511906,0.861261745941729,0.907133619579017,0.904902463865502,0.860019487099635,0,0.905273213537983,0.860363241255664,0.862371349167674,0.868966913730105,0.860276321218334,0.861358389145747,0.864412824695523,0.861633076230646
"Activation of GABAB receptors",0.866405765526651,0,0.862182172392628,0.861804565805473,0,0,0,0,0,0.910871011511906,0.866142266406864,0,0.906035444709349,0,0,0,0.86254648892102,0,0.909190238403059,0.909268456055819,0.860215812836172,0.858514453233941,0.861577032566501,0.819646347352391,0.81382072275553,0,0,0.868084911399027,0.910871011511906,0.861261745941729,0.907133619579017,0.904902463865502,0.860019487099635,0,0.905273213537983,0.860363241255664,0.862371349167674,0.868966913730105,0.860276321218334,0.861358389145747,0.864412824695523,0.861633076230646
