"","FOXO4","TP53","NRAS","PRKD1","HDAC9","APC","MAMLD1","XCR1","TGM2","DGKH","SPAG9","DMD","PLG","SST","FZD1","CATSPER1","CATSPERD","BRCA1","SMAD1","RELN","SPRY3","ARHGAP40","WDR19","RBP1","CLEC7A","SCN9A","PARVB","NRXN3","COPB1","USP9X","AGAP2","GRIK1","WWP1","CAT","CHRNA2","CCT8L2","TLE4"
"Potassium Channels",0.93667487473222,0.935080108098662,0.937084712366649,0.938770109604596,0.93818681168583,0.937657098537707,0.938426871667607,0.952951485772397,0.955478904789891,0.936940532318492,0.939058459917397,0.937950959853356,0.93615032737391,0.952926149890142,0.937999245988275,0.93597768213645,0.93597768213645,0.937019656288776,0.936826726240643,0.936994671978399,0.939775756294105,0.939058459917397,0.936419160829446,0.937159894795033,0.940087417107995,0.938390851917257,0.938718216691578,0.936923263145059,0.936494715480605,0.938693491035464,0.938396995172395,0.939775756294105,0.921502344799408,0.937698134915429,0.918961741277252,0.938037299765317,0
"Interaction between L1 and Ankyrins",0.909768651180931,0.937862724086642,0.938894746933585,0.909287093138577,0.908591038224545,0.908764804037162,0,0.874354392957666,0.879387251781176,0,0.873960335436744,0.907655917213744,0.870847524226165,0.874303941521766,0.876386401556788,0.906900495965186,0.906900495965186,0.907495462932736,0.872731161095905,0.908711410671761,0.911289641105337,0.874071599844424,0.908716783781762,0,0.876657287406506,0.779668325677819,0.873394072252302,0.874327493719415,0.939745019583598,0,0,0.87704792082654,0.905334101314795,0,0,0,0
"Activation of kainate receptors upon glutamate binding",0.873000972746522,0.869380852587202,0.871610843960937,0.875436695586602,0.874112609347162,0.872910160533759,0.874657545490915,0.907628418608435,0.913365659621476,0.91030369160294,0.876091250778788,0.873577225702066,0.871810250275673,0.907570906157288,0.873245144223761,0.869097885407008,0.869097885407008,0.871463166668199,0.871025215470897,0.871406452285191,0.877719513509451,0.876091250778788,0.871073216713427,0.871781508068709,0.878426983537664,0.871984042454788,0.875318898677269,0.872471735919758,0.865239233919924,0.875262771439422,0.874236575702415,0.812159512274648,0.87027911150127,0.873003313108643,0.833378473358935,0.873773217296866,0.834075926801074
"Glucagon-type ligand receptors",0.877279121341073,0.873918706318784,0.878142711357602,0.881694098800594,0.880465001672874,0.879348815778965,0.880970844441364,0.911576407916058,0.916902062877283,0.877666783494041,0.882301696616118,0.879968026112812,0.876173820549297,0.911523021371883,0.880069772318016,0.875810030865415,0.875810030865415,0.87743768224899,0.877599095486082,0.877952982611763,0.883813148805424,0.882301696616118,0.87773198468144,0.878301132129918,0.884059861012314,0.878740953527926,0.881584752567242,0.877550696675134,0.836131838242695,0.881532651862039,0.880735771489322,0.880681206506226,0.875816454689925,0.879435285646876,0.839974417226611,0.880149957394212,0.881165471887094
"Cytosolic sulfonation of small molecules",0.772297591412837,0.765706909779341,0,0,0.772403378465469,0,0.77339547278168,0,0,0.840102548853439,0,0,0,0,0,0,0,0.767579882991629,0,0,0,0,0,0,0,0,0,0,0,0.838472515247429,0,0,0,0,0,0,0.773777189778968
"Transcriptional regulation of testis differentiation",0.654752965124543,0.641583467313522,0.726221955812316,0.657728161636289,0.574260217985379,0.650972751212659,0.575433203486355,0.65029244968089,0,0.656051026111692,0.582687179861039,0.573107794420973,0.652189912168699,0,0.489148622718254,0.651346329832089,0.651346329832089,0.647858069164567,0.649283401656875,0.656315564314306,0.662641970998299,0,0.655803098022086,0.490992952887563,0,0,0,0,0,0.656036791308762,0.663167621712896,0,0.648894106590473,0,0,0,0.656502342580276
"Phase 0 - rapid depolarisation",0.848912975425098,0.875136678268629,0.845513069817002,0.807718264327794,0.842214736443344,0.848499899194343,0.808291688818952,0.845536814657615,0.851114459630386,0.806877779684228,0.809483779560145,0.807039688524275,0.807156599391886,0.845818253522137,0.811601040137774,0.882028930440081,0.882028930440081,0.846393723952063,0.846280230496086,0.807581835338279,0.80985457122681,0.809483779560145,0.846198169285004,0.810038733402529,0.812349357105145,0.705309627444021,0.809543422353628,0.848436909001608,0.846455380964233,0,0.813311903741854,0.812466399339133,0.843998403879436,0,0,0,0.808495525305195
"Heme degradation",0.726240916393935,0.7201540581508,0,0.727536186699232,0,0,0.726226126266469,0,0,0,0.729665497833266,0.72417689878952,0.723210095344151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA receptor activation",0.851157625916855,0.846713615989335,0.848547117297044,0.852189376376271,0.851201000090564,0.85030342117422,0.851607772659953,0.876219182504516,0.880501798540971,0.848825614631283,0.85267797508712,0.85001494093548,0.847750254364648,0.876176251809254,0.848299296582803,0.848234521285023,0.848234521285023,0.84817785771828,0.848693888733577,0.848978466441027,0.8538934066972,0.849851175998496,0.849537616548788,0.848880148779303,0.853618981091976,0.849676200910947,0.851315028660034,0.84905996482649,0.848188331660045,0.878454146671172,0.851354650111931,0.85137486082567,0.815760212089202,0.849792176328006,0.818624844627673,0.850947657789982,0.85176428197689
"GABA B receptor activation",0.899059892192417,0.893807022747512,0.895974241802721,0.90027943277658,0.899111160950924,0.898050212631511,0.899591970678089,0.928682932416934,0.933745032477251,0.896303428767054,0.900856961918255,0.897709225762388,0.89503234090294,0.928632187854912,0.898039606595271,0.895604749819823,0.895604749819823,0.895537772850092,0.896147727282483,0.896484101315968,0.902293615677156,0.899927408067017,0.897145022997981,0.896367888740032,0.901969241542063,0.897308831264252,0.899245943995558,0.896580433319224,0.860866557540958,0.900125975490416,0.899292776994903,0.899316666284619,0.859765880340731,0.897445915504515,0.860605780797783,0.898811707517754,0.899776966441417
"Activation of GABAB receptors",0.899059892192417,0.893807022747512,0.895974241802721,0.90027943277658,0.899111160950924,0.898050212631511,0.899591970678089,0.928682932416934,0.933745032477251,0.896303428767054,0.900856961918255,0.897709225762388,0.89503234090294,0.928632187854912,0.898039606595271,0.895604749819823,0.895604749819823,0.895537772850092,0.896147727282483,0.896484101315968,0.902293615677156,0.899927408067017,0.897145022997981,0.896367888740032,0.901969241542063,0.897308831264252,0.899245943995558,0.896580433319224,0.860866557540958,0.900125975490416,0.899292776994903,0.899316666284619,0.859765880340731,0.897445915504515,0.860605780797783,0.898811707517754,0.899776966441417
"Presynaptic function of Kainate receptors",0.835228820263758,0.829790586326457,0.833140534459342,0.83888782328792,0.836898748227884,0.835092399914258,0.837717364765512,0.887247024898069,0.895865650084658,0.891265886082222,0.839871112268209,0.83609448168973,0.833440087551611,0.887160628273128,0.835595620689049,0.829365506037749,0.829365506037749,0.832918689981868,0.832260788873829,0.832833492234601,0.842317128767948,0.839871112268209,0.832475846397173,0.833396910298241,0.843379907722162,0.83410868299213,0.838710865860583,0.83765847602088,0.831128615586024,0.838626550137283,0.837207963887844,0.895865650084658,0.831139973058383,0.835232336013553,0.77570692282189,0.836388905105351,0
