"","x"
"Binding and entry of HIV virion",0.808950426412199
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.885076605105382
"Unwinding of DNA",0.838559484970467
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0.910513537857931
"G beta:gamma signalling through PI3Kgamma",0.907423404876472
"Anti-inflammatory response favouring Leishmania parasite infection",0.888561234581935
"Leishmania parasite growth and survival",0.888561234581935
"G-protein beta:gamma signalling",0.918597349836982
"DNA strand elongation",0.886466706360728
"G beta:gamma signalling through BTK",0
"Cellular response to starvation",0.907999304362668
"Adrenaline,noradrenaline inhibits insulin secretion",0
"Azathioprine ADME",0.76758726858327
"Viral mRNA Translation",0.912701067376955
"Eukaryotic Translation Elongation",0.898598829965745
"Eukaryotic Translation Termination",0.897777999045885
"Peptide chain elongation",0.912701067376955
"Formation of a pool of free 40S subunits",0.916749703611186
"G beta:gamma signalling through CDC42",0.854740626448252
"Glucagon signaling in metabolic regulation",0.896519220468514
"rRNA processing",0.908368096100807
"Selenocysteine synthesis",0.912701067376955
"Regulation of insulin secretion",0.913072332536733
"G alpha (z) signalling events",0.887690571338944
"ADP signalling through P2Y purinoceptor 1",0.826786674705249
"rRNA processing in the nucleus and cytosol",0.924852757925055
"Immune System",0.905796605513371
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.798943794859881
"Post-chaperonin tubulin folding pathway",0.838805946174866
"tRNA modification in the nucleus and cytosol",0
"Major pathway of rRNA processing in the nucleolus and cytosol",0.934272649338135
"Influenza Viral RNA Transcription and Replication",0.919531785516477
"Integration of energy metabolism",0.931690674073726
"Leishmania infection",0.886688106121637
"Parasitic Infection Pathways",0.886688106121637
"Signal amplification",0.869612745075304
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.870831832009804
"ADP signalling through P2Y purinoceptor 12",0
"Selenoamino acid metabolism",0.9022233385137
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",0.912701067376955
"Prostacyclin signalling through prostacyclin receptor",0
"Response of EIF2AK4 (GCN2) to amino acid deficiency",0.90238589294543
"Glucagon-type ligand receptors",0
"L13a-mediated translational silencing of Ceruloplasmin expression",0.927948568009263
"G beta:gamma signalling through PLC beta",0
"GTP hydrolysis and joining of the 60S ribosomal subunit",0.916749703611186
"GPER1 signaling",0.902105602595483
"ADORA2B mediated anti-inflammatory cytokines production",0.902105602595483
"G alpha (i) signalling events",0.934326257222425
"Influenza Infection",0.920503769159575
"Thromboxane signalling through TP receptor",0
"Ribavirin ADME",0.686894063982581
"Eukaryotic Translation Initiation",0.90361810389096
"Cap-dependent Translation Initiation",0.90361810389096
"Presynaptic function of Kainate receptors",0
"MyD88 deficiency (TLR2/4)",0.893276095781017
"IRAK4 deficiency (TLR2/4)",0.893276095781017
"Vasopressin regulates renal water homeostasis via Aquaporins",0.897589103991812
"Aquaporin-mediated transport",0.897589103991812
"Phosphorylation of CD3 and TCR zeta chains",0.86735428719483
"Protein folding",0.912556254571702
"Cell surface interactions at the vascular wall",0.799317399639485
"Telomere Maintenance",0.870700918318038
"Nonsense-Mediated Decay (NMD)",0.912457833476053
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",0.912457833476053
"Nervous system development",0.911049595516924
"Diseases of Immune System",0.881259823423914
"Defects in Toll-like Receptor Cascades",0.881259823423914
"Chromosome Maintenance",0.882239603416473
"Platelet homeostasis",0.866167306696729
"Extra-nuclear estrogen signaling",0.914037922921
"G-protein activation",0
"Translocation of ZAP-70 to Immunological synapse",0.862168434967704
"Activation of G protein gated Potassium channels",0
"G protein gated Potassium channels",0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0
"Chemokine receptors bind chemokines",0.911859994811885
"SARS-CoV-2 modulates host translation machinery",0.842492476124659
"CD28 dependent PI3K/Akt signaling",0.857796712672805
"Signaling Pathways",0.928863388051056
"SRP-dependent cotranslational protein targeting to membrane",0.912701067376955
"GABA receptor activation",0
"FCGR3A-mediated IL10 synthesis",0.874294701915894
"Interleukin-4 and Interleukin-13 signaling",0.819800462222553
"Translesion synthesis by POLK",0.807547478339125
"Translesion synthesis by POLI",0.807547478339125
"EGR2 and SOX10-mediated initiation of Schwann cell myelination",0.813614675411215
"Opioid Signalling",0.874378480303583
"B Cell Activation",0.924898117935135
"GABA B receptor activation",0
"Activation of GABAB receptors",0
"APOBEC3G mediated resistance to HIV-1 infection",0.701071873796892
"CD22 mediated BCR regulation",0.671212434054145
"Early Phase of HIV Life Cycle",0.739773019967334
"Activation of the pre-replicative complex",0.849572699608636
"Post-translational modification: synthesis of GPI-anchored proteins",0.748269148448164
"Heme degradation",0.807592645077542
"Nitric oxide stimulates guanylate cyclase",0.751853980841921
"Regulation of Complement cascade",0.812281092989582
"Chaperonin-mediated protein folding",0.914421546101147
