"","SOS1","PPP2R5A","CIITA","NOTCH2","CDH2","KRAS","MARK3","ITGB4","NOTCH3","ITPR1","APC","PPP1R3F"
"Phase II - Conjugation of compounds",0.830831259298964,0.847989832900167,0.829682801359769,0.849108898320412,0.849083341798839,0,0,0,0.849176268556983,0.831718825658601,0.831878393869302,0.850086755178399
"Peptide hormone biosynthesis",0.814534284596546,0.81478392898118,0.765802884044887,0.766171820307434,0,0,0,0,0,0.817417770211809,0,0
"Collagen chain trimerization",0.87541551779434,0.832565304179197,0.875262920456347,0,0,0.873490322694853,0.875893094523967,0.917355317539,0,0,0.834021048307718,0
"Glucuronidation",0.822869024277626,0,0.825593354878007,0.874890536593885,0.874825850152106,0,0,0,0.875061058269661,0,0,0.876642110401222
"TNFs bind their physiological receptors",0.404657866803325,0.40308696826022,0.366483147462623,0.366780259410187,0.37045552699038,0.368543740266288,0.327503485516938,0.365541160630761,0.367092471662507,0.326373831067218,0.4044602071999,0
"Erythrocytes take up carbon dioxide and release oxygen",0.617819424557278,0,0,0,0,0.733559427249597,0.62817016324001,0.622251424689884,0,0,0,0
"O2/CO2 exchange in erythrocytes",0.617819424557278,0,0,0,0,0.733559427249597,0.62817016324001,0.622251424689884,0,0,0,0
"Cytosolic sulfonation of small molecules",0,0.765405119978201,0,0.67635939780605,0.676214568448433,0,0,0,0.676741186386208,0.672658142198366,0,0
"Presynaptic depolarization and calcium channel opening",0.746675211035532,0.842692306993163,0.752615729514113,0,0.749285086674746,0.748511004886939,0.752304746327211,0.648373562948103,0,0.755986761287267,0.752573353741033,0.762353290039536
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.71734130391441,0.717752567755886,0.725210100574749,0.725817885704052,0.725700343185739,0.718871126600831,0.723137363648854,0.720364748851995,0.726127742710348,0,0,0
