"","COL4A6","CUL1","TP53","PTEN","NCOR2","IRF5","PIK3CA","TBP","ZBTB17","FN1","ITGAM","KRAS","APBB1IP","LAP3","C3","COL12A1","MPO","CENPE","MAP3K7","OCRL","UBA1","ADAMTSL4","RNF123","TAB3","AWAT2","ARHGAP35","NPY2R","GRM7","GLYR1","C8B","CP","TUBAL3","DNMT3B","TTN","CNTN1","APOBR"
"Phase II - Conjugation of compounds",0.740247208161255,0.738340620514254,0.738141479056323,0.707588798649446,0.739920320070915,0.740170258372247,0.705035689543869,0.679841532280273,0.680877304380339,0,0,0,0,0.771559430725129,0.677539820974785,0,0.743993287359657,0.676808067155606,0.705848614692833,0.677857722965086,0.647275024945729,0,0.647432943012749,0.707135627305167,0.740526233862675,0.680382634216469,0,0,0.712367571448185,0,0,0.741645130183309,0.740384530286517,0,0,0
"Cytosolic sulfonation of small molecules",0.633953579741305,0.421933155329637,0.421226467149929,0,0.427538994594731,0.428425944228632,0,0.425726290930291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641792272908625,0,0,0,0,0,0,0.637662111144383,0.636175516699378,0,0,0
"Glucuronidation",0.711541664660366,0.773381744431712,0.772964798698251,0.707560734975903,0.77668918727732,0.777212487194128,0.702215248608138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777093542387952,0,0,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.864957507508459,0.862455920169084,0.862104546631211,0.864927458990595,0.865243208299662,0.864199106561031,0.861907749596092,0.864341911068468,0.869243331348549,0.863295291117552,0.862957157026825,0.863000308519959,0.811456152458653,0.811211200156784,0.858238828463745,0.866066722671329,0.82125499557097,0.808050844426862,0.809323124407522,0.807516464977903,0.857746188092461,0.812586871401928,0.80777641359612,0.811593983421905,0,0.821644209028047,0.816299910975814,0.816221128565879,0.762468978170131,0.815091308709479,0.819578873832937,0,0.757454638664264,0.811971524252983,0.817837375637048,0
"Assembly of collagen fibrils and other multimeric structures",0.910494745108225,0.864712074059306,0.865136768382545,0.865140656950591,0.82172809667634,0.868111246604446,0.864973242249434,0.866995879494472,0.866205261417499,0.866643568069989,0.86644042253236,0.866398455822795,0.865812660562726,0.866873991488119,0.864070311928627,0.91141643412789,0.826982980451487,0.819201774017337,0.820258959789193,0.817114011303231,0.863660958327941,0.867979637380446,0.773190787731314,0.822145902817767,0,0.820723645686415,0.819039615731373,0.81897415243389,0,0.823408236740081,0,0,0,0.820723645686415,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66556706572259,0,0,0,0.388116137947841,0,0,0,0,0,0,0
"Cobalamin (Cbl, vitamin B12) transport and metabolism",0.625584352123346,0.617769722803643,0.617203470040652,0.624146012774691,0.622261551114764,0,0.619279628133371,0,0,0.625298927257425,0.625606205957313,0.621040331324386,0.626981257239292,0,0.620006168027112,0,0,0,0.622792292507634,0.702999566876174,0.619212258010182,0,0.619661293297486,0.626451874270807,0,0,0.620589160896218,0.620462199834862,0,0,0,0,0,0,0,0.640451873743083
"Degradation of cysteine and homocysteine",0,0.459159736022914,0,0.470836575221769,0,0,0,0,0,0,0,0,0,0.476386402356919,0,0,0,0,0,0,0.461801437031169,0,0.462623751083427,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspirin ADME",0.765604472761738,0.828018261080926,0.827578912239975,0.765566900833085,0.831503417695116,0.832054835286107,0.759934193620801,0.829298039166294,0.769106424859844,0.766756558040808,0.765921329354217,0.763157239221287,0.767766733576956,0,0,0.766991408155688,0.769092578913928,0,0,0,0,0,0,0,0.831929499400554,0,0,0,0.772946375383777,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.911536308358066,0.81907938006274,0.864170027908553,0.868421285963426,0.822205415120129,0.871555261753363,0.867488581888946,0.870378548061178,0.870276782867455,0.870006859068922,0.871140353669307,0.866731867584794,0.869449064798242,0.919351370265061,0.821527554712067,0.916296546903851,0.82774932405716,0.821730354604767,0.82344107136386,0.821247581328011,0,0.918115927887818,0,0,0,0,0,0,0,0.827767704011188,0.828384998419753,0.823796062706769,0,0,0,0.832028973045654
"Collagen degradation",0.888262454314554,0.805440006375389,0.805553114480991,0.811321154624476,0.729048176493738,0.810238532435552,0.805550679083438,0.727708489356441,0.81480173011781,0.809820575029198,0.811742485785174,0.808456640446698,0.813936232215745,0.813228543684179,0.806775707429956,0.889843441527787,0,0.726034245852644,0.727925361309497,0.651176701135568,0.806043447365373,0.730410289447794,0.648999122309041,0.731300763459744,0,0.730616705009849,0.651037765763368,0.650920663682521,0,0,0.663380443663543,0,0,0,0.660590920919161,0
"Collagen chain trimerization",0.865980500210756,0.681821028008209,0.769287730265072,0.778254517506829,0.694237674983894,0.784003534878104,0.776543549622633,0.781844951688309,0.781862886533184,0.781163119212111,0.777766493692919,0.775155420303435,0.780139892114432,0.781916566305921,0.691987073455255,0.86781257764357,0.704407513846743,0.686684019848111,0,0,0,0.783748829986763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
