"","TLE1","PRKCQ","APC","NAPA","MKL1","ABI2"
"Collagen biosynthesis and modifying enzymes",0.924809665896829,0.924543489812651,0.924074083423098,0.941780884021414,0.923750496681105,0.922958405734642
"Collagen formation",0.910496900648676,0.909650384101857,0.90983427436618,0.925946444522909,0.909576270866869,0.908803541212654
"Collagen chain trimerization",0.889102832090545,0.888615739406176,0.887756742554324,0.88352330755579,0.887614999324194,0.885715092411945
"Assembly of collagen fibrils and other multimeric structures",0.880073462460973,0.876254783704785,0.879014562570528,0.900196225756093,0.876386077565387,0.874956041096582
"Activation of Matrix Metalloproteinases",0.87276607638197,0.83798701838596,0.87151449980574,0.870071874689556,0.873682641332174,0
"Interaction between L1 and Ankyrins",0.870117791185474,0.871152456336319,0.825316322884743,0.904679500008488,0.823702699101269,0.869261808046832
"Synaptic adhesion-like molecules",0.765126828427348,0.767878873264303,0.766299424416827,0.785656792170118,0,0.769487865243189
"Phase II - Conjugation of compounds",0.822378989270168,0,0.773801683712825,0,0.796238862245659,0
"Glucuronidation",0.863882898306332,0,0,0,0.813162521998441,0
"WNT ligand biogenesis and trafficking",0.82765000566571,0.768982642622837,0.880208287109226,0.763553960876279,0,0.829222026538001
"Ethanol oxidation",0,0,0,0,0,0
"Chemokine receptors bind chemokines",0.819819546814676,0.864693206733657,0.863724315101644,0.859662809564495,0.825795067692665,0.865041730870934
"Class A/1 (Rhodopsin-like receptors)",0.888603839478976,0.888906820215609,0.888383222314237,0.887902899478965,0.874158232028451,0.889034449009024
"TNFs bind their physiological receptors",0,0.302915248479125,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.698052177732051,0.69204619009911,0,0.688726402063761,0.698469973170458,0.694286764535073
"Peptide ligand-binding receptors",0.846732900239832,0.86458870745297,0.864012246518348,0.862280323798672,0.848351085208015,0.86472922179297
"Nucleotide catabolism",0,0,0,0,0,0
