"","TP53","IRF5","APC","MCHR2","FPR2","MYH9","OR14J1","OR56A1","OR56B4","OR2W3","OR6F1","PLXNA4","DAB2IP","SOX9","SYT5","DIRAS1","DICER1","STRADB","TTN","RAE1","ARSB","PKD1L1","NEFH"
"Glucuronidation",0.903333941604842,0.905187260362555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90603524126953,0,0,0,0,0,0
"Complement cascade",0.832974850461395,0.850427335995604,0.84879653149875,0.865119530209341,0.847426321573479,0.849499478418717,0.850218193788782,0.850218193788782,0.850218193788782,0.850218193788782,0.850218193788782,0.849674231943366,0.814718670115137,0.815889968807968,0.832227805979019,0.852641792904478,0,0,0.849494205787049,0.847715668782441,0,0,0
"Regulation of Complement cascade",0.773364120627423,0.794496092763617,0.790976572323831,0.810693614501491,0.790849275574148,0.793406828373629,0.792697961970088,0.792697961970088,0.792697961970088,0.792697961970088,0.792697961970088,0.792039317300941,0.751293223952928,0.752711466144938,0.774072897613318,0.797211633255209,0,0,0.792011222946652,0.791246940290284,0,0,0
"Voltage gated Potassium channels",0,0,0.894478828964133,0.891725140357569,0.891721197165091,0.891645213838358,0.920093953670617,0.920093953670617,0.920093953670617,0.920093953670617,0.920093953670617,0,0,0.921122199547541,0,0,0,0.919516393518562,0,0,0,0.917197043598528,0
"Phase II - Conjugation of compounds",0.854652545889499,0.855569564706364,0.829779472246573,0,0,0,0,0,0,0,0,0,0.841179366533605,0,0,0,0.855989144147192,0,0,0,0.843377251289584,0,0
"Molecules associated with elastic fibres",0.756191841154208,0.75406217607711,0.803455363572621,0.718981744144969,0.718975436920169,0.754822212118186,0.718340630973319,0.718340630973319,0.718340630973319,0.718340630973319,0.718340630973319,0.762383264313927,0,0.719985333313179,0,0.722108281434704,0,0.717416810557587,0.755659186060136,0.713929153809828,0,0.71370695834612,0
"Aspirin ADME",0.834839516277057,0.836410498175934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837129296628659,0,0,0,0.813531460577125,0,0
"Arachidonic acid metabolism",0.889923654409437,0.862584565186173,0.861540796579638,0.886365377186592,0.886361114094612,0.861557546141379,0,0,0,0,0,0.863155093521995,0,0,0.89011645962279,0,0.860975350034254,0,0.864775404714469,0,0.862712099638802,0,0.890610081284412
"Transcriptional regulation of testis differentiation",0.822335383789498,0.827236589591158,0.82593289521772,0.823561653867182,0.823549777439789,0.828667728189289,0.834993013957542,0.834993013957542,0.834993013957542,0.834993013957542,0.834993013957542,0,0.833087761539179,0.719678495484111,0,0.842087453836901,0,0.833253471378976,0.831348324056594,0.755690822581892,0,0.826267864899474,0
"CD22 mediated BCR regulation",0.820194576277214,0.744547231735709,0.742156461231104,0.820570362996874,0.820558422824814,0.826560908438815,0.750077985132932,0.750077985132932,0.750077985132932,0.750077985132932,0.750077985132932,0.827825115427931,0.830147600401887,0,0.831933551379361,0.758290581967008,0,0,0,0,0,0,0.752518228632469
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.826828803066456,0.765375824040358,0,0,0,0.762671811341799,0,0,0,0,0,0.766877953794206,0,0,0,0,0,0,0,0,0.76776640845724,0,0.771448827616242
"Metabolism of Angiotensinogen to Angiotensins",0.905203824982733,0.907739462734143,0.869034452026428,0.941431463056667,0.941425318789548,0,0.911752247186634,0.911752247186634,0.911752247186634,0.911752247186634,0.911752247186634,0.909917931907886,0.910766565263967,0.913354455896166,0.911244558597434,0,0.908899636822516,0.874676494096225,0,0.868529454939041,0,0,0
"Activation of the phototransduction cascade",0.741013815186935,0.745672732659796,0.827796568512759,0.824420039267342,0.824408749944401,0.830720675388421,0.834312807369114,0.834312807369114,0.834312807369114,0.834312807369114,0.834312807369114,0.749675397508903,0.7512346552414,0.755989580852323,0.765702650090406,0.759789452855086,0,0.751392173309259,0,0,0,0.748987302412304,0.755352950387791
