"","MAML3","LAMA5","APC","POLR1A","UBL7","FGA","RGMA","CENPE","OPRD1","DMD","EXOSC9","SCN5A","OR5D14","OR10G9","OR2L5","BRAF","MYLK","CACNA1B","CYP1A2","ITGB6","OBSCN","SHANK1","NPHS1","LRIG1","COL18A1","CYP26B1"
"Cytosolic sulfonation of small molecules",0.767975268168752,0.832317424681353,0,0,0.835582080116359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897390632710506,0,0,0,0,0,0,0.835594546354631
"APAP ADME",0.662844501160709,0,0,0,0.724089254218496,0.720145889901595,0,0,0,0.662871870635788,0,0,0,0,0,0,0,0,0.779973130646274,0,0,0,0,0,0,0.721322574437009
"Phase II - Conjugation of compounds",0.776843865104598,0.805234785396635,0.747713709583898,0.776472264747562,0.807021672508248,0,0.749288413450101,0.745296000224145,0,0,0,0,0,0,0,0,0,0,0.922612797088302,0,0.74929454178098,0,0,0,0,0.862946479400563
"Glucagon-type ligand receptors",0.68758344236216,0.772412967012748,0.770885219828738,0.771026612400761,0.690137679088637,0.770454050673531,0.687492194453846,0.682126268269827,0.849897146352036,0.771707616930224,0.770338898109762,0.775045208631993,0.860446956172774,0.860446956172774,0.860446956172774,0.772091057316019,0.774276740392649,0.853840864296923,0.696178820731738,0.771556352860437,0.776535279955568,0.776115209455773,0.776443023681995,0.696768653024568,0.69549093704806,0
"Inwardly rectifying K+ channels",0.755483491262345,0.82426074085577,0.822450513640722,0.822744036913098,0.757694299060552,0.822077317170404,0.7502321821669,0.75076005943849,0.890838921613378,0.82365022835051,0.821644168996649,0.826051172730521,0.899970260764334,0.899970260764334,0.899970260764334,0.823494220706953,0.825386028596227,0.894252388460874,0,0.823031409735721,0.827340897080617,0.82746519969823,0.827594523493425,0.763433707916161,0.753774547794457,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0.776809386499901,0.709540542874745,0.709848379211427,0,0.774754864617418,0.712806938576838,0.707986759921766,0.707888621659938,0.709643886698696,0.708838221946203,0.776123965298084,0.779644570205318,0.779644570205318,0.779644570205318,0.776088119056635,0.77549808897913,0.770357427577843,0,0.775652630848725,0,0.714259179165072,0.713045591761092,0.785477685890478,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737687821022524,0,0,0,0,0,0,0.851369405095421
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858481687942741,0,0,0,0,0,0,0.855012353866004
"Activation of G protein gated Potassium channels",0.714517847882912,0.796559207491057,0.794399866970752,0.79474999798769,0.717155023383088,0.793954697296087,0.708253791956574,0.708883473563842,0.875977394491563,0.795830953943767,0.793438013868112,0.798694935019545,0.886869767818732,0.886869767818732,0.886869767818732,0.79564485927929,0.797901513801984,0.880049169137995,0,0.795092792403312,0.800233390538296,0.800381665670147,0.800535930344152,0.724001312070767,0.71247932429513,0
"G protein gated Potassium channels",0.714517847882912,0.796559207491057,0.794399866970752,0.79474999798769,0.717155023383088,0.793954697296087,0.708253791956574,0.708883473563842,0.875977394491563,0.795830953943767,0.793438013868112,0.798694935019545,0.886869767818732,0.886869767818732,0.886869767818732,0.79564485927929,0.797901513801984,0.880049169137995,0,0.795092792403312,0.800233390538296,0.800381665670147,0.800535930344152,0.724001312070767,0.71247932429513,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.714517847882912,0.796559207491057,0.794399866970752,0.79474999798769,0.717155023383088,0.793954697296087,0.708253791956574,0.708883473563842,0.875977394491563,0.795830953943767,0.793438013868112,0.798694935019545,0.886869767818732,0.886869767818732,0.886869767818732,0.79564485927929,0.797901513801984,0.880049169137995,0,0.795092792403312,0.800233390538296,0.800381665670147,0.800535930344152,0.724001312070767,0.71247932429513,0
"Repression of WNT target genes",0.769858478638896,0,0.762330438027977,0.599783362707467,0,0.411447390904944,0.611047524855785,0.595017839095118,0.41624424280865,0,0.597905399180114,0.446096287514925,0,0,0,0.439830723379984,0.419555068894761,0,0,0,0,0,0,0,0.608576767243284,0
