"","KCNJ2","HTR1E","AVPR1B"
"ADP signalling through P2Y purinoceptor 12",0.872443642720565,0.864129731572602,0.865222813489384
"Glucagon-type ligand receptors",0.875096188430535,0.868326505424562,0.86921655800565
"G-protein activation",0.879822650357995,0.871571847881787,0.872656632506638
"G beta:gamma signalling through BTK",0.842087127384903,0.831794629072448,0.833147848223294
"Prostacyclin signalling through prostacyclin receptor",0.842087127384903,0.831794629072448,0.833147848223294
"Potassium Channels",0.920713922955689,0.786397755095897,0.786913498946052
"G beta:gamma signalling through PLC beta",0.842087127384903,0.831794629072448,0.833147848223294
"Presynaptic function of Kainate receptors",0.842087127384903,0.831794629072448,0.833147848223294
"Activation of kainate receptors upon glutamate binding",0.771837479896179,0.763647763694717,0.764724516924825
"Peptide hormone biosynthesis",0.592324090525506,0.695286628326212,0.581923175773942
"Inwardly rectifying K+ channels",0.868254348669343,0.771122845494753,0.772223684477806
"Thromboxane signalling through TP receptor",0.842087127384903,0.831794629072448,0.833147848223294
