"","KRAS","NRAS","TP53"
"Interaction between L1 and Ankyrins",0.931384102109623,0.93570179237335,0.92525892084094
"Erythrocytes take up carbon dioxide and release oxygen",0.818903987222853,0.817842956569495,0
"O2/CO2 exchange in erythrocytes",0.818903987222853,0.817842956569495,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.793429621786367,0.792637890327819,0.848885344699641
"Initial triggering of complement",0.748305561666762,0.74769512542742,0.74629390500402
"Classical antibody-mediated complement activation",0,0,0
"Activation of the phototransduction cascade",0.805640082542402,0.804571819822794,0.802119685686915
"Creation of C4 and C2 activators",0,0,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0.731010388344075
"Ethanol oxidation",0,0,0.7417078908312
