"","TP53","SMAD2","MAML3","LAMA3"
"Glucuronidation",0.649346118994337,0.652863782428691,0.655915478003439,0.654246148619215
"Phase II - Conjugation of compounds",0.669380044677689,0.671453611288821,0.673252502561174,0.671859672176587
"Collagen formation",0.851569569432998,0.846580513325425,0.846986479297803,0.907086761811972
"Collagen biosynthesis and modifying enzymes",0.883791687000643,0.885846860341094,0.887629794810362,0.919354069015019
"Collagen chain trimerization",0.820033775287184,0.82382031203977,0.827105264584871,0.823527724386281
"Activation of Matrix Metalloproteinases",0.758426996270521,0.761470633117108,0.762679826798844,0.859520459931792
"Aspirin ADME",0.826729743782771,0.83037539559518,0.833538125546644,0.769584164956123
"Cytosolic sulfonation of small molecules",0.444685679695265,0.450867274494089,0.456230023331351,0.552707149028404
"Assembly of collagen fibrils and other multimeric structures",0.780781851041591,0.779134173367909,0.779771079035161,0.867880812190904
"Antimicrobial peptides",0,0.0354000618707179,0,0.369316340051267
"mitochondrial fatty acid beta-oxidation of saturated fatty acids",0.565365521288091,0.575943745153343,0.585120722871855,0
"Transcriptional regulation of testis differentiation",0.638078599075604,0.644575069577758,0.657764370046936,0.654681428968185
"Physiological factors",0.617064500467605,0.619396669095167,0.623509373702486,0.512033826602306
"YAP1- and WWTR1 (TAZ)-stimulated gene expression",0.544232286107617,0.546967762375748,0.562347246942775,0.278224459878807
"Glycogen synthesis",0.360144449457626,0,0,0.370453457991784
"Metal ion SLC transporters",0.374699842371154,0.386225731698495,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.639422518378574,0.510048367312604,0.519286123196497,0.354964991277298
