"","MYC","EP300","TP53","PLCB3","PIK3CA","SMARCE1","IRF5","ADCY2","CHUK","IRS1","OR5H15","OR10J5","OR6P1","OR51I1","OR2W3","OR5D18","OR5H1","APC","FFAR1","CANT1","INPP5B","SCN5A","PDGFRA","CACNA2D3","PPP2R2B","SCN9A","KRAS","RGS20","DLGAP2","DLG2","IPMK","NRXN2","UNC5A","TUBGCP6","CAV3","BAIAP2","CCDC129","IQCA1","NAALADL2","MME","CCT8L2","DKK2"
"Cytosolic sulfonation of small molecules",0.636830389188532,0.634639503773539,0.634517960557709,0.69918447067541,0,0.640809244646814,0.639000894387078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.66125289984167,0.719128553886336,0.71901621873475,0,0.652045413250418,0.664930318840279,0.663258968455472,0,0.655389398235386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.84583427654553,0.8443081732539,0.840074561983944,0.889340648551897,0.887885397727133,0.847853454890536,0.847346183606179,0.888382462415324,0.846572086652835,0.847687995461787,0.896121545307612,0.896121545307612,0.896121545307612,0.896121545307612,0.896121545307612,0.896121545307612,0.896121545307612,0.847267939027915,0.890538659791029,0.847819574923525,0.848675120492038,0.845580868616568,0.847229764966417,0.844950048775337,0.844786666243162,0.846462691473594,0.846300427424739,0.850112178778184,0.846808140420625,0.845678376601925,0.845783954242405,0.844885933880751,0.851952433287356,0.844051065190876,0.84886540037313,0.848746573306824,0.853834420549081,0.850321733215024,0.849685472539231,0.852429562478854,0.84832922770844,0.847964611722821
"G beta:gamma signalling through BTK",0.810896509318829,0.808389896795161,0.801436223942333,0.882355379454724,0.879965141544592,0.815448755115593,0.813379804645973,0.880781566343178,0.884104632203128,0.813941227901336,0.893492948466469,0.893492948466469,0.893492948466469,0.893492948466469,0.893492948466469,0.893492948466469,0.893492948466469,0.812015527130262,0.884323103390564,0.814157346121157,0.815562572915677,0.810480288810153,0.813188587955717,0.809444172236078,0.809175817725905,0.811928675842146,0.811662158431935,0.817922929725765,0.813043986548719,0.811188358458358,0.818002972579551,0.809886777588911,0.82094553312668,0.807967598845705,0.818002972579551,0.8156799335959,0.824036682241879,0.818815034779737,0.817222068120687,0.816150361327221,0.814994446768536,0.814395567910929
"Phase 4 - resting membrane potential",0,0,0,0.744548609180818,0.741158553120449,0,0,0.74231648213854,0,0,0.760344937724515,0.760344937724515,0.760344937724515,0.760344937724515,0.760344937724515,0.760344937724515,0.760344937724515,0,0.74733941691822,0,0,0.654487234305752,0,0.653017718130686,0.652637112991055,0.656541470503225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.78328194585199,0.69730376185919,0.697143124347463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697851170043906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.798202045260278,0.795820743426905,0.789214698911938,0.865836267260085,0.86381779519962,0.802526714972668,0.800561195571506,0.864593405251564,0.799353309772218,0.801094552129278,0.876669319366368,0.876669319366368,0.876669319366368,0.876669319366368,0.876669319366368,0.876669319366368,0.876669319366368,0.800439104256525,0.867957893613554,0.801299866156966,0.802634842787977,0.7978066324667,0.800379538194955,0.796822313480763,0.79656737456179,0.799182611666578,0.798929418007181,0.804356678292908,0.806716103322179,0.804953241877934,0.794653031576544,0.803716729700071,0.80774869780083,0.795419557016249,0.803779258702454,0.802746336367595,0.810685314045164,0.805204185189377,0.804211376431229,0.802672724216489,0.802095118429702,0.801526178751902
"Inwardly rectifying K+ channels",0.84401376061486,0.842313051289114,0.837595059913372,0.892497826540427,0.890876076123827,0.847102409860223,0.845698649476453,0.891430011467091,0.844835985779438,0.846079569047016,0.90005454593984,0.90005454593984,0.90005454593984,0.90005454593984,0.90005454593984,0.90005454593984,0.90005454593984,0.845611452702373,0.893832905822357,0.846226202907829,0.84717963399926,0.843731359528137,0.845568911032522,0.843028365705418,0.842846290089922,0.844714074371114,0.844533245207957,0.848527014120609,0.845470800551113,0.844211777080754,0.844211777080754,0.843328668621836,0.850831913936637,0.841435346961371,0.84799696794282,0.847259261943924,0.852929224980067,0.849386393987732,0.848051487146831,0.847324345747472,0.846794166589548,0.846387833800373
"ADP signalling through P2Y purinoceptor 12",0.796602670631084,0.796233577119867,0.789457122243456,0.868314010908263,0.865984689456894,0.803112536757426,0.799022677882699,0.866780307244025,0.799857269994282,0.80164342965984,0.879167733169629,0.879167733169629,0.879167733169629,0.879167733169629,0.879167733169629,0.879167733169629,0.879167733169629,0.798897437084685,0.870231586374159,0.800984670702432,0.801149817165544,0.797905735689891,0.800909971135458,0.797260983801757,0.796999468446124,0.799317209823576,0.797348806777541,0.802004046696296,0.800769054970672,0.798960718529216,0.798265621976622,0.797692309126519,0.806395589830351,0.795457082938622,0.802281286180033,0.801264186847671,0.809407959399461,0.806205727705445,0.803991543977934,0.802947150190598,0.802669806695344,0.802086190577517
"Activation of G protein gated Potassium channels",0.822141480069054,0.820151858250545,0.814632385617209,0.878861904867839,0.876964655311906,0.825754821770231,0.824112593880239,0.877612691886008,0.823103382907127,0.824558223169864,0.887702341952425,0.887702341952425,0.887702341952425,0.887702341952425,0.887702341952425,0.887702341952425,0.887702341952425,0.824010584323646,0.880423784272248,0.824729766845431,0.825845164564038,0.821811105351162,0.823960815775165,0.82098868859435,0.820775682402331,0.822960761476027,0.82274921348073,0.827421434445485,0.82384603851636,0.822373135105578,0.822373135105578,0.821340006262586,0.830117885211068,0.819381753591564,0.826801345271995,0.82593831951631,0.832571482512524,0.82842680373942,0.826865126069917,0.826014459603046,0.82539421485907,0.824918855213139
