"","PIK3CA","CHRM2","NTSR2","FGF3","GRM7","ADCY10","SIN3A","LIF","TCF7L2","APC","RYR2","SOX9","TBP","MOV10","CACNA1B","EPHA10","ARID1A","TNRC6A","NCAPD2","SMARCA2","APBA3","CEP250","NINL","CDK5RAP2","PHF20","INTS2","MYH7B","HDAC6","TTN","BCL2L14","TNXB","PARVG","CUL7","FBXW7","ARHGAP33"
"Activation of Matrix Metalloproteinases",0.875738843010994,0.875855068402361,0.877547935973571,0.846375731731504,0.876545643841929,0,0.877931701503941,0.880140327540442,0.878454218329725,0.877048373839369,0,0.881816589891211,0.877186662894216,0.878843921813116,0,0.879814295154863,0.87792162289988,0.878891170272011,0.849775400447954,0.878688926783976,0.881552765856193,0,0,0,0.847660047340166,0.845320314604193,0.846792810354231,0.878490999383311,0.846037173353799,0.850863082170294,0.879272446074434,0.845108116454443,0.843417648338224,0.843453984765386,0
"Interaction between L1 and Ankyrins",0.864846038072758,0.820823560805873,0.822473424106957,0.867276195770948,0.821789219230471,0.866541623040806,0.867912397164518,0.872235995961741,0,0.867912397164518,0.867214326386279,0.872602151292893,0.86687058077646,0.8691879902079,0.866036127326331,0.869827561802345,0,0.869254059560744,0.869287923698916,0,0,0.868226881178476,0.868226881178476,0.868185080578749,0.870484707738747,0,0.820918495960024,0,0.81986185943113,0.875815169966797,0.868758265629885,0.820776793923171,0,0,0.821544214758565
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.800589032484146,0.852434073178048,0.803662526112847,0.806292375231871,0.802831250206826,0.805052051159337,0.803685345311972,0.809567474688723,0.855978273385153,0.804314510801808,0.749872627685241,0.810012335745854,0.803048754167133,0.805864294790923,0.805600971543087,0.807512875789809,0,0.805336304059768,0,0.804285598935947,0,0,0,0,0.807439744012862,0,0,0.805264709881871,0,0.813915998378205,0,0,0.802117863526942,0.802179595997127,0.807974273369151
"Phase 0 - rapid depolarisation",0.782995457190378,0.728968077158991,0.785634268614208,0.787281660815152,0.730206150505689,0.844019439916219,0.789829702324756,0.795373000344329,0.727075456962772,0.786857708627866,0.840981203053826,0.851789660011323,0.788493986641704,0.791465143706529,0.841299552508506,0.729178288533679,0.726144423649791,0.791549851407208,0.790621633152681,0.725772638356419,0.732730286795717,0.786725489674025,0.786725489674025,0.786671897009083,0.793127668852318,0.786552042873496,0.731709032341406,0.726805865289692,0.727818537796739,0.799961869271453,0,0,0,0,0.730584890243504
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0.789904385921061,0,0.707674761716074,0,0,0,0.704073229567058,0.708782034490658,0,0,0.709497970631306,0.708916282539253,0,0.708341643826274,0,0,0,0,0,0,0,0.707779268503905,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0.798920836417002,0.800590863373742,0.803722397131714,0,0.802423737620543,0.805893180507683,0,0,0,0,0.7237899549431,0,0,0,0.806750730536584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.678422898996003,0.582898708363444,0.589068763205886,0.683115311287572,0,0.688071097503177,0.686737164111706,0.597203936787728,0.688342700183872,0.685160889502426,0.688811411634663,0.571778791975336,0.587958680368006,0,0.68311635117537,0.593487939351972,0.593825172151631,0,0.694105794421699,0.689063888232076,0,0.68742820851879,0.68742820851879,0.687336356248493,0,0.587563920457671,0,0.688455717230194,0.595900331176723,0,0,0,0.583197236304571,0.583308887148457,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.823183443997285,0.78265703858339,0.74159116315482,0.743762778874238,0.73521804451226,0.784220469866779,0,0.740780527496016,0.73717589055115,0,0.785797683727683,0,0,0,0,0,0.738076091940489,0,0,0,0.747805421415301,0,0,0,0,0.737505160662278,0.787608890830295,0,0,0,0.745845595336004,0.745697295925059,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.904409062506432,0.90567773804441,0.908056681844721,0.850916814462779,0.907070124383875,0.849444799023908,0.848569486823562,0.854803699407676,0.84962302167099,0.78314769317752,0.84993058489262,0.858183496407161,0.785819994332465,0.850408768999413,0.850096257217362,0.852365303373233,0.850916814462779,0.850504034635805,0.853404699774537,0.850096257217362,0.855870529185503,0.849022942449135,0.849022942449135,0.848962670014743,0.791031216937888,0,0,0.84969718219514,0,0.79871722950746,0,0,0.788798895541901,0.788872159579263,0
"Presynaptic depolarization and calcium channel opening",0.729858485662829,0.731977131381364,0.732914719551635,0.733703592158482,0.73430237000097,0.738703808126787,0,0,0,0.73724206602636,0.835358770507508,0.747956860010403,0,0,0.613073371640507,0.629752566563051,0,0,0.739976429457138,0,0.631730353925896,0.732659041268255,0.732659041268255,0.732558388318586,0,0.732333289001548,0,0,0,0,0,0,0,0,0.632394320080168
