"","AGT","EDNRB","CGN","APC","KRAS","ADAM12","OR1C1","HTT","CDK13","MX2","KCNB1","SERPINE2","DYSF","GTSE1","EEF2K","DSPP","EFCAB7","SHF","MUC4","KCND2"
"Interaction between L1 and Ankyrins",0.857959082705883,0.813087920044856,0.810923728694914,0.862937703335032,0.907637001825916,0.814313183672279,0.866009311078254,0.867666378612455,0.865178332634962,0,0.865827427023141,0,0,0.864595883769437,0,0.816789447994625,0,0,0,0.816915602972677
"Sensory perception of taste",0.884694380504052,0.806848646800702,0.811059291003151,0.808028282863463,0.80759209236441,0.770698242225449,0.85495994823983,0.811078979819096,0.806864866534027,0.810187665000919,0.811329724143853,0.769472941598742,0.810118339445427,0.808704019612799,0.770144655332284,0,0,0.816505141114237,0,0
"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.870810480595803,0.779035347494084,0.733650252580777,0.781348270720197,0.779911822187264,0.736416336358319,0.835755489796278,0.784022639120201,0.779054469520609,0.782971836048763,0.784318250615967,0.734971785414343,0.782890105659954,0,0.735763692875027,0,0,0.790419735677741,0,0
"GABA receptor activation",0.546042771119191,0.547748913982431,0.509041049765043,0.507216188491878,0.508833238278714,0.511466677844353,0.511520527789245,0.510732060159077,0.507379286310657,0.508394168327559,0.513817594598745,0.510884108451764,0.51172007123936,0,0.511037314320161,0,0.467659403954044,0,0,0
"Cytosolic sulfonation of small molecules",0.667949248450207,0,0,0,0,0,0,0.683512462775843,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0.754502079277384,0.758919018232307,0,0,0,0,0.771638725525202,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.795025702597937,0.757950966598396,0.722087328612651,0.719944562833219,0.720230046491559,0.684574134715366,0,0.724364241024305,0.722287514064642,0,0,0.76257636383736,0.681291557504816,0.721801354535194,0,0.683682371816176,0,0,0,0
"Keratan sulfate biosynthesis",0,0.74676826543792,0.757293328037744,0.81709799590477,0,0.756115786580425,0,0,0,0,0,0,0,0,0,0.759466783660134,0,0,0.883792115856475,0
"Initial triggering of complement",0.625371436167223,0.628842558299467,0.635688457202101,0,0.629706130169882,0.641710428924241,0.54651002133053,0.639304416462902,0,0.540731408248919,0,0.639060337728474,0.549207670237219,0,0,0,0,0,0,0
"FGFR2 ligand binding and activation",0.792455741006477,0.795898749587243,0.801387375714625,0.790632107080544,0.871298742907552,0.807360573868578,0,0,0,0.800081964316796,0,0,0,0.793383585591333,0,0.728031535186038,0,0.806455866387691,0.711980240616808,0
