"","TP53","TERT","AR","TSC2","IRF5","PIK3CA","NCOR2","BCAR1","SDC4","GYS1","CDK7","GAK","APC","FGFR4","TLN1","CLASP2","NTSR2","FFAR1","ADRA1D","SPTBN2","FGFR1","DSCAM","HLA-C","HLA-B","ITGA3","CACNA1G","ERCC2","MLC1","EPN2","GPR18","ITGA10","CACNA2D4","ARAP1","OBSCN","GLI3","SLC6A3","MYH14","PLXNB3","OR5W2","FGF21","INSL3","GPR20","KIF19","HOXB3","SCN3A","PLCH2","DOCK11","DDX54","GUCY1A2","TAS1R2","SCRIB","HOXB1","RNF111","WNT8B","SOX2","COL4A1","WNT10A","CAMKK2","ATP6V1H","GSPT1","SYN3","KREMEN2","COL6A6","PLD4"
"Interaction between L1 and Ankyrins",0.928274876855359,0.898967099755108,0.897527988966488,0.899627619066356,0.898402475744044,0.895433119024566,0.859712792847861,0.896466819969488,0.896659989668461,0.898588782626839,0.895672510764293,0.895684372050178,0.898345062271385,0.896877384656642,0.896753721693197,0.898603402473892,0.863375119010534,0.863375119010534,0.86334198159678,0.871488168405091,0.897033147136949,0.863014464995272,0.898157829639677,0.898083348703539,0.896844603851458,0.899640198356774,0.895883360864117,0.899951344537358,0,0.862898981460948,0.897417475467744,0.897829504044557,0.898775994518141,0.862243186056794,0.898570930099357,0.900636919995899,0.86163774843921,0.862918104130071,0.900506476815834,0,0.863889869002535,0.863889869002535,0.899137419564924,0,0.881047463828131,0,0.865871674185352,0,0,0.868919500783172,0.865721409719548,0,0.858470446803558,0,0,0.898297603999397,0,0.900306135902291,0.897339045155154,0.896086181206537,0,0,0.898316624107826,0
"Activation of Matrix Metalloproteinases",0.906224816919404,0.908679680716628,0.908751050092204,0.879543586647467,0.907108113478559,0.906116538997379,0.907951711652317,0.908028309775733,0.90737724585016,0,0.907156150891583,0.876594560619068,0.908145000716413,0.906883440299399,0.908085519096594,0.877418573121339,0.907790005768064,0.907790005768064,0.907761522094882,0.907920041587465,0.907017327862742,0.878594524804851,0.877035575489641,0.876971554481273,0.908353038576453,0.880577639698619,0.907337389698518,0.878511696633279,0.876868841150373,0.906906200801653,0.908845457448198,0,0,0.879048881058065,0.87739066109083,0.910114995323971,0,0,0,0.880345056653731,0,0,0,0.909299886377237,0,0,0,0.87737537871766,0,0,0,0.90914795580446,0.876153312749969,0.880199510735188,0.910013189273311,0.90776163710326,0.880580891597419,0,0,0.875822622052326,0,0,0.907777986072326,0
"Phase II - Conjugation of compounds",0.823212666954375,0.827269569702052,0.825152937118945,0.825534187407683,0.824725365226616,0.79852833081019,0.824539006250249,0.824515367001566,0.782513102355912,0.847451756279456,0.781422992942051,0,0.782182477788112,0,0,0.781099255854242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783174965595489,0.783359874754414,0,0,0,0,0,0,0,0,0,0.825574470127278,0,0,0,0,0.804152609658642,0,0,0.82545778004474,0.755440240721921,0,0,0.824757485779747,0,0,0,0.783532605043813,0,0,0.762279798330701,0.800809016186045
"Glucuronidation",0.850306733207659,0.854421861316842,0.854541498961872,0.855373602498799,0.853608295514145,0.796291339886443,0.853201554934651,0,0.760681817115258,0.902414650398903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855461522152744,0,0,0,0,0,0,0,0.855206838462599,0,0,0,0.854252656823455,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.736966152801356,0.743435430404458,0.743623509394212,0.744931636050803,0.742156446400462,0,0.741517020931467,0.815075413544766,0,0.819665917266037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745069852075443,0,0,0,0,0,0,0,0.744669470981875,0,0,0,0.816808931165735,0,0,0,0,0,0,0,0
"GABA receptor activation",0.582937226979676,0.585347755759399,0.613031224761838,0.583801657987449,0.584534807879501,0.861818223416784,0.584032278621817,0.612321537187688,0.584534807879501,0.583437418602976,0.582540683727591,0.837674964086055,0.584222076871454,0.585054681064463,0.584764324741142,0.58444012597176,0.612087536967611,0.612087536967611,0.612059567711624,0.864679137301316,0.585186150608741,0.586943918860044,0.584328317126483,0.584265452342151,0.585027012799871,0.587386602444797,0.582718649348581,0.587126858392762,0.837944291091152,0.611685658501536,0.585174155125594,0.584143143980201,0.837430456097168,0.837666859961291,0.585013373281695,0.586512711381763,0.836937721933466,0.838018391545684,0.615545183447008,0.587245389655294,0.612522005825144,0.612522005825144,0.552933611586567,0.584645703195525,0.58548300033349,0.584701407019741,0.589355513676631,0.586347445886408,0.584340267100607,0.616767209142296,0.58638184187299,0.584496516499867,0,0.583801657987449,0.585346123789772,0,0.58417615108376,0.586233516841748,0.585880197639463,0,0.587180002293181,0.585720167087028,0,0.552131169313135
"Collagen biosynthesis and modifying enzymes",0.911569421664672,0.913682630600831,0.91374406716705,0.914171370663658,0.913264846639117,0.911476213286809,0.913055976391466,0.912713422200341,0.937063848219622,0.884982873385011,0.912371137537782,0.912925052642581,0.913222364513679,0.913017212577968,0.910854998727149,0.913413518965418,0.912916775870435,0.912916775870435,0.912892256403094,0.913028713997467,0.91354095817967,0.915199996816952,0.913083824903064,0.913028713997467,0.93720045035352,0.885175038617279,0,0.913221025523248,0.886668887159949,0,0.937624336990848,0.886953548961465,0,0,0,0,0,0.914833803063968,0,0.914937714423708,0,0,0.913808655855706,0.913808027546816,0,0,0,0.914150524985216,0,0,0,0.887009710905615,0.912136723504523,0,0.914830548543006,0.93679223486597,0,0,0,0.908937739693924,0,0,0.937063848219622,0
"Assembly of collagen fibrils and other multimeric structures",0.866660419923346,0.868511085330219,0.868587371080212,0.867956888966924,0.867992323218081,0.867198523724096,0.867732969148121,0.868080924750141,0.898970675742395,0.834921581834289,0.866882605125639,0.867570401202185,0.86793957318663,0.867684836142531,0.864786137022351,0.86817692956269,0.86756012393883,0.86756012393883,0.867529678129914,0.867699117448704,0.868335170763917,0.870395198114094,0.867767548629433,0.867699117448704,0.8984864539443,0.836634544751056,0.80110396546168,0.86765916159008,0.832558554594129,0.833261525347144,0.899012793745344,0.833156659380562,0.834631433079708,0.834888769452094,0.834344966091518,0.869807834155585,0.834332508841296,0.835508866929978,0,0.870069522212755,0,0,0.868667570818877,0.868666790648078,0,0.834711981864012,0.838222531616922,0.869092069526227,0,0,0,0,0.866591533351343,0,0.869936454398485,0.897937117551372,0,0,0,0.862815214025136,0,0,0.897937117551372,0
"Phase 0 - rapid depolarisation",0.852222943360147,0.822252678018458,0.819994904636205,0.822268514198723,0.823075464643157,0.815864901381642,0.766864483482504,0.818965769079899,0.768026028629224,0.818958818039109,0.814892954399792,0.818594838321247,0.821385433911403,0.819538178001895,0.816400377716088,0.817905233051568,0.81814271377682,0.81814271377682,0.81809651362401,0.86747317241043,0.819755341913527,0.771393182168714,0.818894000721242,0.818790159466263,0.768283417559108,0.823390090407541,0.815186921421601,0.820858500643961,0.819039717827418,0.817915412485406,0.769082114657471,0.866222941885483,0.769927369326817,0.770317865758059,0.816668620892831,0.813367523479555,0.819216569850751,0.771258835936079,0.823710980491917,0.76943785177192,0.818860377758253,0.818860377758253,0,0.767309269384143,0.797075057716914,0.772300087029239,0.775376700682563,0,0.768265875979755,0.825872685917409,0.774758462329272,0.767062839942477,0.765132405731505,0,0.770208173760647,0.819858563788125,0,0.816789439717827,0.820901782093838,0.817545055370797,0.823048824319529,0,0.819885081606396,0
"Nitric oxide stimulates guanylate cyclase",0.747764467894059,0.753718839436655,0.820950200928515,0.755095958315925,0.75139064898969,0.747501835409793,0.751953120994221,0.75213891284418,0.752541652983383,0.756103600930074,0.750023456155188,0.751584218217372,0.678171341879098,0.752994900507543,0.751126672374758,0.751809561788018,0.751560896824166,0.751560896824166,0.7514918085215,0.749894381915951,0.753319650213812,0.759145313812086,0,0,0.751775551705564,0.755581583740642,0.750463058220136,0.754910674290606,0.75224949675223,0.750568196084764,0.752969933618024,0.752830771932054,0.682442935049517,0,0.748859127584045,0.7586839626605,0.755123988953475,0,0.758950803843219,0.758406282856966,0.751483096777757,0.751483096777757,0,0.755223173379853,0.755309502198413,0,0,0.756188225611898,0.88934144812369,0.761969392580078,0,0.754854659623604,0.748211945656464,0,0.677176615826939,0,0,0.759145313812086,0.681978982220474,0,0.685189696776605,0,0,0
"Glucagon-type ligand receptors",0.857225821748521,0.864737921819932,0.864843632905205,0.861702876203798,0.860143061839848,0.901891292477413,0.859783668372417,0.859897124188594,0.860143061839848,0.862318204137877,0.858605297527245,0.859558393874925,0.863945963047144,0.860419842375676,0.859981861645622,0.812381815240937,0.904370002527318,0.904370002527318,0.904327813003025,0.859736759219869,0.860618154319857,0.868051657483626,0.859618577132045,0.859523750321244,0.817317007758127,0.863937370827983,0.858873745314826,0.863943659107644,0.859964653456141,0.903763799011749,0.818046370078035,0.861022488595426,0.862837093385881,0.863193690878961,0.860357532684444,0.864596803246404,0.862422866539322,0.864052975573262,0.90958560283523,0.821873545095407,0.905025366203342,0.905025366203342,0.811849875817431,0,0.863043561383062,0.863273089014919,0.819796308821989,0.862369881121271,0.864492959166676,0.911428936915391,0.86559489001958,0,0,0.861702876203798,0,0,0.862267770943636,0,0,0,0,0.864596803246404,0,0.819634679087544
"ADP signalling through P2Y purinoceptor 12",0.82763360778644,0.833018191164334,0.894856883274897,0.829564553757691,0.831202247012157,0.889078255284978,0.830670033067574,0.893271599602944,0.831202247012157,0.830160334761644,0.82466201369521,0.831087836994591,0.83109400000327,0.832363527696254,0.831714936463754,0.831581073035109,0.892748895329075,0.892748895329075,0.892686418252614,0.831351972357118,0.832657201320388,0.83717398761939,0.830740992748884,0.830600566849133,0.832301722967404,0.837572519685366,0.825059549178992,0.836992309435708,0.83168945342293,0.891851188516128,0.832630406087863,0.828556990165938,0.835191749565434,0.835719823043723,0.832271255327496,0.833534637105931,0.833988010400032,0.836401985159384,0.900472505980895,0.837257081825633,0.893719401803905,0.893719401803905,0.755738888047595,0,0.83123449240689,0.831574392314405,0.842560952285748,0.834499870316533,0.832944890181477,0.903202238685835,0.835328108782988,0,0,0.829564553757691,0,0,0.830401087765704,0,0.834207547508553,0,0.837111021050038,0.833850074965663,0,0.76367510654269
"Adrenaline,noradrenaline inhibits insulin secretion",0.85288128521813,0.857376273845468,0.908129607449942,0.853624317433041,0.855618709758896,0.903305674886665,0.855174423644201,0.906806230769439,0.855618709758896,0.856780838537065,0.853717708784542,0.855764836259535,0.855528346393758,0.856829768268856,0.85541943232491,0.855934949390712,0.906369883219106,0.906369883219106,0.906317728070147,0.855116434039442,0.857074923651917,0.860603850526728,0.855233659974685,0.855116434039442,0.856778174387993,0.859189215132387,0.854049566860304,0.860452187656609,0.856267058774002,0.905620487837571,0.856810920623284,0.908197418493303,0.858949100867582,0.859389930568363,0.856752740350617,0.858948282378562,0.857809764407801,0.859824922931396,0.912817465066284,0.860914851294802,0.907180050925865,0.907180050925865,0.796090278616968,0.857643004615184,0.858084278171791,0.855430293390128,0.865100827026445,0.858371527982729,0.857073448348284,0.91509621471194,0.858435667257821,0.857364811504205,0,0.853624317433041,0.858949100867582,0.855202490290913,0.85432264645657,0.860603850526728,0.855324044555821,0.85400154059722,0.857747831064976,0.857201821529483,0.855232426139126,0.799480558639127
"Heme degradation",0.579401013718956,0.586076476699792,0,0,0,0,0,0,0,0.0494050410174596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590993054238296,0,0,0,0,0,0,0,0,0
