"","TP53","LAMA5","PIK3CA","COL4A6","SERPING1","KRAS","ADAM10","COL18A1","COL5A3","TGIF1","APC","ADAMTS1","RCC2","ANGPT4","PPIE","ZFPM1","OBSCN","DOT1L","CSTF2","LRRK2","CHEK2","BNIP2","ARHGAP5","OTUB2","SSR1","GOT2","PER2","TTN","CTSA","GREB1","DOCK2","KRT1","CUX1","TIMELESS","SPCS1","ACAT1","OR5H15","ADO","EXOSC5","PPP1R3F"
"Collagen biosynthesis and modifying enzymes",0.93003211823789,0.931124693666809,0.929969316188274,0.910534320897899,0.931388035262122,0.929418617620015,0.930728163837514,0.948560400966682,0.915534485438839,0.932753565480071,0.931145839999773,0.948102518442011,0.931316495505864,0.932262987748784,0.930416523942206,0.932705524486641,0,0.93168510020811,0.930404142711138,0.914651397183673,0.91420386380807,0,0,0.933034079896162,0.930747180942433,0.931186691619513,0.932310253737962,0,0.915432422546182,0.934360585294205,0,0,0,0.91397816282462,0,0,0,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0.883029929023525,0.906908591136834,0.882944731654731,0.906661505196175,0.884869368396507,0.883417722243785,0.885790723612983,0.91015771776672,0.863856799069197,0.88672184904466,0.884540805886004,0.88493602865802,0.884772317439816,0.886056330448528,0.883551414464803,0.88665667655014,0.885557273034995,0.885130117802691,0.882679923110425,0.88459753279897,0.860429111589103,0.886595264542329,0.88514779269531,0.887102395385199,0.883999984321439,0,0.886120451570944,0.88523679141598,0.862347565233743,0.88890193489538,0.886483590048334,0.887102395385199,0.86012484813698,0.859375464738379,0.883796150284272,0,0,0,0.85940958245087,0
"Collagen chain trimerization",0.888102601535836,0.8894727467966,0.887979285077687,0.850632985837179,0.890224602234938,0.886897947806671,0.888607590995011,0.922445536198394,0.860351011186498,0.893446363992624,0.890289476389117,0.89020463288778,0.852831304724111,0.892483078420905,0.888857410498897,0.893352031957412,0,0.891262280770046,0.888833099038171,0,0,0,0,0.894537617167552,0,0,0,0,0.857128298493923,0.897142308390266,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.717770969179005,0.720404177395806,0.681884876995872,0.720053542405175,0,0,0,0,0,0,0.65390448914604,0,0.652410285293226,0,0.682870693300347,0.687277312063428,0.655616189060595,0,-0.0249906228002317,0,0,0,0.655035103246135,0,0.652493898946772,0.685893472652722,0,0,0,0,0,0,0,0,0,-0.0249906228002317,0,0.688928904593778,0,0.688048488265236
"Activation of Matrix Metalloproteinases",0.872508292420433,0.919357980956534,0.872341136062462,0.874931553265722,0.876063029293993,0.874530562537564,0.877924942901708,0.918978264715491,0.875547358848067,0.831578322481443,0.875472617225887,0.875612720058185,0.828149451608982,0.832453059286002,0.873946059159321,0.879623933624061,0.83055486019657,0.831625030871334,0.827642530898538,0.875055064663132,0.830448953615243,0.879503443898772,0.830807562867566,0.831332639646524,0,0,0,0.829926078568807,0.83297206524434,0.834863317586534,0.833428383483041,0.87996957919639,0.828790992058274,0.829986000492221,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.409962333479775,0.525798166032352,0,0.524611159684379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.674638688622745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682179065324897,0,0,0,0,0,0,0,0,0,0.775326609455231,0,0.686885229808627,0,0
"Diseases associated with O-glycosylation of proteins",0.482859754145493,0.534165344506705,0.530779640468923,0.533709933792583,0.812939079122109,0.532148233027503,0.487948248586651,0.533885783118875,0.57507115924651,0.489664430805061,0.187332587879257,0.576067820611901,0.447214604133674,0.195896361166302,0.146541958980482,0.151137870897998,0.488702972766497,0,0.146238030319092,0.150627459976907,0.149574838724868,0.450574526756344,0.449091655824079,0,0.147823145563532,0,0.150887521096609,0.48811228451208,0,0,0.451553699697726,0.15264757947367,0.200432471330896,0.149073945203866,0.148178850310979,0,0.151829885634793,0,0.147695717267479,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68306064439029,0,0,0,0,0,0,0,0,0,0.685322080472967,0,0.694426714724892,0,0
"Glucuronidation",0.621274999094168,0.542625070752853,0.529672952299537,0.541748206467999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546009499693734
