"","CREBBP","PLA2G4D","CTNNB1","PIK3CA","RBP1","STAT5A","HSPG2","PRKCI","EPN1","HDAC9","TACR2","CD28","TBK1","CASP9","CAPNS1","APC","ANK2","COL4A2","TBP","SMPD1","RYR2","OAS3","ARHGAP35","RHOBTB1","GRM7","SCN3B","CST3","NPHP4","CDON"
"Collagen biosynthesis and modifying enzymes",0.921670257118293,0.90338331949156,0.921868406709941,0.921413001207182,0.923334907767514,0.922378133344808,0.94081880312901,0.903016109011643,0.902583535693215,0.90154237935186,0.922508473603811,0.90373752485661,0.923390187378346,0,0.922257432157861,0.922733272127319,0.922934454184963,0.940554531786092,0.922284701089123,0,0.902859202254655,0.921443278922495,0,0,0,0.90282247255242,0.925295246031766,0.922954103007744,0.903947572580151
"Collagen chain trimerization",0.878065283425502,0.840573640884845,0.878444210627349,0.87757332549743,0.878916698229771,0.880009621463902,0.879255149168252,0.839871413650934,0,0,0.879668229082654,0.84125099806101,0.881354355865123,0,0.879188155256256,0.88009811780856,0.880482844082938,0.915029279084655,0.879240302423126,0,0.839571356316059,0.877631226449163,0,0,0,0,0,0.839216416348214,0
"Activation of Matrix Metalloproteinases",0.916818055542083,0.890806403012208,0.942297832689883,0.916457755032433,0.919149486818875,0.918242051266499,0.943636606987338,0.919095857019162,0.889694453299233,0.919157010197396,0.917992022062912,0.919514571069352,0.891646092079687,0.891478440463104,0.919102960482129,0.91830686428457,0.917843771865042,0.918269677805485,0.917678616820872,0.891053615236158,0,0.917913654528127,0.91985804701948,0.916223596077581,0.917138082963263,0.892502156365516,0.921447211792163,0,0.920050831120411
"Cytosolic sulfonation of small molecules",0.757828713569496,0.766049673138731,0.662081010540834,0,0,0.66636432316631,0,0,0.760787340408547,0.669782670001799,0,0,0,0.766944310803328,0,0,0,0.763252069966007,0.664259294963214,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.712883207294647,0.713142344499067,0.672199887071161,0.666690093322675,0.677461527641976,0.673988549770419,0.67648409282151,0.668874131189304,0.710938725173703,0.675303727045334,0,0,0.669684301588117,0.713307562490466,0,0.638803384085104,0,0.711438129243173,0.673800453994285,0.669118266253598,0.634409500055158,0,0.640278374906754,0.638032840958674,0,0,0,0,0
"APAP ADME",0.746283974084293,0.820699824223515,0.676549624944947,0.666765668089578,0.753463345409327,0.679663043382867,0,0.673929804151727,0.748434516002908,0.682147742725501,0,0,0.675460418994111,0,0,0,0,0,0.678132958097735,0.674391036447429,0,0,0,0,0,0,0,0,0
"Interaction between L1 and Ankyrins",0.816594697525685,0.824092033305364,0.81957357152399,0.817058352169061,0,0.822267562780471,0.818560342049595,0.820114754130766,0,0.822090773602817,0.753259200663387,0.825257730046114,0,0.754682511625213,0.828203134170831,0.75963334880179,0.758840292072081,0.822332479626838,0.75815709279661,0.821464644325454,0.821430692666506,0.823246164778604,0.822856541587598,0.822393969546543,0.752269085404784,0.884171689440004,0,0.823146619141767,0
"Ethanol oxidation",0.800964108915999,0.807720756401116,0,0,0.810410165008524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721645409861437,0,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.763513153704661,0.770848495840459,0.764438288643705,0.846326093997921,0.765816124575445,0.768260173828499,0.760949092477154,0.77110641347673,0.767921394421342,0.771310273195362,0.851440713616609,0.772502235099158,0.772985323846915,0.765136671351604,0.774430998430389,0.768476233958311,0.761463404229752,0,0,0.771672600422957,0.762421713163221,0.769648487346397,0.773647243626473,0.768439503343895,0.850036066578877,0.766478875569372,0.774329319248967,0.761555142054268,0.774289907077621
"Post-translational modification: synthesis of GPI-anchored proteins",0.655625117455623,0.659801082891851,0.760020927051615,0.806046509450055,0.716720901190512,0.660942521462498,0.658692508005819,0.662562868294887,0.762003837878249,0,0.660468017716448,0.711186177568178,0.716275187577074,0.663691425529338,0.661840579716101,0,0.762033495547602,0.709765681266513,0,0.662885195062217,0.715051187376501,0,0.764480691017638,0.713687279753761,0.657053406275232,0,0,0,0
"Collagen degradation",0.851215192511431,0.796175516433328,0.907239558355599,0.851112606984022,0.857787149802997,0.854257311319115,0.910099616430004,0.856748452325981,0.74093512380191,0.741589008056829,0.74069147434626,0.797235312088423,0.744180333332192,0.79813532550562,0.858211872515529,0.85439577304191,0.854041001245686,0.910671952239316,0.794999502592077,0.797227760412052,0,0.855147009393608,0.797095910839664,0.853415518285923,0.739646444139032,0.800157743332291,0.863652554960487,0,0.858788588138505
"The canonical retinoid cycle in rods (twilight vision)",0.678684939129462,0.501027724171578,0.679625000206127,0.677464465916443,0.529951436948727,0,0.769529450236802,0,0.683164302451968,0.684810989867015,0.68266160486619,0.687819050465345,0,0.688415073130211,0,0,0,0.685067432176856,0.681599983545975,0,0.68565631177556,0,0,0,0.681234295237187,0,0.698405723316094,0,0
"Glucagon-type ligand receptors",0.805448784714436,0.811004063755122,0.806149417710353,0.868165558246181,0.807192895019439,0.809043848299947,0.803175977168049,0.811199392672639,0.808787280289191,0.811353781875104,0.872039016176672,0.812256491095597,0.812622348985457,0.806678324303629,0.813717202581179,0.809207477247098,0.803896446720404,0,0,0.811628183370776,0.804622203397332,0.810095260605618,0.813123641087436,0.809179660028945,0.870975233996671,0.807694816625494,0.813793448553098,0.803965922581834,0.813610349782721
"RA biosynthesis pathway",0.667938464585141,0.676533240524006,0,0,0.679666001406259,0,0.581448522713588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.710741260444763,0.719979159067627,0.71190634622006,0.815033266588135,0.713641549353152,0.716719507928367,0.707512162572566,0.718487916303077,0.716292859823767,0.720560706909835,0.821474457286162,0.722061826152228,0.722670212890706,0.712785867384319,0.72449084988303,0.715175551139834,0.708159870578968,0,0,0.721017010397097,0.709366734636961,0.71846790620314,0.723503813792589,0.715129293762052,0.819705489091462,0.714476197060207,0.725168003722561,0.708275402302924,0.724313163881573
"Glucuronidation",0.441066756364122,0.451013089040014,0.318378449417989,0.315495395388524,0,0.323560721872809,0.347081223880143,0,0,0.326912562732546,0,0,0,0,0,0,0,0.460366319046627,0,0,0,0,0,0,0,0,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0.710741260444763,0.719979159067627,0.71190634622006,0.815033266588135,0.713641549353152,0.716719507928367,0.707512162572566,0.72030397240732,0.716292859823767,0.720560706909835,0.821474457286162,0.722061826152228,0.722670212890706,0.712785867384319,0.72449084988303,0.716991607244077,0.708159870578968,0,0,0.721017010397097,0.709084287024995,0.71846790620314,0.723503813792589,0.716945349866295,0.819705489091462,0.714476197060207,0.725168003722561,0.707992954690958,0.724313163881573
"Other semaphorin interactions",0.583051731924238,0.47239505491456,0.584256783740703,0.582843219644805,0.351955666398083,0.585886644136698,0.469858588278812,0.592942474447355,0.359045120583739,0,0.465516599872671,0.592816035611607,0.350798961310373,0.473957201324021,0.59532838235989,0.589516484926761,0.34628594910845,0.458091740364533,0.586788488669509,0.473468507750665,0.347534212331764,0.470831961408399,0.597608076409422,0.590824636910657,0,0.352818945099806,0.363740620434688,0.590859473581818,0.363304153731705
