"","STAT3","TP53","KRAS","IL6","LRP2","PAK4","MOV10","APC","CHRM2","OPRM1","NMUR2","TF","GRIA1","HTR2A","FZD7","AP1S3","KNTC1","PRKAB1","ANAPC5","RASGRP1","APBB1","DNAH8","DNAH5","THBS2","SCN1A","BMPR1B","CHN2","CYP4A11","CYP26B1","ITGA10","FBXL7","OR6T1","TFAP2B","MAPK4","TTN","GRIK3","USP22","DNER","IFT81","RING1","NEFH"
"Arachidonic acid metabolism",0.940757169904449,0.938874183827117,0.940577239360633,0.940870145907756,0,0.941225341377423,0.940882974513429,0.926845495888537,0.925590797085766,0.940462262089613,0.925599918702335,0,0.926371651805958,0.926101000141891,0.92692098649512,0.927091532495431,0.92689997109193,0.927194785999755,0.926598744262374,0.941535570656836,0.927942991678509,0.92724869554327,0.92724869554327,0,0.9268789844837,0,0.927942991678509,0.955355926211637,0.953882903915795,0,0.926349607882762,0,0.928673417639686,0.928176936474523,0.928583614223604,0,0.927366376002569,0,0,0.941045219735036,0.942465890887423
"Sialic acid metabolism",0,0,0.773582637710249,0,0.75480882387143,0,0.755852750726189,0.755522094544453,0,0,0,0,0,0,0,0.738369311683958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757776867709154,0,0,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.920519776262146,0.919029447219634,0.92018818805507,0.920727976101842,0,0,0.921474400937716,0,0,0.919976300143527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945596082567738,0.94866829971158,0,0,0,0.896178414531736,0,0,0,0,0,0,0.9217733974338,0.92439150656788
"Aspirin ADME",0.912766372570406,0.911959602055453,0.898385506087322,0.912879078883639,0.898565007110884,0.899032060990782,0.913283146396272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899113415662657,0,0,0,0.926341109406501,0.92693249415669,0.899013125969013,0,0,0.914166737789157,0,0,0,0,0,0,0,0
"Biosynthesis of DHA-derived SPMs",0.89140275279193,0.889821550853954,0.891050945975662,0.891623647628322,0,0,0.892415585759681,0,0,0.890826138187041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918008088255872,0.919167152321497,0,0,0,0.865590211341195,0,0,0,0,0,0,0.892732813583583,0.895510562066337
"Phase 4 - resting membrane potential",0,0,0,0,0,0.901757934360128,0,0,0.898856324821743,0.899648139388357,0.898881544665971,0,0,0.901351344226666,0.902176922701142,0,0,0,0,0.903700057525655,0,0,0,0,0.903502349343288,0,0,0,0,0,0,0.904977826607947,0,0,0,0.903506182364781,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.94225532142157,0.942271726880297,0.942906968285153,0.943121396010191,0.943007257322216,0.943480246949292,0.929227355314521,0.943202889259602,0.9268068277199,0.928007103675813,0.942595319875733,0.927399152984367,0.932283215313882,0.94310155816002,0.942855323568869,0.943886275813934,0.943345571204529,0.92913915859528,0.942329394927001,0,0.929784471072698,0.943340721697758,0.943340721697758,0.934641674226756,0,0.929257825583482,0,0,0,0.948581422128565,0,0,0,0,0,0,0,0,0.944005781204758,0,0
"Classical antibody-mediated complement activation",0.741755019494073,0,0,0.64277630539386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.906989093507225,0.905052053205548,0.906558115043849,0.907259699171338,0,0,0.908229857403525,0,0,0,0,0,0,0,0,0.87425648854372,0,0.874503806401424,0.873076137998736,0,0,0,0,0,0,0,0,0.939581772402661,0.909216081963073,0,0.872479394323208,0,0.878045497425982,0,0,0,0,0,0,0.908618475115757,0.912021336337837
"O-linked glycosylation",0.93618389537414,0.935628518263231,0.936060327695323,0.936261481881659,0.945297278915754,0.936505413116359,0.936383215788049,0.936105057571284,0.935784690120651,0.935981366812999,0.935790954409986,0.936187327030192,0.936320943739528,0.936135073140865,0.93654177618053,0,0.926570588689084,0.926691805648408,0,0.936718463725473,0.937074767429901,0.936653907223028,0.936653907223028,0.945660172928454,0,0.936698200490905,0.917283308789919,0,0,0.945605761876098,0,0,0,0.917443970869863,0.936822404760633,0,0,0.937231805146527,0.926997237658571,0,0
