"","PIK3CA","GRM1","RXRG","KRAS","LRP2","GFRA1","EPS15","IRF5","ACACB","OR51F2","OR51Q1","GRIN3A","STK25","CTTNBP2","PHC2","KCNQ5","NEFH"
"Collagen formation",0.915886771893735,0.916641030409028,0.914775179751283,0.916412177850021,0.915804062427579,0.917629908362987,0.899733624436241,0.917043599340366,0.916834641541502,0,0,0.917286672134918,0.900435309352364,0.899683609094769,0,0,0
"Activation of Matrix Metalloproteinases",0.912269088912711,0.913535053255126,0.91519480810486,0.913594378927851,0.913181115536955,0.91519480810486,0.886771581605215,0.913447176721012,0.913860014505196,0,0,0,0,0,0.858743551400506,0,0
"Collagen biosynthesis and modifying enzymes",0.919414823997821,0.92043215911159,0.919692869616333,0.918701829543928,0.918740825555655,0.919987942228403,0.89762764656038,0.920975139404498,0.920693299555468,0,0,0.92130299316297,0.898574071014997,0.89756018644946,0,0,0
"Collagen chain trimerization",0.878175078354733,0.879933022104649,0.878746379835258,0.876943031876652,0.877010416550748,0.879165420276266,0,0.880871286005429,0.880384269884217,0,0,0,0.839534270968152,0.837782289727164,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0.88944094592495,0.89052965133791,0.887836461046153,0.890199322923038,0.88932156213056,0.891957009146146,0.864313706849704,0.891110723961885,0.890809111872541,0,0,0.891461578028238,0.865510455449963,0.864425442655578,0,0,0
"Phase II - Conjugation of compounds",0.710503088085109,0,0.714114773131206,0,0,0.71446102734652,0.714066308444887,0.713129762961382,0.752021100656056,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.892079836229166,0.894287137437495,0.847872338490595,0.845081873437274,0.845692636292674,0.847872338490595,0.845642442671021,0.846156533381544,0.797576186004743,0.900543623541093,0.900543623541093,0.849785148422305,0.845877509685365,0.84623031003537,0.846919078604779,0.850159381713495,0.852824099373717
"Interaction between L1 and Ankyrins",0.807254163382467,0.810999214646816,0,0.88629278229916,0,0.814294194330816,0.810049591626448,0.814835480891286,0.808348858567397,0.818670085617288,0.818670085617288,0.816783426501227,0.813534972484705,0,0,0.812010778912347,0
"GABA receptor activation",0.593670899596562,0.595529574932326,0.556156965439713,0.556565064737356,0.554610193204607,0.556248325106771,0.554567927270883,0.555000821395342,0.508885553072851,0.600797898242907,0.600797898242907,0.556977448483412,0.554765867298353,0.555062945606709,0.555445625125611,0.599420848225174,0.560417994288001
"Heme degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucuronidation",0.603010269875967,0,0.613380849312428,0,0,0.614051794675784,0,0.61033794568701,0.717455211769606,0,0,0,0,0,0,0,0
"Scavenging by Class A Receptors",0.46199327729964,0.465697353155401,0.467583683659339,0.462900999578277,0.462348897952258,0.380513927516902,0.37848399265743,0.467674322362396,0.464414068393326,0.387868739745492,0.387868739745492,0,0.310430748892042,0.30655565573913,0.463079371476489,0.386061112377759,0.317620704674903
