"","CREBBP","AR","KAT2B","PIK3CA","ARNT","INSR","PML","HIST1H2AC","JAK3","STAT5A","STAT5B","NCOR2","SMAD4","NGFR","GNA11","SNW1","FGR","MYOD1","NCOA2","PPP2R2A","GNAS","TNRC6C","AGRN","HSPA2","AP2A2","CSF1R","DYNC1H1","TRIO","ADCY2","TCF7L2","TUBA1A","TGM2","PRKAG2","WDR5","NCOA6","GLI1","MAML1","ARHGEF1","CASR","IRS2","HNF1A","COPA","CCKBR","NTSR2","HTR2B","P2RY2","GRK5","XCR1","LAMC3","DYNC2H1","VCL","SPHK1","MYH2","MTOR","NEDD4L","NAPA","SPTB","HLA-E","KLC1","HIP1R","RYR2","SGIP1","FLNC","ITPR3","TNS1","S1PR4","EPN1","FLNB","PAX8","CACNA1D","CACNA1F","BMPR2","ABCB1","PARVB","TFDP1","CACNA2D2","HES1","RAPGEF1","IGF2R","ANK3","UBQLN1","ABLIM3","MITF","LIMK2","KIFAP3","PLD2","OPTN","TUBGCP3","TTBK2","CEP57","SFI1","TAS2R38","PTGDR2","CNR1","NPY1R","HTR1B","PTGER3","GRM7","BCR","ASH2L","DLG1","MAP3K5","NAPB","TRIM2","UBE2D2","OS9","SNX18","SNAP91","GLI3","DAPP1","ARHGAP35","MED16","PLXNB3","CD79B","SLC9A3R2","TRADD","WNT3","MYH9","SLC2A4","OBSCN","SMARCA2","AXL","ELAVL1","DDX17","FGD1","FGD3","RGS19","RUNX2","ERCC2","PDE1B","ADCY10","COG1","COG6","CBLC","COL1A1","CTSA","ASH1L","DOCK8","PIK3C3","BRD1","FAT1","HMGCS2","ARAP3","MYO10","CCM2","PLXNA3","OR2L3","OR6C75","OR5K2","OR4Q3","ARHGAP22","ARHGAP25","ARHGAP11A","DLC1","DGKQ","BNIP2","MYL1","WNT5B","AFP","FZD8","DRD5","TEP1","HIPK2","PTCH1","FLT3","RPL10L","RPL5","PPIB","PHKB","MYD88","SPRY4","MYLK2","NF2","POLE4","NRXN2","XAB2","VDAC1","DOCK3","DOCK6","KCNQ2","SND1","COL5A1","NFASC","FZD10","ENAH","PDE3A","CACNA1E","NUP210","RPTOR","KCNU1","RASAL1","PGM2L1","SP3","INPP4B","INPP4A","SALL4","AKAP4","GABRA5","HUWE1","COL5A3","ABCA3","NCOA7","RICTOR","PPWD1"
"Activation of Matrix Metalloproteinases",0.8925522941528,0.894452897742978,0.893448371844548,0.892216822796268,0.894363105479741,0.893080920447476,0.893738732690839,0.892636782623273,0.893528072635621,0.89387815899221,0.894103290747536,0.893774449030849,0.893483991395951,0.893427201892037,0.893321298963201,0.893083178124721,0.89432052580892,0.895684695289696,0.893695445452903,0.867028136264906,0.893783536325243,0.894601089390481,0.893386508725143,0.89362908982653,0.892720177711907,0.894292925463511,0.866768309316685,0.893455417726464,0.892482917469716,0.894348750136093,0.866236126429668,0.869670424104136,0.868747836357839,0.89386837404454,0.893918069793457,0.8677892810851,0.895012969964315,0.894562899065466,0.892722921553322,0.893873061096757,0.895080464678186,0.89361302321437,0.893637199095852,0.893637199095852,0.89361302321437,0.89355069103679,0.893528072635621,0.893327685918751,0.894017262947168,0.867252696664234,0.894126981439997,0.869662690028911,0.867167057592018,0.867823686621092,0.892087256214806,0.868577649883047,0.894151126604117,0.89362908982653,0.867755788455844,0.867143396453615,0,0.867235548392228,0.867735662241258,0,0.868838793543331,0.89284423562071,0.867297842952328,0.867792783366071,0,0,0,0.868628344421869,0.896964197526963,0.868090122697875,0.893991084148373,0,0.894533027192399,0.89548720648131,0.867103600168431,0,0,0.896532521804216,0.895976067278402,0.870114204520625,0.867497502146642,0.894306649412573,0,0,0,0,0,0.892893292361643,0.892893292361643,0.892887058340305,0.892880854008631,0.892880854008631,0.89286241628475,0.892850267733842,0.86708828376397,0.894226477343591,0.895088792123159,0.868628344421869,0.868957551193968,0.894395263539786,0.892841281447823,0.870572015611662,0.867571511499891,0.867560248327084,0.867835366959832,0.895382792687928,0.895382792687928,0.894516581364663,0,0.895142119155813,0.870806318822004,0.86816955101119,0.892824484243095,0,0.894292925463511,0.869242802340212,0.894533027192399,0.868949208269449,0,0.870236047288666,0,0,0.895838993220843,0.896532521804216,0.893253035424809,0,0,0,0,0.895226815164535,0.893532948760218,0.870571777393942,0.867536503925952,0.871890018553469,0,0.895728495713127,0.895805754316375,0.895169694039722,0,0,0,0.895286789906024,0,0,0,0,0,0,0,0,0.870382920406589,0.89615464695825,0.868455919878686,0.870382920406589,0.89676022522117,0,0,0,0.871150062740591,0.871119193708686,0.896366096572365,0,0,0.89478977653659,0,0.894202739626201,0,0,0,0.893469625649544,0,0.89309920667216,0.866796088114846,0,0,0,0.896839701181647,0.893943053092225,0,0,0.89615464695825,0,0,0.867479644871027,0,0,0,0,0.896446265649094,0,0,0.895034967129754,0,0,0.867784341745752,0.89397959840469,0.87161158458175,0.870941680127922,0,0
"Interaction between L1 and Ankyrins",0.871200594283123,0.872547580761773,0.872728247510868,0.869942027895244,0.826517431458509,0.871116885555118,0.87322326115548,0.822732337816735,0.870696857583351,0.873460958222691,0.871677502245547,0.825513876819817,0.82501869816783,0.873378803843451,0.870618405932004,0.824335382766547,0.872047849421643,0.828770507232547,0,0.824698308623607,0.871406438492806,0.874693426084043,0.871637859264249,0.86855230405472,0.872669148909576,0.872000795737416,0.912030151300037,0.870572993874314,0.869510544604989,0,0.873106353882527,0.835980053749837,0.874414492280373,0,0,0.873766199631917,0,0.875124014018615,0.869324218066686,0.872467344595496,0,0.913013475939581,0.830068997040104,0.830068997040104,0.830027781458329,0.82992151617224,0.829882955817629,0.829541332074909,0.874193801398696,0.912855945649987,0.871717890666259,0.872991788594258,0.826739096450732,0.871657589343641,0.866380674261847,0.912868650298881,0.913482296264589,0.873036339555819,0.913713627753204,0.870226793284769,0.872895635020416,0.870383895964327,0.874091021205619,0.914393048422984,0.874778370961931,0.829403782567478,0,0.874188402572767,0.876425735573243,0.871889183460693,0.872175223161795,0,0.878722105522725,0.828312758423759,0.873653475546685,0.872869010897316,0.873005617369248,0.874036832644122,0.870158947690493,0.91360377539125,0.873522558743937,0.875818909512852,0,0.874448187906283,0.913273295494553,0.872024192631764,0.874663812715663,0.874494373304228,0.874099373060013,0.873864867094681,0.873824854956779,0.829487415593186,0.829487415593186,0.829476787694616,0.829466210411646,0.829466210411646,0.829434777368889,0.829414066248438,0.872586668509905,0,0.873953097814482,0.873624878754109,0.913516314523978,0.875524872576479,0,0,0,0,0.873844767858684,0.875339443954675,0.873858825681166,0,0.829500572047214,0.874929138351094,0,0.826460162647062,0,0.867684827996833,0,0.828661123886109,0,0.829179544428639,0,0,0.833964469196209,0.833964469196209,0.83500500774713,0.830215900777551,0.870502028729757,0.872070902467275,0.872251713660386,0.913910166237,0.913910166237,0.873592911721627,0.873368131774566,0.878509861377472,0,0.832487509768895,0.873062835446636,0.87661545351942,0,0,0.828903490661934,0.873274162779555,0.831280952210982,0.873695157998109,0.876252158023818,0.876252158023818,0.876252158023818,0.876252158023818,0.829179544428639,0.829179544428639,0.82908318941042,0.828903490661934,0,0,0.826817037066696,0.827483473979799,0.87994614375006,0.832253778733069,0.830654080681205,0,0.878509861377472,0,0,0,0,0,0.87472224862188,0,0.876793955515559,0.874964615397704,0.877663507082296,0,0.829506918888598,0,0,0.831991814116749,0.833174157108524,0.916030618396696,0,0.826799604489732,0.914985145089293,0.8332229308784,0,0.873244462624546,0.872276289415673,0,0,0.875561696782984,0.875067907148516,0,0.830068849361141,0,0,0,0.873722580793182,0.8743243277909,0,0,0,0,0,0
"Glucuronidation",0.80941104391337,0.776078964231241,0.774526305740475,0.729728420273732,0.780164851233023,0.771597293283989,0.774975105750594,0.773271862328515,0,0.77519061182266,0.775538589641843,0.775030311175025,0.77458136156234,0,0,0.773961839328259,0,0.777982908094517,0.811177970555192,0,0,0.776308018574306,0.739820114139288,0.774805634834524,0,0,0,0,0,0.775917987131122,0,0,0.775432582449261,0.775175487591313,0.811522072756193,0.775467356411503,0.776944647128278,0,0,0.772821675758258,0.778120932663558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779595061085493,0,0,0,0,0,0.775365156055727,0,0.77620281735459,0,0,0,0,0,0.735538945291731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775728994602644,0,0,0,0,0,0,0,0,0,0,0,0.776177397647529,0,0,0,0,0,0,0.775831701001503,0,0.77620281735459,0,0,0.779437688441756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779595061085493,0.777186889729259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738176025727477,0,0,0,0,0,0,0,0,0,0.778050608787397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816037930225725,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.781324929724978,0.760174905987864,0.759303010907728,0.734637085161504,0.762572026326122,0.758007813484007,0.759555034468037,0.758598578448368,0.759293084548169,0.759676051861812,0.75987145873998,0.759586035063625,0.759333927494023,0.759634225056882,0.735584916127895,0.758986034901323,0.736452211806467,0.76124406530211,0.78023433527644,0.759170809336574,0.735986122789116,0.760303531410641,0.740163344580092,0.759459868107356,0,0.736521468727234,0.75886618418834,0.715638739397679,0.738146736219904,0.760084509327914,0.759416410118233,0,0.760161519385201,0.759667558852576,0.780427565801955,0.759831457733033,0.760661030054021,0,0,0.758695365229525,0.7613215729726,0.735931336181197,0,0,0,0,0,0,0,0.759286616300512,0,0,0,0.760210909558366,0.715447535318016,0,0,0,0,0,0.71648809481059,0,0,0.759467233186716,0,0,0.759514818536792,0,0.762149369507522,0,0,0.737014760993354,0.71880252182931,0,0.759774067142688,0,0.760244455685721,0,0,0,0.761058718959464,0,0.737899984380058,0,0,0.736440167555817,0,0,0,0,0,0,0,0,0,0,0,0,0.716663950432751,0.759978380609498,0,0.737163154710368,0,0,0.758268279672162,0,0,0,0,0,0.71731163678052,0.760230181254056,0,0,0,0.736764937284421,0,0,0.76003605536824,0.717611695512037,0.760244455685721,0,0.714789178008176,0.762060996929368,0.717779799785817,0.717779799785817,0,0,0,0.740430045793681,0.739705980415097,0,0,0,0,0,0,0,0,0,0.762149369507522,0.760797061340522,0.717735090368743,0,0,0,0,0,0,0,0.717875636096884,0.717875636096884,0.717826579399136,0.717735090368743,0.719466654541988,0,0,0,0.739380836397114,0,0,0,0,0,0,0.714055013546694,0.695311377390321,0.736592565946376,0.761631671577367,0,0,0,0,0.739003166112719,0,-0.016488190779577,0.736985351146445,0,0,0,0.738731985372275,0,0,0,0,0.740397354223126,0,0.715114034768779,0.760334337534032,0,0,0.782963444704945,0.71835297418015,0.740057549168756,0.740057549168756,0,0,0,0.693418716403058,0,0,0,0,-0.016488190779577
"Potassium Channels",0.914566395546448,0.916511709879346,0.915483553014821,0.940513872591941,0.916419805298317,0.915817301002787,0.915780744453857,0.914652871565659,0.915565128726883,0.915923450688782,0.916153878555324,0.915817301002787,0.889281024151647,0.915874127647983,0.941644331004723,0.893623110907989,0.916376223962174,0.91777248484328,0.91561150690973,0.91532765816465,0.942117442268022,0.916663387660759,0.916130078090857,0.915668522296358,0.915448071975956,0.916347974332533,0.916198409525559,0.941781604844377,0.940786227008634,0.916405112252435,0.916847247418727,0.919225644609914,0.916077157247261,0.885470513341595,0.915839368375829,0.91598177653788,0.89515151226636,0.943624982618572,0.941031877067491,0.916628076362089,0.91786388350498,0.892972583543843,0.941967662528974,0.941967662528974,0.94194291792205,0.94187911941137,0.941855968923699,0.941650868210187,0.916775670488442,0.892547825898099,0.917507794240299,0.916942936908626,0.916663387660759,0.916141923442496,0.893428227152907,0.892885634545492,0.917622932781631,0.915668522296358,0.916072428007089,0.915668522296358,0.918388766014667,0.915762842062938,0.894806399516302,0.942771172124859,0.918015547715591,0.941568287585396,0.915826602071206,0.891114735883192,0.918840038445179,0.942214290885598,0.942386020597127,0.88807804567773,0.919082086726595,0.89136918106198,0,0.942802550076162,0,0.91757035021009,0.915627789823597,0.917740428094557,0.915425741099137,0.91864025604977,0.918070711211348,0.917817315649624,0.892798390306249,0.916362021130588,0.917782299284262,0.917680572911541,0.917443426537344,0.91730263614488,0.917278614049789,0.941618498361466,0.941618498361466,0.941612117687914,0.94160576740246,0.94160576740246,0.941586895940406,0.941574461600953,0.916699714884018,0,0.918492231035619,0.916965510412982,0.892944291688674,0.91716256335472,0.892928735870717,0.888416368583413,0.916106708533589,0.916095180400312,0.915434061302935,0.91746348013478,0.91746348013478,0,0.918321295306974,0.917217144878974,0.91825349188827,0.890256937771674,0.917110289744081,0.916527694209361,0.893668480151142,0.917817315649624,0,0.91812855989256,0.915406710415466,0.892496841311147,0.918015547715591,0.918015547715591,0.91864025604977,0.91864025604977,0.916420312011431,0.943066510685258,0.942624920286394,0.893180748518973,0.893180748518973,0.917303833318665,0,0.892715675320831,0.889208825650816,0.919989631697865,0.916628076362089,0.917817315649624,0,0,0.917962825438427,0.895416194457929,0.919390182495562,0.891176121500285,0.945026667854556,0.945026667854556,0.945026667854556,0.945026667854556,0.91812855989256,0.91812855989256,0.918070711211348,0.917962825438427,0.917110289744081,0.91825349188827,0.890772935827704,0.917110289744081,0,0.916988500146256,0.942318929309493,0.919225644609914,0.890067196932173,0.91786388350498,0.918469915748116,0,0,0,0.917097498397234,0.88807804567773,0.892986658263321,0.917243008186037,0.918863342316778,0.893571861553483,0.917136150637649,0.893639516518938,0.895054740500951,0.893577976450948,0.894287819945133,0.945733234163135,0.918449137986976,0,0.91899044326537,0.91757035021009,0.892014505541676,0.916737119906562,0.91689897869099,0,0.916699714884018,0.94461213550379,0.892000279177323,0,0,0.917365218935758,0.917365218935758,0,0.918353835486267,0.891889573545967,0.893086956176244,0,0.894973483564016,0.894287819945133,0.917962825438427,0.915222231011681
"Collagen biosynthesis and modifying enzymes",0.908611817246888,0.88157094725386,0.909553656645546,0.907835877139273,0.883207018971279,0.909317358855925,0.909858845902441,0.881392534696088,0.909214091072686,0.909582055956317,0.909818684943968,0.882481434089543,0.907128308841192,0.909531405566729,0.882009861399927,0.881857039764713,0.908358106347742,0.884489234533958,0.909813348032644,0.909393566457108,0.882495704718103,0.881726706886597,0.909488634244345,0,0.90951722076462,0.910018004097322,0.909120470431036,0.907160729324941,0.881128664681225,0.883191930515943,0.909786769416981,0.910996119886656,0.881554736676904,0.882687022143193,0.882739255799613,0,0.88378320493145,0.909053714852746,0.881380925510683,0,0.884583092855502,0.909726716580604,0.882341894206582,0.882341894206582,0.882316483689294,0.882250968275631,0.882227194777471,0.882016574530306,0.910151600394094,0.909629594910236,0.907866589062261,0.908940070295161,0.908364909186838,0.880805414585501,0.881437024512132,0.934301297102909,0.910292300321481,0.909743603697061,0.91015837904898,0.909743603697061,0.910046869690829,0.908243144821442,0.908962551853146,0,0.90975345767153,0,0.882450921783678,0.909022590091281,0,0.909426365171496,0.909602716358523,0.884190746334243,0.884210496369055,0.909335114217305,0.88108554934446,0.910030455201182,0.88380895499591,0.909584368125074,0.909701775059152,0.91041295758993,0.91177553195264,0.910394977739881,0,0.909549890916372,0.909886902340677,0,0.910746984774888,0.910642520809848,0.910398992510543,0.910254413260908,0.91022974469921,0,0,0,0,0,0,0,0,0.883063413385763,0.911277851392253,0,0.934700599557955,0.911277851392253,0.881460546981019,0.906748424738772,0.882738566284419,0.882726727913705,0,0,0,0.882742338312654,0.911738820037216,0,0.91028589405662,0,0.910126015651458,0.880345064664336,0,0,0.883278752007498,0,0.882161972991932,0.883431582410908,0,0,0,0.885380358620581,0,0,0,0.910279550322689,0.910279550322689,0,0.87637702679469,0.91311817745989,0.90866673831534,0,0,0.882911688616131,0.885692383818929,0.883947932733845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884965148934853,0,0,0.883619358007414,0.884079642131652,0.884543029177065,0,0.909354714224821,0.909136722974528,0.934598876060484,0,0,0,0,0,0,0,0.881873886872525,0,0,0,0,0.885703225312591,0.936878096148584,0,0,0,0,0,0.882555359996083,0,0,0,0.91178199978243,0.910241863198069,0,0,0.884535271797071,0,0.912269844184853,0.881663088884354,0.936902537115283,0.885974874408816,0.885270758667779,0,0.882491656998116
"Collagen chain trimerization",0.856324424202512,0.810757238113371,0.858028519465168,0.85492049497278,0.810586477729741,0.857600979542287,0.858580706565888,0.807303482707529,0.857414134374787,0.858079903099171,0.858508042267524,0.809467013786908,0.853753271262882,0.857988259992002,0.808605246006432,0.808152405146168,0.855865378273945,0.813099780934429,0.858498386050848,0.857738863997258,0.809484295341252,0.811039058190806,0.857910872692256,0,0.857962595049429,0.858868675752884,0.857244744039077,0.853698931940234,0.807010873169675,0.810559177783174,0.857402646892689,0.860638406861296,0,0.809645633534224,0.809740141288499,0,0.811822342654992,0.857123961382414,0.807467295448298,0,0.81326960131074,0.858341641443191,0.809206001861065,0.809206001861065,0.809160025931204,0.809041487137635,0.808998473110351,0.80861739225312,0.856086310369686,0.858165916602405,0.854976062878035,0.856918341239017,0.85587768683302,0,0.807577335551239,0.858180088622338,0.859364967261626,0.858372195755525,0.859122659914574,0.857432923559947,0.858920903044731,0,0.856959017724324,0,0.858390024815593,0,0,0.857067646517439,0,0.857798207590115,0.858117284518522,0.811600407761143,0.815533045060035,0.857633104793429,0.809878994668585,0.858891203868751,0.810909622461755,0.85808408656806,0,0.859583275690708,0,0.859550744266207,0,0.858021706030465,0.858631469831422,0,0.859139990270839,0.85895098081955,0.85851035854174,0.858248767431054,0.858204133941327,0,0,0,0,0,0,0,0,0.810326648295639,0,0,0.858902557254443,0.861148151223987,0,0.856462874401214,0,0,0,0,0,0.809939074789289,0,0,0.859353376234943,0,0.859064103952189,0,0,0,0.810909622461755,0,0,0.814889689410395,0,0,0,0.814712115623992,0,0,0,0.859341898347147,0.859341898347147,0,0.798712662118449,0.86447790249376,0.85630180570309,0,0,0,0.815083314949429,0.81212038908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816898458169914,0,0,0,0,0,0,0.857668567612251,0.857274150201538,0.905204505058783,0,0,0,0,0,0,0,0,0,0,0,0,0.815296286981772,0.904845673592752,0,0,0,0,0,0,0,0,0,0.862060320416105,0.859386708595336,0,0,0.81318307738825,0,0,0.807986359877795,0.904913170234489,0.81949133577533,0.818217360296736,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.762298999774565,0.7654265260049,0.722912390269363,0.721943954646271,0.724812984727148,0.723859096624723,0.723390191725559,0.763955151606102,0.723043541402585,0.723795614588296,0.724166078725953,0.723448964523216,0.722045949957539,0.72395045811856,0.763564430781963,0.763876972950033,0.724742918018834,0.72659235818606,0,0.722907144741853,0.765179413086209,0.724809237344526,0,0.761570169620961,0.764570841616887,0.724712272242901,0.763095342458962,0.723982116708559,0.763039187945443,0.723949430554939,0.764138493941374,0.728484064769238,0.762900402405086,0.722346208759091,0,0.764775396102264,0,0.725887625075323,0.763434125148943,0.724307895040381,0,0.723593463392258,0.724281245892513,0.724281245892513,0.724241463423475,0.724138893102456,0.724101673535309,0.723771928439351,0.724989757008035,0.723441410610315,0.723782758679596,0.725258675047517,0.724985228137899,0.723970867424962,0.764192113475253,0.7647590364257,0.763092460141637,0.723209769602887,0.724269270129605,0.764925264626002,0.765452224376906,0.765076904666396,0.725920891926172,0.766893201319508,0.726736822588436,0.764296524575402,0.765179413086209,0.726014887232232,0.769169832955008,0.765335118818038,0.764756862059409,0.72485039546169,0,0.726081867975511,0.766183713924632,0.766280876538325,0.724873228817844,0,0.764859778100339,0.724667835920615,0,0,0.727071823521269,0.727059793999543,0.723844248725279,0.724324723499068,0.765641798156395,0.765478250346345,0.765096984710665,0.764870632784931,0.764832011914651,0.764377249585519,0.764377249585519,0.76436699123109,0.764356781732301,0.764356781732301,0.764326441652254,0.764306450681058,0.724423069926334,0,0.764635429712587,0.725470957778799,0.764321364227339,0.725611773495114,0.721913396502459,0.722435393221152,0.765629746635689,0.765611212592834,0.76485123242227,0.725650992743321,0,0,0,0.725254953933057,0.72692111266149,0.724715993180385,0,0.76061384273875,0.766017635164509,0,0.767075504876885,0.726720256641986,0.764354373568555,0,0,0,0,0,0.763452100147632,0.76670525203115,0.765140946539724,0.724458974746394,0.724458974746394,0.725838896438859,0.724192796857461,0,0,0,0.72492845735749,0,0.728484679258691,0,0,0.766081925076515,0.729193167605239,0,0.769002290894742,0.769002290894742,0.769002290894742,0.769002290894742,0,0,0,0,0.725083160495066,0.727365684185226,0.72554557502623,0,0,0,0.76550334839919,0.728928636292974,0,0,0,0.722846318049092,0.722505032979336,0.764970424361228,0.767525578185808,0,0.728484064769238,0.767759517592697,0.770364565738439,0,0.767284804190455,0.763903348625008,0,0,0,0.767759517592697,0,0,0.726677513826606,0,0.727761044488651,0.766643273381229,0.763548402436305,0.723292419810374,0,0.768335837777927,0.726818033070487,0.728048399310819,0,0,0,0,0.766560669946483,0,0,0,0,0,0.726898373103007,0.764870523775944
"WNT ligand biogenesis and trafficking",0.843333688286794,0.845794199686779,0.842878121292311,0.84118189383651,0.789125219802969,0.790278498600723,0.790283656130619,0.787179905725963,0.787402814711956,0.84460869787413,0.788589305292995,0.845854602043397,0.788927425854646,0.84450929856986,0.788696404539633,0.786485139945109,0.789037391590807,0,0.845691642986373,0.789291735484273,0.789649852049204,0.789616104326045,0.847315713346047,0.787611180796149,0.842772988251102,0.788980460925409,0.788755795776573,0.843736718150901,0.786967092258375,0.845968277699117,0.790063380104713,0.796499844629931,0.848052992313554,0.843744451200885,0,0.790214342539478,0.790465681923209,0.847451624314303,0.787462143750514,0.789544942482333,0.848908097411025,0.78757804052535,0.789348005252779,0.789348005252779,0.789298138158762,0.789169566856743,0.789122912345368,0.788709578781619,0.84632615190371,0,0.790253708207652,0.790179471877945,0.846099871553344,0.788565212498262,0.787476936053478,0.787402814711956,0,0.844094948023447,0.844908927575135,0.843217255435749,0.791710133579991,0.843407335346176,0,0.790967295010902,0,0.788543156425709,0.843535829055392,0,0.794002645993093,0.790492419007202,0.790838500951299,0.848999336055409,0.794490438926837,0,0.79080417629727,0.79167792081985,0,0.791443879843169,0.843135168455952,0,0.793688611125763,0.850083797510018,0.794067779575282,0,0,0.789008769033166,0.791947763212183,0.791742756981613,0.791264842720377,0.790981111895349,0.790932700858631,0.788644344757316,0.788644344757316,0.788631485969585,0.788618688422115,0.788618688422115,0.788580657307887,0.788555598741532,0.846173080760632,0.790458936363756,0.792237615342482,0.846708730838753,0.788186429340554,0,0.787601721249737,0.792522312634113,0.844100319545666,0.84407708723053,0.845073072520293,0.847712274884142,0.847712274884142,0.847385383160532,0.849441005106918,0.790732075307018,0,0.848052992313554,0.897494696685784,0.84582641244692,0.846924052728452,0.848425349411417,0.847419305631509,0,0.787083558849312,0,0.848824840787497,0.848824840787497,0.793600030282719,0,0.788451037718185,0.791562482309823,0.790672557890964,0.788662953983823,0.788662953983823,0.790906776024047,0.847617772197645,0,0,0.85305492726399,0.789544942482333,0,0.794002645993093,0.790788953453504,0.848718591100032,0.847781987113032,0.851595102688247,0.847514251918378,0.795512730626474,0.795512730626474,0.795512730626474,0.795512730626474,0.849052590974484,0.849052590974484,0.848936010192515,0.848718591100032,0,0.794436132211812,0,0.799439397203785,0,0.897447494946919,0.790055903083715,0.794779746996519,0.853008015317204,0.845860103774048,0.851200340179389,0.789215489577972,0.788787690724051,0.848779677869519,0,0.848999336055409,0.794779746996519,0,0,0.842921961079196,0.79056884994404,0.788133738310655,0.791195811461878,0.852455180745189,0.853885707904901,0,0,0,0,0.898620080630967,0.794436132211812,0,0,0.78785556464907,0,0,0,0,0,0.79103048469108,0.79103048469108,0.793557118794184,0,0.792568823747185,0.787920578076811,0,0,0,0.792234823872733,0.787730550138236
"Aspirin ADME",0.838147992048924,0.806303902843978,0.804820557191492,0.765831367038333,0.806171309982502,0.802120121489935,0.805249322143866,0.803622113881205,0.767767640410247,0.805455207724619,0.805787651329131,0.805302063121235,0.804873155244762,0.804789296318008,0.765573715676405,0.804281289346364,0.767049236416846,0.808122852000513,0.839836040623671,0,0.766256284221897,0.806522731882037,0.769579368057386,0.805087416645606,0.767598759932401,0,0,0,0,0.806150111985891,0,0.773048751209867,0,0.805440758660031,0.840164781622997,0.805719598049439,0.807130940450371,0,0,0.803289845824673,0.808254714960488,0,0,0,0,0,0,0,0.76951411696564,0,0.768652026539659,0.769755436092855,0.769352123937107,0,0,0,0,0,0,0,0,0,0.770191761059209,0,0.771302916474708,0.767352595899826,0,0.770276109678083,0.809663036235827,0,0,0,0,0.77071517949782,0.840272599177629,0,0.80642222699134,0,0,0,0,0,0.771382502123971,0,0,0.768917335484334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805969556347198,0,0,0,0,0,0,0,0,0,0,0,0.806397942055419,0,0,0,0.769110520416986,0,0,0.806067677789316,0,0.80642222699134,0,-0.0280511803167993,0.809512688926167,0,0,0,0.772204197615309,0,0,0,0,0,0,0.768798948402269,0,0,0,0,0,0.809663036235827,0.807362369004138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770675572024639,0,0,0,0,0,0,0,0,0.804281390274164,0,0,0,0,0,0,0,-0.0280511803167993,0,0,0,0,0,0.769404534061035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769458499150883,0,0,0,-0.0280511803167993
