"","AR","TP53","APOB","KRAS","HSPA2","IRF5","IRS2","RELN","TAS2R46","APC","NRG3","OR2A5","FGD1","ERBB4","AMPH","DAPK1","NRXN2","ELMO1","MLXIPL","ARHGEF9","USP9X","MED15","THBS2","NEFH","MUC16","KCNAB2","WNK1","HCFC1"
"Classical antibody-mediated complement activation",0,0,0.696614533550667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Interaction between L1 and Ankyrins",0.905246387284769,0.936023474945148,0,0.937548950140913,0.902031021422932,0.906121732988308,0.905181813877507,0.90600928932701,0.870591920212762,0.906064263123803,0.906301666420475,0.908227800622145,0.874195016161375,0.905603882097985,0,0.907490336614967,0.870607616304637,0.905794259668075,0.907495287061287,0.869866832074708,0,0.868627059259567,0.905379662705973,0,0.904943375898651,0.903666395462199,0.907643988191739,0
"Glucagon-type ligand receptors",0.922634621167067,0.889702480077865,0.893704361821575,0.893646309030436,0.891264868443431,0.894308752436082,0.895002399977247,0.893087866277229,0.921265734476029,0.89425918772318,0.895491618220675,0.925205932190356,0.896606460886438,0.895366411452707,0.894399644647636,0.894810991838575,0.892750285715275,0.895530602019115,0.894179237707026,0.896325454975242,0.896091766356968,0.895128465633772,0,0.895790595484301,0,0,0,0
"Initial triggering of complement",0.841075301214816,0.836675460488385,0.839057627616088,0.838956956419298,0.839384847987739,0.840105720658614,0.841308596984636,0,0.886852683045842,0,0.842983444944863,0.84553429367597,0.844090250171097,0,0.840263339741808,0,0,0,0,0,0,0,0.841604499073595,0,0.841725067195852,0,0,0
"Potassium Channels",0.933156674533675,0.913705346028683,0.915505483401226,0.916034763733902,0.91462816878924,0.91642603511417,0.916835737178586,0.915704920210687,0.93234814329845,0.916396759777644,0.917124693330505,0.93467541621728,0.917783173775624,0.917050740107475,0.915916151344648,0.916722682197626,0.915630340688413,0.917147719062957,0.915858009263276,0.91761719798086,0.917479170086785,0,0,0.917301283882409,0,0.934335201820668,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.906177720991726,0.856414982512991,0.858670753879188,0.858575424210468,0.901623985539428,0.858880609269143,0.860019662000482,0.857421215418712,0.90392984432269,0.858799218046283,0.862388270679829,0.910400123105745,0.862653723034966,0.861400039373061,0.859812491945106,0.863012296515142,0.859024103647251,0.860887033313409,0.861608520653425,0.862192277514474,0.862591159410048,0,0,0.861974880210217,0,0,0,0.858579236133593
"Phase 0 - rapid depolarisation",0.880280304449032,0.90804685109663,0.87762314341064,0.918839570393348,0.913751513437434,0.879531543587962,0.879361459790701,0.878982127066708,0.877348100736723,0.879465167147537,0.881753872924818,0.882262780546877,0.882608605859519,0.879188181184341,0.878554257430699,0.882156745464439,0.880148080544553,0.881167829189334,0.880443677965544,0.882232286275851,0,0.879168301897611,0,0,0,0.841478846781629,0.881289715156549,0.877222722924443
"Neurexins and neuroligins",0.909078495369505,0.907096197100547,0.92936452292321,0.933245017251836,0.908462432858724,0.908589574671881,0.909196137095922,0.935054912440643,0.908117833245649,0.908782598086656,0.91057792364568,0.911563352381764,0.884210145492967,0.909750813598831,0.933903774114605,0.911563352381764,0.936099266796513,0.910195252853323,0.910774547413232,0.88396441892933,0.910385102633114,0,0.882644780109972,0,0.909642511811941,0,0.911563352381764,0.909397774053169
"ADP signalling through P2Y purinoceptor 12",0.891952306413333,0.828771830467707,0.832569754112613,0.831472329992107,0.827265957076164,0.832125852168089,0.834255856424132,0.831007861457898,0.889142515303149,0.83202411512104,0.836238295252426,0.897230206258559,0.836842152516304,0.835981294533611,0.833996898898607,0.834407490272285,0.835461532295432,0.83463383337564,0.833248021846212,0.8362653568499,0.837470165581205,0,0,0.836555511638872,0,0,0,0
"G beta:gamma signalling through BTK",0.894552064267112,0.814991915630253,0.824659987484257,0.824519738823254,0.818766460694184,0.826120123556025,0.827795893780841,0.829519996582762,0.891244996308459,0.824848983498447,0.830129184645517,0.90076404686036,0.830519717182429,0.828675302350563,0.826339708363512,0.827333474409997,0.822865560929802,0.829071967293568,0.825807231325108,0.829840840215333,0.830427673805585,0,0,0.829700080682212,0,0,0,0
"Glucuronidation",0.818336089830156,0.812759600069294,0,0,0.816193558839117,0.817107214427573,0.81285530730985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818908854394937,0,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0,0.699773550026767,0.699508810893068,0,0,0,0.580945264498234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578265676589863,0.578468922963664,0,0,0,0,0
"O2/CO2 exchange in erythrocytes",0,0,0.699773550026767,0.699508810893068,0,0,0,0.580945264498234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578265676589863,0.578468922963664,0,0,0,0,0
"Keratan sulfate biosynthesis",0,0,0,0,0,0,0,0.853038441990288,0,0.853995279600292,0,0,0,0,0,0,0,0,0,0,0,0,0.852324449856953,0,0.931279790995175,0,0,0
"Transport of bile salts and organic acids, metal ions and amine compounds",0,0.668770757199351,0.223820197376345,0.554852735588484,0,0,0.559541047120856,0.560978493710924,0.614004254019266,0.61191337759872,0.559529532563929,0,0,0.617765645060857,0.225220641159314,0.564449225892434,0.227617833794013,0,0,0,0.619226660244955,0,0.559884739642488,0,0,0,0,0
"Phase 4 - resting membrane potential",0.729013631505763,0,0,0,0.72824654610682,0,0,0,0.725205183332119,0,0,0.736167404593508,0.73385065711015,0,0,0,0,0,0,0,0,0,0,0,0,0.812966666918011,0,0
"Ethanol oxidation",0.783571841660764,0.778001246903822,0,0,0.781431575576348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783097603871802,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.645458095764013,0.62988579967773,0.642079443111727,0.640526903358342,0,0.643834505149613,0,0,0,0.643690576465175,0.648653337491184,0,0,0.646905792400857,0.644098442851837,0,0,0,0,0,0.64762815413234,0,0,0,0.646546147645436,0,0.651540844355163,0.644349468195091
"Heme degradation",0.787370511628939,0.779570754015856,0.783793708287433,0,0,0.78418657155749,0.786318954151506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.798286586701193,0,0,0,0
