"","KRAS","PIK3CD","AGTR1","VCL","GFRA1","APC","RANBP2","ITGAX","MYO6","EXOC2","C2CD3","SHC4","ATP6V1B2","TCF4","E2F4","SOX9","GPR15","OR2AK2"
"Interaction between L1 and Ankyrins",0.958543487032982,0.941695642268639,0.923787748155028,0.941605325611893,0.94224533505036,0.942368539804771,0.921925938954508,0.942538843889207,0.943236361839623,0.94196427479258,0.941816571043674,0.942360189823813,0.942115006857458,0,0.942997815398527,0.9442245755829,0.924650138266049,0.943480035842287
"GABA B receptor activation",0.916230477109132,0.936583013414697,0.93779134759285,0.916616150504962,0.917579272140535,0.916441269586853,0.915708249312093,0.917845013326532,0.91758365132729,0.917708019950727,0.915764972974205,0.917879625117989,0.917906440308474,0.916703446960487,0.91791313782249,0.917878261317058,0.938926578868848,0.939588632476947
"Activation of GABAB receptors",0.916230477109132,0.936583013414697,0.93779134759285,0.916616150504962,0.917579272140535,0.916441269586853,0.915708249312093,0.917845013326532,0.91758365132729,0.917708019950727,0.915764972974205,0.917879625117989,0.917906440308474,0.916703446960487,0.91791313782249,0.917878261317058,0.938926578868848,0.939588632476947
"Post-translational modification: synthesis of GPI-anchored proteins",0.905643516481643,0.885846976499568,0.90552751795513,0.886753573098914,0.887102852339453,0,0.885279133909253,0.887300244650169,0.907537167665034,0.906987882821921,0,0.887376133371802,0.907168418805494,0,0,0,0,0
"Ribavirin ADME",0,0.640574679623484,0.638126614693937,0,0,0.642836335425042,0.639598821151453,0,0.647881867339913,0.647239596592059,0.642154047113582,0,0,0,0.644844372519521,0,0.63936228982478,0
"Adenylate cyclase inhibitory pathway",0.861538210760732,0.861468159093902,0.860235178015604,0.862164949517921,0.864538583022071,0.86177592980513,0.860145338315552,0.864898534560117,0.863717000044227,0.863993655992132,0.859881530556135,0.865206713257713,0.864435038799457,0.865163816819729,0,0.866529916789493,0.911193989713196,0.916587617517767
"Glucuronidation",0,0,0,0,0.785284750579781,0,0,0,0,0,0,0,0,0.82073905057486,0,0,0,0
"Phase II - Conjugation of compounds",0,0.827780267471656,0,0,0.813848752962678,0.802520625467779,0.801287668180597,0,0,0,0,0,0.829124616379592,0.82982107253054,0.815790429741887,0,0,0
"Molecules associated with elastic fibres",0.799166428850663,0.7983466642082,0.799808652383928,0.799554346696782,-0.0254591704523977,0.836438423000658,-0.0254591704523977,0.832229711382103,-0.0254591704523977,-0.0254591704523977,-0.0254591704523977,-0.0254591704523977,0,0,-0.0254591704523977,-0.0254591704523977,-0.0254591704523977,-0.0254591704523977
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.76120969613188,0.762106943623977,0,0.7630020441515,0,0,0,0,0,0.773615973990214,0.764337928184726,0,0,0.76742618166404,0.765772343321094,0,0,0
"Voltage gated Potassium channels",0.919631029253468,0,0.919905517465724,0.920298157858416,0.920825776720144,0.897629812770659,0,0,0.92215356363033,0,0.920429370712721,0,0,0,0,0.923477581595335,0.896172614662808,0.922480040325605
"Endogenous sterols",0.575428244434998,0.632708322115056,0.631135868392945,0.567394711111975,0.56269328646455,0.635986624187689,0.558150674309074,0.564212552514869,0.570139456020318,0.636989366040121,0.577653484752808,0.563545370810679,0.563621443983798,0.640012450200878,0.639703318400722,0.576753111810315,0.560425625729351,0
"LGI-ADAM interactions",0.866714931238254,0.813882119893639,0.86544206459822,0.868139239235858,0.869645842816202,0.86775922559723,0.866166383423181,0,0.919412737786729,0.819055672064904,0.8684193764034,0,0.817592392965635,0,0,0.875307400218793,0,0.873177666914181
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0.848551538831031,0.790496630259367,0.787813404254252,0,0,0
"Sialic acid metabolism",0.6235138421911,0,0,0,0.625357516519319,0.651664999352887,0.65154263879914,0,0,0,0,0,0,0,0,0,0,0
"Defective B3GALTL causes PpS",0.857140228750133,0.858275799032789,0.88989059850944,0.857999613289271,0,0,0,0.86078765110641,0,0,0,0.859302449431905,0,0,0,0,0,0
"Intrinsic Pathway of Fibrin Clot Formation",0.900472796476434,0.853047930378283,0.899198742504514,0.901898433070648,0.856050069668941,0.854161692610634,0.852567364631046,0.857214852253554,0.856646386738288,0.856330097716143,0.797870539750153,0.856703341034271,0,0.808125160797058,0.806027529129162,0.811781041919484,0.85431151194127,0.859585188257668
"O-glycosylation of TSR domain-containing proteins",0.85716331452873,0.858204616436399,0.88989059850944,0.858022699067869,0,0,0,0.86071646851002,0,0,0,0.859325535210503,0,0,0,0,0,0
