"","CREBBP","PPP2R1A","STAT3","ACACB","KAT2B","NCOR1","INSR","LYN","PRKACG","NGF","F2","PIK3CA","LAMA5","SMARCD3","PRKD1","MMP2","NOS3","COL4A6","NOTCH3","GPC1","NOTCH2","CHRM1","TRIP6","PRKCD","ALOX15B","RBBP7","TEK","SPTAN1","IRF5","DYNC2H1","DNM2","ITGB4","FN1","ITPR3","KIF2B","CENPE","GNAQ","KAT2A","GNAS","HGF","FGG","GNG7","NRG3","ECM1","FAM3C","SPARC","SERPINF2","OLA1","LEF1","PLA2G3","PIP4K2A","MED14","NT5C1A","ITGA3","HNF1A","PYGB","STAT4","FAT1","PER1","ITSN2","DNAJC6","KDELR1","APOA4","C3","ARPC4","RANBP9","NAPG","CASP7","APC","RBBP8","LAMA2","BRAF","PPIE","ARHGAP1","ALDH9A1","GNA12","SPTB","COL9A3","EPHA7","SLC2A1","RBL2","ITGA10","ITGA11","HEYL","HEY2","AMPH","HLA-DOA","SEMA4D","PTPN3","DAG1","NUP153","HMMR","RAPGEF1","PC","HRH1","PROK1","FFAR2","RAPSN","CNR1","SSTR4","HTR1A","SSTR1","ADORA1","CXCR3","NMUR2","TNS1","DCC","ACADM","MYH11","NCF4","XIAP","SRSF9","PIK3AP1","AXIN2","RIMS1","MUSK","DAPK1","ACSL1","RYR2","TCF7","RARB","ITGAM","ITGB2","PAX3","PLXNB3","ANK3","PLXNB2","HLA-B","HLA-C","POLR1A","FBXW11","NUP210","RGS14","BST1","IL3RA","STUB1","BMPR2","PSMD11","BMP4","BMPR1B","TRIM24","GRIA2","OBSCN","OPTN","CDK5RAP2","PCNT","MYH9","DOCK2","RALGDS","TPM1","MAP3K3","HSF2","COL5A2","CA9","ARID1B","CACNA1D","CACNA1C","CES1","GRHL1","E2F7","SRXN1","GSTA1","RYR1","XYLT2","C8G","C9","RUNX2","PHKG1","ZFYVE19","PHKA2","ENTPD8","RPL23A","ABCB1","INTS1","LAMA4","LAMA1","NUP205","ABL2","UPF2","RPL18A","RPL8","USP34","TTC21B","FBN2","SULT2B1","TAF6","NAT2","DBT","PLXNA3","PLXNA2","MAGI2","HNRNPL","CTNNBL1","RBMX","PRPF40A","PRPF6","FGD1","MYH7B","MYH6","MYH8","CTSD","PKN3","ACAN","ARHGAP24","ARHGAP33","ARHGAP15","DLC1","SRGAP1","SRGAP3","MYO5C","GATAD2A","CHD4","CCM2","HSD3B7","CYP11A1","LRP6","RORC","SCN1A","KRT17","LBP","LSS"
"Phase II - Conjugation of compounds",0.870348009447313,0.849521396043889,0.850787192300984,0.850150792615308,0.85056533505426,0.850544089014299,0.849425168103054,0.829720377512003,0.849785861334809,0.850924219163698,0.850331956333464,0.828851831891192,0.851223933940404,0.869854960440062,0.831438128691213,0.830802303453693,0.832386152058935,0.851020284296953,0.851559606670272,0.830248497658601,0.851487073633403,0.829666945466332,0.87039962444065,0.830339070739531,0.852138601481616,0.850366519080916,0,0,0.85097183828263,0.850550902822554,0,0,0,0.850709900517197,0.81353434450752,0.813529415992783,0.829504268898678,0.850807587921077,0.830039394567558,0,0,0,0,0,0,0,0,0,0.851264259473244,0.851883403310451,0.851241782033047,0.851419736511649,0.850998959934236,0,0.852342282501171,0.870645207402196,0.851779715027884,0.853070994768627,0.831378878889273,0,0,0,0,0.813720708042545,0,0,0,0.851760804193831,0.815049873716293,0.832849912464159,0,0,0.829424396365015,0.815947151071033,0.850956059818143,0.830418233461081,0,0,0,0.852993200070182,0.833484057949278,0,0,0.853070994768627,0.852737461859886,0,0,0,0.852923564537755,0,0.81370073302381,0,0,0.850918040132795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851590267842273,0,0,0.833108150112152,-0.0145146136548487,0,0.851648147663416,0.851439879547505,0,0,0.852543330252432,0.812875210399444,0.851544644526057,0.85157481169769,0,0,0.854022444323856,0,0,0,0,0,0.833135656914013,0.792412545601157,0.813845333394747,0,0.852572530484401,0,0.792522588946993,0.830944908478984,0.828944688877056,0.815828437445714,0.815531680648007,0,0,0.816044033131663,0,0,0,0,0,0,0,0.83064227491408,0.833249936079858,0,0.85348168440597,0.852210636935211,0,0,0.88515958875963,0.852737461859886,0.835503818464762,0.87039962444065,0.809721316701616,0.814452265091755,0,0,0,0,0.852686194693444,0.870133809818545,0.851837661855379,0.833156274861067,0.813186564501011,0.817361727020322,0.815454840022624,0,0,0,0,0.79799291788125,0.797481152266234,0.797424384871796,0.869853583051744,0,0,0.820652712092926,0.814996288005639,0.851771662541568,0.850259694322844,0,0,0,-0.0145146136548487,-0.0145146136548487,-0.0145146136548487,-0.0145146136548487,-0.0145146136548487,0.816192015928579,0,0,0,0,0,0,0.816276380977955,0.816276380977955,0.816276380977955,0.816152658067899,0.816044033131663,0.816044033131663,0,0.830423299663959,0.830423299663959,0,0.85378942882857,0.870870267743656,0,0.853358854749739,0,0.833249936079858,0.832298486524629,0.85355943135875
"Glucuronidation",0.807067487800499,0,0.772208111915827,0.770274696333721,0.771753793285801,0.771710285706438,0.768788764550155,0.728183660770583,0.77294476782615,0,0.771275881014395,0.726405055553087,0.77355741475531,0.809812473181208,0.731701266681541,0.730399225593805,0.729051147419721,0.773140381602757,0.773789859833687,0.736585115615536,0.773641326889965,0.728074242781551,0.73237546273547,0,0.770688689351383,0.771346658508951,0,0,0.772586229424541,0,0,0,0,0,0,0,0,0.772249878007833,0,0,0,0,0,0,0,0,0,0,0.773185048695365,0.770166095272439,0,0.77350343412623,0.773096713634284,0,0.775392621143042,0.811838797279643,0.774240597093634,0.776884876022801,0.731579935108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770475636840107,0,0,0,0,0.776725568263679,0,0,0,0.776884876022801,0.776201868294158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773852647693286,0,0,0,0,0,0.773301412067443,0,0,0,0.774361766808032,0,0.773759220397912,0.773820996644984,0,0,0.778833251678112,0,0,0,0,0,0,0,0,0,0.776319066868887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735411480626933,0,0.777725885077765,0.77512303773272,0,0,0.882283864202488,0.776201868294158,0,0,0.770345765027458,0,0,0,0,0,0.775466685397474,0,0.773729062298771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77214923966431,0,0.774903075490786,0.770688689351383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774250653460239,0.772512986584155,0,0.777474354861964,0,0.735411480626933,0.733463104971622,0.771312657634188
"Cytosolic sulfonation of small molecules",0.834826657080079,0.832437523950713,0.772061631782896,0.771851189333617,0.771266975503346,0.771190875671943,0,0,0.766972105007725,0.837462206343178,0.770431051192859,0,0.839331486649954,0.839627956709648,0,0,0,0.838602047019804,0.774828293399917,0,0.774568491955188,0,0.907219914638226,0,0.841494626826152,0.770554849286934,0,0,0.772723003412515,0.836125048422363,0,0,0,0.838592593275259,0,0,0,0.772134685549771,0,0,0,0,0,0,0,0,0,0,0.773770408168617,0.840580548822209,0.838599664470005,0.774327301426416,0.838525666649137,0,0.777631709889846,0.842069943865177,0.775616685445437,0.780241837743993,0,0,0,0,0,0,0,0,0,0.840458716745202,0,0.772723003412515,0,0,0,0,0.840019683071141,0,0,0,0,0.77996318989026,0.774994408558569,0,0,0.780241837743993,0.779047177554699,0,0,0,0.844623533637851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774938116690472,0,0,0,0,0,0.838634285027598,0,0,0,0.841840682277218,0,0.7747747014527,0.774882755314942,0,0,0.783649774040429,0,0,0,0,0,0,0,0,0,0.844161938339461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781712860683655,0.777160177058666,0,0,0.842069943865177,0.779047177554699,0.782228859542327,0.907219914638226,0.840894812181963,0,0,0,0,0,0,0.906267810247808,0,0,0,0,0,0,0,0,0,0,0,0,0.905264083918267,0,0,0.729034631673231,0,0.848866079786222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847724917550677,0.908905681777616,0,0.781272904995571,0,0,0,0.846901104326761
"Activation of Matrix Metalloproteinases",0.899746760493779,0.899053041457895,0.901497189636718,0.899898337405013,0.901068801590459,0.901027777239511,0.900526676892526,0.90092890797061,0.898753497190428,0.93638195665813,0.900618166527973,0.899251818008122,0.901746272623648,0.901740844631993,0.902370177990967,0.940192311624526,0.901746882154847,0.901353041957679,0.901234024789524,0.901967052145947,0.90284860276852,0.900825735097104,0.93950163907837,0.902141941295418,0.902318162030587,0.90068490434282,0.902355546472238,0.901732104557682,0.900830518439454,0.862420635853707,0.901208571058967,0.901108665134087,0.900207807158628,0,0.862154973258073,0.862145456702584,0.900530007789087,0.901536571897035,0.90156329132244,0.901471384148195,0.900594687745268,0.89817487061507,0.903922777174023,0.901504881485261,0.901482406046774,0.901460202698274,0.901438264763481,0.901416585810862,0.902418367001336,0,0.864162066713828,0.902718580339886,0,0.902052439613672,0.90347673320123,0,0.903413669166338,0.90454679968934,0.90413133734904,0.86279345174122,0.86225937821763,0.863813682401755,0.902949432597671,0.899991413223795,0.863581135365439,0.904644819117672,0.900738569848073,0.86462239514773,0.900768720098834,0.865478913057345,0.901908123252102,0.901332339112667,0.900553655736838,0.865035235116046,0.86594429359622,0.902294797981967,0.902105620921634,0.937017367089324,0.903608379021753,0.905756808703634,0.865176631267967,0.902074834341883,0.901802958539309,0.905907023850392,0.905262999310971,0.862891003901983,0.864323449673424,0,0.86668076045967,0.901502085111099,0.865838161402907,0.90162159249361,0.904076825564226,0.86531324197026,0.901359430729692,0.901347390588597,0.901311722354511,0.901998722780603,0.900240659647449,0.900240659647449,0.900231505997575,0.900231505997575,0.900213328408998,0.900007606966811,0.900004474375656,0.86424336471025,0.903608379021753,0.827061639458921,0.862762921992691,0.901993773573753,0.899229129775552,0.866063654858223,0,0.901504881485261,0,0.866749733407781,0.905756808703634,0.867153110284805,0,0.902959767414207,0.903018017734664,0.901527635947399,0.901271590622396,0,0,0,0,0.900487018549326,0.900567187855379,0.901950434862125,0.899079446823142,0.862755467151217,0.865431830885291,0,0,0.861833319663517,0.864450217537191,0.862213086439418,0.8652692006216,0.864696187719559,0.8637890379822,0.903341369390158,0.865356766855083,0,0,0,0,0.867687633072904,0,0.862373409803419,0,0.907744194472931,0.901798636676421,0.906700031669422,0.828259521013873,0,0,0,0.82927677649475,0.869076622248273,0.90415277005827,0,0,0.903619353532757,0.866996199808016,0.866996199808016,0.905619046544169,0,0.865662162195347,0,0,0,0.906255925523711,0.863921172290919,0.902585171662182,0.902504715666914,0.862891044296008,0,0,0,0,0,0,0.903737153995253,0,0.863035746164141,0,0,0.903781138090446,0.903736342698086,0.904733601344064,0,0,0,0,0,0,0.865722025120831,0.863971814031178,0.863883719170243,0.90437489508574,0.830086025235758,0.937961548840644,0,0,0,0,0,0,0.864491647776639,0.902197792691542,0.902197792691542,0,0,0,0.901852554328222,0.830476634917111,0,0.90672098711336,0.905907023850392,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.825710557024748,0.822859836431234,0.793400451775664,0.791770744659236,0.788364493030868,0.826948423211607,0.794729695197323,0.792766600849698,0.790664467949184,0.827657698671692,0.792551038223962,0.788081287598065,0.792469199486845,0.828211683921546,0.795482209253118,0.830591128130332,0.789019732710925,0.791515001925677,0,0.793854487146071,0,0.792666903314955,0.792048723141289,0.794023485221467,0,0,0.796496960005094,0.82762902553359,0.789122977367834,0.827091068148799,0.827123127060438,0.827600799148112,0.827144814520334,0.794290195566187,0.826834354296038,0.826825158302079,0.792381137468144,0,0.788842326065452,0.822207526702981,0.82751866318246,0.790105332188594,0.795659622714657,0.789774624752501,0.789752906390558,0.789731450953356,0.789710251989502,0.789689303284106,0.796557664448709,0.790084342287321,0.79499802308318,0.828582272256564,0.828211683921546,0.822769009537455,0.791680055397985,0.830057993829003,0.795252375425707,0.793039741625414,0,0.827761792848693,0.827245709387371,0.860959339804576,0.795792517499419,0.791945396864994,0.827280614072411,0.792524197716418,0.827657698671692,0.790595089381424,0,0,0.828787856116858,0.791365065227474,0.791784556513831,0.830057993829003,0,0,0.827989960141755,0.828271705545663,0.790818525768207,0,0,0.758370593581644,0.758107875811441,0,0,0.827856059002251,0,0.796590146498508,0.792894586418392,0.790366384860667,0.792439098723846,0,0.791271192868157,0,0.793182621614388,0.793170987040839,0.793136520277569,0.791075478303133,0.788138459452008,0.788138459452008,0.788129614139327,0.788129614139327,0.788112048855865,0.787913257061736,0.791873306446638,0.796428597654318,0.790818525768207,0,0.790460733907552,0.798636605547803,0,0.791952852578101,0.796428597654318,0,0,0.792133434751606,0.792894586418392,0,0.828442449954875,0,0,0.828420185381413,0.828172764845202,0.794815027858562,0.792317184302243,0.828153619364481,0.792133434751606,0.794691372730237,0.793405806149344,0.826851260454062,0,0.792708904985694,0.797087529691653,0.805750110385687,0.794067335897985,0,0,0,0,0,0.796152480207352,0,0,0,0,0,0.794356166488379,0.793039741625414,0.830052863453421,0.790084342287321,0,0.794815027858562,0.75851822782036,0,0,0.827600799148112,0.827559266661019,0,0,0,0.795966579986925,0,0.831385037366675,0.796439872404165,0.793199400312998,0.793199400312998,0.792761464724551,0,0,0,0.826315518252691,0.858807086981984,0,0,0.829442098410331,0.829364352544475,0.792839915266244,0,0.825581423630805,0.824626532805598,0.824520611925943,0,0,0.798538816736407,0,0,0,0,0,0,0,0.792385352352311,0.792385352352311,0.792364285954514,0.792428223001317,0.792074134323623,0,0.829887574414379,0.828196318515529,0.828111191096273,0,0,0.797449575855268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794815027858562,0.797087529691653,0
"Ethanol oxidation",0.574798317652455,0.382603192921806,0,0.478124288725855,0.386502989785003,0.389598634688643,0.38710598232192,0.385499130698017,0,0,0,0,0,0.581495892830819,0,0,0.481711628706637,0,0,0,0,0,0.589515017656761,0,0.584099805188526,0.385509608984202,0.389190731265393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582824711646647,0,0.393973793271242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860704741650932,0,0,0,0.392432587801117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48557037488176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582804857594825,0,0,0,0,0,0,0.488177737091916,0.395953681345109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587053700395908,0,0,0.589515017656761,0.860387863377233,0,0,0,0,0,0,0.588186879189167,0,0,0,0,0,0,0,0,0.395726838645005,0,0,0,0.586786730673293,0,0,0.587663447308939,0,0.503620732645268,0.583564342938228,0,0,0,0,0,0,0,0,0,0,0,0,0.399797349082363,0,0,0,0,0,0,0,0,0,0.389424391516812,0.389424391516812,0,0,0,0,0,0,0,0,0
"O-linked glycosylation",0.572067116769048,0.832083307765259,0.573177159996,0.571852096235186,0.573162770709281,0.573128771394226,0.574555938507789,0.572706191243064,0.538235181726935,0.573396439423355,0.54027301683507,0.572651394585933,0.541563465077486,0.541203446828032,0.575455050024893,0.573093838365897,0.541208450481643,0.834694457310597,0.603938140636264,0.604507553604679,0.603822068484614,0.540445041230687,0.542958268236868,0.573711503971462,0.574705541238025,0,0.575223638618028,0.603464845908619,0,0.60300346732685,0.603878955300414,0.834827329216655,0.603405082596053,0.574012900639304,0.602783296962699,0.602775410028212,0.540199954454583,0.573550439731681,0.478746560776494,0.603604291178055,0.603725713505498,0.538248112464965,0.575187388383982,0.604480045091787,0.60446141836165,0.604443017128639,0.604424835859724,0.60440686922471,0.541764949836851,0.574422815171429,0.542444323632979,0.541521281521382,0,0.831633171645965,0,0,0,0,0,0.604426706337838,0.603984087903385,0.603358756721876,0.606169703286292,0.540246062095868,0.604014023869571,0.60587878537876,0.573522098309366,0.542067080531572,0.573762068044656,0.573813283998208,0.541697600301603,0.541712886735026,0.602732279788458,0.480969668414281,0,0,0.60377440109335,-0.0232272425092148,0.480441446360232,0,0,0.832144204418094,0.831918884800503,0.577172492718775,0.576638751350224,0.604507553604679,0.604580442100431,0.838240480590936,0.544531714663258,0.541721167568024,0,0.574253911596658,0.575315057430078,0,0.540887346484432,0.54087736810474,0.540847807721696,0.542123565831367,0.540452627403747,0.540452627403747,0.540445041230687,0.540445041230687,0.540429976383914,0.540259482812052,0.539764413716405,0.543671254399999,0.54190319076171,0,0.541951850701588,0.543547951470434,0.542055938008877,0.602876618729879,0.575846898927209,0,0.575580708910904,0.543030921059809,0,0,0,0,0,-0.0232272425092148,-0.0232272425092148,0.578354423759307,0.86723163111719,0.603914763252527,0.838382240560351,0,0,0,0,0,0.543808214191025,0,0.573821765280713,0,0.542416859655728,0.478253079223564,0.543095599556983,0.542620709747959,0.576945194446814,0.542529896710815,0.543434442563812,0.574336002306336,0.573734290243993,0.573720139559247,0.479584098920296,0.482346469789547,0.481569176658332,0.542121511758208,0.480969668414281,0,0.862745359337276,0,0,0,0,0,0,0,0,0,0,0.574293131519458,0.607417300226951,0.607417300226951,0,0,0,0,0,0,0,0,0.542258710512243,0.542192031852667,0,0.481496523835391,0,0,0,0,0.574773607451088,0.543819602750359,0,0,0,0,0.480584622056359,0.480547497455416,0.544531714663258,0.603247551703533,0.603247551703533,0.603229484129757,0.603284319670285,0.602980635890578,0.481361517316597,0.543737153772317,0.542286649940453,0.542213640499415,0,0.482483400893993,0.864197321159442,0.481496523835391,0.481496523835391,0.481496523835391,0.481298534270931,0.48112470548041,0.48112470548041,0.542717467025421,0,0,0.483003682446353,0,0,0,0,0,0,-0.0232272425092148,0
"Phase 0 - rapid depolarisation",0.740949956858065,0.809176790449027,0.678027908564607,0.675196182506029,0.685912707895732,0.6772158076036,0.749905291297512,0.748192241328346,0.875849516515846,0.746812096943001,0.748239226012745,0.747575516850502,0.679942601027441,0.677148674557535,0.680565268488782,0.689398228527447,0.750257556107387,0,0.67831739139813,0.678895386379391,0.680444458605439,0.748007751178134,0.683719169699486,0.687831659056416,0,0.685226236166527,0.751345948506742,0.817439492046855,0.750448610202263,0.749235641924383,0.74929496689605,0.67948325740951,0.74566539650016,0.751416683958134,0.746537960785627,0.74652094361152,0.748081583616767,0.678098330555142,0.749929265355202,0.686632592047692,0.679331264918624,0.807408866808426,0.682004887021225,0.680958841762288,0.680918651963539,0.680878948706659,0.680839720053353,0.68080095450298,0.680079046354955,0,0.682228485805171,0.67783444775915,0.744513365391938,0.680108302321808,0.68342460950021,0.745253301023763,0.679077381464927,0.688169532580952,0.751049262116029,0.750476817054268,0.749521805322572,0.750002228930223,0.680076913625592,0.748181067359242,0.749586396393983,0.682433612598823,0.750284190923637,0.683645706983153,0.748115472046095,0.687316282112692,0.680232016701743,0.749123315997616,0.673963204750791,0.682582404782117,0,0.750634678422556,0.818107401040276,0.751420409795064,0.681442691161331,0.694295639446542,0.750415555021426,0.681210927641216,0.680724768770659,0.683535911740953,0.68238428942028,0.750651256441105,0.748783015513177,0.683570061279027,0,0.680606005037008,0.743801657400611,0.749640548850456,0.682280351003982,0.74939847693238,0.748962087178261,0.748940557415992,0.748876776718211,0.681918181471977,0.748626761160112,0.748626761160112,0.748610392921223,0.748610392921223,0.748577888388461,0.748210024448252,0.747141843013541,0.684875762071309,0.684059175707996,0.678423258283012,0.74945203284894,0.685778315160411,0.680330259977472,0.672971618996985,0.68126245193937,0,0.754725933793861,0.683875928417264,0.751637189816034,0.679281686250713,0.811265745532466,0.680670525354731,0.678369891311939,0.679551642514103,0.6790937911539,0,0.684215956706686,0.818410252205673,0.683875928417264,0.749834375625151,0.749977731594734,0.676460876686053,0.743791754838491,0.744300933515156,0.757696577046032,0.684599034743423,0.814740549195229,0.737653475450163,0.749392775442487,0.746641876758802,0.750857252558696,0.749832610782442,0.680899782836754,0.749650561494416,0.682916919130089,0.74981767114068,0.74851939245658,0.748488860357391,0.74826427810762,0.685553048034288,0.683875928417264,0.681531973632292,0.682970063732147,0,0,0.68495394078948,0,0.813717556149106,0.808653926761473,0,0.68238428942028,0.696479687903145,0,0,0.756081574384454,0,0,0,0.685453266338035,0.751635656615045,0,0.748705842703041,0.742834177317477,0.746001961897395,0.695188142814724,0.748210722191061,0,0,0.744543367858193,0.683719169699486,0.748254184545142,0.746487160393223,0.746291153951856,0,0.816523156216721,0,0,0.687020755741033,0,0,0.681751612929724,0.681671511364414,0.753572795518738,0,0,0,0,0,0.754968761352625,0.686186545825692,0.683056879123011,0.682899350951366,0.692887129339437,0.685848496214935,0,0.683719169699486,0.683719169699486,0.683719169699486,0.683291979275197,0.682916919130089,0.682916919130089,0.682817831218541,0.687931530583789,0.687931530583789,0.686971077082815,0,0,0.750053546784047,0,0.820073230148759,0,0,0
"Aspirin ADME",0.920587179512095,0.836514052971705,0.882445111650637,0.881623924596271,0.881948010036583,0.881900405367755,0.878817178240601,0.838690809021191,0.879261330134252,0.882062595524524,0.881425092978398,0.836744713338672,0.840826609322439,0.92359065894948,0.84253966632172,0.841115012601839,0.839639986503593,0.840370304342746,0.884175812068864,0.841050982233195,0.884013291843664,0.838571087188627,0.843277351119232,0.840098413245748,0.880384604930666,0.881502535558247,0.840346280755345,0.839622838575525,0.882858836317558,0,0.839015330150638,0.839588942906943,0.841106950620628,0,0,0,0.836038331411566,0.882490810837016,0.837237353925594,0.841385875609512,0.841555886966411,0.835495023269089,0.842164895719643,0.842612076048259,0.842585995542871,0.842560230770784,0.84253477398484,0.842509617721886,0.883514046133709,0.87981279839893,0,0.883862413779484,0.88272784897835,0.880167821818499,0.885929504700349,0,0.884668995056806,0.887562284560743,0.838666414921906,0,0,0,0.84222275650786,0,0,0,0,0.883937079116625,0,0.88216929269683,0.84101442083899,0.840346280755345,-0.0325219842116726,0,0.8805494901649,0.838086194467057,0,0.840394601177236,0,0.887387974860552,0.883590182700889,0.840710085937985,0.840394601177236,0.887562284560743,0.886814958297014,0,0,0,0,0.841257114385524,0,0,0,0,0,0,0,0.842108629587075,0,0,0,0,0,0,0,0.843088319645912,0,0.884244512633373,0,0,0,-0.0325219842116726,0,0.883641367392961,0,0,0.84429310644251,0.884801575269504,0,0.884142287331002,0.884209881019881,0.840572903259434,0.840275788189484,0.88969413788796,0,0,0,0,0,0,0,0,0.844467416142701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842858775384149,0.840887372584578,0.888482491065663,0.885634534739762,0,0,0.924250067490304,0.886814958297014,0.888115733374017,0,0.880407388381215,0,0.843000132956685,0,0,0.844133247192413,0,0,0,0,0,0,0,0.841800068011882,0.841706706851463,0,0,0,0,0,0,0,0.843985575512567,0.882273452070544,0,0.885088127974194,0.880573636403985,0,0,0,-0.0325219842116726,-0.0325219842116726,-0.0325219842116726,-0.0325219842116726,-0.0325219842116726,0,0,0,0,0,0,0.841490229957358,0,0,0,0,0,0,0,0,0,0,0.884793410808544,0.882671452876613,0.840949938643482,0.888207274360922,0,0.842858775384149,0.840726922056932,0.881465332836179
"WNT ligand biogenesis and trafficking",0.795471825109299,0.784279778334577,0.796828777693404,0.719946381775312,0.720603401098335,0.797933048144232,0.722561072157826,0.795736935661194,0.793563464012456,0.797337130942093,0.797146061305885,0.794520889962881,0.799273234659607,0,0.72448713322716,0.724348438538447,0.799314667539962,0.724707204689803,0.798488179100239,0.797731526572228,0.724022940828504,0.797544863698886,0,0.720445088283918,0,0.717645676861366,0.720855488837479,0.797280120750903,0,0,0.795068090177346,0.72341348464434,0.79631737428263,0.800772421187389,0.721331144887005,0.72131286068763,0.796976681538136,0.721502130219118,0.798961933676622,0.722968683312153,0.719438236062883,0.860109342286832,0.723866615988735,0.721186995247012,0.721143813089472,0.721101153699607,0.721059004250249,0.721017352384466,0.723196326981203,0,0.722551171500323,0.801181595481369,0.800444762569779,0.720273128314219,0.727195663297867,0,0,0.727678957742376,0.726487464346872,0.796337935792619,0.795311818013139,0.719411721706311,0.797930630393282,0.797083572410294,0.796587381646312,0.799222091132393,0.719714677371647,0,0.797395058749773,0.722111479387892,0.799584198974708,0.724108994479055,0.719613649133337,0.802109586797606,0.7223635792953,0.800367380597307,0,0.724747433577972,0.800885015024308,0.727390348728771,0.72549744803796,0,0,0,0,0.796525363182602,0.722243942396384,0.80317077993049,0.727390348728771,0.799986032865746,0.718694920712184,0.724664738255613,0.724162589829612,0.724404642708296,0.798570255434743,0.798547122659387,0.798478593126389,0.723773454718867,0.79756245064613,0.79756245064613,0.797544863698886,0.797544863698886,0.797509939019038,0.797114685519054,0.795966971909379,0,0.800885015024308,0,0.800173625070769,0.802732154173474,0.725462720475485,0.717728127833227,0.725395552520707,0.797603285427832,0.72448713322716,0.803499420614459,0,0,0.724528487313775,0.724236521944868,0,0.721230713493904,0.72073877249939,0,0.803864765941351,0,0.803499420614459,0.719231370769289,0.719385400405053,0.721196861347059,0.718747137889434,0.719231370769289,0,0,0,0.719155385522379,0.796455714866062,0.794605582533858,0.798029230621639,0.796928298445292,0,0.724969695477934,0.802469007638789,0.724855048306379,0.72346010540017,0.723427300012777,0.798897435242645,0.805301411312822,0.803499420614459,0,0.802109586797606,0,0,0,0,0.799230153355933,0.799147575194403,0,0,0,0,0,0,0.799217752394232,0,0,0,0,0.7269425371269,0,0.798640549405574,0.720755237837131,0.728349304042033,0.723128452880172,0,0,0.719491855726165,0.803330990319771,0.723175151253375,0.721276562116846,0.721065961882624,0.725902929385382,0,0,0,0.719573808610865,0,0,0.801216937772999,0.801130872191184,0.729610489517213,0.718588057943758,0.718588057943758,0.718546172072676,0.718673296744185,0.717969269750636,0.805024160618624,0,0,0,0.729238802781145,0.80561885728863,0,0.803330990319771,0.803330990319771,0.803330990319771,0.802871993142,0.802469007638789,0.802469007638789,0.723184397027134,0,0,0.806825020678257,0,0,0.869141184713123,0,0.80237816278741,0,0,0
