"","CDC37L1","IL6ST","TP53","AKT3","LPAR3","APC","CCKAR","ANAPC7","PSMA1","LAMC3","RASA3","NEFH","POLR1A","IL7R","RGL2","RYR2","SCN5A","MAGI2","FADS2"
"Potassium Channels",0.952907166019241,0.953696440019696,0.952197866630609,0.962037392556165,0.961684222333158,0.953600857581692,0.962040347032394,0.952249981028715,0.944768740984428,0.953882227006405,0.954238707418487,0.954072371533983,0.952830792366184,0.953059296803672,0.954607576811104,0.953647215853966,0.953828344867931,0.945580244210179,0
"GABA B receptor activation",0.925716499486707,0.925593109107836,0.924272376731905,0.940528425739368,0.939851798812969,0.925207030837993,0.940534086120794,0.922697330134884,0.924997132849474,0.92574609703504,0.926306941531701,0.926509281044587,0.940819394075444,0.924568365315202,0.927013645968006,0.924988920346392,0.925538894417709,0.908393375898952,0.907552297213373
"Activation of GABAB receptors",0.925716499486707,0.925593109107836,0.924272376731905,0.940528425739368,0.939851798812969,0.925207030837993,0.940534086120794,0.922697330134884,0.924997132849474,0.92574609703504,0.926306941531701,0.926509281044587,0.940819394075444,0.924568365315202,0.927013645968006,0.924988920346392,0.925538894417709,0.908393375898952,0.907552297213373
"Inwardly rectifying K+ channels",0.91982863923078,0.921619816601127,0.918218956138485,0.940548763230369,0.939747279194451,0.921402901943029,0.940555468114807,0.918337224484465,0.896350882932438,0.922041441342479,0.922850437517094,0.922472955081302,0.919655316963776,0.920173884631297,0.923687549227715,0.92150810734467,0.920656167728299,0,0
"Activation of G protein gated Potassium channels",0.90936578189851,0.911473296287989,0.907471815206172,0.933745254419677,0.932802221548339,0.911218072673175,0.933753143443214,0.90761097073878,0.881741655974099,0.911969383511995,0.912921255229034,0.91247710621377,0.909161849458444,0.909772000546389,0.913906207922688,0.909399215971613,0.910339458902864,0,0
"G protein gated Potassium channels",0.90936578189851,0.911473296287989,0.907471815206172,0.933745254419677,0.932802221548339,0.911218072673175,0.933753143443214,0.90761097073878,0.881741655974099,0.911969383511995,0.912921255229034,0.91247710621377,0.909161849458444,0.909772000546389,0.913906207922688,0.909399215971613,0.910339458902864,0,0
"Interaction between L1 and Ankyrins",0.906440359850706,0.928301827053842,0.946815622241584,0.928868710137055,0.907651148112872,0.929119467454063,0.908443311004157,0,0.92864012848443,0.929418933137539,0.929834457062899,0,0,0,0.930654969218303,0.928801823377782,0.907578382041974,0.927605782469944,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.90936578189851,0.911473296287989,0.907471815206172,0.933745254419677,0.932802221548339,0.911218072673175,0.933753143443214,0.90761097073878,0.881741655974099,0.911969383511995,0.912921255229034,0.91247710621377,0.909161849458444,0.909772000546389,0.913906207922688,0.909399215971613,0.910339458902864,0,0
"Glucagon-type ligand receptors",0.91428334891723,0.915992230290294,0.912553893972501,0.935129764854815,0.934319448848292,0.915772925336446,0.935136543623871,0.912775499493979,0.890455813876714,0.916418501134568,0.917236412059962,0.916854769948336,0.913953718858572,0.916387016271391,0.918082748341118,0.914359323599506,0.915017962467947,0,0.895194700553919
"G-protein activation",0.901663846788185,0.904686153288158,0.899093685776491,0.935813428346044,0.934495446182051,0.904329452920252,0.935824454040513,0.899068009274308,0.866842074990076,0.905379484488902,0.906003907258914,0.906089077426253,0.90145567661343,0.901992340456971,0.907380476540927,0.902030224148662,0.903101502852439,0,0.905937746629469
