"","NCOR2","TNRC6A","TGFB1","AR","DGKB","APC","IGF1R","TP53","OBSL1","LRP2","DTX1","EPHA3","RHOT2","GRP","RPS6KA6","PDK2","DOCK9","PLEKHG6","BBS5","PLXNB2","NEFH","RGS9BP","FZD1","GRIN3B","CEP164","KCNJ16","DNASE2","DERA"
"Activation of Matrix Metalloproteinases",0.761742837224943,0.728504131411216,0.76158391531374,0.761723010965615,0.731055974247175,0.761046713934164,0.761791146287544,0.759815776777146,0,0.760784062529216,0.732151659903411,0.763505538259245,0.759435389287442,0.791862871657635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0.796890005316894,0.798874704710465,0.796628492635061,0,0,0.797244937786818,0,0,0,0.744238311873288,0.801536552111808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.643822127597946,0.644808045023535,0.614474163663024,0.644551274361119,0.619693997529054,0.59430402634476,0.641907445114004,0.642246875311791,0.644838910847689,0,0,0,0.593789750268095,0,0.616406307887887,0,0,0,0,0,0,0,0,0,0,0,0,0.645724863913616
"Glucagon-type ligand receptors",0.83471128945816,0.831953135582321,0.829756592205265,0.885791144538939,0.832534759240943,0.835058373589107,0.834789026249734,0.826911382435218,0.836352586377838,0.834635726648267,0.782967247750531,0.837547749441736,0.83508025492892,0.884031217371394,0.837406943406788,0.83626035555656,0.844445891417673,0.84116419886393,0.839255090865119,0.838762286984877,0.837796395523799,0.835847403032141,0.836140050963948,0.834447146115114,0.830337702009418,0.889391428117967,0.782653756071208,0
"Inwardly rectifying K+ channels",0.850805428534849,0.848188580267719,0.846104570096902,0.899268362899883,0.84898541216377,0.851134730868042,0.850879182718801,0.843405125979011,0.852362638608492,0.850733736955253,0.79400658511163,0.853496571134916,0.851155491184091,0.897598600237614,0.85336297886808,0.852275132952278,0.86004130782792,0.85692774279163,0.855116442123376,0.854648885548181,0.853732478592681,0.851883336792029,0.852160991798856,0.849984787570291,0.846085878310346,0.789998985991416,0.793709154223172,0
"Activation of G protein gated Potassium channels",0.83558381494405,0.832624345483003,0.830267478050329,0.890391950382258,0.833525505741919,0.835956232485708,0.835667225685808,0.827214598550568,0.837344908896369,0.835502736861269,0.771348358633765,0.838627306016981,0.835979710928123,0.888503567449149,0.838476222655025,0.837245946216538,0.846028938208208,0.842507717373348,0.840459265011853,0.839930491745563,0.838894100590308,0.836802852596713,0.837116860681835,0.83489500614833,0.830485616795825,0.767171821159339,0.771011985431611,0
"G protein gated Potassium channels",0.83558381494405,0.832624345483003,0.830267478050329,0.890391950382258,0.833525505741919,0.835956232485708,0.835667225685808,0.827214598550568,0.837344908896369,0.835502736861269,0.771348358633765,0.838627306016981,0.835979710928123,0.888503567449149,0.838476222655025,0.837245946216538,0.846028938208208,0.842507717373348,0.840459265011853,0.839930491745563,0.838894100590308,0.836802852596713,0.837116860681835,0.83489500614833,0.830485616795825,0.767171821159339,0.771011985431611,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.83558381494405,0.832624345483003,0.830267478050329,0.890391950382258,0.833525505741919,0.835956232485708,0.835667225685808,0.827214598550568,0.837344908896369,0.835502736861269,0.771348358633765,0.838627306016981,0.835979710928123,0.888503567449149,0.838476222655025,0.837245946216538,0.846028938208208,0.842507717373348,0.840459265011853,0.839930491745563,0.838894100590308,0.836802852596713,0.837116860681835,0.83489500614833,0.830485616795825,0.767171821159339,0.771011985431611,0
"Lewis blood group biosynthesis",0.786668280052336,0.788840780095039,0.786382021934714,0,0,0.787056797733434,0,0,0,0.729034460731797,0.791754502753403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.731172787617664,0,0,0.734617186693568,0.812278070590046,0,0.728082489647946,0.727786559294012,0.816679076093387,0,0,0.732236502286911,0,0,0,0.740580911395746,0,0,0,0,0,0,0,0,0,0,0,0.811489019791149
