"","WDR5","PIK3CA","APC","UTRN","SETD2","DYNC1I1","IDO2"
"Phase II - Conjugation of compounds",0.680155659182063,0.628742360087287,0.588981871566647,0.63390959927859,0.638383004871573,0.632917078838129,0.679527730323162
"Glucuronidation",0.780022641566208,0.684587863374891,0,0.69415587813643,0,0,0.780688674785526
"Blood group systems biosynthesis",0,0,0.425249779649118,0,0,0,0
"Cytosolic sulfonation of small molecules",0.221254335559822,0,0,0,0.22301201842707,0.204231532776508,0.383848097954841
"APAP ADME",0,0,0,0,0,0,0.428155039463633
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.747946244093492,0.743030301477116,0.752253224532562,0.639250288737157,0.75904004446101,0.629012074856541,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.471226224886796,0.470435157004883,0.474732355493441,0.397858667806331,0,0.473837032416177,0
"Collagen chain trimerization",0.681263071341196,0.766051049748494,0.680086868644624,0.775283598228357,0.77983800835737,0.68105164599334,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.467897991105884,0.464643105073334,0.479810215820961,0,0.48484116475591,0,0
"Lewis blood group biosynthesis",0,0,0,0,0,0,0
