"","PIK3CA","SMAD4","APOB","RASGRF1","ITGA8","KRAS","ERBB2","TCF7L2","TNRC6A","COL5A3","COL5A1","ADAMTS13","SUZ12","TBP","APC","OPRD1","TF","HSD17B1","ZNF429","TTN"
"Collagen biosynthesis and modifying enzymes",0.92618879546099,0.94306401077599,0.925747459809591,0.926145773014083,0.943625313923644,0.925638945106166,0.927452250264356,0.927643418770111,0.927877493402752,0.943486561420804,0.904163261506938,0.944315323241809,0.909344776565813,0.926964390840021,0.927363507131764,0,0.909410728788071,0,0.912447508939583,0
"Collagen chain trimerization",0.902542908583569,0.932087459340524,0.904039450705756,0.902467586352555,0.93307016972533,0.901580249357382,0.904754922111715,0.905089613404002,0.905499423278181,0.933464292015039,0.864603781271778,0.904561234700768,0,0.903900794489905,0.904599553665371,0,0,0,0.876431575623185,0
"Activation of Matrix Metalloproteinases",0.822935315467455,0.82465045462052,0.824631010282859,0.825002308895623,0.825763939419815,0.824564606473776,0.825986847691541,0.824882218212305,0.826285269047105,0.825321269053134,0.825271804209793,0.791760532072091,0.79212614726319,0.824473902358628,0.825265649074932,0.855595155187266,0.824462057470231,0,0.795172162784589,0.788800388750997
"Glucuronidation",0.731834088032217,0.80883283739055,0,0,0,0,0,0.811167144312468,0.81209320448072,0,0,0,0.810837084363203,0,0,0,0,0.878115541747626,0,0
"Defective B3GALTL causes PpS",0.839584353196088,0.842122496253147,0.842093721613756,0.844032326783834,0.891578528174491,0.841995454154417,0.843293408093168,0,0,0.892312584016809,0.892239383630433,0.893541752949015,0,0,0,0.842527900131468,0.787098205639539,0,0,0.790373564985942
"O-glycosylation of TSR domain-containing proteins",0.839584353196088,0.842122496253147,0.842093721613756,0.844032326783834,0.891578528174491,0.841995454154417,0.843293408093168,0,0,0.892312584016809,0.892239383630433,0.893480937243598,0,0,0,0.842527900131468,0.787064102926503,0,0,0.790339462272907
"Phase II - Conjugation of compounds",0.773849074774912,0.811981342883274,0.746400981210645,0,0,0,0,0.813140251675818,0.813600010956542,0,0,0,0.812976387458273,0.746028302075678,0.743961098047285,0,0,0.846845533475632,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0.767100587319464,0,0,0,0.776517798800334,0,0
"TNFs bind their physiological receptors",0.275506483003419,0.247468934254703,0.247437251305595,0,0.136341049078444,0.226442366425682,0.139417373980353,0.136433900159262,0.137190512831714,0.137149297396639,0.133717058957367,0,0.136164233512489,0.134239039780511,0.248471343024277,0,0.135108023896965,0,0,0
"RA biosynthesis pathway",0,0,0.711312479612162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801309409307297,0,0
"O-linked glycosylation",0.535691499596808,0.537310945761152,0.537292586284029,0.538157907584531,0.568866054909149,0.537229887351569,0.538058038673364,0,-0.0242773918173886,0.85506787891709,0.853078982526993,0.570079875013343,0,0,-0.0242773918173886,0.537569611148011,-0.0242773918173886,0,0,0.504271107630595
"Glucagon-type ligand receptors",0.892015800044751,0.842714405091834,0.842682499496798,0.896947755649675,0.78480597751379,0.837640666818751,0.839079850545199,0.89675070266817,0.840464047291503,0,0,0,0.84346890213059,0,0.843723858099329,0.894385106367572,0.838366924059881,0,0.7866413217437,0
"Cytosolic sulfonation of small molecules",0,0.426506038256396,0,0,0,0,0,0.430338231247019,0.431858528878984,0,0,0,0.429796377297916,0.425927994466956,0,0,0,0.539098378632396,0,0
"Phase 4 - resting membrane potential",0.645593475082408,0,0,0.519872145635871,0,0,0,0,0,0,0,0,0,0,0,0.499860239677101,0,0,0,0
