"","PIK3CA","BAX","CTNNA1","HGF","CDC25C","APC","TIAM1","KRAS","IRS4","TLN1","RPL5","GNRHR","FBXW7","ATP1A3","COG7","LTN1","TTN","OCA2","CACNA1I","PCF11","PRDM4"
"Phase II - Conjugation of compounds",0.866585398511461,0.89306608300507,0.870592581070361,0,0.871848682732618,0.85074457398649,0.850808577618275,0,0.891836039239633,0,0.830344121554672,0,0.82490206830818,0.869421923750749,0,0.824949388449606,0,0,0,-0.0166587555939949,0
"Cytosolic sulfonation of small molecules",0,0.855707066438381,0.794057431839581,0,0.797503188033792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen chain trimerization",0.840526304683703,0.846851814636382,0.839077661558932,0.84284142886682,0,0.84414442736806,0.840525929962591,0.841898269161645,0,0.839239113485384,0.841123088312001,0.84351123066368,0,0,0.786701751171149,0,0,0.853719333927909,0.845022804670502,0,0
"Ethanol oxidation",0,0.586049314482946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.899088087545508,0.902726436059989,0.898254847443058,0.900906564089923,0.871050777414458,0.901169183202983,0.89908787201095,0.899877223118384,0,0.89834771242646,0.899431349487031,0.900804976948311,0.867644864365063,0,0.90141152744761,0,0,0.906676541079097,0.901674414050363,0.869149431796717,0
"Glucuronidation",0.797232513400377,0.859010570817213,0,0,0,0,0,0,0.855325597435114,0,0,0,0,0.80383445616252,0,0,0,0,0,0,0
"APAP ADME",0.490906476353541,0.506652519923411,0.50144211645968,0.504614106724926,0.5053505046406,0,0,0,0,0,0,0,0,0,0,0,0.508978073215054,0,0,0,0
"Classical antibody-mediated complement activation",0.397160009157324,0,0,0.567560003905336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.802593797260466,0,0.731451774074175,0.736736886027457,0.740082065874696,0.736133482668783,0.739271157774281,0.812087011844522,0.742986209932226,0.731701674990135,0.733248885587303,0.730885810252456,0.732924211502364,0.742364626041012,0,0.733099732127803,0.736563843150638,0,0,0.735803833507693,0.748264643765469
"Activation of Matrix Metalloproteinases",0.771672895626994,0.777082317682873,0.816972158590352,0.774283320012609,0.724904257927884,0.774687233198653,0.773339516907563,0.771332097568632,0.775491671693026,0.770135457660285,0,0.770986057207885,0.720830890317871,0,0,0.720931207193197,0.724601392967171,0,0,0,0.77958255003961
"Defective GALNT12 causes CRCS1",0.638471124616509,0,0.64476524245217,0.737045275767834,0,0,0,0.643223157262426,0.651994588968754,0.645068532944626,0,0,0,0,0.646059315625483,0,0,0,0,0,0
