"","COL27A1","FANCI","GOLGB1","GTF3C2","LRRK2","FZD10","MUC16","PLIN4","ATP2B2","APC","TAF5","KCNIP4","ESF1","DEFB121","TP53","FBXW7","SPECC1L","ATM","NHEJ1","NDUFS1","DCAF4L2","ADAMTS1","ALB","LILRA6","WDR35","STXBP5","TLR4","SLC12A2","OR10K1","CDC42BPB"
"Activation of Matrix Metalloproteinases",0.892732315188061,0.838929560531613,0,0,0.89402364937489,0,0.865743454538186,0,0,0.89194167116241,0.89271353438419,0.894869113440824,0,0,0.890959017785842,0.864258432373749,0,0.864380344810803,0.840277896345678,0,0,0.892750417480472,0.892190667833909,0,0,0.86724479618908,0.892434593783427,0,0,0
"Drug ADME",0.79914294708065,0.822211767575322,0.795295555699507,0.819211758960313,0.82367542006227,0.772604429603968,0,0,0,0.821923791103132,0.844853635961352,0.773791331929293,0,0,0.843341402184217,0.77017865896103,0,0.82126794085729,0.81901624755304,0.845534317155225,0,0,0.846499697951934,0.772858486318751,0.795620713685659,0,0.79571951202443,0.824551125253702,0.773693915868785,0
"Biological oxidations",0,0.824237228594227,0,0.825278475439221,0.825288128309787,0.809559319600047,0,0.846357337696048,0,0.824670872942915,0.84246990002591,0.826148309371658,0,0,0.841001588436155,0.809705561786528,0,0.84166193429469,0,0.811571251698182,0,0,0.842951889800979,0.808037158726362,0,0,0.826669954754745,0.810690244350981,0.810355593237137,0.829412160087028
"Blood group systems biosynthesis",0,0,0,0,0,0,0.84582470258422,0,0,0.781531052972254,0,0,0,0,0,0,0,0,0,0,0,0.784674105326182,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0,0,0.671299331650178,0.727846421743847,0,0,0,0.726568204563819,0.643412572047027,0,0.672893142701068,0,0.677588972754375,0,0,0.72816307264495,0,0,0,0,0,0,0
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709506323931329,0,0,0,0,0,0,0,0.713243753089241,0,0,0,0,0,0,0
"Degradation of the extracellular matrix",0.922439643940098,0.833258134905692,0.856360928898279,0,0.879367421450832,0,0.856446136383175,0,0.836654338093784,0.878159336761632,0.877818080315568,0.879813272768589,0,0,0.897892101542775,0.854744917730545,0,0.877175312794211,0.834393398608041,0.855792708312932,0,0.878429907502173,0.877990713522351,0.880811916839674,0.834497410235106,0.856949083701026,0.878856766796309,0.836345662510449,0.835922758434616,0
"Neuronal System",0.74559260947452,0.746270603393948,0.758349748630838,0.7471945209127,0.757724902545926,0.757828708952021,0.745478860671752,0,0.756727374732005,0.757737403946136,0.757353546783782,0.759049434956623,0,0,0.780098994624386,0.757705822038422,0,0.75765619517832,0.758765378919635,0,0.747991680513802,0.745731474626968,0.757964830099338,0.745948697192895,0.770172667030592,0.746692819396746,0.758528606671806,0.758984471192249,0.770960398619813,0.745959729064705
"Lewis blood group biosynthesis",0,0,0,0,0,0,0.832606004767327,0,0,0.758545504505266,0,0,0,0,0,0,0,0,0,0,0,0.762166018056552,0,0,0,0,0,0,0,0
"Extracellular matrix organization",0.900271376244572,0.876639354145464,0.889337306409125,0.876526292470978,0.889403366918987,0.889725473271052,0.876354135010859,0,0.890133651176949,0.889671516942667,0.888400842502499,0.889396974881845,0,0,0.899398672081688,0.875164874750777,0,0.888054026390547,0.865136870521909,0.876683230821249,0,0.888570869943339,0.890535743106114,0.889509734969224,0.888969844187872,0.87664392527953,0.889977784271183,0.88996710003348,0.889738914970552,0.890270012600016
"Phase 4 - resting membrane potential",0,0,0,0,0,0.742161526108735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748688338270258,0.748406984580645,0
"Ethanol oxidation",0,0,0,0,0,0,0,0.795892033079514,0,0,0,0,0,0,0.676178915111367,0,0,0,0,0,0,0,0,0,0,0,0.682372407740964,0,0,0.696367458692534
"Adrenaline,noradrenaline inhibits insulin secretion",0,0.73736496074372,0.813942460623864,0.741604787625016,0.744228457252177,0.813955356362249,0,0,0.824732388621996,0.812707800970766,0.736627207959962,0.822665045823833,0,0,0.808067135586969,0.806736228409954,0,0.807246181466014,0,0,0,0,0.809271980476912,0,0.811391576608226,0,0.811354905558467,0.817611244183514,0.89033808686746,0
"GPCR ligand binding",0.874621041790809,0.873987384738651,0.874468595375737,0,0.890760267531558,0.905012356188791,0.873748531563966,0,0.890960295398846,0.888966062591442,0.875666344055482,0.891209881592841,0,0.875247812701922,0.888743415724508,0.889497416742773,0,0.88849211311785,0,0.874535710058882,0,0.875035917975504,0.889485489626299,0.875161318639685,0.890015295266244,0.874859297516735,0.890275446412072,0.890765334137269,0.904870198580662,0
"Cardiac conduction",0,0.733585303861671,0.761122721716641,0.734393895687546,0.737029257677657,0.763718331543476,0,0,0.792863660587272,0.76219814381342,0.737111332725705,0.792673589423323,0,0,0.763722130019487,0.732383517819691,0,0.736298399049868,0.73515173197792,0.733997318387594,0,0,0.761916140226073,0.736289031097071,0.760877776062264,0,0.762767627076621,0.764652009091764,0.764515419598599,0
"Regulation of FZD by ubiquitination",0,0.731510657080629,0,0.643103536357805,0.75353782949788,0.757725836318657,0.646785509623356,0,0,0.750042922782909,0.637212774401714,0.668359291371075,0.650829278117533,0,0.747091110010461,0.726539425517121,0,0.727702129724002,0.642314609186211,0,0.649862092046707,0,0.643872281466823,0,0,0,0.733043769788405,0,0.666901732428796,0
"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",0,0.612045836160668,0.609726032857794,0,0.612548528459252,0.614941734840981,0.613862510090437,0,0,0.611014280313648,0,0.620573723288575,0,0,0.685851836707724,0.607632826084578,0,0.608664969792818,0,0,0,0.614254847518123,0.690870263761041,0,0,0.618765079819458,0.613406795058029,0,0.617064945594275,0
"Class A/1 (Rhodopsin-like receptors)",0.868351137710334,0.867804078961329,0.868450031026472,0,0.89055247009583,0.889452127663749,0.868955687330127,0,0.891454348519076,0.88943532845597,0.869779754118327,0.891563010920077,0,0.869207746595563,0.88779603525261,0.888682705014914,0,0.869224906513739,0,0.868234514685137,0,0.868918149707506,0.888666404204258,0.869089535011526,0.889592452552196,0.868676762221887,0.889967839783261,0.891187894626622,0.890945465964084,0
"Peptide ligand-binding receptors",0.866388774582187,0.865821063475863,0.866491401281815,0,0.889428243365681,0.88828636121758,0.86579751198754,0,0.89049142777884,0.88826892781239,0.867871323582582,0.890476933749231,0,0.867277721845721,0.886567748625032,0.887487891612631,0,0.867295529578711,0,0.866267748848154,0,0.866977192204241,0.887470975419867,0.867155047582169,0.888559242211678,0.866726691948531,0.888821542308174,0.89021491481868,0.889836075466992,0
"Potassium Channels",0,0,0.864674252888351,0,0,0.896798627576396,0,0,0.898540720739517,0.894662922443405,0,0.901128974964261,0,0,0.892415406047727,0.893302338339096,0,0.893717638451905,0,0,0.869993732736551,0,0.894821756826573,0,0.895174806368236,0,0.895625590369691,0.90053878278953,0.933791477730281,0
"Extra-nuclear estrogen signaling",0.774604749486523,0.774532963400853,0.772141690229195,0.738282483081688,0.774745417068502,0.77575686179258,0.775300747272594,0,0.77522971485649,0.774096995267463,0.773574264922038,0.777132552839756,0,0,0.805725714025552,0.772667885740671,0,0.773104102322809,0.738327970470398,0.736864730382372,0.738088646576174,0.774714522166023,0.807846660052191,0.73782223952091,0.774044798438612,0.777372728328932,0.775108147683719,0.774784929352058,0.81197907057619,0.737353351697195
