"","COL27A1","CTSC","VWF","CD58","NFATC2","MUC16","KRAS","RIMS1","ZNF543","CDC20B","APC","CEP63","RORB","RALY","DDX54","KAT6A","POLH","NFRKB","TP53","EXOC1","ATP1A2","MYO1A","COX11","IMP4","CACNA1H","CACNA1F","FAM83B","CUL4B","KSR2","SYCP2","IRF5","GDF9","UNC80","ATP4A","UGT2B4","COL3A1","CREBBP"
"Biological oxidations",0,0.838966000568309,0.837734452142948,0,0.865369660564218,0,0.836681421404125,0.866484885962631,0,0,0.83813178980604,0.836432250914753,0.869082650942943,0,0.838350057209763,0.865015583887305,0.837856851426143,0.838556524059538,0.863000028238,0.837791920222438,0.840422898575917,0,0.871621979116171,0,0.836392603178896,0.835532258981454,0,0.838708841483287,0,0.838311341177984,0.864708699499599,0,0,0,0.892882209594121,0.837767524700745,0.890656727190346
"Phase II - Conjugation of compounds",0,0.731976051948095,0,0,0.817336844247116,0,0,0.767488560838717,0,0,0.73185994346624,0,0.819028005640707,0,0,0.815192315172088,0,0,0.809348036924428,0,0.768140656123707,0,0.820861167899003,0,0,0,0,0,0,0,0.812204862775715,0,0,0,0.854413348066316,0,0.85465532711998
"Glucuronidation",0,0,0,0,0.775155242165772,0,0,0,0,0,0,0,0.786715444110632,0,0,0.779059925034027,0,0,0.76739553658037,0,0.684909010696693,0,0,0,0,0,0,0,0,0,0.7730973743543,0,0,0,0.855966011071594,0,0.848264095840121
"Cytosolic sulfonation of small molecules",0,0,0,0,0.444475136936075,0,0,0,0,0,0,0,0.468416362124942,0,0,0.452561751018243,0,0,0.42840475514642,0,0,0,0.643532175756777,0,0,0,0,0,0,0,0.44021328433883,0,0,0,0.613762327446619,0,0.59588386988609
"Ethanol oxidation",0,0,0,0,0,0,0,0.298634112034763,0,0,0,0,0,0,0,0,0,0,0.114665530913106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783330120642788,0,0.448932449535679
"Transcriptional regulation of testis differentiation",0.428746887062637,0,0.424111977270202,0,0.569476634112624,0.429178706436565,0.55279642379076,0,0,0,0.563654927612791,0.566873269801942,0.45653198228304,0,0,0.444063703861421,0.429882658209757,0,0.556838670737384,0,0.573915618869158,0,0,0.423314161192323,0.562409574429338,0.566489193107909,0,0.42237423043815,0.433922199935261,0,0.429163614556402,0,0,0,0.441329312101886,0.432420036123408,0.558191736829772
"Collagen biosynthesis and modifying enzymes",0.896358595885764,0.897129228156248,0.845424709812441,0,0.791613290925702,0,0.840497740175655,0,0,0,0.845888050595392,0.846264617200109,0,0,0.788920555446343,0.790786246055842,0,0,0.842412351062942,0,0,0,0,0.845977379215321,0.84350622469748,0.789716796190308,0,0,0.844320564010145,0,0.841691637037809,0,0,0,0,0.896282450009369,0.784331457980521
"Collagen formation",0.861671899095167,0.862329324926551,0.816507793596545,0,0.772313755354796,0,0.814017043577709,0,0,0,0.818190671161738,0.818936762187347,0,0,0.769970439493402,0.771562058800082,0.725049969295586,0.769726353423223,0.815958323765923,0.769611386065817,0,0,0,0.818691719670719,0.816583579542681,0.770695857070641,0,0.767041748236424,0.816875592635399,0,0.815035556125457,0,0,0,0,0.861606939103207,0.815360761146147
"Formation of axial mesoderm",0.0468480290681172,0.045503005368366,0.0400298024804012,0,0,0,0,0,0,0,0.602535370872532,0,0,0,0.0479849817130238,0,0,0,0.0301069457261496,0.0492779937041957,0,0,0,0,0,0,0,0.0357897024650939,0,0,0,0,0,0,0.0478276627903963,0.0459683278598363,0.59279730720177
"Collagen chain trimerization",0.851288544001568,0.749985014621871,0.749263563211205,0,0.653243821655087,0,0.748103583307038,0,0,0,0.649194305845081,0.649875514498475,0,0,0.655839067132423,0,0,0,0.741529930978288,0,0,0,0,0,0.753545929134314,0.649608784067531,0,0,0.755019068227469,0,0.750263341670029,0,0,0,0,0.850805436799451,0.645971730434451
