"","SERPINE1","VWF","PLCB3","AKT1","CTNNB1","MYC","STAT1","ABL1","PRKCB","GNAO1","ACTN2","PIK3CD","MCHR2","MAPK10","MAP2K1","ACTN4","RRAS","PPP1CB","HRG","ITIH3","PPP2R5E","PPP2R5D","TGFBR2","MAP3K1","NCOA2","CDH2","GTF3A","CLTC","CSNK1D","SLC9A1","GRM7","GRM2","GRM4","TEK","DNM2","CDH1","KALRN","BRAF","RELN","BLK","TAS2R8","TAS2R4","SSTR1","SEC24A","VAV1","AKAP9","ELMO1","DOCK1","ICAM1","OCRL","ARHGEF6","AR","DYNC1H1","PSMB8","PGR","SPTB","SPTBN2","QRFPR","AVPR1B","EPHA2","DAG1","LAMC3","SHC2","PLXNA4","NRG3","NRG1","FLNB","TRIP10","MAPK6","DYNC2H1","IL6","NLK","TNRC6B","TSG101","CLOCK","CTNND1","GP9"
"Interaction between L1 and Ankyrins",0.910225006793603,0.908281572272498,0.908459545237731,0.908966616310993,0.908730140174366,0.909178246095887,0.908851170216115,0.910158516262095,0.909093751569029,0.905023152891487,0.908258700434191,0.908945493281859,0.877273136793738,0.910107272491887,0.908751675606218,0.908228458686338,0.910141984492334,0.908522891189306,0.87534983060223,0.875405982251114,0.909235742189039,0.908935889149242,0.90518680254803,0.909009581591049,0,0.91097858158208,0,0.909558497900303,0.908807128486104,0.911062296116326,0.877927345659296,0.877927345659296,0.877927345659296,0.909026838191459,0.909640971590392,0.91013268632567,0.87822356865815,0.909461222895316,0.910082858535156,0.90968846102442,0.877980850819511,0.877980850819511,0.877965382560871,0.910607764295933,0.909962813544921,0.90991744553568,0.909887957447276,0.909857794456931,0.910642863894105,0.907292092974168,0.909465330830351,0.909391370492458,0.938192190316887,0.909192430712903,0.911093142708342,0.939251466977775,0.862211595242148,0.878415237927075,0.878365126936667,0.91030869428879,0.90968846102442,0.910592216924414,0.909828222636107,0.910389896341956,0.91034786669203,0.910048566580599,0.910588278715459,0.907188074131975,0.875912157117328,0.938794571417223,0.908551760221196,0.910701603448608,0.911117065883806,0.909982249413623,0,0.910458941850506,0
"Phase 0 - rapid depolarisation",0.853570024349273,0.814212823641383,0.851146988389446,0.854000951063337,0.849585050806635,0.853048532577119,0.847054583103734,0.813772554280876,0.851545843284235,0.854629035991769,0.849789277005013,0.851014555735224,0.850766062794475,0.85497672996023,0.851182765840791,0.850043954591449,0.854561152193581,0.88617941474884,0.81516350549316,0.815227470827584,0.885685374910638,0.885343796339925,0.852107804412482,0.814472821752244,0.81231564935457,0.8147067343715,0.813727150196821,0.851828285500004,0.852625772738493,0.85203527214862,0.851511306962739,0.851511306962739,0.851511306962739,0.853023560745367,0.851922235673734,0.814520609126575,0.851525147039273,0.851830063497724,0.814885262891604,0.815038006460999,0.851572257540943,0.851572257540943,0.851554636823537,0.816011544756307,0.85196525966739,0.850937573591103,0.815265263463387,0.815230903194312,0.813161523735676,0.851581131404394,0.814783826970857,0.853104973609701,0.851204175269548,0.853064691029971,0.853073015613071,0.888872766369921,0.88830106845254,0.851743487713669,0.851686403615097,0.855529783579929,0.815038006460999,0.814837184216675,0.81519721635793,0.815837048796449,0.815789170583312,0.815448221882755,0.849033415930577,0.852162325267396,0.814608967169156,0.851890379669599,0.813743130024342,0.84914773779822,0.854586216378639,0,0.852588671486928,0.814892264174448,0.815073885547259
"Activation of Matrix Metalloproteinases",0.880250608376971,0.879888723723073,0.879849185978588,0.879855366996165,0.908750649945861,0.880066632632898,0.880884688111851,0.8810452160631,0.879621317232284,0.880635305142058,0.880293237783693,0.880334297859288,0.879515367736395,0.880494042921089,0.881019430571855,0.880696685337044,0.881528730285488,0.849164488041403,0.880721839031771,0.880777894061364,0.880124029793394,0.879824692706174,0.880876101220948,0.88097644662924,0.880717682597397,0.881863870309129,0.88195462948738,0.879585246335413,0.878835169791168,0.882447458343229,0.8796684333685,0.8796684333685,0.8796684333685,0.881493691082661,0.880528561922663,0.910150782757278,0.880464164207116,0.880632707274273,0.882547894348172,0.88215417547125,0.879721846463197,0.879721846463197,0.879706404820555,0.880632707274273,0.880849850088623,0.847923791138822,0.882353328623637,0.882323217534292,0.84891831219549,0.847348871477495,0.880353223385014,0.881658024744808,0.847288882724779,0.84747037475266,0.851196939170617,0.881283389768505,0.880782391157845,0.880655503673637,0.88060547890845,0.881195135680743,0.880775541035994,0.881117204201063,0.882293696597252,0.882854403839675,0.882812446509531,0.882513661399261,0.849326890152662,0.879877976909167,0.880633624972169,0.847890227317094,0.881019430571855,0.882731937331951,0.882002116323019,0.849566689338622,0.852163846916735,0.910476476899181,0.88309780946847
"Potassium Channels",0.932868427848866,0.932741661344079,0.951416369469416,0.951420094396054,0.932060431527798,0.932330013285488,0.932823006001863,0.932919746519807,0.951797909746653,0.951890116093899,0.933310945946036,0.951708717152385,0.951215197340839,0.952106316298948,0.932904207158848,0.933554079462476,0.934571489509177,0.933456381126113,0.933152410153889,0.933186191140651,0.932364603093628,0.932184210678276,0.933336694232787,0.933179633757036,0.932631042289118,0.933413100076999,0.914288299775153,0.951776171991833,0.932106747908375,0.933764793400468,0.951608771197829,0.951608771197829,0.951608771197829,0.933190015375414,0.934270078766217,0.932904207158848,0.951786979770543,0.933190015375414,0.933825320125333,0.933588049495632,0.951640960049713,0.951640960049713,0.951631654302673,0.914010519988732,0.932802011225658,0.933593877145755,0.933708067093577,0.933689920955435,0.933211131390434,0.934089936836046,0.933453813755772,0.933289049365868,0.931703019095091,0.916306204440656,0.934312840222251,0.934206104967762,0.933904183310461,0.951902288531106,0.951872141621135,0.933010094034665,0.933588049495632,0.933481992462737,0.914191304650934,0.914867006035168,0.933984749763061,0.933804689990938,0.914725026382634,0.934396873434897,0.933361467851545,0.91577254944494,0.932904207158848,0.912820820137651,0.93349641261468,0.912649381802465,0.933960161474012,0.933100483381984,0.934179024915502
"Glucagon-type ligand receptors",0.878779605935607,0.878358486138453,0.914418971606541,0.914426164364896,0.880251732212054,0.880772289159471,0.878515561035167,0.87870236502793,0.915155718201478,0.915333766801896,0.877827299072309,0.914983489097395,0.914030512275855,0.915751245045735,0.878672358834725,0.878296784998277,0.879265023347533,0.878134204931869,0.879327970050041,0.879393200455468,0.877630394247017,0.877282060124272,0.879507482668536,0.879204202051489,0.881529906333986,0.879655020815659,0.844533200675006,0.878005334009576,0.87713248107492,0.88033413354369,0.914790495471059,0.914790495471059,0.914790495471059,0.879224248747595,0.878101142277875,0.878672358834725,0.915134612637631,0.879224248747595,0.880451009431002,0.879992844621306,0.914852651496085,0.914852651496085,0.914834682285876,0.839474044172594,0.87847502054494,0.878422317308347,0.880224596186984,0.880189556359513,0.879265023347533,0.877753291836972,0.879733638109804,0.882624168525286,0.877368880472199,0.837889905007282,0.881392400924369,0.878979524231634,0.87839651958907,0.915357271533113,0.915299058456816,0.878876824260426,0.879734857426135,0.879530063430545,0.845509631027456,0.883434514117365,0.880758864852135,0.880411173056769,0.840843355080794,0.878345980230719,0.879378983799445,0.83831845166831,0.878672358834725,0.88387386465356,0.879815895648839,0.839580730852612,0.879695393752273,0.87905136427056,0.881134006260739
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0.719351692641544,0.717090096705539,0.791475318097722,0.800790255556571,0.801913705324498,0.72368667696808,0.720093841335351,0.801701868452832,0.802086127388981,0,0.719516796491592,0,0.719965367688871,0.803050831130023,0,0.721308152971604,0,0,0,0.718988723174767,0.717028583591083,0.723039796860366,0.721176890347476,0.802293012518625,0.726145823526991,0.726373758758561,0.801327129481803,0.717914142496482,0.723615473251782,0,0,0,0.721220154501762,0.719175495641832,0.720029082905059,0,0.721220154501762,0.725076086890852,0.722878914144174,0,0,0,0,0,0.720697826825928,0.724587448889362,0.724511827026594,0.725304143155164,0.718424775669608,0,0.725628857008835,0.718424332302476,0.72166775108232,0.725899392905778,0,0,0,0,0,0,0,0,0.725845863714203,0.72453211511445,0.723781737526074,0,0,0.721934662212415,0,0.724025073088619,0.728325912215295,0.726493018574332,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.888386670057242,0.887910942204626,0.925022746448669,0.92503087191679,0.886424923366434,0.886355667555308,0.888088385544546,0.887642097882875,0.925855029513728,0.926056166289797,0.887310874280908,0.92566046686814,0.92458391425777,0.926527780376329,0.888265515855168,0.887841240064953,0.888277718045952,0.925953193341118,0.8890061424363,0.889079831493212,0.925384051788407,0.92499054797945,0.888551617902732,0.888209009842832,0.887211527559927,0.888718287829874,0.888837598412706,0.887511995622078,0.885868641667163,0.890142778617856,0.925442447093136,0.925442447093136,0.925442447093136,0.888888971235096,0.887620227678725,0.888265515855168,0.925831187118677,0.888231656063112,0.886450839194494,0.889757233584674,0.925512663104144,0.925512663104144,0.925492363764518,0.888231656063112,0.887385272857246,0.887325735410325,0.889361722002608,0.889322138439946,0.888277718045952,0.887227270272303,0.8888070996995,0.927400617332978,0.886135695789024,0.887031597515482,0.890680960005063,0.887955197275737,0.887296592411879,0.926082718960518,0.926016957193989,0.888496495017297,0.88909991841269,0.88886856807388,0.889940645854171,0.889545907021291,0.890622586298881,0.890229808110109,0.888064446095649,0.887896814612734,0.888605658497088,0.887583529068097,0.888265515855168,0.88985943503312,0.885830339446093,0.890142778617856,0.887950568336518,0.888693668232087,0.887319374003831
"Synaptic adhesion-like molecules",0.840712347196442,0.839971700740075,0.83710530585556,0.838141310473128,0.837658162483804,0.775362005979868,0.840247956965552,0.840576499380822,0.899045714697872,0.839737560597909,0.898658770875298,0.839121508010648,0.774650023773598,0.840471802454975,0.840523725845081,0.839863183564834,0.841566077390158,0.899198543022932,0.841676785204104,0.841791509491477,0.838691165645438,0.838078531341881,0.838762489724945,0.841459107644989,0.775671114487837,0.842251987301571,0.841414384057882,0.839350592745203,0.897436756400879,0.842423025739001,0.77598664785119,0.77598664785119,0.77598664785119,0.84047101054817,0.839519095995075,0.840523725845081,0.839387297259469,0.84047101054817,0.903273234011044,0.842846136534686,0.659939397598089,0.659939397598089,0.659907794163734,0.90111566279469,0.840176656184564,0.899705262042357,0.843253730708688,0.84319210424462,0.840542723070731,0.838907312369271,0.842390255843469,0.839488180027185,0.838231227043835,0.775390986786507,0.842077598718062,0.841063954455269,0.840038592253161,0.776983467959746,0.776881085433526,0.840883330389959,0.842846136534686,0.842485954115944,0.842108331288558,0.844279249694183,0.844193378277544,0.843581873670336,0.840210686354013,0.839949705915063,0.842076638064076,0.839461961026488,0.664829337451664,0.840442221838914,0.779323238159796,0.842191464035002,0.844109873495438,0.841190303467154,0.844853160023253
"Post-translational modification: synthesis of GPI-anchored proteins",0.778798259107507,0.750544599285201,0.812084850674385,0.749638939244678,0.779963833670713,0.749852878832087,0.749068420747516,0.7492309804718,0.81272597895847,0.750428748925597,0.750082352082994,0.750123931848486,0.749294636676217,0.749179177408913,0.75081773616098,0.750490905998528,0.751333481988305,0.812801596988988,0.779275454042857,0.749832156147787,0.748298134915297,0.747995009173096,0.749425260120327,0.749161340635743,0.783326012279352,0.751672863818171,0.750151904176116,0.812689451518829,0.811423535215238,0.813844127775398,0.748343118266625,0.748343118266625,0.748343118266625,0.813750169979968,0.812772825356017,0.813269906840276,0.748642574348328,0.749685131757981,0.752365545424862,0.751966843319842,0.748397207401131,0.748397207401131,0.748381570316431,0.813243823802796,0.750646009328465,0,0.752168517117397,0.75213802491748,0.749214268268442,0.812470120521238,0.750128410261022,0.751464412904042,0.811629253627753,0,0.753184758865335,0.813030860743218,0.812523521084414,0.75044920310631,0.750398545186783,0.750995665137422,0.750353975777151,0.750175760874109,0.752108130339318,0.815128105030457,0.752633445974731,0.752330879195753,0.750824488664996,0.812985887130125,0.749973235107437,0.812238209329021,0.749204868618289,0,0,0.750650970677011,0.750979261044317,0.8135997232336,0.752959899831783
"Nitric oxide stimulates guanylate cyclase",0.606207450529198,0.664907376489913,0.726123873900506,0.670992349793614,0.671483549116642,0.663636196056246,0.665158571012032,0.665457308370284,0.67215905390213,0.675009383995247,0.664057900959273,0.671883624738079,0.669687875484744,0.673111421748182,0.665409322399767,0.605712127649618,0.666357112799038,0.72580596677441,0.60708439563344,0.607188712242024,0.663743010327308,0.663185953628042,0.666744854281267,0.665588100634642,0.673527607998494,0.666980797612355,0.666477950912991,0.60621255996384,0.662946746481597,0.667395089575264,0.663825676606426,0.663825676606426,0.663825676606426,0.665620159355379,0.659334960145661,0.665409322399767,0.664375989540054,0.666291905968663,0.610123689505202,0.666849299575994,0.663925076659075,0.663925076659075,0.663896340258379,0,0.661176193907676,0.665009455437938,0.609761608944766,0.609705573175201,0.608227057938289,0.663267801811607,0.608009946322471,0.728818318098965,0.66099428342026,0.604565971511027,0.669759219723572,0.607770487120901,0.606838144807482,0.671809631822433,0.671716537342108,0.665064557347338,0.608424469948775,0.608096962938224,0.609650635660109,0.609450767007658,0.610616012575351,0.610059983087451,0.608148607511633,0.606757322153863,0.606794263067295,0.606313825020034,0.664737575786483,0.60647497822771,0.666566322387989,0.609936781327799,0.667529066899517,0.666015428730739,0.669345994406181
