"","TP53","IRF5","ATM","ATP1B4","PAK1","CCNA1"
"Phase II - Conjugation of compounds",0.850709477316902,0.851899602199605,0.834496364543273,0.833890229897888,0,0.834692174209742
"Nitric oxide stimulates guanylate cyclase",0.743677342283508,0.74600365463217,0.744778329374263,0.751685785938763,0.746013448917671,0
"Phase 0 - rapid depolarisation",0.930404734971489,0.903381408017723,0.902479520036124,0.90572525103434,0.901884903277613,0.902820553056367
"Cytosolic sulfonation of small molecules",0.769609327834121,0.77415549268618,0.772177416836562,0,0,0.77292539130238
"Activation of Matrix Metalloproteinases",0.880742124870321,0.881938917519968,0.849757651980726,0,0.882438833768544,0.85348656026299
"Aspirin ADME",0.827061812326156,0.829359403371554,0.827806125228584,0.797360218609938,0.794370535264427,0.82818414483209
"Glucuronidation",0.852079020850988,0.855513660881008,0,0.803393648831587,0,0
"Phase 4 - resting membrane potential",0,0,0,0,0.7609342617374,0
"Ethanol oxidation",0.78557382085872,0,0,0,0,0
"Heme degradation",0.67816792604321,0.682265989055437,0,0.68689994940628,0.624576296346722,0
