"","POU4F2","NOTCH3","KRAS","HOOK3","ZNF782","APC","ANKLE2","SAP130","RPS6KA1","DNAH5","DNAH8","MIS18BP1","RBP1","AKR1D1","INTS4","MYLK","SP5","SMAD4","PTGER3","CACNA1B","DNAJC2","CATSPERD","SLC12A2","CAPN1"
"Extracellular matrix organization",0.789091681673257,0.800335758413112,0.800691421712864,0,0,0.79915277710563,0.772109626211834,0.771101605355199,0.787017878110147,0.771498814782273,0.771498814782273,0.757146121898751,0.786915243362187,0,0.787203851158189,0.78677357559511,0.788730503707889,0.802413645372226,0.785585548550916,0.771544270826388,0.771810249928715,0.770413773188335,0.771776821708693,0.79413178407791
"Glucuronidation",0,0.652085754966922,0,0,0,0,0,0,0.569576609517278,0,0,0,0,0.794630091606305,0,0,0,0.648256931938629,0,0,0,0,0,0
"Collagen formation",0.905033746382128,0.8689470912123,0.899028355244391,0,0,0.900393903314433,0,0,0.865985469150869,0.866737599563154,0.866737599563154,0,0.900176818367795,0,0.901218231607893,0.898503150695162,0.905548324631071,0.929792881776813,0.865181577505026,0,0.867403789151235,0,0,0.901000956400225
"Collagen chain trimerization",0.85169416881141,0,0.839211408830943,0,0,0.841825808959102,0,0,0,0,0,0,0.839855231513335,0,0.843404020699388,0.838867965546911,0,0.898111409404793,0,0,0,0,0,0.840118338488555
"FGFR4 ligand binding and activation",0,0,0.885547600140141,0,0,0.814127907046885,0,0,0.817745275004098,0,0,0,0.744535300538401,0,0.741221079584055,0.817130607948217,0.754095058315957,0.812735780502225,0,0.746896081294245,0,0,0,0.81859993384839
"Collagen biosynthesis and modifying enzymes",0.882568176552371,0.832863683005578,0.874296561362577,0,0,0.876177419394885,0,0,0,0.829820406678087,0.829820406678087,0,0.874759741826239,0,0.877312820283381,0.87404948056861,0,0.91667054153072,0,0,0.830737992858518,0,0,0.874949026879575
"Phospholipase C-mediated cascade; FGFR4",0,0,0.885547600140141,0,0,0.814127907046885,0,0,0.817745275004098,0,0,0,0.7444831682633,0,0.741221079584055,0.817130607948217,0.754044416721993,0.812735780502225,0.734062509105389,0.746896081294245,0,0,0,0.818369499448576
"Assembly of collagen fibrils and other multimeric structures",0.889883243814038,0.840461547159838,0.882341567451189,0,0,0.884056446859703,0,0,0.840845726914519,0,0,0,0.883783827745768,0,0.88509165290431,0.881761157246227,0.890529460276528,0.920976203770861,0.839836185573298,0,0,0,0,0.88481879485721
"Biological oxidations",0.758194108369453,0.785755972407157,0.752178169946763,0,0,0.754510669400209,0,0.754398415432754,0.75668740819111,0,0,0.754897162387223,0.788139328578661,0.817805953018196,0.755314871278216,0.72336040102015,0.759198137461907,0.785083389399394,0.752021343345247,0.752209431644425,0.724865969724161,0.7530029809425,0.7244812457748,0.723997547635025
"IRS-related events triggered by IGF1R",0.740524042014664,0.781090083645712,0.820097219957405,0,0,0.776342001148862,0,0,0.780311006378747,0.732669896708472,0.732669896708472,0,0.784878041359228,0.739125345926891,0.779584693715251,0.776623437920208,0.784750933395308,0.784778865101301,0.777784487452964,0.776936367172279,0,0.732952130692729,0.735348607126521,0.781231921150475
