"","USP9X","CDH23","MRPS5","TDP1","PLCB1","CDRT1","MUC16","HNRNPK","RPL5","APC","PLA2G4A","CYBB","HSF1","PCF11","CANX","CETP","BCAS2","DLG2","PADI3","NEFH","ZFYVE16","SEC16A","ADAMTS16","TP53","TOP2B","ANK2","GAD2","SMAD4","GRIN2A","SARDH","COL8A1","CACNA1B","MCM4","TAF12","TCF7L2","CD1E","SEMA6A","GRM1","KIRREL3","ZNF99","PRKAG1","PTPRK","DGKB","IWS1","ATP2B4","FKBP8","CNTN6","TAF13","THBS2","RAB3D","TTN","VASN","RPL22"
"Activation of Matrix Metalloproteinases",0,0,0,0,0.805026638249998,0.704907995074856,0.707626202344354,0,0,0.760315102811234,0,0.762040629579768,0.715728753865679,0,0.712619876802652,0,0,0,0.670666617451788,0,0,0.711020987598324,0.761826593918272,0.758478591402391,0,0.760829715186866,0,0.760783943116231,0.763643151243653,0,0.762066302391985,0,0.7633453148961,0.71326130504538,0.761119820802197,0,0,0.805792714771484,0,0,0.708252787250027,0.711931132249141,0.715570060157524,0,0,0.715068586759721,0.719523899239993,0.710901331003476,0.761829985577416,0,0.708829116763446,0,0
"Extracellular matrix organization",0.821842959129573,0,0.820547355728136,0.805638999715224,0.853337404031939,0.818785768608871,0.82043543106204,0.8204477276248,0.836068739015731,0.839126933544356,0.837871774457925,0.837630107536384,0.838798993015768,0.820438373262022,0.838739515317435,0.822478547274936,0.82049607873825,0.821741009101285,0.807048207847779,0.805697081454775,0.819933688635458,0.854557025124154,0.83758212945107,0.851693340097198,0.821755820510531,0.838341795031333,0.802280156107431,0.83759250172914,0.838373402965188,0,0.854125764943281,0.820587387069833,0.838466375534552,0.837670156093425,0.838110234426322,0.823188781765211,0,0.853292834335722,0,0,0.839288088324918,0.838390198171673,0.822396102419836,0.804885854783554,0.839246482604935,0.821647860420479,0.822800418797258,0.83752568231297,0.856929536801214,0,0.837086427491125,0.821039571798119,0.819265775418233
"TNFs bind their physiological receptors",0.116865088599053,0,0,0,0,0.109004854892088,0,0.271992735885844,0.109226455707305,0.21637204641663,0.119770363081256,0,0.122385747449672,0.271948896663596,0.187124447425205,0,0.272219333384637,0,0,0,0,0,0,0.20727335718029,0,0,0,0.272104451551343,0,0,0.116190714622723,0,0.114677698602699,0,0.119443718899758,0,0,0,0,0,0.274641558396966,0.127646698284417,0,0,0,0,0,0,0.275952135985091,0,0,0,0.110276917171778
"Signaling by Retinoic Acid",0.525177107653254,0,0.441449447755423,0,0.516813566190023,0.438834775985904,0,0.444314581881164,0.439242628458086,0.518741274094154,0.599102019706909,0,0.524601855326306,0.444274461785787,0.450260289786932,0.53231187894249,0.444521955844426,0,0.460380258779672,0,0.52642558086547,0,0,0.516907811700036,0.525269523532789,0,0.591450827045904,0.518271255736019,0.444462174948177,0.528177458652368,0,0.516658706346624,0,0.5202625503011,0.519918792109216,0,0,0.519090598715375,0,0,0.521749182924271,0,0.523169548606916,0.451285597932898,0.450267564593193,0.527929879060328,0,0.44662304454261,0.52294857687195,0,0,0,0
"Collagen formation",0.825372393462897,0,0.825520370880883,0,0.823411446222387,0.823611985445857,0,0.825314264155589,0.857824587019593,0.861646296321265,0.823927069774194,0.86251804918492,0.824765802354141,0.825294912215574,0.863713224030832,0.831391088998772,0.825414291048843,0,0,0,0.825974594890527,0.895878245344782,0.862559834784333,0.859947519189849,0,0.862332811251047,0,0.860782702560531,0.863358378318339,0,0.894986071142386,0,0.824406814289089,0.827048329772053,0.861979945432264,0,0,0.823952148942125,0,0,0.826805229653427,0.827088142937631,0,0,0,0.828280648607391,0,0.826749448063141,0.861501342811594,0,0.82515606118183,0,0.825499096517597
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0.646478766562931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649981836673093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647092080407558,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0.695446880785926,0,0.56160210651298,0,0.557380449152223,0,0,0,0,0,0,0,0,0.545006911459577,0,0,0.689345776257755,0,0,0.5646792462699,0,0,0,0,0,0,0,0,0,0,0.553819407372273,0,0.692802153183921,0,0,0.558267256239004,0,0,0,0,0,0,0
"Stimuli-sensing channels",0.740957359223589,0,0.681348611521377,0,0.742415012242764,0.738895024974819,0.686216433528404,0.684701950905865,0.790475485274512,0.737580466666609,0.749981312160927,0,0.74981138368279,0.684671472874982,0.687307185192463,0.693201336272978,0.684859486674342,0.748346060894643,0.695540263440684,0,0.701877163521901,0.685274990325384,0,0.798492158752188,0.753185016736458,0.754445471697349,0.686216433528404,0.742195187875695,0.750168718617496,0,0,0.798886375489561,0.739436635623941,0.685560040182767,0.695880188883688,0,0,0.695480037715126,0.707862774183069,0,0.75248738039553,0.744177890771736,0.694977575401133,0.688631322882267,0.749065686272364,0.689872462637894,0.691307625350854,0.685577398605322,0.697471291827071,0,0.696082756687113,0.692372918121738,0.791205790131993
"TP53 Regulates Transcription of Death Receptors and Ligands",-0.00644375516204555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762243421096852,0,0,0,-0.0204518470583504,0,0,0,0,0,-0.0134341717267946,-0.0142878526642909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Class A/1 (Rhodopsin-like receptors)",0.689075872760591,0,0,0,0.716551043586526,0.809337848104141,0.811788814792357,0.810127593291239,0.809426688923721,0.687749592405146,0.688902811604868,0.656986102518486,0.68907930207886,0.810110017938772,0.652678517773333,0.815614572133701,0.810218437305002,0.68523231300722,0.658137569654222,0.658976652893453,0,0.653526084538672,0.653930777541371,0.685538342142681,0,0.688585897315883,0.811788814792357,0.687684527340243,0.687606462502825,0,0.653171504612794,0.689003564838307,0.811612118097725,0.65596473033228,0.68826542602806,0.656932279077075,0,0.717042107576576,0.694677607966517,0,0.688701665527697,0.814548325097972,0.684750509147784,0,0.814346193362449,0,0,0.655693287191394,0.654651961149816,0,0.652505359393773,0,0.80984782391526
