"","CTNNB1","TGFB1","SOS1","SDC3","INSR","PTEN","NOTCH1","GPC2","IRS1","ITGA6","NCOR2","ARRB1","SERPINA1","NFKB1","PAK1","HDAC2","TNRC6A","SNW1","FGFR4","KRAS","FGF16","RXRG","PPARGC1A","ITPR1","HDAC5","NECAP2","UTRN","ORC1","ELK1","TNF","TNC","EPS8","TNXB","COL6A3","F2RL3","HTR2C","CYSLTR1"
"Collagen biosynthesis and modifying enzymes",0.937376529844821,0.937834790983582,0.937234316346181,0.937935875491704,0.937681531575964,0.937978423792626,0.937920486208409,0.938086648309256,0.937892983848206,0.950824432668023,0.937900509194815,0.93690133305347,0.950634100426484,0.937569355108315,0.937480497220258,0.937643823256609,0.938399264716222,0.937524677517153,0.937879729321971,0.93661551700467,0.93832877810317,0.93722451594035,0.93798412617252,0,0.922644388934007,0.93708418811501,0.938629430449518,0,0.938794383575558,0.937899708776766,0.937590094296517,0,0.937697465443657,0.952859403975567,0.937774732873236,0.937774732873236,0.937830325727073
"Collagen chain trimerization",0.906620070848521,0.907548348166852,0.906775568196271,0.907753110142478,0.907237898032902,0.908282870488594,0.907721936819192,0.908058523311774,0.90766622662468,0.933860834059788,0.907681470353592,0.905657487801773,0.907188898865271,0.907010667613908,0.905381252219266,0.907161514122923,0.908691775174914,0.906920166388722,0.907639377575026,0.905078524121732,0.908548993868346,0.90637758235527,0,0,0,0,0.909158010715318,0,0.909935720567078,0.908123421306337,0.907052677979569,0,0.907270174494335,0.934156770340676,0.907426691371414,0.907426691371414,0.907539303113746
"Keratinization",0.880461378660039,0.883150307127094,0.868312022566525,0.857951207438985,0.871904753369489,0.857761296390489,0.856646411175605,0.858113568652274,0.872132457859141,0.857131225838938,0.87166894513524,0.855914502190158,0.867060948367772,0.871258980535901,0.856609481307779,0.857400978463973,0.858214483139042,0.871264227042359,0.872118184590285,0.857034291456431,0.858328409759834,0.872312823804148,0.871758988912176,0.85761193096429,0.871882376356035,0.8570011537977,0.857645653091138,0.871794499762002,0.872867330917235,0.871850533414944,0.857955080595336,0.858450207283564,0.858070704286694,0.857305456202157,0.855399422107817,0.857452012346009,0.857511878065478
"Formation of the cornified envelope",0.776299402015965,0.780942750884443,0.747964459920446,0.724260850591409,0.75618395677755,0.725236991080055,0.721815205696869,0.724632302713913,0.756704902108466,0.722384885885421,0.75618395677755,0.719601249494167,0.756124362605958,0.755368107539578,0.755149192408484,0.723002029494354,0.724863176206058,0.755258037393416,0.75667224753596,0.722163118128233,0.725123819029832,0.757657030877921,0.756389960116549,0.723484649403404,0.75667224753596,0.722087305356073,0.723561799329415,0.755931717122001,0.7262709100226,0.756059911651317,0.724269711649527,0.725402469009029,0.724534237053697,0.722783492405484,0.723118785481934,0.723118785481934,0.723255747063532
"Collagen degradation",0.899059294651887,0.869629927216878,0.868717109769272,0.870773993461463,0.869787172822801,0.870497554247166,0.869834972322334,0.870610798129364,0.869769166737955,0.900710567408528,0.835969956857445,0.867396419105982,0.869729294388013,0.899520672477397,0.8696843984942,0.869172993965411,0.870980557619781,0.868887910977878,0.870261405521445,0.869326812247365,0.806306337394689,0.870315637793994,0.804999335908588,0.805580777815625,0.80437129735909,0.80480885138503,0.871531280920302,0.804631235513473,0.872449921605732,0.8703092108621,0.872015268076272,0.808373050737754,0.871369978886092,0.901097697909057,0.869486224675762,0.804498315329908,0.804631333740217
"Defective GALNT12 causes CRCS1",0.778175482114934,0.841031021563207,0.831293106895843,0.843009888388822,0.78034404665518,0.781572778156404,0.837238307603261,0.843633883563019,0.781219172553831,0.781031653157147,0,0.837167770526555,0.841202894826181,0,0.780166280105073,0,0,0,0.781164316774512,0.779547770849594,0.783022770287538,0,0,0.781767785457934,0,0.841344047270265,0,0.841990612414426,0,0,0,0.786550007127035,0,0,0,0,0
"O-linked glycosylation",0.881946411438016,0.903646032542474,0.900444113856247,0.9046627526805,0.88184923544711,0.88292270971105,0.880235437341631,0.904882648081616,0.882798099379064,0.901658038268682,0.882710611850361,0.902603995010874,0.903706600543103,0.860446671539986,0.882427060920875,0.861837372687793,0.862939150219569,0.861882149994775,0.882138297982162,0.881568628489062,0.863800629638048,0.882608760041849,0.881858668666853,0.862492555909448,0.862500800166469,0.882070549040729,0.882569261238018,0.882298398081237,0,0,0.882976408169889,0.864177807006949,0.883133004178718,0.881314894596381,0.88187264696765,0.88187264696765,0.881953726654905
"Cytosolic sulfonation of small molecules",0.775038381911276,0,0,0,0,0,0.777711011325421,0,0,0,0.777612857948215,0,0,0.775985793331567,0,0.776351678863698,0.780063401348763,0.775766278215495,0,0,0,0.780550639384859,0.841379813957666,0.842415758302742,0.778586666071906,0,0,0.778429170503966,0,0,0,0,0,0,0,0,0
"APAP ADME",0.807296129441658,0.810078838115087,0.849536506114942,0,0,0,0.851029695778059,0,0,0,0.808970815954951,0,0.810211568236859,0.807912416835806,0,0.808150423932114,0.810564884776822,0.807769623118142,0,0,0,0.810881831198581,0.809238063557068,0.851207099964859,0.809604274300603,0,0,0.809501824054515,0,0.804871022948967,0,0,0,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.803792971714826,0.805531199321913,0.804084145243847,0.855736304947814,0.805780474679112,0.806906614785007,0,0.856308200427704,0,0.806410670338756,0.805780474679112,0.801990505584361,0.757235780264699,0.80452437607797,0.805617550524109,0.803788291644876,0,0.755136335922854,0,0,0,0.808048450465242,0.806097641741239,0.80708534019652,0.805513708249155,0.805818089340231,0.808545341566459,0,0,0.758155099347574,0.809312587623834,0,0.809719856485138,0.807024373298755,0.756850451282119,0.756850451282119,0.757061320206239
"Phase II - Conjugation of compounds",0.845655201342306,0.826513888780838,0.826668717042635,0.829011170970497,0.844976641540656,0.825266199477847,0.846449669080933,0.829231380067081,0.845285475152689,0,0.846420491937549,0,0,0.845936829541354,0,0.846045592937345,0.847148942228314,0.845871576320336,0,0,0,0.847293778956766,0.846954889666392,0.846299854721318,0.846709966839603,0,0.828774694845033,0.827829864054037,0.826457937946131,0.827636541211413,0,0,0,0,0,0,0
"Defective GALNT3 causes HFTC",0.746640511502967,0.821309323299962,0.809741233614073,0.82366010472464,0.756571897069694,0.750676306294736,0.816803794473692,0.824401375559849,0.750256242917336,0.750033480521815,0,0.816720000431804,0.821513498977055,0,0.749005466473624,0,0,0,0.757546331394826,0.755625966626845,0.759754068641466,0,0,0.750907963896036,0,0.821681180065698,0,0.822449262743656,0,0,0,0.756588971694488,0,0,0,0,0
"Acyl chain remodelling of PS",0.828694642326923,0.828550664055678,0.829056162172575,0.770932950923478,0.831162317761901,0.832560528645405,0,0.771643013978709,0.832158150093627,0.831944766078446,0.828860163305015,0.826456707857162,0,0.829602750949852,0.830960031806966,0,0.770898951343825,0,0.832095728036742,0.830256211345215,0.834210518717873,0.833978227088894,0.768943860582298,0.832782433374869,0,0,0,0,0.836403282968249,0,0,0,0,0,0.830569975450957,0.830569975450957,0.828734905150081
"Defective C1GALT1C1 causes TNPS",0.746588168668436,0.821309323299962,0.809688890779542,0.82366010472464,0.749164300206668,0.750623963460205,0.816803794473692,0.824401375559849,0.750203900082805,0.749981137687285,0,0.816720000431804,0.821513498977055,0,0.748953123639093,0,0,0,0.7501387345318,0.748218369763818,0.752346471778439,0,0,0.750855621061505,0,0.821681180065698,0,0.822449262743656,0,0,0,0.756536628859958,0,0,0,0,0
"Glucuronidation",0.85062371896448,0.806330204479445,0.805175166421919,0.815458162544109,0.848554098307964,0.807428060619628,0.852270626465797,0.815914649315552,0.849194301009203,0,0.852210143133411,0,0,0.851207525670585,0,0.851432988888306,0.853720198469667,0.851072257724569,0,0,0,0.854020440610357,0.852463305771147,0,0.852810215816612,0,0.808736091761763,0,0.809898498281977,0.807189739388801,0,0,0,0,0,0,0
"O-linked glycosylation of mucins",0.872489192560219,0.906005426322271,0.902713066722621,0.907144846294007,0.872330414196595,0.874084391546665,0.904380882310873,0.907504139074372,0.87388078750395,0.873772814929493,0.873737839369176,0.903780988916978,0.906104389944232,0,0.873274538175458,0.873126154810139,0.874926377601189,0.870738154150609,0.872802720945127,0.871871923233913,0.873872807634072,0,0,0.874196675613042,0.874210146117708,0.906185664697927,0,0.906557953135304,0,0,0.874995752269133,0.876950250946414,0.875251618536098,0.871589253072367,0,0,0
"Aspirin ADME",0.903409792645593,0.872169816749071,0.902354935342443,0.872639818595653,0.901800604638617,0.871440832392989,0.904761529855495,0.873014490612323,0.902326065730058,0.902819136136808,0.904711886769348,0.868220089069873,0.872273016428673,0.903888965426944,0.870596313904504,0.904074019548449,0.905951299417233,0.903777941149144,0.871195575608941,0.870224935855983,0.872311466491445,0.90619773005965,0.904919675826907,0,0.905204410225511,0,0.872514429037075,0.904580591951899,0.873468500923414,0.868293368788457,0.873017083171802,0,0.87328390158698,0.871517980790515,0,0,0
"Acyl chain remodelling of PE",0.730862048891938,0.733321143274401,0.731502806137464,0.628561984411531,0.73450621504585,0.737713940146994,0,0.629820499131793,0.736271226813692,0.735893025297367,0.733869699291127,0.726895537111849,0,0.731742041109834,0.734877221892084,0,0.628293997723773,0,0.736890128228206,0.732900233358558,0.740638380137486,0.739497128617316,0.624828797718356,0.738107243764846,0,0,0,0,0.743795294110007,0,0,0,0,0,0.734185886577349,0.734185886577349,0.733283871363346
"Tryptophan catabolism",0,0,0,0,0,0,0,0,0,0.68537234774876,0.584395372882832,0,0.683662682325684,0.681474909625193,0,0.682005652594872,0,0.589804167586506,0,0,0,0,0.684431030213614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.794163377115833,0.742936693238238,0.741375577148115,0.744893294996095,0.743205617376521,0.745316597702637,0.744183438705081,0.745510269336624,0.744070896863489,0.743238605204976,0.744101691179312,0.791322760313011,0.743106632682424,0.742746582364275,0.743029850953068,0.794361089176724,0.74462117475751,0.742563758113917,0.744016658289749,0.742418300806864,0.745854201556134,0.746548436981976,0.743547784688336,0.744613337091734,0.74491273209254,0.795452048000424,0.746188421025886,0.741834323495256,0.747759496117436,0.742047251973498,0,0.749341751961855,0,0,0.742690930682192,0.742690930682192,0.742918421054073
"Chondroitin sulfate biosynthesis",0.87680147265934,0.890947646418541,0.801423203027726,0.882050008243623,0.725116353525683,0.809895266305828,0.808343160504124,0.882895087756299,0.726301540524785,0.80916241824934,0,0.719515985367045,0.806868242263452,0.805147709187355,0.8036890880234,0.80679246856721,0.811026707277552,0,0.726227249092462,0.730506891063254,0.728744161168165,0,0,0,0,0.725171936023895,0.808015431410061,0,0.731353873264112,0.726339233654373,0.884957708346732,0.733521114120162,0.885559522109808,0.810069275912322,0,0,0
"Termination of O-glycan biosynthesis",0.752160684775594,0.821309323299962,0.809741233614073,0.82366010472464,0.749216643041198,0.750676306294736,0.818634944074163,0.824401375559849,0.750256242917336,0.750033480521815,0.754736816313826,0.816720000431804,0.821513498977055,0,0.749005466473624,0.753474826235702,0.757188935521531,0.752889049149142,0.750191077366331,0.748270712598349,0.75239881461297,0,0,0.750907963896036,0.755711250638958,0.821681180065698,0,0.822449262743656,0,0,0.758537813180575,0.756588971694488,0.759065700774706,0.751509732899746,0,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.751505355425889,0.785361542143931,0.818295596804759,0.786650374075668,0.71144775523613,0.712248025559433,0.711501603098184,0.787056780861282,0.785518400491753,0.785986521710238,0.71144775523613,0.782845414614828,0.711382553089606,0.784055809888945,0.71133197624423,0,0,0.783801821247274,0.711981995493615,0.7109291424263,0.713192402480196,0.713059449647961,0.751214413268518,0.714531127478702,0,0.785565415149172,0.713412555980056,0,0.714447437880277,0.712035849935904,0.78804871474623,0.715489684647293,0.788338132716162,0.749250258968952,0.711108726282574,0.711108726282574,0.711258576324498
"WNT ligand biogenesis and trafficking",0.870799073780592,0.872322332826319,0.871054237552096,0.873911681279246,0.87254078001999,0.873527649113581,0.872607183570477,0.874412849802518,0.873243646920952,0.873093038674275,0.87254078001999,0.911626356008184,0.872460374710225,0.871440024544289,0.872398004878309,0.871687556510046,0.874198642307077,0.871291516326765,0.873199588904078,0.871901242430431,0.874692226092963,0.874528272692197,0.82379154382378,0.873684271352625,0.872471707767071,0.914980578180031,0.874963712712586,0.872365157537268,0.876239897687969,0.872538119432104,0.826571704468037,0.877525164793737,0.826928605931628,0.824566476179735,0.872122699795903,0.872122699795903,0.872307490323231
