"","TP53","TSC2","DGKB","PLCG2","PAX6","PSME4","TGFBR1","APC","OR2C1","HTR5A","LMO7","KRAS","NRG1","NRP2","FLNB"
"Cytosolic sulfonation of small molecules",0.762395042753877,0.769432653351594,0.836187630370597,0.829863128187247,0.769090947036927,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.879913350322231,0.882540713119649,0.883172948532606,0.880811811678272,0.882413143336363,0.852253205259305,0.854516525010546,0.833477751431495,0,0,0.803353518697286,0,0,0,0
"Potassium Channels",0.921030844287322,0.923450934906382,0.923653352358825,0.922132708344961,0.923333429080347,0.901966252086522,0.923226770724542,0.922568257774014,0.94933414421137,0.946175465990851,0.901473618469199,0.922079671779536,0.92370365710712,0.90399265254083,0.899646521796183
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0.809361049397848,0.797770217373525,0,0,0,0,0
"Ethanol oxidation",0.744144077207417,0,0.823558427706501,0,0,0,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0.749393796673184,0,0,0,0,0,0,0,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0.822767400344788,0.767265088312011,0.759226974039821,0.829142694842273,0,0.763690262961758,0.76418566946328,0.764780212867437,0.763787158035071,0.755886988314217,0.754765064171376,0.828993388539598,0.833565163557757,0.763579307374209,0.761063750705782
"Glucuronidation",0.842711221585249,0.848628401243995,0,0,0.84834109667857,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.72029583882939,0.648511912192542,0,0.637943644010927,0.648097980269515,0.634864945632777,0,0,0,0,0,0,0,0,0
"Interaction between L1 and Ankyrins",0.890162624178722,0.831347241218427,0,0.824820195563602,0,0.827559025659638,0.817859686863753,0.828714037383694,0.833151614798748,0.755905225698254,0.746102131017853,0.893291488033006,0.828523682700286,0.826709556317856,0.829744998010682
"Carnitine metabolism",0.611601458503337,0.622135801403448,0.470525462409455,0.458329537208949,0.469815828254127,0.464567613049989,0.465763326502176,0.467198316846615,0.309747825681364,0.278987146201209,0,0.462414399912951,0,0,0
