"","UNC5B","WNT10B","SCRIB","JARID2","KNTC1","SIAH3","PHF2","STAMBP","CDH10","UBE3B","ATP2B2","APC","KIF26B","NOS1","CDC27","BRAF","KIF1A","NEFH","TP53","UGGT2","CTPS2","MYO16","FBXW7","THBS4","RAF1","KCNB1","PDYN","RYR2","DOT1L","IRF5","DMC1","PI4K2B","MYH14","PPM1L","HIVEP2","DDX10","F2","RAB3C","TTN","TRPC7","MYH2","PHF10","MCHR2"
"Nitric oxide stimulates guanylate cyclase",0.734200666017315,0,0,0,0.770105744108624,0,0,0,0,0.768944250233553,0.811604152112254,0.730602466912422,0,0.931070656284895,0.768198063370561,0.770924059513913,0,0.775100023501292,0.767847212932869,0,0.770195116074278,0,0.76883085614759,0,0.806004921921514,0.77430708456681,0.768703383179617,0.770534400992179,0,0.769343177660822,0,0.772498425262531,0.771785870504181,0,0,0,0.769123048406727,0,0.771932697088415,0.776065376081066,0.771353153249784,0,0.767870887301517
"Cardiac conduction",0.916434258322763,0,0.916153579363382,0.916110771589038,0.915258659804265,0,0.917412241698493,0.916750008361399,0,0.914902354922263,0.927770575270489,0.915330459211115,0,0.93882220529073,0.914673451414568,0.926518889511285,0,0.916979691096147,0.93658422248944,0,0.91555712550463,0,0.914867569662275,0.902853337798974,0.915262047038583,0.916114930562352,0.914692050631616,0.927330655305091,0.916891233893434,0.926359310788393,0.915992649018077,0.915667269589907,0.916559456194407,0.903318135066431,0.905337764569959,0,0.914957203822772,0.915595115565148,0.926951463750885,0.916448367498427,0.916237749422701,0.916200859484541,0.914436670597352
"Neurotransmitter receptors and postsynaptic signal transmission",0.876979462275916,0.87631577146164,0.887415024658835,0,0.877034154593076,0,0,0.877290108357994,0.867208275824603,0.876210435706371,0.887555067595691,0.876899234765303,0.876969520496509,0.886145709908291,0.876014825300599,0.88629887210208,0.87696301335242,0.877104012950018,0.885670094739437,0,0.87659367914549,0,0.876180709823663,0.877010180301922,0.886087248013305,0.887185720874356,0.885878209598111,0.88635820483128,0,0.876384910066326,0.877025577002864,0.87679395051153,0.876768637065624,0.878157249720427,0.866069083267522,0,0.885826743026981,0.877398256296817,0.876947170103479,0.867519286104935,0.876493721260329,0.86606069636458,0.885659973570924
"Regulation of insulin secretion",0.900796874304417,0.900651419196322,0.902061758768841,0.883383927441886,0.899642392034334,0,0,0.901959517794728,0.882688953155342,0.899088796956449,0.919421501424366,0.899753947615622,0.899881737979926,0.916859070484,0.89873314688941,0.898354090649903,0.899869906982376,0.900567163899668,0.914286313105844,0,0.900106121696727,0,0.899034750689656,0.918163879075168,0.916752777688436,0.919958789269628,0.919142179713261,0.917245419223009,0,0.899490884463015,0.90027725385502,0.900110740743605,0.900231230082932,0.902334810436841,0.881737636740032,0,0.91489440605724,0.900699239949728,0.900301211058363,0.901977345830175,0.900236936332395,0.900261611517813,0.914591193311513
"MyD88 deficiency (TLR2/4)",0.873332676967569,0,0,0,0.869303530908795,0,0,0.873293353147009,0,0.867076798106271,0,0.868825060150853,0,0.868825060150853,0.866142018136075,0.921794763382796,0,0.875560076786748,0.865702492893866,0,0,0,0.86693474451949,0.917213171881973,0.920783457472879,0.872466286891877,0.86621797230442,0.819875589960112,0,0.86890531295208,0,0.871529264093601,0.870079535074147,0,0,0,0.912259378132034,0,0.870263470971228,0,0.8700945332091,0.869387708624215,0.866503830883032
"IRAK4 deficiency (TLR2/4)",0.873332676967569,0,0,0,0.869303530908795,0,0,0.873293353147009,0,0.867076798106271,0,0.868825060150853,0,0.868825060150853,0.866142018136075,0.921794763382796,0,0.875560076786748,0.865702492893866,0,0,0,0.86693474451949,0.917213171881973,0.920783457472879,0.872466286891877,0.86621797230442,0.819875589960112,0,0.86890531295208,0,0.871529264093601,0.870079535074147,0,0,0,0.912259378132034,0,0.870263470971228,0,0.8700945332091,0.869387708624215,0.866503830883032
"Transmission across Chemical Synapses",0.890416479085317,0.889262450681583,0.898865852078786,0,0.889844104722543,0,0,0.889933955722691,0.881916611216316,0.889177163367573,0.898979240793757,0.891454089469255,0.889791772364214,0.897838124642552,0.889018783280414,0.897962135640363,0.889786503717877,0.889900667013378,0.904928677705772,0,0.889487464494202,0,0.889153095180221,0.889824693432498,0.899024104037105,0.89868019143753,0.895154908779734,0.898010175634887,0,0.889318430209835,0.889837159695873,0.890266275575965,0.891479094310858,0.890753442359551,0.880966003655252,0,0.897579866385463,0.890008161318492,0.890390333047406,0.889727726580419,0.891538430698502,0.880959213022547,0.89744483798101
"Assembly and cell surface presentation of NMDA receptors",0.807591675988595,0,0.844278658192315,0,0.804853766350708,0,0,0.766415262761928,0.767228290783389,0.760073402186762,0.808065236616414,0.799464042851521,0.805382518083003,0.839180351045074,0.802196505643704,0.839795539600119,0.805356381603299,0.769421190694516,0.801827083395616,0,0,0,0.75995400573273,0.767230035424078,0.803568193894257,0.806840599795255,0.801841438691876,0.843092941306742,0,0.803034382182686,0,0.805239820770701,0.80662282804606,0,0,0,0.795998552165464,0.807104570705529,0.798597378717621,0,0.801342691243091,0,0.800964875730078
"GABA receptor activation",0.876322591407858,0.873709666742666,0.875618054305624,0,0.874022986158997,0,0,0.877273218505045,0,0,0.875304248588744,0.873776659291936,0.845226674133733,0.873776659291936,0.870420288613368,0.874378787513012,0.845210665132057,0.87584219397036,0.872681208545039,0,0.874331592855837,0,0.871522087147184,0,0.874144943134993,0.876560630006256,0.899047312628532,0.873693761433045,0,0.874043290762691,0,0.875680953609672,0.874920592493407,0,0,0,0.897046955101632,0,0,0,0.874655526506034,0,0.896636665662017
"G alpha (s) signalling events",0.939944819948155,0.94159560444992,0.942476043507897,0,0.941976419588883,0,0,0.942917594467717,0.929825220664208,0.941125476597797,0.951730652726358,0.941862776113628,0.929565104702823,0.950130992384107,0.941225516231483,0.939443258622552,0.929557718912521,0.942579450865556,0.941121122859144,0,0.942003011663127,0,0.941091736890602,0.942282117729221,0.950064636500304,0.953904794740069,0.949827372060068,0.95037218005724,0,0.941749522670521,0.942372747646496,0.942372747646496,0.942240066285821,0.943657227791514,0.929936821213316,0.930430618005724,0.94976895606424,0.929548694974497,0.942387703518084,0.942874823452582,0.939334668308443,0,0.949579668073308
