"","CCR5","GSK3B","TP53","NTSR1","APC","PAK2","SMAD4","CREB3L3","ARPC1A","SPTBN2","ERCC2","MAP2K6","OPRD1","NPHS1","OR14I1","GP6","KCNMB2","MAMLD1","COL18A1","CLEC7A","HCLS1","NLGN4X","GPR50","NEFH","KIF1A","PLB1","RNF123","FBXO17","TRAF1","MYH6","CYP7A1","ZFPM1","SLIT1","TTN","LATS2","DMP1","CD109","MUC16","SYCP2","REV1","SMOX","PCCA","SHROOM4"
"Interaction between L1 and Ankyrins",0.832125536115866,0.873824329007343,0.871514248417725,0.833176954652237,0.834259046007711,0.873761431991444,0.828122699564717,0.877008295419897,0.828256130088768,0.839084727771763,0.873641660066664,0.875958191158876,0.83257369582328,0.879918261563506,0.879396293796952,0.877001086607257,0.878705291674606,0,0.835110366204932,0.835597361953446,0.832992607390692,0.833603121310518,0,0,0.877664465412039,0,0,0,0,0.829663389820904,0,0,0,0.830675168947057,0,0,0,0.87531201051861,0,0,0,0,0
"GABA receptor activation",0.67717454255956,0.648500073927005,0.647218784867319,0.677925552981243,0.648572238319592,0.648651057923648,0.648296713566678,0.649163495020439,0.6493687803903,0.859768830131445,0.646988536453642,0.64979448351162,0.677494655434884,0.651499523093282,0.681567817804729,0.650610743893295,0.649621788281925,0.65109764052397,0.649180321892581,0.653259154290399,0.651398622299677,0.649065626228183,0.651539511466026,0.651124251770879,0.613278325267995,0.617691079470497,0,0,0,0,0,0,0.619755801188852,0,0,0,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.870806659489707,0.872898065741181,0.871154478732746,0.871828639662368,0.87385728650299,0.873103525807385,0.873103525807385,0.920895781034395,0.873412262568022,0.912455551599815,0.871191547405048,0.91357441978644,0.87092959605055,0.875138097755465,0.87485708319024,0,0.87430964661969,0.875764907387458,0.833849219885932,0.88054794940355,0.878016124610949,0.875154150936277,0,0,0,0,0,0,0.876683114826605,0.873427384512349,0.87451394816939,0.877642367745464,0,0.874410835127182,0,0.879018985513222,0,0,0.828747684921127,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.901016474750285,0.848105601992759,0.845741334209061,0.902402258646421,0.848752440038748,0.848384201576843,0.847730356184822,0.847789255561696,0.849708561675537,0.848976918077623,0.843501483234611,0.85049408010914,0.901607155325097,0.853640263339522,0.909123060105524,0.85200026492272,0.85017541839508,0.852898699205908,0.849874491609036,0.856887180433746,0.853454078579834,0.849149173757901,0.854656918629347,0.852947802968464,0.783144700025625,0.789675352161516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.719523652955825,0.721868788110129,0.79832411018517,0,0,0.722268587294133,0.725153825647185,0.73016772559898,0,0,0.724408528070911,0.724045635705798,0,0,0,0,0,0.730332536058871,0,0,0,0,0,0.733828362482211,0,0.881333740716307,0.720774346736727,0.720661445861623,0,0,0.883559855778671,0.729849903239955,0,0,0,0.739639728110449,0,0,0,0,0.811676001254388,0,0
"Potassium Channels",0.942856732351243,0.921884845464923,0.918917269326359,0.943415571260015,0.922409366290415,0.921997195080175,0.921997195080175,0.922399132176737,0.922166018428247,0.922236217227446,0.919135851312687,0.922848036412592,0.943094933479702,0.922102635347743,0.946125838974879,0.923719102187261,0.947034702802945,0.923452491002561,0.922861851037044,0.925702707225017,0.924318255508489,0.921940436550478,0.924308360460283,0.923582982157308,0.895310531506478,0.898594132734912,0.900130188912541,0.900098462059693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen chain trimerization",0.823197148389514,0.823802567473778,0.863447030123406,0.824297218979871,0.82483508315065,0.866112690958997,0.866112690958997,0,0,0.867072486533675,0,0,0,0.825066485070028,0,0.91885839731927,0,0.826888467050545,0.913779855511815,0,0,0,0,0,0,0,0,0,0,0,0,0.828909385831215,0,0,0,0.874125949610558,0.871554642243004,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.898285250553633,0.836897264682066,0.828210706192868,0.899921059254211,0.837363488536705,0.837226129539632,0.837226129539632,0.835454712185433,0.837720301826677,0.837925784667431,0.836613066304207,0.839716674905267,0.898982502431241,0.843430496314376,0.907854435830677,0.842266420369681,0.838595394251685,0.841486007823672,0.839757112467002,0.849141872344777,0.845089366107509,0.837059988465253,0.844315276148994,0.841867975798585,0.764189408852152,0,0.835997004449482,0.83590413499978,0.842955715121398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA B receptor activation",0.909315701914859,0.870811382964691,0.869090857180806,0.910324165059615,0.871282100175234,0.871014125552099,0.870538308953235,0.871702230418821,0.871977889349357,0.871445457412711,0.868781677663947,0.872549527100397,0.909745552190708,0.874839068668412,0.915215029063464,0.873645608443182,0.872317630485658,0.874299417356034,0.871724825685021,0.877201916319285,0.874703578229546,0.871570811377005,0.874892765393473,0.874335151163408,0.823515321031412,0.829440804688639,0,0,0,0,0,0,0.832213330471265,0,0,0,0,0,0,0,0,0,0
"Activation of GABAB receptors",0.909315701914859,0.870811382964691,0.869090857180806,0.910324165059615,0.871282100175234,0.871014125552099,0.870538308953235,0.871702230418821,0.871977889349357,0.871445457412711,0.868781677663947,0.872549527100397,0.909745552190708,0.874839068668412,0.915215029063464,0.873645608443182,0.872317630485658,0.874299417356034,0.871724825685021,0.877201916319285,0.874703578229546,0.871570811377005,0.874892765393473,0.874335151163408,0.823515321031412,0.829440804688639,0,0,0,0,0,0,0.832213330471265,0,0,0,0,0,0,0,0,0,0
