"","IRF5","PIK3CG","APC","TCF7L2","OPRD1","LPAR6","PTHLH","RXFP2","SLC2A8","AKAP13","GLI3","KLC4","ATP2B4","SCN5A","MTMR1","SORBS1","SCN4A","MYL1","GABRA5","CYP1A2"
"Potassium Channels",0.956429685264374,0.964292960718941,0.95641535019145,0.95655574957333,0.964221908656462,0.964326519768012,0.964456738435598,0.964464025930737,0.956452118414811,0.956984550533663,0.956471745173936,0.956452118414811,0.957070792877823,0.95662903848804,0.956299592522585,0.956921199901692,0.95677560597589,0.956758647128944,0.957132014563094,0
"GABA B receptor activation",0.914650081980639,0.934205040496752,0.914615477022667,0.914954402030939,0.934033520362254,0.934286052256433,0.934600400955108,0.93461799301511,0.915277196889381,0.915989530299188,0.914751614872063,0.914704235749664,0.915301775274647,0.915008263405549,0.914808157617477,0.916409562607044,0.915362078261189,0.915255480144599,0.916918470551672,0.892669254800977
"Activation of GABAB receptors",0.914650081980639,0.934205040496752,0.914615477022667,0.914954402030939,0.934033520362254,0.934286052256433,0.934600400955108,0.93461799301511,0.915277196889381,0.915989530299188,0.914751614872063,0.914704235749664,0.915301775274647,0.915008263405549,0.914808157617477,0.916409562607044,0.915362078261189,0.915255480144599,0.916918470551672,0.892669254800977
"GABA receptor activation",0.894139624015501,0.90848642894129,0.893964132445084,0.894378764814487,0.909371518651157,0.909569963278397,0.909816984790412,0.90983080898399,0.894632423488244,0.894024017396294,0.894219410597932,0.893162305461737,0.89465173767633,0.894421090162902,0.894263843021302,0.894502385508401,0.894699124972596,0.894615358034641,0.927722183146884,0.875633391495472
"Arachidonic acid metabolism",0.896476416270916,0.913510942529055,0.89575321102955,0.896745024343293,0.913359550293624,0.913582447553407,0,0,0,0.915049902561219,0,0.895719691119916,0,0,0.915210057450017,0,0,0.897672692750479,0,0.932462229902522
"Glucagon-type ligand receptors",0.916801284160421,0.936146127998064,0.916766017718502,0.936868109592331,0.935971329205762,0.936228688321351,0.936549045887832,0.936566974225234,0.916856473094664,0.918166336427426,0.916904757882919,0.916856473094664,0.917443469992382,0.916005620359414,0.916481236390396,0.918010484315977,0.916366198490054,0.917610579973014,0.918529120185604,0.894969113001796
"Initial triggering of complement",0.83568113756512,0.835035397941063,0,0.836167408354719,0.868245977898746,0.835164846041206,0.835667141534926,0.835695251759341,0.835767669477814,0.837821432267511,0,0,0,0,0,0,0,0.836950049812825,0,0
"TNFs bind their physiological receptors",0.509292587611161,0.508799033142165,0.50812984309659,0.509664256179122,0,0,0,0,0.509358726052461,0,0.508296109366198,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.905570027045594,0.930388966288966,0.905524781103748,0.905967925153426,0.930164703914848,0.930494889069464,0.930905899623251,0.930928901221012,0.9056408330349,0.907321354146664,0.905702781181711,0.9056408330349,0.906201034168699,0.904549210764983,0.905159413952726,0.907121399878877,0.905011823272583,0.906608332847969,0.907786796417911,0
"G protein gated Potassium channels",0.905570027045594,0.930388966288966,0.905524781103748,0.905967925153426,0.930164703914848,0.930494889069464,0.930905899623251,0.930928901221012,0.9056408330349,0.907321354146664,0.905702781181711,0.9056408330349,0.906201034168699,0.904549210764983,0.905159413952726,0.907121399878877,0.905011823272583,0.906608332847969,0.907786796417911,0
