"","SMAD4","P2RY10","APC","CASP9","APOOL","GATA2","DMD","FZD6","DYNC1I1","GLI3","SCN5A","ASAP2","NEFH","KCNQ5","CATSPERD","STRADB"
"Glucuronidation",0.880027650293872,0,0,0,0,0.843864970631488,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.829412701601496,0,0.789404813641507,0.830911642557989,0,0.809144385656723,0,0,0.829487278000205,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.911199357015265,0.911413168793948,0.910882665134709,0.878703823286466,0.910660751823808,0.915996439449098,0.910699014873826,0,0.876630243826739,0.877215163686333,0,0,0,0,0,0
"Inwardly rectifying K+ channels",0.799413794216597,0.910483566313304,0.855700521654372,0.85847988304054,0.856322241302303,0.862530650247897,0.856647871724708,0.912434551483229,0.801883839638465,0.855443361611429,0.858543768148014,0.86093773542584,0.863284215324592,0.915075817692186,0.855078079879334,0.859605567569047
"The canonical retinoid cycle in rods (twilight vision)",0.712037173668078,0.712544586109804,0,0.717517366584539,0.71475634975897,0,0.714847154614331,0,0,0.712431468401649,0.717610481063265,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.681145728833031,0,0,0.780581559995063,0,0,0,0,0.774113571919609,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0,0.759446888889496,0,0,0,0,0,0.763194111278517,0,0,0.670997932079587,0,0,0.868373109874984,0.66434144648761,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0.583783153395458,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heme degradation",0.621544430032057,0,0,0,0.217069156338955,0,0.13264293096277,0,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspirin ADME",0.801043911878815,0,0,0,0.760345162822181,0.76257201414962,0.758270403246606,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.749360229718854,0.894058678209086,0.82268893092252,0.826309801594895,0.823498889084435,0.831587022561813,0.823923110868756,0.896600364590415,0.75257813260546,0.822650160588135,0.826393029243233,0.829511819750304,0.832568745089697,0.900041328907449,0.821878031994547,0.828072560697499
