"","KAT2B","IRF5","PIK3CA","NOX1","SMURF1","NCAM1","HLA-DPA1","KRAS","ITK","SSTR4","WIPF3","COL18A1","LRP2","CACNA2D4","OR2T27","KDM6A"
"Phase II - Conjugation of compounds",0.759049914188499,0.759539640247466,0.732891036255169,0,0.733423275589368,0,0,0,0,0,0,0,0,0,0,0.760095003654496
"Glucuronidation",0.853967651506856,0.855008349208376,0.798239558626983,0,0,0,0,0,0,0,0,0,0,0,0,0.856188530272095
"Cytosolic sulfonation of small molecules",0.486090451868318,0.488172027828397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490532594712703
"Ethanol oxidation",0.79346864533984,0,0,0,0,0,0,0,0.794164778413428,0,0,0,0,0,0,0
"Heme degradation",0.6471982737102,0.647626351050365,0.6417855207736,0.656161284500669,0,0,0,0,0,0,0,0,0,0,0,0.649624530349963
"G beta:gamma signalling through BTK",0.787674417637191,0.789574307849585,0.867073766115729,0.794862104666701,0.785127302725491,0.789536446462132,0.78764939242234,0.78757511918011,0.877520245284444,0.870905550852981,0.877928450520575,0.791206587420461,0.78871132062389,0.783442304183197,0.882818940005451,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.659266326205575,0.661442355263064,0.650572203741166,0.665093175031803,0.652692065141403,0.661398990926158,0.659237663710064,0.655495658579541,0,0,0,0,0,0,0,0.663910034670833
"Physiological factors",0.442697479928913,0.586451030795067,0.490380237943689,0.505375230752721,0.492353847105527,0.497055430322531,0.495043216130162,0.494964016664234,0,0.494466168429948,0.501954866731497,0.496195430229644,0.496175577447526,0.403559739447177,0,0.499393233605195
"Inwardly rectifying K+ channels",0.860419256918101,0.861558983966976,0.908050211872099,0.865353971491785,0.854133164291869,0.861536271261207,0.860404244516814,0.860359688666889,0.864047706064196,0.910348865069018,0.864292584713539,0.862538173799167,0.861041285692865,0.85788045012497,0.917495600060479,0
"Activation of G protein gated Potassium channels",0.835687033290676,0.837068999428743,0.893441534190835,0.84167057860408,0.828064886252247,0.837041459334552,0.835668830133832,0.835614804324837,0.840086677800779,0.896228746167979,0.840383603281017,0.838256307558493,0.836441268881096,0.832608625155446,0.904894457634318,0
"G protein gated Potassium channels",0.835687033290676,0.837068999428743,0.893441534190835,0.84167057860408,0.828064886252247,0.837041459334552,0.835668830133832,0.835614804324837,0.840086677800779,0.896228746167979,0.840383603281017,0.838256307558493,0.836441268881096,0.832608625155446,0.904894457634318,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.835687033290676,0.837068999428743,0.893441534190835,0.84167057860408,0.828064886252247,0.837041459334552,0.835668830133832,0.835614804324837,0.840086677800779,0.896228746167979,0.840383603281017,0.838256307558493,0.836441268881096,0.832608625155446,0.904894457634318,0
