"","TP53","KRAS","B2M","APC","SMAD4","RIPK1","MAP2K7","XIAP","SCN1A","OR5AC2","APAF1","EXOSC4","KCNJ4","TNIK"
"Protein-protein interactions at synapses",0.821628071442412,0.864013752417456,0.844593837045202,0.822659102146935,0.821502484071904,0.843460221793822,0.844624676130731,0.844623208409299,0.843982277201944,0.845549907345773,0.824467884650077,0.843131314307681,0.821158896290046,0.803972439198448
"Neurexins and neuroligins",0.867677512855875,0.892996377056926,0.869187770925884,0.869356464757983,0.869986422961808,0.870661189514911,0.872088797933054,0.87113722441711,0.871536545180105,0.873223121392082,0.847376789665799,0.870257952495544,0.843320005738267,0.848494777614679
"Activation of Matrix Metalloproteinases",0.848761850200372,0.850006816809294,0.850077836891136,0.849810204148692,0.850077836891136,0.821398158281385,0.851586426841251,0.848641724681566,0,0,0.823081647012469,0,0,0.85293337631117
"Interaction between L1 and Ankyrins",0.898901244951293,0.904148048684191,0.873304309821713,0.874096196596989,0.824484705438452,0.825437802672332,0.873436754141188,0.826430992559745,0.919536983676705,0.876843568255758,0.877064958555153,0,0.872281595523683,0
"Phase 0 - rapid depolarisation",0.90228003028396,0.910550547490887,0.874339496143165,0.875104917553757,0.874339496143165,0.875442552164928,0.876608363779867,0.829231363096424,0.919433824064966,0.878077982640935,0.877974461580349,0,0.876723055373195,0.879802061560816
"Ethanol oxidation",0.78366931458655,0,0,0,0,0.785125559595636,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.72656138940596,0.806973982008455,0.730406645505709,0.730575950593261,0.730406645505709,0.732549700877609,0.654148693105126,0.734061585468921,0.735329826318016,0.740686384366979,0,0.729951239927172,0,0.739701724351179
"Synaptic adhesion-like molecules",0.81471864110451,0.883406995533727,0.818003254935534,0.819273523282707,0.742038257603757,0.744994501426889,0.821768593483616,0.821125300917208,0.820270369371827,0.823231313214428,0,0,0.612861078717838,0.751103752569519
"Glucagon-type ligand receptors",0.871321489515487,0.873070213099564,0.873169970387165,0.877378171354895,0.876663302922122,0.874200174035282,0.875288988524331,0.831650483554749,0.915936956192854,0.918511945955484,0.876564861109199,0.873584529637235,0.917246506135004,0.88176508806296
"Potassium Channels",0.916608541937467,0.917716104162775,0.91777928590542,0.918232051156265,0.890349692945439,0.918431770183334,0.919121375910287,0.891462492406427,0.944865955519726,0.946496837276918,0.919929455753307,0.917920258037593,0.94510364194945,0
