"","CARD6","ACSS2","FYCO1","PRDM14","EPHA4","MUC16","MTIF2","ZBTB32","MLH1","JAK2","RPP40","TNR","DKK1","OR6P1","KRT2","SPTBN1","KANK1","RALY","SLC19A3","DNAH5","KIF19","NEFH","XK","ADAMTS16","TP53","CD180","TRAP1","CYP7A1","BMP7","FN1","KDM3B","GANAB","NT5C2","CACNA1E","EHD4","PDIA2","RAI1","HTT","NUAK1","NEXN","MED24","LILRA4","ZRANB2","IRF5","UBE4B","UNC119B","SEMA3C","C5","GTF2E1","SOAT1","LAMA2","ZNF445","PRPF40B","NIN"
"Biological oxidations",0,0.894936465860511,0,0.861779905451261,0.874738516663632,0,0,0,0.874907226363629,0.875075341555293,0,0,0.863413699288398,0.856375845792182,0,0.874179101706302,0.863338420575368,0,0,0,0,0,0,0,0.875281154988507,0,0.875703743945956,0.85786651876629,0.860922458762918,0.873950818239118,0.862968206632343,0.875227369297401,0.873979023175032,0.873784708218401,0,0.875819561208357,0,0.87454772860026,0.864676479062883,0,0.873661928664901,0.875319852870816,0.886748077460112,0.873319862494661,0.876061482817132,0,0.875955707107837,0.859752167545246,0.873329958455711,0.900210840314369,0.874543968602722,0,0,0
"Phase II - Conjugation of compounds",0,0.84231453301216,0,0,0,0,0,0,0,0.842127245503396,0,0,0,0,0,0,0.824286555305184,0,0,0,0,0,0,0,0.841623771392415,0,0,0.843931797270596,0.822752112846384,0,0,0,0.842985360984431,0,0,0,0,0.844859826381846,0,0,0.843397817467106,0,0.862773065903074,0.842957050214187,0.843976667252072,0,0,0,0.842883376194121,0.844909514306383,0,0,0,0
"Collagen chain trimerization",0,0,0,0.821987860597917,0,0,0,0,0,0.860470793541271,0,0.861830716021839,0.820749230883692,0,0,0.859351191791749,0,0,0,0,0,0,0,0.862665510361243,0.855328921803373,0,0,0,0,0.861398721644024,0,0.862763244788897,0.861187230197614,0,0,0.823113122177957,0,0,0,0,0,0,0,0.862850527107719,0,0,0,0,0.862687941662409,0,0.860116543785159,0,0,0
"Extracellular matrix organization",0,0.843470134871222,0.833847742969845,0.833495155512036,0.842670340163641,0.832644548987668,0.832142301679816,0.832813581327826,0.84365140959556,0.843043075537159,0.832705212888794,0.853908605542726,0.843859823555653,0.832701378892547,0.84370231897006,0.853232310481438,0.834198616790607,0,0,0.832706775728801,0.833889112790664,0.823566196783909,0,0.843206367051101,0.842282793669618,0.834318194461025,0.83321010719353,0.822836446081611,0.832713644101544,0.85290296064432,0.824398447449307,0.843540791644882,0.843038560226766,0.832861090614438,0.844823499947179,0.834107089931985,0.823206450992947,0.843773188945216,0.84487123616633,0,0.843645195666432,0.844018050503702,0.832723294163044,0.843583416590926,0.832479652696028,0,0.822856294325687,0.854894437553488,0.843545338214492,0,0.853444927040064,0,0,0
"Glucuronidation",0,0.868286912101372,0,0,0,0,0,0,0,0.820790492901861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867261744894634,0,0,0.872424091200354,0,0,0,0,0.870760733371293,0,0,0,0,0.874367467476135,0,0,0.871157191447528,0,0,0.870189355662141,0,0,0,0,0.870027582407432,0,0,0,0,0
"Metabolism",0.890732853354005,0.893567676010303,0.887228799090486,0.890462729018175,0.893182320723501,0.896253006421765,0.890278337751864,0.89044991489598,0.890318804680211,0.89335522467712,0.89342104881663,0.890470618047366,0.890786754693175,0.893485081394549,0.887599443063612,0.890422283517831,0.890964187509049,0.890469133025149,0.891009005543839,0.890392511504708,0.890309627727532,0.89048124574521,0.89055683994916,0.890450448069963,0.895757281946743,0.890876165651654,0.890633312034024,0.886588427208128,0.890649064551922,0.893325040315597,0.887515986973088,0.890454475649985,0.893534397171568,0.893474408084823,0.890735533129947,0.887722174956104,0.890364997794332,0.890704716269819,0.890635632980319,0,0.893393799309219,0.890764899204209,0.893512598133376,0.890294968640908,0.89063441971608,0,0.890934429642282,0.893303402093911,0.890409790746539,0.893497198866953,0.890580792782459,0.887529434469512,0.887692342923812,0
"Drug ADME",0.859705838741695,0.925206113115712,0,0.926894073414283,0.87786128958253,0,0,0.903998774759053,0.90428793502138,0.923287320499569,0,0.904460237244321,0.904733924502421,0.858517566729438,0,0.860573461911686,0.9060207782356,0.881099011262762,0,0.860680105228644,0.856656874620226,0.859247844874981,0,0,0.922730469493641,0.859449349604987,0.862750936287413,0.925330728711936,0.862307560632521,0.903371250632534,0,0,0.926598001764769,0.881125725290759,0,0,0,0.926053112703154,0.906898267932927,0,0.924436105756641,0.857747325629572,0.94612195212606,0.923948609611728,0.925332812688085,0,0.859247844874981,0.878569561600177,0.924123614018058,0.903461142626172,0.903601126748559,0,0,0
"APAP ADME",0,0.647508355228573,0,0.716939988428278,0,0,0,0,0,0.706138789878648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705535183355643,0,0,0.710388578199002,0,0.646995823129838,0,0,0,0,0,0,0,0.652409385717361,0,0,0.647566910089446,0,0.774522013192651,0.646106997869812,0.712264456865633,0,0,0,0.645862974291717,0.648654711734174,0,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0,0,0.814986022190901,0.817447720507816,0.813635955870491,0,0.777753229511203,0.77879219930767,0.816232540199517,0.847565752661616,0.811168080303414,0.850820570207353,0.851548225795591,0,0.852262450118084,0.846689514835847,0,0,0,0,0.811620380466896,0,0,0.849957783450604,0.847125462300413,0,0,0,0,0.848291980272081,0,0.849236892345313,0.848126459983058,0,0.854527490313917,0.818224229160876,0,0.817540501800474,0.820308780324178,0,0.811870391871406,0,0,0.849428211850402,0,0,0,0.811314347672824,0.849300967035751,0,0.849164336122811,0,0,0
"Collagen formation",0,0,0.867091643353652,0.86687446431854,0.866017677417616,0,0.862667391992493,0.839759234136555,0.866017144232592,0.888397146295823,0.86439064710655,0.89069976122164,0.891214539882745,0,0.891719816618613,0.887777253393125,0,0,0,0.864001835884329,0.864710626058596,0,0,0.89008938425397,0.888085663657196,0,0,0,0.866535855210965,0.888910914736573,0,0.889613972331041,0.888657132870906,0,0.893322215305855,0.867426161071651,0,0.866942459357768,0.868900873111514,0,0.863144526330799,0,0,0.889714739760454,0,0,0,0.8627511538443,0.889624720641001,0,0.889528061342884,0,0,0
