"","IRF5","KAT2A","ACTA1","MED14","MED26","GRIA2","OR5D18"
"Phase II - Conjugation of compounds",0.866755198241987,0.851010724739709,0.867041066654815,0.851529063903874,0.851465611073444,0,0
"Collagen biosynthesis and modifying enzymes",0.922697462822942,0.922529299215329,0.922728034928847,0,0,0.923486251835336,0
"Glucuronidation",0.773984456696686,0.773496879456898,0.774556746284614,0.774534560058725,0.774407531703895,0,0
"Aspirin ADME",0.892631526834183,0.892238566633233,0.893446561191831,0.89313666416675,0.893026722965229,0,0
"Collagen chain trimerization",0.873617315743632,0.873241143336727,0.874390511749538,0,0,0,0
"Cytosolic sulfonation of small molecules",0.771092431204401,0.770499892524017,0,0.772708239066612,0.772437902869031,0,0
"Ethanol oxidation",0,0,0,0.635809200244412,0.635546159062533,0,0
"Glutathione conjugation",0.819556086675909,0,0.820631731369902,0,0,0,0
"Blood group systems biosynthesis",0,0.685445691076826,0,0,0,0,0
"APAP ADME",0.684115664234476,0.683593976845194,0,0.685538266020863,0.6853002545799,0,0
"Peptide hormone biosynthesis",0.510947757517522,0,0,0,0,0,0.623953277639085
"ERBB2 Activates PTK6 Signaling",0.776449465997131,0.770623172011828,0.77818160201725,0,0,0.780402296240212,0.785241449149956
"Presynaptic function of Kainate receptors",0.760481068189207,0.661099705749564,0.76206430311508,0,0,0.764094097895997,0.862000785263456
"Neurotransmitter release cycle",0.838334972792319,0.789422235043613,0.794820822717364,0.787740891526998,0.787565484970254,0.793219153154648,0.794538170895828
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.682634777452603,0,0.683695692995081,0,0,0.685779302061259,0.688944236705116
