"","EP300","PRKCB","TGFB1","B2M","SHC1","NCOR1","FOSB","ADCY8","PIK3R5","TRIP6","PLAU","PTEN","JAK3","MEF2D","IL12RB1","CAMK2G","CLTA","ZYX","MAP3K7","EPAS1","IL6","AGTR1","FN1","VWF","APOB","ASPH","HDAC4","GRM1","GRM5","NPFFR2","TRHR","CHRM2","ITGA4","ITGB4","PTPRJ","EPS15","TNRC6C","C5","IRF2","FLNA","LIMK1","KSR2","GP6","CCR7","GAK","RARA","EPN1","GABBR2","PSMD5","GRM7","HTR5A","PYY","CXCL5","CAD","CLIP1","RPS6KA4","TAOK1","LCP2","GLI1","GABBR1","ERBB4","ARHGAP5","GRIN2C","AP1M1","RALA","MAP4K4","IL6ST","NOS1","OBSCN","PCM1","CEP63","CEP290","MARK4","ARF5","CACNA1D","TREM2","KLRC2","PAX8","YBX1","IL3RA","C2CD3","DAB2IP","SLA","MLXIPL","KLHL20","SND1","CSNK1G3","IGSF5","PPFIA4","CALCOCO1","EXOC6","CACNA1I","SMC1A","PTPRK","PHKG1","FGD1","DGKI","PDE9A","TRIM3","FBXW7","ECT2","ARHGAP22","ARHGAP30","IQGAP3","IQGAP2","OR2G3","OR4C11","OR2J3","OR8I2","OR4K14","OR1Q1","OR4Q3","OR51E1","OR10H4","DHH","HTR7","PDE4B","CSTF2","DLGAP1","KIF16B","PREX2","DOCK6","DOCK11","SLC2A14","CORO1C","RGS4","EMD","MED13L","MED13","MED14","E2F2","LBP","TAF5","COL7A1","COL4A6","SETD2","HNRNPL","SNRPB2","SRRM2","INPP4A","POLD1","INPP5J","EHHADH","RALGAPB","NEFM","EVC2","RYR3","RIMS1","FASN","CFH","NOTCH3","NOTCH4","IGLL1","ARID1A","COL5A1","RNF43","LRFN3","ISL1","SFTPB","KCNAB3","LRRK2","CDC25A","CAMKK2","PRIM1","SERPINB1","COL17A1","ATP6V1C1","MYH1","IBTK","LAMA4","EXOSC10","FBN1","ADAM28","SCAI","GPX7","DEK","TFPI","RPL30","RPL31","BCAT1","HERC2","CALU","BMP7","ST3GAL3","ENG","CA9","SMG7","UPF3A","ADAMTS10","C4BPB","LPA","TTC5","DPYD"
"Interaction between L1 and Ankyrins",0.898669015447644,0.899559372229843,0.866906048214454,0.900012159429693,0.899904407848637,0.866629076519563,0,0.897718267441449,0.899466200271327,0.901530509974101,0.868364776661179,0.901006533299551,0.898553438162337,0.90054302644745,0,0.928520793352593,0.899920502146562,0.900504804900072,0.899444322255299,0,0.899041312662203,0.869217846335632,0.89962174907992,0.898783054938266,0,0.898646051216193,0,0.89877679894202,0.898816518452273,0.870235476974389,0.870225776383748,0.869124632725467,0.89932064475899,0.89896957970988,0.902910381782788,0.898324936560361,0.901340034336704,0.897715307595993,0.900693528294378,0.900953555475206,0.900607903628836,0.900882226402852,0.900758111547346,0.869638249705952,0.898245027086639,0.899653693446986,0,0.8678263389571,0.900012159429693,0.869769127726727,0.86979814506566,0.869812860079104,0.869805485098229,0.899186600269618,0.900614931742208,0,0.900720668812574,0.901239581119999,0.900693528294378,0.867854184691018,0.900153572371051,0.900643994714519,0.901134249252678,0.901163881509368,0.901493346532766,0.902309405234572,0.899353162282704,0.900073669599396,0.869244140777044,0.900762323905969,0.900762323905969,0.900748309770061,0.900864282151002,0.928712775489111,0.899384784035133,0.901279391626787,0.901116977905724,0.902547882267894,0,0.899621594219221,0.900941626022472,0.901463326707981,0.902637899904198,0.901792228273313,0.866025728162388,0,0.903265465448778,0,0.902680162573597,0,0.899960809815805,0.901926947728686,0.900184635404008,0,0.901470479691833,0.872941883415487,0,0,0.901919758070856,0,0.902849152128058,0.869605608045846,0.869605608045846,0.900142463399463,0.870879720661345,0.902426855808545,0.902426855808545,0.902426855808545,0.902426855808545,0.902426855808545,0.902426855808545,0.902426855808545,0.902426855808545,0.902426855808545,0,0.870646433374907,0.900823842527811,0,0.871057045703948,0.901239581119999,0.873187144272636,0.872390840529643,0.872390840529643,0,0,0.875033978625052,0,0,0,0,0,0,0.900602222678301,0.898510120126454,0.900544450390964,0,0,0,0,0,0,0,0,0,0,0,0.901787939356746,0,0,0,0.8995576751253,0.899534398277715,0,0,0.867946201600583,0,0,0,0,0.898573361341179,0,0.867320059301265,0.902253116035742,0,0,0,0.899679993735443,0.868606893574485,0,0.901537161837266,0,0.870199872571539,0.872390840529643,0.871912077598539,0,0,0,0,0,0,0,0.869257700184407,0,0,0.871423257017591,0,0,0,0,0,0,0.904506830522945,0
"Phase II - Conjugation of compounds",0.806084236514793,0.788772901505569,0.805416804854195,0.788759597295472,0.788704409256351,0.805272605276309,0.790276816971794,0.788684191708568,0.788091041167943,0.821093580169361,0.806171836520825,0.78926889417532,0.805282571568286,0.806144423012048,0.789203796168711,0.805626511775078,0.788770447040719,0.805981321634123,0.788395927995263,0.806023979422764,0.789036313541591,0,0,0,0.774753733758421,0.789661222411236,0.806032827022558,0,0,0,0,0,0,0,0,0.805394906023706,0.80599132894949,0,0.805660202478713,0,0,0,0,0,0,0.805803713324772,0.80543810236059,0,0.78812545762831,0,0,0,0,0.806493308599069,0.774227669801494,0.790048895006682,0.774281826051627,0,0.805660202478713,0,0,0.775562428292525,0,0,0,0.806594248238449,0,0.790822872253491,0.775831346565199,0,0,0,0,0,0,0,0,0.807286054505347,-0.0115653057590638,0,0,0.789642677304632,0,0,0.759091609007497,0.790860407130075,0,0,0,0.808044173548831,0,0,0.774007281284561,0,0.775548766124746,0.775949259885809,0.777378226651408,0.790324054892864,0,0.75904955910417,0.775917899375388,0.776016482315191,0.776016482315191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115653057590638,0,0,0,0,0,0,0,0,0,0.806058117543933,0.805970324918377,0.805970324918377,0.776302339358339,0.790734431779639,0.805557951820886,0,0.805652039698464,0.807230568617583,-0.0115653057590638,-0.0115653057590638,-0.0115653057590638,0.791790196869554,0.789381201819663,0,0.845650432398843,0,0,0,0.776571335152872,0.805986374974833,0.776156673334639,0,0.806081774054366,0.806069852154357,0,0.806144423012048,0,0,0,0,0,0,0,0.775744137261313,0,0.790010528844006,0.791730025020337,0,0,0,0,0,0.80552185763325,0,0,0,0.820978663199089,0,0,0.760579767885793,0.760560324468776,0.805480189194641,0.758971528134545,0.807288395146379,0.806707754119073,0,0.777179341129496,0.807613293751317,0.761002423307802,0.76098900761107,0,0,0,0,0.805212027572086
"Phase 0 - rapid depolarisation",0.85524300611263,0.866814732177308,0.866187979032074,0.867092377920548,0.866970544394817,0.830451058424849,0.833688236970813,0.865637167105645,0.866709383670177,0.833764200349738,0.832361205971834,0.869148828917102,0.830609566321197,0.861374897328204,0.832652397967167,0.93442698275024,0.866988742040189,0.833342074370591,0.867689470314781,0.832109797580365,0.83094969236965,0.866158638306003,0.865322744695875,0.831395310655214,0.867073069922389,0.899510761156753,0.831285338602218,0.866627692841328,0.866672603254029,0.867002245842814,0.866991277491835,0.86605324270381,0.865933502803596,0.83160621215976,0.833615799614538,0.86739961482091,0.869525914866032,0.866710314066445,0.867862794190031,0.864392243480895,0.832721019518385,0.83200356189916,0,0.866633983765748,0.867309262059239,0.866310077286319,0.867494975375572,0.866710314066445,0.868661040271631,0.866781966102113,0.866814775687596,0.866831413791199,0.866823074981565,0,0.866641604399519,0.832157443387098,0.866761160140205,0.831726643710312,0.867762122145057,0.866741798931044,0.831104136491573,0.868954971702818,0.867730719639723,0.868394617388907,0.868767139861545,0.870621971861866,0.831302297300282,0.865833726248984,0.833355493290751,0.866808259095444,0.866808259095444,0.866792413466349,0.866923542159951,0.868005490428972,0.899991960385831,0.833480263600697,0.833296624195407,0.869481832659368,0,0.866173110998109,0.867010994023419,0.833688236970813,0.835016313944923,0.869364633992158,0.829716469600718,0,0.871602306569335,0.869549498327493,0.870109059685196,0,0.869249278690403,0.870966014546217,0.866155073069972,0,0.86836429748003,0.870062349792557,0.831392536617505,0.831501271243032,0.869249278690403,0,0.833546567918427,0.833764200349738,0.833764200349738,0.866194438137591,0.834844591731408,0.87090750567367,0.87090750567367,0.87090750567367,0.87090750567367,0.87090750567367,0.87090750567367,0.87090750567367,0.87090750567367,0.87090750567367,0,0.86746690971787,0.867279074130319,0,0.835117853382262,0,0.837813803907916,0.83691343203763,0.83691343203763,0.834646661047563,0.869995175298932,0.872734875016354,0,0.830960036695908,0.830766225042601,0.830766225042601,0.832267143049704,0,0.868691679351455,0.829940962615305,0,0.833549546348519,0,0,0,0.831734195953473,0.830706589694991,0.834813233304608,0.830655666513262,0,0,0,0.868496178359238,0.869938641139465,0,0,0.83101226098433,0.830985942109178,0,0.831150565289382,0,0,0,0,0,0.833975347000599,0,0.830007220589679,0.866039503757074,0,0,0,0.868931763041749,0.834364162960994,0.833217022139919,0,0,0,0,0,0,0.831468080938036,0,0.865767273121896,0.865724349689843,0,0,0,0.832389012015562,0,0,0.834393255260965,0.866700330375843,0.866670713783932,0,0,0,0.873106576429052,0
"Collagen chain trimerization",0.88601528386373,0.886897389211646,0.88733169517752,0.887674005199809,0.887540936929481,0.849616952811442,0.853368348922705,0.848230613820861,0.886999770630238,0.888062852968272,0.886530483006651,0.885951959267433,0.887147464768674,0.851719061891323,0.888153798126239,0,0.88756081265071,0.886796154152988,0,0.851428650774104,0.850377272442664,0.848690216507615,0.887191866288681,0.887431030976353,0.886844221908598,0.851884039918397,0.850743869923466,0.849537851770309,0.84958690354733,0.849946943764939,0.849934963979537,0,0.922896827991049,0.925487866591134,0.891253177141186,0,0.851349924621242,0,0.888515464558372,0.886837582236028,0.886923476363719,0.887262252432639,0.927696621541243,0,0,0.888861494972981,0,0,0.886865310372574,0,0,0,0,0.851109743545871,0.887609706586925,0,0.887740287028765,0.889189814802715,0,0,0,0,0,0.889096329248698,0,0,0,0,0,0.887791729162367,0.887791729162367,0.887774422346011,0.887917642927894,0.848251430658261,0.887443936008759,0,0,0,0,0,0.888013159068782,0,0,0.890693792765885,0,0.854636136334552,0,0.890785748755718,0.890968866956004,0.856299701501154,0,0.888954792822481,0.887078310305851,0,0,0,0,0,0.89002980220226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885370573617248,0,0,0.848783978655909,0,0,0,0,0,0,0,0,0,0,0,0,0.851816210388407,0.854471740380832,0.850438760996079,0.922684899743119,0.775075398419036,0.888616444501273,0,0,0,0,0,0,0.851178526568792,0,0,0,0,0,0.853071710620464,0,0,0,0,0.88968300719723,0.926549105682289,0,0,0,0,0,0,0.850470284917447,0,0,0,0.923812604388204,0,0,0,0.886796154152988,0,0.888796742455337,0.89150248759312,0.890661926836409,0.886593899113288,0,0.888933814030652,0.886654749812019,0.88660786824288,0.853538542287212,0,0.888002951873715,0,0.887347790716608,0.855537546275263,0,0.887673847914575,0.88764150026121,0.888294128223886,0,0,0,0
"Ethanol oxidation",0.839874346195033,0,0,0,0,0.84109174522361,0.84651757561751,0,0,0.890559722129465,0,0,0.839442320214757,0.844456907802124,0,0,0,0,0.840176288482768,0.844094059594932,0,0,0,0,0,0,0.84323847422219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842612336184526,0,0,0,0,0,0,0,0,0,0,0,0,0.842956881954218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838823938665447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88843650155273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843458178503537,0.843193694549037,0.843193694549037,0.843839562444242,0,0,0,0,0,0,0,0,0,0,0,0.886775747129771,0,0,0,0,0.841874440327087,0.845408221429114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890952248960577,0,0,0,0,0.845458203380662,0,0,0,0,0,0,0,0,0,0,0,0,0.8921006669646
"GABA receptor activation",0.853418973481365,0.879738642661612,0.853177121566419,0.856472612997389,0.853798964325929,0.854518080643238,0.855687076767258,0.882575643785654,0.884030270513221,0.85514635027599,0.854730788811803,0.853980946893429,0.853822399603359,0.85878328180198,0.853812508120563,0.880249822656553,0.8834709051128,0.854859051602071,0.85440845858739,0.855157129554542,0.853529007127752,0.90773167777567,0.858123425734406,0.855063354243375,0.881961351548204,0.853910681255398,0.855309209534533,0.881552908274314,0.879629663004636,0.87988242180574,0.879874011644742,0.90765086398838,0.854216952650491,0.853466816514811,0.82973811850154,0.88221173514506,0.854270083660362,0.881380849775484,0.853835370044616,0.855716924724342,0.859259606474478,0.856883281568616,0.855075673476643,0.881322322279498,0.882142455699704,0.854784280987875,0.882284854396907,0.886973932775696,0.825209812684999,0.879478109078913,0.881460947417664,0.879516023896464,0.879509629978938,0.853326726598065,0.858763717322814,0.855301268970331,0.855197703844153,0.855647587383263,0.855105215636457,0.831194256620262,0.854551553658572,0.859474933053268,0.855873581552367,0.85558195778024,0.858775406894042,0.829543204350835,0.853857618829638,0.854419031104523,0.859746099529354,0.854380663901573,0.854380663901573,0.85436851400848,0.854469059060948,0.825909956509718,0.882080015613073,0.858755581934835,0.85861477344256,0.856059649640266,0.853899515465565,0.854050464353159,0.854536114195559,0.827729608184469,0.828747932743159,0.855244512428643,0.853911950787055,0.856193894058125,0.856065172985947,0.856702891132938,0.827522902352676,0.859209566383661,0.859270885049321,0.856920802015934,0.82737496694384,0.8287963635245,0.856359387636806,0.859945693624773,0.85465890046193,0.881453335058516,0.854898479521323,0.852696271448704,0.859892609098979,0.860059482295256,0.860059482295256,0.86277781057876,0.862922354831586,0.882954035039854,0.882954035039854,0.882954035039854,0.882954035039854,0.882954035039854,0.882954035039854,0.882954035039854,0.882954035039854,0.882954035039854,0.825974309842993,0.880238710367871,0.883327642077907,0.853809489172719,0.855932347893777,0.827180517624474,0.860120713189904,0.85962464145272,0.85962464145272,0.857151670828931,0.826933844717649,0.854394891991913,0.856059649640266,0,0,0,0,0,0.854462197873907,0.854231345760062,0,0.856980238813852,0.853988376641025,0.853980740831814,0.853943205387855,0.85497673713636,0.854091855864538,0.855413821142319,0,0.857431589556088,0.857209916981698,0.856587480347874,0.857188540975338,0.827392231168884,0,0.856250972934738,0,0,0.85588113644427,0,0,0.855871113308935,0.829035044903518,0.856657092385585,0.855812867156168,0.856585150625154,0.827722496448095,0,0.856843610092748,0.855157129554542,0.85806775307118,0,0.826620191057882,0,0.828214174413495,0,0,0,0,0,0,0.855604466956416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.912139054954606,0.885071878422104,0.886061586961971,0.885862080585694,0.885755436662319,0.885787462462658,0.916400227392923,0.884676419020681,0.88579557511783,0.916466720032883,0.887632332878823,0.886030321684636,0.885913940542912,0.887472140253149,0.885904527999279,0.886471342124593,0.885771365515129,0.887845247748033,0.855481484214239,0.887239398211372,0.886396799822291,0.885044755015342,0.885133614054703,0.884645610962514,0.885029268942185,0.887604357377745,0.886690599340054,0.88572406909812,0.885763380302339,0.88605192468098,0.886042323809838,0.884478658241244,0.886010295353658,0.885851962890569,0.88873050998153,0.857125547805564,0.887176305290777,0.885053809191104,0.885720534287916,0.860237064818063,0.887947286649205,0.857059345315637,0.888095950470144,0.884986995375367,0.85489248053877,0.886813761764585,0.855055040035904,0.885053809191104,0.854958834351185,0.885116528004794,0.885145247053177,0.885159810800185,0.885152511632158,0.8573233885904,0.855555410324166,0.858604412344095,0.855660060445487,0.887076884706503,0.855633198924622,0.885081368678262,0.886681714925059,0.857506665705963,0.856897841302506,0.88618605239658,0.856851700455984,0.857232465078358,0.85429588441066,0,0.857343213222551,0,0,0,0,0,0,0.888611871928597,0.888451127777519,0,0.856798266286028,0,0,0,0.889956415101156,0,0.854631726411266,0.889809949729712,0.8588590286888,0.888188097760117,0.857599411130252,0.858868039082039,0,0,0.855129537318221,0.858796970958946,0,0,0.858744604717731,0.827253438396244,0.886934158747454,0.854550470277875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854801755285347,0,0,0.855459467972045,0,0,0,0,0,0,0.887659830685563,0,0,0.887305365823849,0.887135717650406,0.887135717650406,0.887549997257328,0.889678199091874,0.886446078140575,0.885498381763426,0.886046830240944,0.857403069670718,0,0,0,0,0.886023303129334,0,0.887038943012549,0,0,0,0,0,0.885476891977055,0.859435821154482,0.885951925331935,0.88592888776417,0,0.88638749043128,0.88640214978764,0,0,0,0,0,0.887914599110314,0.886471342124593,0,0.856553795444291,0.918749479690187,0.88640214978764,0,0.857059345315637,0,0.887029336876818,0.854528606202472,0.888049410775895,0.859341880457167,0.858868039082039,0.85578215602356,0.887750069618669,0.860552951851497,0,0,0.859269882869061,0.854399685273041,0.856911402794738,0.858807110139483,0.886640125356107,0.890532360056453,0.890310547651972,0,0,0.857274576015881,0.85973704098028,0.860666827481061,0.890310547651972,0
"Potassium Channels",0.927463586295807,0.948794008308801,0.928496413964669,0.928361635129081,0.928289590595551,0.906426707139421,0.930342270527344,0.947975653137102,0.948731711958032,0.930290179905091,0.929557549501437,0.929026490353538,0.928396669721849,0.929449329523904,0.928941508977237,0.929987273943884,0.927829563274633,0.929701386599214,0.928714717277519,0.929292097950815,0.928722870882144,0.948224486770354,0.928420709162573,0.92855019539034,0.928350217617256,0.928330827660172,0.907036831682727,0.948683405240953,0.948709962378771,0.948904891864708,0.948898405885377,0.948162162570586,0.928781872337541,0.928674909014317,0.908414916865236,0.928543315327836,0.929249474799965,0.948550712434287,0.928817209901508,0.907878036393442,0.929770320156834,0.929953737013432,0.92987075171724,0.94850557558977,0.928489886499205,0.929004554335656,0.928599705444075,0.952864140054904,0.911330174774859,0.948593082852899,0.948612484337567,0.948622323044981,0.948617392007759,0.928424940254996,0.910749996969878,0.930044732656469,0.906950837656763,0.907336530279485,0.928720199408742,0.911356213166358,0.929466546576767,0.929794451268481,0.929844631112964,0.911520923919427,0.929351981932961,0.908976090041735,0.928931378824399,0.92993691603105,0.930145507254909,0.928304265118676,0.928304265118676,0.928294895029862,0.928372436129541,0.911034431415303,0.949089914379821,0.930219288414278,0.930110695847392,0.930939658039075,0.928322216519186,0.928983092247876,0.928424149553019,0.908496490730278,0.909243091220607,0.929875472274776,0.910962161673033,0.930636121336107,0.930536850678393,0.930484200890624,0.908260988399655,0.910044816181196,0.929637087915189,0.930652255400365,0,0.909243091220607,0.92966034571942,0.93029943572049,0.929637087915189,0.929701386599214,0.929637087915189,0.927938728508325,0.930258496535468,0.930387190397857,0.930387190397857,0.931375397089915,0.913224421744741,0.951273743062407,0.951273743062407,0.951273743062407,0.951273743062407,0.951273743062407,0.951273743062407,0.951273743062407,0.951273743062407,0.951273743062407,0.907297791221297,0.949179664279985,0.929637087915189,0.911568260841388,0.930434414969634,0.908260787504747,0.910577238361457,0.910364925192173,0.910364925192173,0.931516696339102,0.90807055150619,0.931601235546763,0.930939658039075,0,0,0,0,0,0,0,0,0,0.911706220200608,0.911700331407191,0.911671383790873,0.929794451268481,0.911439090525362,0.930219288414278,0,0.93192933503645,0.931516696339102,0.930939658039075,0.932072782845808,0,0,0.931142073196577,0,0,0.930536850678393,0,0,0.930387190397857,0.909691012872102,0.931366848408659,0.930342270527344,0.950918549068449,0,0,0.912813170758741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91080540360343,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.878167707411767,0.914152075530599,0.876820645433559,0.876572759571124,0.876440254929355,0.879137944311034,0.880215553424641,0.912646952885578,0.914037499791987,0.880037131274313,0.878772290857283,0.877795564397926,0.876637195357392,0.878573252170339,0.880885909694027,0.877329764559319,0.876460046464293,0.879036836717742,0.877222149903764,0.877205215235974,0.877237146051385,0.913104608863327,0.876681408808787,0.876919560482253,0.87979840386955,0.876516098330758,0.841958042015759,0.913948653852845,0.913997497864466,0.914356013083301,0.914344084039892,0.912989981904706,0.877345661803076,0.877148934360592,0.84406760274487,0.876906906639237,0.878205678430821,0.913704604624525,0.877232232665054,0.838918410006037,0.879163619638122,0.879500960775431,0.879348333831994,0.913621588729768,0.876808640088661,0.880413117026421,0.877010619603782,0.913704604624525,0.836413080250597,0.913782532495867,0.913818215796871,0.913836311193392,0.913827242006756,0.876689190653687,0.837093583838698,0.879668320386111,0.837223611189511,0.837922469438027,0.877410654815383,0.913738847175414,0.878604917854189,0.879208001691106,0.879300292694897,0.842344910431693,0.878394210027472,0.844342333758724,0.880867278269725,0.877237146051385,0.879853665497134,0.877495254389513,0.877495254389513,0.877478020878506,0.877620634830349,0.836330365351495,0.914696307355232,0.879989364149239,0.879789640194221,0.881314271319822,0.876239221694642,0.88096238983915,0.877715746399774,0.840055874104114,0.845590784878256,0.88038502591226,0.835086743218386,0.880756005201356,0.880573426145123,0.880476592410128,0.839633246540657,0.847490341121443,0.878918578278475,0.880785679047518,0,0.84143953462519,0.879989364149239,0.880136771448282,0.878740156128146,0.878945270219873,0.878740156128146,0.875794947743641,0.880061475908428,0.8802981702598,0.8802981702598,0.84143953462519,0.841644557414533,0.918712815244082,0.918712815244082,0.918712815244082,0.918712815244082,0.918712815244082,0.918712815244082,0.918712815244082,0.918712815244082,0.918712815244082,0.837861729802078,0.914861375789815,0.878918578278475,0,0.880123986926773,0.836846664623008,0.843893304263272,0.843502816893027,0.843502816893027,0.882197140699689,0.839272484698452,0.882709469904998,0.881222704821954,0.881612679058493,0.88140189189184,0.88140189189184,0,0,0,0,0,0,0,0,0,0.879208001691106,0,0.87981094199891,0,0.883134489864926,0.882375562850018,0.881135849169494,0,0,0,0.88186497637101,0,0,0.880573426145123,0,0,0.8802981702598,0.842252844793389,0.878772303788577,0.880215553424641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879020988322945,0.878974305326998,0,0,0,0.842291783969031,0,0,0,0,0,0,0.884412085688817,0,0,0
"Collagen biosynthesis and modifying enzymes",0.918485866997797,0.919518219166784,0.919650628297544,0.919498632784205,0.919417385266305,0.896063714803918,0.898445335602304,0.895221281895731,0.919086965261021,0.919736051636578,0.918747175182906,0.918447202887574,0.91917714289786,0.897438330121023,0.91979158003814,0.919962803514437,0.919429520789013,0.918962643111651,0.89697087815224,0.897169883556909,0.896980073300092,0.895501901591374,0.919565252947575,0.919711279774217,0.919485756796938,0.897539060784875,0.89500626825412,0.896019442407144,0.896049391959518,0.896269221780353,0.896261907280612,0.895393427487883,0.941004638071389,0.94088401123001,0.921683968444303,0.896291287022266,0.895737306986247,0.919243844624385,0.920012402777072,0.918987937863811,0.919040382256903,0.919247228822624,0.942232611139696,0,0.919643267012222,0.920223678629954,0.896354880424209,0,0.919004867837162,0,0,0,0,0.896975168312843,0.919953138915542,0.898470789984748,0.920032867439551,0.920424140927822,0,0,0.896253668643068,0,0.921171066997368,0.920367061436185,0,0.896468238064986,0,0,0,0.920064276472376,0.920064276472376,0.920053709446381,0.920141155662985,0.920107563080102,0.919358159396582,0,0,0,0.896163242313052,0,0.920199474970417,0.89780415929167,0,0.921342425025023,0,0.899128278596126,0.89718913253917,0.921398570610381,0.921510377123075,0.898398493346147,0,0.92028064351481,0.91962868419202,0,0,0,0,0,0.920937012186405,0.895047599694055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91804399398544,0,0,0.896084944490226,0,0.920424140927822,0,0,0,0,0,0,0.896945026969922,0,0,0,0.897406515900765,0.899119033524614,0.895180977646705,0.871767007166375,0.850204385152568,0.920131552261585,0.896240526807975,0.896233885778807,0.896201240387689,0,0,0,0.897108295371305,0,0,0,0,0,0.898173086904705,0,0.920633038057559,0.920615486704045,0,0.920725269497412,0.942767592074362,0,0,0,0,0,0.898271734615534,0.89658473394234,0,0,0,0.941293080820322,0,0,0,0.920387916237082,0,0.920184142673534,0.921836189972066,0.921035729749921,0.918790920054987,0,0.920267834490085,0.918876305837591,0.918847681349436,0.89845812039997,0.894978711542267,0.919651245653966,0.89862521690602,0.919183935079691,0.899678652626786,0.899475498832471,0.919498536750532,0.919478786237961,0.942174485584547,0.89755213747538,0.900109837624341,0.898125154359884,0
