"","PIK3CA","DVL3","AR","IRF5","APC","CHRNA1","KRAS","PPARGC1A","DSCAM","TACR2","NTSR2","CCR7","NPW","RXFP3","SPHK1","LAMC3","SMPD1","GRIN2A","TFAP2C","CASP9","OBSCN","APOA4","EPHA4","COL18A1","MAP3K2","GRIN3B","INHBA","AXIN2","BNIP2","KCNJ12","GMIP","CACNA1H","POU4F2","PLXNB2","STRADB","SHANK1","PREX2","AP4M1","SOD3","HOMER3","F7","PRKX","NEFH","RHPN2","EFCAB6","CHP2","NSMAF","KIF19","COL4A3","COL4A5","COG4","SMARCA2","NOTCH3","MCFD2"
"Potassium Channels",0.959606194775648,0.950298417004513,0.960545972986323,0.950485296533468,0.950467692323524,0.950909074742348,0.950250012354337,0.949529910842121,0.951456480647115,0.960206580748124,0.960203150928336,0.959995420213717,0.960057156878562,0.960054549320292,0.950691676600873,0.950792268875571,0.950842901768476,0.950720003374733,0.951279739199539,0.950075673621693,0.951219989877103,0.950104132425857,0.950951135071486,0.950677399242336,0.951110463880528,0.950050697566876,0.950390569511901,0.950677399242336,0.951399092842864,0.911605123502516,0.951347793186973,0.949909431955839,0.95216328733649,0.951203490468478,0.95011875155431,0.950305641786982,0.952444834969707,0.950620302796584,0.950588184616047,0.950367918242032,0.950612380396133,0.951574365077135,0.951011612022805,0.950932371653559,0.95216328733649,0.95204108626644,0.951487960946454,0.937915387135391,0,0,0.940160185827971,0,0,0
"Interaction between L1 and Ankyrins",0.921708456395691,0.900638498989333,0.922718076670333,0.923290346092164,0.923252774369358,0.923054499837626,0.940428452429227,0,0.900132218410161,0.90037555265384,0.900368232573087,0.899924884030162,0.900056645288743,0.900051080116729,0.922951793873993,0.923584225476659,0.922913270402194,0.924152543588836,0,0.899177490546022,0.899627488820738,0,0.923923285093375,0.923700340619092,0.899755008600812,0.923989784494791,0.899946395535663,0,0,0.922318554472251,0.899900252582785,0.922913270402194,0.926871592028405,0.899953550267107,0.924135028476764,0.924899173230828,0.902602885378178,0,0,0.925032086534746,0,0,0,0.901005895290363,0,0,0,0.92377129776147,0.923221717389917,0.923221717389917,0.944459293235974,0,0.922502128887497,0.922502128887497
"Complement cascade",0.904865779624881,0.888555231123206,0.888999364274431,0.888439536963614,0.888555231123206,0.889687781540638,0.88853760221411,0.88890996727779,0.89064310074309,0.888407065361519,0.888401079725126,0.905545046201717,0.90565278749736,0.905648236851368,0.889603798784924,0.889483934840191,0.889572298108557,0.888977012055032,0.89033465595419,0.889862418938923,0.889554161006436,0.888792865235461,0.889761184183423,0.89175632555491,0.852070383360269,0.870096275899955,0.889735745520366,0.890599252712745,0,0.889622250522306,0,0,0.892144584902295,0,0,0.851999481080963,0,0.889089726246143,0.890756840409555,0.852108164405079,0.88967984698225,0.853399067370451,0,0,0,0,0.871836963275324,0.870184997731814,0.889187511662641,0.889187511662641,0.888538325560143,0.889353551325026,0.870355943429594,0.888697924382221
"Regulation of Complement cascade",0.888329522408321,0.86916732153629,0.869689104642287,0.869031400005167,0.86916732153629,0.870497881240907,0.869146610479442,0.869584077934766,0.871620223536902,0.868993251235251,0.868986219100991,0.889127548458128,0.889254126687493,0.889248780429972,0.870399215372337,0.870258395032295,0.870362207279808,0.869859681653863,0.871257851848284,0.870703051343272,0.870537736358077,0.869543002801905,0.870584117224048,0.87123881152255,0.826303650731655,0.847481097566605,0.870751068174038,0.87152454639997,0,0.870420893116536,0,0,0.87334005651768,0,0,0.82622035226268,0,0.869891765464127,0.871753848861379,0.826348037219929,0.870585059873134,0.827864635017128,0,0,0,0,0.849526117765576,0.847585331067008,0.869910146751696,0.869910146751696,0.869147460291573,0.870105215934256,0.847786164030947,0.869497428496068
"Nitric oxide stimulates guanylate cyclase",0.770519081518261,0.802954354061546,0.803627536857818,0.802628653649101,0.769478512406979,0.804855859296751,0.802803628556875,0.80294092811077,0.806033306570165,0.803097815882565,0.803087135889697,0.801913190318826,0.802105429905969,0.802097310323764,0.804706011365284,0.770489199694967,0.804649805645988,0.804267116744136,0.772007116058914,0.771007718426284,0,0.804888716271279,0.804986829447612,0.769974712081255,0.772007116058914,0.805482957713482,0,0.769974712081255,0.805854608744101,0.80594549688389,0,0.804649805645988,0.774601565742316,0,0.804374726101766,0,0,0,0.772603608035931,0,0,0.807853689047619,0.807554744292096,0,0.805467578934621,0.805087061404015,0,0,0,0,0.803712537078915,0.770256560269424,0,0
"Chemokine receptors bind chemokines",0.934195325453639,0.918726486236003,0.919085776184514,0.918755743132748,0.918726486236003,0.919460031217219,0.918364718204252,0.918719320560959,0.920651102479717,0.935193122597611,0.935187422490436,0.934834458131581,0.934944791162292,0.934940457593032,0.919380054640457,0.919265908493484,0.919350056621934,0.919427131646502,0.920357371247315,0.919423248839486,0.919976749208141,0.919758890662535,0.919529932377825,0.919356326725042,0.920076048169166,0.920076048169166,0.920149671705071,0.919356326725042,0.920274405109354,0.919250048987352,0.920189148870067,0,0.921825762995334,0.92023065148774,0,0.919645886671812,0.922293674367676,0.918980113570984,0,0.919749385540598,0.918645561661599,0.921341350764082,0,0,0,0,0,0,0.918983625412726,0.918983625412726,0,0.899128039194377,0,0.919293048766599
"Phase 0 - rapid depolarisation",0.913744759310979,0.915375193441859,0.915862322963711,0.915414860285258,0.915375193441859,0.916369742322053,0.937106550564734,0.914492383514663,0.91760318956956,0.914224489748563,0.914216761476469,0.913965013229316,0.914104121921166,0.914098246417189,0.91538821452121,0.916106548458752,0.915347542856221,0.938546983157623,0.91633185070212,0.916595222996653,0.917070314628329,0.915901844838619,0.916464515134608,0.915847717430987,0.917204945323134,0.937987628666283,0.917304764975733,0,0.917473879986711,0.916285132849136,0.917358288578572,0.937003320820385,0.919195808059675,0.917414558313884,0.915384248962951,0.916240306199479,0.920211628906137,0,0,0.916380631178435,0,0,0,0,0.91785910349531,0.917583752842016,0,0,0.915067053971658,0.915067053971658,0.914885638043993,0.915362540330267,0.91527025093802,0.91480664099467
"GABA receptor activation",0.902400035395215,0.887421150154822,0.906479283300516,0.88887210274077,0.888678874541305,0.88959287450245,0.888679768378028,0.888232602580972,0.890360628550804,0.905902037146039,0.904538302738985,0.904184989543561,0.90428999268848,0.904285557693172,0.889511026094963,0.889394208387469,0.88968816838198,0.889146232405804,0.890060022616234,0.888671156407219,0.888835449052166,0.888304096061969,0.890160161453317,0.889035548910448,0.889925248766752,0.888654290523151,0.888870806624099,0.889035548910448,0.890263022048388,0.8231593829764,0.889052819872264,0.888878100853409,0.891562781686553,0.888960519998295,0.888770038316182,0.889062291572152,0.892194777922635,0.888593412609905,0.889176729186998,0.889168212804715,0.889168535944033,0.890763168556471,0.890175770409265,0.888877644905132,0.891562781686553,0.891354939285285,0.891073207295477,0.86798866039966,0,0,0.905788324749639,0.888610597292299,0,0.888739706680979
"GABA B receptor activation",0.931415265669547,0.910747655982707,0.933454212064421,0.910994141723963,0.910955947562839,0.91191357254435,0.91074879617864,0.910178382578254,0.91289293490573,0.932717865368293,0.93271042401818,0.932259730666425,0.932393674770244,0.932388017401863,0.911809165084951,0.911660150089711,0.912035131315786,0.911343826986645,0.912509475986098,0.910737810577083,0.912588135208091,0.910269581087103,0.91263721508192,0.911202636914628,0.912337555778365,0.910716296119317,0.910992488371715,0.911202636914628,0.912976717686596,0.828901852515428,0.912865417757265,0.911001793035958,0.914426425398277,0.912711306826581,0.910863946310352,0.911236750386736,0.915404532597114,0.910638639040206,0.911382729288374,0.911371865621447,0.911372277824401,0.913406422957461,0.912657126177132,0.912485205969399,0.914426425398277,0.914161297490015,0.913801914550378,0.884354806576538,0,0,0.911382083730113,0.910660560163468,0,0
"Activation of GABAB receptors",0.931415265669547,0.910747655982707,0.933454212064421,0.910994141723963,0.910955947562839,0.91191357254435,0.91074879617864,0.910178382578254,0.91289293490573,0.932717865368293,0.93271042401818,0.932259730666425,0.932393674770244,0.932388017401863,0.911809165084951,0.911660150089711,0.912035131315786,0.911343826986645,0.912509475986098,0.910737810577083,0.912588135208091,0.910269581087103,0.91263721508192,0.911202636914628,0.912337555778365,0.910716296119317,0.910992488371715,0.911202636914628,0.912976717686596,0.828901852515428,0.912865417757265,0.911001793035958,0.914426425398277,0.912711306826581,0.910863946310352,0.911236750386736,0.915404532597114,0.910638639040206,0.911382729288374,0.911371865621447,0.911372277824401,0.913406422957461,0.912657126177132,0.912485205969399,0.914426425398277,0.914161297490015,0.913801914550378,0.884354806576538,0,0,0.911382083730113,0.910660560163468,0,0
