"","TP53","TFDP2","GPC6","PRKD1","VWF","DMD","COL24A1","FOXO4","ERBB3","CHUK","ITGA7","COL6A2","ACAN","BRAF","PPIE","ADAMTSL4","S1PR4","ADAMTS19","DSEL","CHST2","FGF12","DSCAM","OAS1","C8B","PCCA","RYR2","BLM","CBS"
"Collagen biosynthesis and modifying enzymes",0.940695589158846,0.924114829616734,0.924036486223867,0.923027807701787,0.923715804130566,0.924221191228037,0.937698508610596,0.924463100568881,0.925261296746024,0.923596270148781,0.942421031924855,0.93615708294898,0.924691700050624,0.922418876718366,0.923061350284885,0.943012546867367,0,0.943012546867367,0.925786737490001,0.924122011231856,0.92506064506093,0.925694547964874,0.922587871465542,0.926116873514264,0,0.903928556987092,0.923965808048637,0.925589413476379
"Activation of Matrix Metalloproteinases",0.932349541445558,0.908786167696244,0.909433692386888,0.910276702482409,0.933895120612398,0.908937321109532,0.934916533327398,0.909281105132049,0.909974734313356,0.907608519188306,0.90912559663371,0.934629418298736,0.935281993164667,0.90843413026068,0.907538469301635,0.908957406006721,0.907700188739765,0.908957406006721,0.910912213842119,0.909904199573549,0.910130292056341,0.911031148920496,0.908374382014358,0.911190618007349,0,0,0.908133679668844,0
"Collagen chain trimerization",0.885705987480901,0.88841390016786,0.888271193750813,0.886883301045941,0.887122169824089,0.885404723458824,0.921906862608247,0.889048293164183,0.887299327794844,0.887469318104331,0.921759565265516,0.921457834484641,0.888492018312452,0.885324636954304,0.886494934759533,0.887946780055915,0,0.887946780055915,0.891459364162944,0.888607746630362,0.890136750408205,0.89129143632195,0.8856324693571,0,0,0.849232541480538,0,0
"Assembly of collagen fibrils and other multimeric structures",0.9329787878192,0.912189606708003,0.912372072983501,0.91086604032997,0.911689303143569,0.934976062117994,0.935243559396916,0.912626273549565,0.913627062738186,0.911539429816599,0.935142171352291,0.934934483329487,0.935565992458781,0.912267839011886,0.910868740038954,0.911868077521686,0.910561966075837,0.911868077521686,0.914566561750395,0.91351321370362,0.913375482935036,0.91417027899028,0.910275085875967,0.914699796489875,0,0.885220204073866,0.912002761445529,0.91403845994322
"Phase II - Conjugation of compounds",0.803584966499613,0.805760897699334,0.75385607017842,0.776657433221248,0,0,0.775590205226574,0.806270661370899,0,0.773189379928372,0,0,0,0,0.773687255619744,0,0,0,0,0,0,0,0,0,0.80506492650878,0.749277843882838,0,0.807034941257592
"Cytosolic sulfonation of small molecules",0.747248764043805,0.82135640099395,0,0,0,0,0,0.75420274320382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827414286588013
"Glucuronidation",0.815181306259514,0.819889368352736,0.706600771314837,0.756745076601754,0,0,0.754435915509163,0.82099234395183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817699006245408,0,0,0
"Defective B3GALTL causes PpS",0.781020963990329,0,0.842523269195639,0.844907991725646,0.840266964690311,0.841601176951018,0.890680577625391,0,0.84434703560367,0,0.890467098918855,0.841631044830932,0.837383264606885,0.841485107216975,0,0.891965365387056,0.786023564793186,0.795168116009859,0.793105967308963,0.789954692091781,0,0,0,0.793326308969862,0,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.780986356299103,0,0.842523269195639,0.844907991725646,0.840266964690311,0.841601176951018,0.890680577625391,0,0.84434703560367,0,0.890467098918855,0.841631044830932,0.837383264606885,0.841485107216975,0,0.891903649149043,0.785907456793935,0.795106399771846,0.793105967308963,0.789954692091781,0,0,0,0.793210200970611,0,0,0,0
"APAP ADME",0.52728830381957,0.534636319251276,0,0,0.466370782019518,0.468117178740258,0,0.466994041451143,0,0.455570530939912,0,0,0,0,0.458144332605639,0,0,0,0,0,0,0,0,0,0.540588041013828,0,0,0.535293852101451
"Collagen degradation",0.907478371281655,0.857889322226809,0.859227016879915,0.859005366899791,0.856060588037277,0.859112027243578,0.912781414338575,0.858911793139602,0.860081563312492,0.856366909951924,0.912544010632438,0.912188275197757,0.913536402800488,0.858072505943887,0.74231369746137,0.799953678449657,0.798216693767241,0.799953678449657,0.864365490239998,0.861899038390754,0.749488924379907,0.863437580087693,0.857291818865928,0,0,0,0.857451817411036,0
"Degradation of cysteine and homocysteine",0,0,0,0,0,0.474757042797446,0,0,0,0.697707324238665,0,0,0,0,0.561733938451843,0,0,0,0,0,0,0,0,0,0.709901326594931,0,0,0.827707664261462
"The canonical retinoid cycle in rods (twilight vision)",0.673570890637545,0.586263563991921,0.769358267483387,0,0.678777178098409,0.681196502408607,0,0.682354539786489,0.686175562177708,0.678204960347946,0.681830709003613,0.681250661772973,0,0,0.581514721842504,0,0.677029218789406,0,0,0,0.6866995588413,0.688249566859336,0,0,0.68146985646832,0.681531494328018,0,0
"Aspirin ADME",0.802368451665922,0.875967674903421,0.738685471176265,0.73896220709019,0.737009113107877,0.735414809933885,0.736217827446001,0.809274723214309,0.739329667897581,0,0.735913464068245,0.735457393519688,0.737185760264634,0.735249325624551,0,0,0.732138222742694,0,0,0,0,0,0,0,0.805006939008241,0,0,0
"mitochondrial fatty acid beta-oxidation of saturated fatty acids",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142782637759018,0,0,0
"Chondroitin sulfate biosynthesis",0.831359656693801,0.733553939462299,0.842816437261294,0.626302747394357,0.729370913537122,0.727770576391483,0.735439819511624,0.735608301940637,0.616441747163529,0.730495087992829,0.734962824753139,0.734248076274643,0.843531536098066,0,0,0.624036203387559,0,0.624036203387559,0.853140727893743,0.743968355476706,0.61708742875333,0,0.61944042999519,0,0,0,0.732674898830071,0
"Other semaphorin interactions",0,0,0,0.363810794405424,0.375525890443669,0.357561705205607,0,0,0.300714127355493,0.290487841741725,0,0,0,0,0,0,0.289019121753134,0,0,0,0,0.303775590763448,0.293710505644664,0,0,0,0,0
"O-linked glycosylation",0.728082662323227,0.690312908304301,0.778829853001861,0.780796444487353,0.776969163058681,0.731332740940625,0.772294078381531,0,0.780333844952469,0,0.772118030476031,0.731844763064018,0.814434130734177,0.731724413771633,0.688863503957525,0.773302699726069,0.685891603987523,0.693477628234901,0.691827946395899,-0.0318428261119175,0.6925801868153,0.650280884923972,0,0.737488066021163,0,0,0,0
"Scavenging by Class A Receptors",0.63473349448998,0.643112084171864,0.747509246844131,0.644204391478263,0.639115323647715,0.640701963742256,0.746743117354818,0.645074968218624,0.645572809670237,0.63844162018653,0.746287362632031,0.74560444109278,0.642362515330169,0.639462891731915,0.637174587055531,0.644782477486334,0.527869773544155,0.644782477486334,0,0.649061899474036,0.648442778664605,0.652015508143403,0.639225934753028,0,0.537917020511035,0.520955835024251,0.519122069759004,0
"Peptide hormone biosynthesis",0,0.689944999910821,0.481512295257596,0.689443676783671,0.686082604322039,0,0,0.691629022318261,0,0.685504612093472,0,0,0,0,0,0,0.579544759625547,0,0,0,0,0,0,0.488989738482923,0,0,0,0
"Aflatoxin activation and detoxification",0.637355259551359,0.349181224757933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35581720499297,0,0,0
"LGI-ADAM interactions",0.670415015353564,0,0,0,0,0,0,0,0.688736414466769,0.677150822820831,0,0,0,0.681193224816163,0.412957915360016,0,0.413749734899814,0,0,0,0,0,0,0,0,0.681986074300279,0,0
