"","PEX5L","KRAS","APC","BOLL","ACAN","CASK","AMPD1","TP53","ETV5","SMAD4","CR1","ZNF451","AP3D1","FMNL2","SF3B3","PTEN","PIK3CA","A2M","WIPF2","CDC42BPA","MAGI2","KCNQ3","ARID1A","TNFRSF11B"
"Signaling by GPCR",0,0.932062631729942,0.928728032911259,0,0.932236029300073,0.928870477806771,0.932226290428679,0.931863094918468,0.928977089176051,0.928761292988934,0.928792222296279,0.925608794664416,0.925103725063131,0.92884236329786,0.928620192052865,0.932143047309913,0.931847620465641,0.935352389758293,0.932273282850952,0.92934549292988,0.92895500949414,0.928938878574264,0.928951735032756,0.925339128674367
"GPCR downstream signalling",0,0.935250889801409,0.931685175734013,0,0.935436305255767,0.931837493237671,0.935425891400123,0.93503752344032,0.931964328548166,0.931720741009868,0.931754602563811,0.928349748505405,0.927809673407849,0.931807430161008,0.931569860613148,0.935336878845469,0.935020976480061,0.938768655241228,0.935476140785513,0.932345430833402,0.931927883669379,0.931938689700961,0.931924382260766,0.928061392434257
"G alpha (i) signalling events",0,0.930223802517893,0.930123777342656,0,0.929671431294379,0.929493152524027,0.935463601072956,0.934817426702921,0.929811056179572,0.929127196829146,0.929355237364932,0.923877109931757,0,0.929737504728071,0.928889575238381,0.929334302640787,0.934738120247549,0.935215861771298,0.929566009438699,0.930012437795292,0.92976202565702,0.929718078883899,0.929409465547949,0.92327406754099
"Interaction between L1 and Ankyrins",0,0.927503463811834,0.901716392421184,0,0,0,0,0.8982969996814,0,0.869717721816897,0,0,0,0,0,0.900717123835574,0.899781671037101,0.900264868483627,0.901768832841622,0,0.899617502703042,0.929708494102791,0,0
"Neuronal System",0,0.916899811113919,0.911145158028375,0.89935392366512,0.904461344302409,0.91667410361421,0.910991364760107,0.922590964397962,0.910874890642346,0.910569237133912,0.910909203576477,0.905792448937654,0.91152608280448,0.91131862964455,0.910307035575216,0.910845019663004,0.91663425311726,0.910573422238578,0.911073979523977,0.911117562556378,0.911056621453221,0.91731237136407,0.910904042698729,0.904721570154726
"Signaling Pathways",0.882128288955867,0.886079152117434,0.883330997356041,0.882233955356189,0.883513106641476,0.882107176159352,0.883512893441079,0.884840435003347,0.882212799678593,0.887771120992341,0.882106369076672,0.882162395708751,0.882148252850813,0.88209499745549,0.883424434262698,0.883707820116066,0.883234345152415,0.883452085088622,0.883720930494496,0.882271894629848,0.882018135094125,0.883567148882941,0.88350912156945,0.882322669873462
"Transmission across Chemical Synapses",0,0.906519691731916,0.897775947721028,0.881198810675501,0.888379264328202,0.906920788218394,0.89755973184352,0.913867452218344,0.897395982455381,0.89696626831845,0.897444222545773,0.890250646346453,0.898311484715967,0.89735520927438,0.896597642690449,0.897353987249198,0.90549299232731,0.897625507106375,0.898329233829427,0.897737151619873,0.898336945502683,0.906096328701195,0.897436966937491,0.888745112337304
"Cardiac conduction",0,0.913349588247865,0.900272614263383,0,0,0.900298581439087,0.900593938098923,0.912808954226298,0.901570339677013,0.913077015773784,0,0,0,0.902123750270218,0.89995442409871,0.900099276351528,0.899611884069487,0.899797284530261,0.901005968101782,0.902228663756361,0.914747273411014,0.914405071104862,0.913838546550237,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.884210230643155,0.873637266260189,0,0.863064804451019,0.884209417347882,0.873694551717695,0.88304766012512,0.873967850044668,0.873448238278934,0.874026182122656,0.865343546660522,0.863812225203977,0.873918546978389,0.873049069957868,0.873917069301467,0.882968742303218,0.873114761207353,0.873834997032882,0.874380392934792,0.874315626646424,0.884488337705552,0.874017408616953,0.863507189082246
"Drug ADME",0,0.825402179842944,0.825161662244665,0.827565990173575,0.797176990326835,0.797336363224538,0.837179852193252,0.837075197364317,0.812186428395657,0.838014622927931,0,0,0,0.827142096807295,0.82482124706324,0.825698165455799,0.838828013819616,0.837224306112341,0.826255320816006,0.827690951278523,0.809671241512661,0.809221639225917,0.826254660449354,0
"GPCR ligand binding",0,0.930324127132023,0.930520628108767,0,0.93065462039363,0.930730541541697,0.930634772989031,0.936288571866318,0.929809071068633,0.930188116228999,0.930415797080947,0,0,0.931152978808683,0.922168660916575,0.930465127062772,0.936098670091412,0.937080075713723,0.930583303175668,0.931467907923551,0.930971673973626,0.930427801945962,0.922917208082163,0
"Glucagon signaling in metabolic regulation",0,0.872706946212412,0.872863446316419,0,0,0.834046061248728,0.872655518691898,0.870648844330892,0.873986850443866,0.872245836750738,0.874241759352094,0,0,0.837524471898035,0.870546541456387,0.87298745263212,0.902957005178343,0.872440581519141,0.874259188327874,0.839033457386063,0.87580967232017,0.874527235035581,0.873710386378704,0
"Chemokine receptors bind chemokines",0,0.908725353330137,0.909551845752372,0,0,0.884651996389039,0,0.929153144119962,0.907456569450151,0.909143841622594,0.909593736487206,0,0,0.912176580273688,0,0.909894774150679,0.92907064613479,0.930597805912907,0.910373353116556,0.913173443575526,0.911602685616189,0,0.886159966872165,0
"Activation of Matrix Metalloproteinases",0,0.92525724133113,0.925085868472331,0,0.949689866538877,0.926372148392844,0,0.92417209510387,0.927815971088097,0.925319144335851,0.903395986853562,0,0,0,0,0.925458716722806,0.924082399326003,0.948644926309288,0,0,0.927992517803113,0,0.92575502300485,0
"Nitric oxide stimulates guanylate cyclase",0,0.709930255069281,0.661031641677459,0,0,0.713455616058667,0.757867390217575,0.70779521490363,0.666841803874687,0.760038000938021,0,0,0,0,0.708495015631811,0.711658426652191,0.758378113020475,0.710885600211734,0.713455616058667,0.668220534471812,0,0.714635113589264,0.711348295030661,0
