"","TP53","ALDH1A3","CYP2D6","TBP","OPN4","DGAT2","APC","KRAS","DMTF1","PHF20","DPF3","CTNND1","COPS6","CISH","STXBP3","CACNA1S","RIF1","SKIV2L"
"RA biosynthesis pathway",0,0.870467613464025,0.82180982609983,0,0,0.820359040485907,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0.749754084377132,0.757342456174576,0.826231761897415,0,0,0.758583138931131,0,0,0,0,0,0,0,0,0,0,0,0.761236443476271
"Ethanol oxidation",0.866368565280568,0.924079810410594,0.873377958783417,0.868672685744866,0,0.870849992009838,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.746794277127099,0.754045368384332,0.819872749511333,0.679603534619388,0.678517195365882,0.755230906485152,0.681185374176818,0,0,0.684270368355534,0.686529663493117,0.681894821978675,0.681884057156697,0.686525152666245,0.683917801003064,0,0.683770420558211,0.75776627954061
"Phase II - Conjugation of compounds",0.777306939853713,0.803183523944932,0.803645340108632,0.730527248764259,0,0.780759501133531,0.729025133767983,0,0.755502585061009,0,0.780200482604627,0,0,0,0,0,0,0
"Glucuronidation",0.858113413436674,0.859065665273734,0.910623440356994,0,0,0,0,0,0.813845711620414,0,0.863969381486932,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.8517845620686,0,0,0.853392765609368,0.853841917697031,0,0.853225646181862,0.853495913091345,0.858098694214871,0.817710468893877,0,0.890815181678485,0.855157924871616,0.815113858939707,0,0,0.816084637772946,0
"Synthesis of bile acids and bile salts",0.723743001745428,0.725866635916064,0.78898554331003,0.66373678554246,0.662766930377351,0.730021546609051,0.665149010370198,0.6048633884148,0.613757226529333,0.667907409369501,0.668101281568579,0.665782386742069,0.665776973380669,0.66991800091604,0.667588449304365,0,0.667461069101529,0.733538517444589
"The canonical retinoid cycle in rods (twilight vision)",0.709764666310856,0.791652217983449,0.634502078448694,0.713034025395987,0.713947118435008,0.715620424747113,0,0,0,0.719383703947724,0,0,0.635997612949331,0,0,0.715165643456924,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.814194984666105,0,0,0.75022812053395,0.751045964686299,0,0.751867558697361,0.750415937906464,0,0.755915435244398,0,0.752602839210387,0.753442232680477,0,0.756643219442975,0.752137379822628,0,0
"Cytosolic sulfonation of small molecules",0.551362630752192,0.642197456855068,0.642439469083006,0.554900689805903,0,0.643682007636386,0,0,0,0,0.561424448064665,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0,0,0,0,0.764349408411005,0,0,0,0,0,0,0,0,0,0,0.76593012527603,0,0
"Transcriptional regulation of testis differentiation",0.575913108120055,0.593034838842848,0,0.489430154661538,0.587650266387402,0,0.587218661259634,0.679153924890036,0,0,0,0.589837367276298,0.591016549141092,0,0,0.589183488864799,0,0
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.697603766998158,0.70485485825539,0.77068223938239,0.630413024490445,0.629326685236939,0.70604039635621,0.631994864047875,0.564564608331636,0.574526637514683,0.635079858226591,0.63529972679859,0.632704311849732,0.632693547027753,0.637334642537302,0.63472729087412,0,0.634579910429268,0.708575769411669
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.695985580440244,0.823289095151751,0.711447392551527,0.585051199106231,0,0,0,0.581027862591914,0.587822081367401,0.590573171397191,0,0,0,0.593734111043239,0.710169680468522,0,0,0
"Bile acid and bile salt metabolism",0.723549453422722,0.667110841749505,0.788791994987324,0.663387074106803,0.662417218941694,0.729827998286344,0.664799298934541,0.604669840092094,0.613563678206627,0.667589571536208,0.667765012328518,0.665432675306411,0.665459135547376,0.669581731675979,0.667238737868708,0,0.667143231268236,0.733344969121883
"Aspirin ADME",0.77410376549333,0.775060060173097,0.823383334938752,0.775221293825581,0,0,0,0.732226086941893,0.73483522060882,0,0.779275534443581,0,0,0,0,0,0,0
"LGI-ADAM interactions",0.657854977720753,0.585383103628068,0,0,0.661983121484596,0,0.662888490398845,0.661288853203757,0,0,0,0.663698744746837,0,0,0.660777251355605,0.738505559087164,0.665252722298178,0
"Collagen chain trimerization",0.822928222001195,0,0,0.827155186913189,0.759422532658806,0,0.827245408722044,0.825873418047049,0.76858546173531,0.764024883520523,0,0,0,0.833184874687831,0,0.827500428538585,0,0
