"","TP53","PTK2","A2M","ADCY5","TRIO","GRM5","AMPH","BRAF","RYR2","OBSCN","LIPE","MTA2","WNT3A","IL12RB1","OR6P1","OR52L1","OR4K5","OR5D18","OR51E1","NRXN3","ABCB1","VCAN","RNF43","AP1G2","MUC16","SYNGAP1","HNRNPF","KCNJ11","PDE7A","SFTPB","LIG1","FANCD2","GPR50","PLEC","HECTD1","RDH5","RDH16","TFAP2D","USP28"
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0.88171794545819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811972112633257,0.802518831886121,0,0
"Ethanol oxidation",0.880048490708138,0,0,0,0,0,0,0,0,0,0.883644852691641,0.883644965342147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931799910760906,0.931315975093373,0,0
"Norepinephrine Neurotransmitter Release Cycle",0.57465779086503,0.576078503162844,0.579361793757841,0.631686473524526,0.578368657887276,0.634160130509902,0.635080340797463,0.579697841184045,0.632701038488921,0.57881382351436,0,0,0.580753916279666,0,0.585174455875632,0.585174455875632,0.585174455875632,0.585174455875632,0.585174455875632,0.689589874862589,0,0,0.583900846789556,0.581989356489808,0.581189589541071,0,0.632707478917118,0,0,0,0.581104836909858,0.579914922160901,0,0.5815589475066,0.577436022516114,0.123961846373188,0.123404155279385,0,0
"Interaction between L1 and Ankyrins",0.863573811010914,0.910066169674095,0.866746246652039,0.864766895607629,0.865908106824527,0.866440672975775,0,0.868108122981177,0.868376219431821,0.821371216187441,0.869631423178113,0.824561490896394,0,0,0.871942967896285,0.871942967896285,0.871942967896285,0.871942967896285,0.871942967896285,0.822269984950031,0.829497571094787,0.825751313280253,0,0.868281224813471,0.867606275340463,0.870684545121664,0,0.872809924864939,0,0,0,0,0,0,0,0,0,0,0
"Inwardly rectifying K+ channels",0.857482328633531,0.862974039204144,0.864479743199355,0.904712609264443,0.906501499637158,0.906400436911207,0.864733915966284,0.86447917382874,0.864749520775716,0.867787039730732,0.862519227336359,0.865066911544971,0.861607008757782,0.865019620414188,0.912293349151076,0.912293349151076,0.912293349151076,0.912293349151076,0.912293349151076,0.862513829283826,0.86598697262666,0,0.864285099993405,0.865031605223123,0,0.867715322792637,0,0.914902729409944,0.863038014284704,0.864181850578799,0,0,0.868342554311345,0,0,0,0,0,0
"Glutamate Neurotransmitter Release Cycle",0.809488599437575,0.659367066124095,0.658598900444327,0.710284632662093,0.657617571556533,0.712728881359768,0.713638151646739,0.662943375328266,0.711287135882057,0.658040563781879,0,0.715980351666069,0.659974472595636,0,0.664342458219489,0.664342458219489,0.664342458219489,0.664342458219489,0.664342458219489,0.767499644342473,0.721759719179881,0.717373445083538,0.663083990546568,0.661195225166647,0.66040496631732,0,0.711293499742661,0,0,0,0.660321221275184,0.659145452931927,0,0.660769933138329,0.656696023902656,0,0,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.801859270605921,0.828052620812857,0.803688517835854,0.826562259515282,0.770540541641664,0.771935900645371,0.829147618506953,0.800054462753085,0.802653212401119,0,0.803655062023502,0,0,0.772860563657167,0,0,0,0,0,0,0,0.802992916685441,0,0.830380776582288,0,0,0.800777820530932,0,0,0,0,0,0,0,0,0,0,0,0
"O-linked glycosylation",0.864025785517933,0.910247609646049,0.888753826652033,0.887784603822535,0.888051098890663,0.862386161447819,0.865656637874868,0.889129207790981,0,0.864557920451642,0,0,0,0.889029475795066,0,0,0,0,0,0.84266581705593,0,0.889607790126204,0,0,0.912928600808892,0,0.865599152143108,0,0,0,0,0,0,0.889708512119062,0,0,0,0,0
"G-protein activation",0.816008485959108,0.824311366318726,0.826587830085069,0.887415630306456,0.890120241656626,0.889967445599441,0.826972112185763,0.826586969257457,0.821973685379336,0.831588109517263,0.82440808981372,0.827475565966616,0.822244562160321,0.827404066823332,0.898876900070545,0.898876900070545,0.898876900070545,0.898876900070545,0.898876900070545,0.822973496245986,0.828224518359509,0.754192387474658,0.826120538104754,0,0,0.830045710730708,0,0.82925398471443,0.82440808981372,0.825800324789088,0,0,0.832271886186826,0,0,0,0,0,0
"Thromboxane signalling through TP receptor",0.795021821336398,0.803324701696016,0.805601165462359,0.866428965683747,0.869133577033917,0.868980780976732,0.805985447563053,0.805600304634747,0.800987020756626,0.809489026551874,0.80342142519101,0.806488901343905,0.801257897537611,0.806417402200622,0.877890235447836,0.877890235447836,0.877890235447836,0.877890235447836,0.877890235447836,0.801708309836979,0.807237853736799,0.737139287067534,0.805133873482043,0,0,0.809059046107998,0,0.80826732009172,0.80342142519101,0.804977771384956,0,0,0.811778447103172,0,0,0,0,0,0
