"","TP53","PIK3CA","KAT2A","GNAS","PIK3CG","FN1","APC","KRAS","ARHGAP5","DOCK1","TBP","ARHGEF1","EXOC1","NCKAP1L","SNRPB","RUVBL2","PIAS1","SF3B1","GNAT1","INHBA","CACNA1H","CX3CR1","TCEA3","MAD1L1","TTN","MYO1C","MUC4"
"FGFR4 ligand binding and activation",0.782948679770917,0.86120837138969,0.787367101821048,0.787423181430667,0.786592457267939,0.786725787935663,0.787995365746239,0.864935813087567,0.792078071236951,0.791155070211981,0.705643563225411,0.791984053192839,0.717129311600212,0.790667520623181,0.704940064405135,0.710637407404971,0.791009216779802,0.704889400085409,0.716623006862652,0,0,0,0.715487380458886,0,0.793979146495333,0,0.796708044625867
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0.575998037992174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.475093450097502,0,0.480864802419487,0,0,0,0,0,0,0,0.47923298571922,0,0,0,0.478332880201087,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.571093748288579,0.500958789877299,0.571321671719432,0.500073675887593,0.49833188343317,0.506400681295814,0.506102000813523,0.504554750256154,0.505767564138666,0,0.504354559864746,0,0.579246118984835,0,0.573536293446464,0.502758024254457,0.504379526044051,0.573487416253708,0,0.507469767331899,0,0,0.508582376485185,0,0,0.577062180085867,0
"Bile acid and bile salt metabolism",0.580742705244691,0.575661503631915,0.642914496950983,0.578570011217109,0.57711303441287,0.640725976352567,0.579963703365503,0.522945633098605,0.583332842222993,0,0.578502001701405,0,0.587562010824893,0,0.582785848576324,0.580815418409616,0.582187526200036,0.582744963718934,0,0.584772455227867,0,0,0.585724714613705,0,0,0.585735186791069,0
"Glucuronidation",0.800169891976617,0.720028703053899,0.804438421132606,0,0,0,0,0,0,0,0,0,0,0,0.802565795237152,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.693298122861367,0.65440183561982,0.695375232992513,0.656618041583189,0.654733813139813,0,0.622601524896164,0,0.625802609387617,0,0.62480099564091,0,0,0,0.694463993997264,0,0,-0.0270868847413774,0,0.659847579484591,0,0,0,0.657210455461195,0,0,0
"Synthesis of bile acids and bile salts",0.578488068196227,0.505796632955368,0.641657067029335,0.576083878397894,0.574342085943471,0.58217806228736,0.510939843891592,0.509392593334224,0.581777766648967,0,0.509192402942816,0,0.586640438892484,0,0.580930613354112,0.578768226764758,0.580391926736787,0.580881736161356,0,0.583482168024635,0,0,0.58459777246034,0,0,0.584456499993515,0
"FGFR2 ligand binding and activation",0.779526654744096,0.857258354676563,0.782064674380385,0.784431313900368,0.861496561709756,0.783682328897086,0.778629225404607,0.861261543625578,0.78943056135795,0.788439278917451,0.780694939381977,0.789329588083061,0.788602249812226,0.787915661572318,0.779939397396014,0.782320776340397,0.788282635596053,0.779884985050692,0.788058489857137,0,0.787915661572318,0.788439278917451,0.791266978748178,0.693462596202622,0.785055671989067,0,0.787986447498008
"FGFR2c ligand binding and activation",0.736907159266505,0.832401399128836,0.740025144028627,0.74293258645154,0.837608082623029,0.742012450218589,0.735804657549971,0.837319360347278,0.749074216394796,0.747856415121615,0.73834240966672,0.748950169626999,0.748056626640592,0.747213145510945,0.737414218109141,0.740339768075443,0.747663977095437,0.737347371950364,0.74738861161424,0,0.747213145510945,0.747856415121615,0.75133027515721,0,0.743699617162745,0,0.747300106791512
"Presynaptic function of Kainate receptors",0.744051076066021,0.839662033218619,0.757789665188265,0.845514617206475,0.844422700625534,0.757016002688391,0.75843621812938,0.756501411740871,0.763472842269252,0.762359360561405,0,0.851016720824596,0.759951689894387,0.761771194856155,0,0,0,0,0.849588929343965,0.757750726904874,0.753474228609236,0.759768628939377,0,0.759008153442149,0,0.75981144888001,0
"ADP signalling through P2Y purinoceptor 12",0.759406650383785,0.85035313554804,0.766519261808337,0.856345936280358,0.85522785946173,0.764186446182441,0.764528504316106,0.76365952661776,0.769685796359495,0.768545637754671,0,0.861979859802068,0.769845267460085,0.76794338072146,0,0,0,0,0.860517861162069,0.766479390637978,0.76210043560358,0.769657820713909,0,0.765114142107603,0,0.767048865930547,0
"Collagen biosynthesis and modifying enzymes",0.879983878354541,0.876570664110757,0.836901470750675,0.836938177478388,0.878195351044996,0.882013427689081,0.882630913072702,0.878525742677651,0,0.880627508803591,0.839894316994726,0.881062318249201,0,0.88037178441442,0.839106741237905,0.841640788612207,0.87974882369912,0.839080167321093,0,0.84355756770846,0.880816954246421,0,0,0.882879580764813,0,0,0
"Collagen chain trimerization",0.782416763209796,0.783954055318846,0.709569901752924,0.709625561295226,0.787028388846871,0.78807694232738,0.708858808386364,0.787653576415161,0,0.791630668821625,0.708754131299344,0.792453442261091,0,0.791146771249118,0,0.711149371229138,0.789967966290867,0,0,0.716363972963782,0.791989149255208,0,0,0.709329352838395,0,0,0
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.50939445156794,0.508884658858476,0.616723528680284,0.513902569976965,0.511388916534014,0.52303333575078,0.516307041384493,0,0.522119657936978,0,0.513785236363413,0,0.518056001803513,0,0.40445347676284,0.517776465226258,0.520116522186441,0.511426935428468,0,0.524576178463525,0,0,0.52618183120459,0,0,0.514904268358667,0
"Ethanol oxidation",0.621015750310565,0,0,0,0,0,0,0,0,0,0.62586538460021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.624056743321232,0.73100527817547,0.638568064779597,0.630804905411839,0.637313471927816,0.637620426606436,0.637517101775994,0.744359161994479,0.645529233955626,0.644165360468616,0.636683490643877,0.645390308088596,0,0.643444932278638,0.524847372992448,0.64091958377974,0.642106931850767,0.524772508804282,0,0.648683098834547,0.636491344151314,0,0,0,0.638122479840935,0,0
"Activated point mutants of FGFR2",0.736907159266505,0.832401399128836,0.740025144028627,0.74293258645154,0.837608082623029,0.742012450218589,0.735804657549971,0.837319360347278,0.749074216394796,0.747856415121615,0.73834240966672,0.748950169626999,0.748056626640592,0.747213145510945,0.737414218109141,0.740339768075443,0.747663977095437,0.737347371950364,0.74738861161424,0,0.747213145510945,0.747856415121615,0.75133027515721,0.631822610776031,0.743699617162745,0,0.747300106791512
