"","CYSLTR2","SPTBN2","FAT4","OCA2","COL23A1","FBXO41","COL6A6","RNF128","DIAPH2","CDH18","OR5D14","KRAS","PTGES2","APC","DNAH5","TCF7","TSC1","NOXRED1","SETD2","HAP1","ACSM2A","MAP2K4","DDX23","UVRAG","TTLL5","FBXW7","RET","SCN5A","ELMO1","ZNF208","KHDRBS1","CFHR1","ATP6V1B1","OR2A2","LRIT1","S1PR4","PIWIL1","OR10K1","TAF1L","TTN","IFNA14","HPS3"
"Biological oxidations",0.895591378502294,0.875417679325663,0,0,0.896437750619511,0.895247695658032,0.880147799299133,0.898522295506598,0,0,0.880929517348304,0.895539484965339,0.93469018377561,0.896518596377888,0,0.898067350463047,0.896754164283335,0,0.91734543158527,0,0.882933570944926,0.895842083882049,0.896639820813016,0,0,0.895192862064645,0.897197208716178,0,0.896035324492877,0,0.897724935969454,0.882719060671888,0.896760969710311,0.880929517348304,0,0.895784905351478,0,0.880929517348304,0.896492792667538,0,0.8964522231585,0
"Extracellular matrix organization",0.80123009059838,0.800507709745155,0,0.792102576163359,0.799816597207316,0.789432512467108,0.801515800793484,0,0.789839873911029,0.790792465786013,0.790812131224017,0.78876260185869,0.791998742418466,0.787435653789976,0.778561322047329,0.790378229195129,0.790417166547267,0,0.790357815964552,0,0,0.778262652596727,0.775986374522465,0,0,0.789399625478745,0.790072886532989,0.790768567582901,0.778866109355509,0,0.789824625529155,0.779682052185608,0.79040870010466,0.790812131224017,0,0.775800280051823,0,0.790812131224017,0.789924426672048,0.789530520344554,0.790154939713666,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0.698070188155662,0,0,0.692499656199879,0,0,0.78824478057481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0,0,0,0.732250647776706,0.742469824584614,0,0,0,0,0,0.874063059312155,0.772841665428607,0,0.80549043607497,0,0,0.841430785191139,0,-0.0262320317806035,0.801280289433888,-0.0262320317806035,0,0,0.732148263906573,0.800852223061856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trafficking of AMPA receptors",0.84228976308108,0.843207209816037,0,0.853221227622112,0.845640400728683,0.841522656654719,0.844544864386484,0.852800177702144,0.789743038560121,0.786513323713697,0.849248274443417,0.898167856569117,0.847329247760796,0.844593302485366,0,0.846441319110273,0.84627825037838,0,0.849109383640297,0.784284260491733,0,0.845942907246394,0.843449011592404,0.849214129788646,0,0.841349558929229,0.845758221080566,0.902453952426879,0.846161479326955,0,0.849709101453685,0,0.847601054785302,0.849248274443417,0,0.842038564788962,0,0.849248274443417,0.845867613276495,0.844669815267595,0.846265409635426,0
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.84228976308108,0.843207209816037,0,0.853221227622112,0.845640400728683,0.841522656654719,0.844544864386484,0.852800177702144,0.789743038560121,0.786513323713697,0.849248274443417,0.898167856569117,0.847329247760796,0.844593302485366,0,0.846441319110273,0.84627825037838,0,0.849109383640297,0.784284260491733,0,0.845942907246394,0.843449011592404,0.849214129788646,0,0.841349558929229,0.845758221080566,0.902453952426879,0.846161479326955,0,0.849709101453685,0,0.847601054785302,0.849248274443417,0,0.842038564788962,0,0.849248274443417,0.845867613276495,0.844669815267595,0.846265409635426,0
"Trafficking of GluR2-containing AMPA receptors",0.788471758096389,0.78981565546347,0,0.806939826124014,0.793379850240684,0.787348082718435,0.791775083064866,0.803867658477268,0.711500090923073,0.706769129317185,0.798664747773414,0.870323292201534,0.799651455824108,0.791846036321412,0,0.794553054158964,0.794314187278638,0,0,0.703503945540395,0,0.793822968840583,0.790169852342954,0.705123602338937,0,0.78709452513447,0.793552436239032,0.793981368437054,0.793148779635828,0,0.799339777921956,0,0.79625186201428,0.798664747773414,0,0.788103796981559,0,0.798664747773414,0.793712676478041,0.794413517936125,0.794295377858984,0
"Signaling by GPCR",0.88909266747032,0.878211270912761,0,0.877663438757295,0.878340002396969,0.877622464039049,0.878184589363048,0.878465945757446,0.877800808183609,0.878132271707209,0.886719751468365,0.885649149146522,0.87881397927605,0.878058066552867,0.878317061343882,0.878320226610322,0.877791466827921,0.878788466245489,0.878698718849547,0.869046111156767,0,0.877881730884273,0.877256716122329,0.878408471634254,0.879356240255202,0.877580058446797,0.885994959188837,0.886266191473719,0.877619174772466,0,0.878306735662012,0.878624047728641,0.878255054458069,0.886719751468365,0.879097275925843,0.886182664199646,0,0.886719751468365,0.878009148052564,0.878027688228679,0.87816187780246,0.869138804366052
"G alpha (s) signalling events",0.912258954857791,0.884418220178483,0,0.888754710813803,0.884575858947427,0.88312124837752,0.884150045565186,0.863950906837909,0.885495493360413,0.839294265688496,0.908688962115295,0.883857641058585,0.886398748373132,0.884327636670243,0.886137712551577,0.885045924306333,0.885611873112191,0.887300045367178,0.86087115934901,0,0,0.884473828144508,0.88350450006065,0,0.888777655801653,0.883053968703529,0.906703116757417,0.907446261226604,0.885095356211926,0,0.886157282721612,0.886906121728686,0.885118317409355,0.908688962115295,0.860271618529593,0.905622844185545,0,0.908688962115295,0.884822936156983,0.885638229784898,0.884770267363251,0.860519240698022
"Neuronal System",0.844826820865688,0.832764732883946,0,0.834314538200125,0.83329368878297,0.832398524738392,0.833055528099487,0.834133774515665,0.833127311711999,0.821002677933102,0.846339544595833,0.844805493639968,0.833288965178549,0.833066058147913,0.833726458127679,0.833467801919912,0.84592356731503,0.834553840316855,0.834047817431558,0.846207687149435,0.821097725136346,0.833007461924244,0.832612880337833,0.835077369404833,0.835202998591219,0.83236089470183,0.845677284784285,0.845644492478263,0.832796373903977,0,0.833666217983715,0.83417388944235,0.833251993952507,0.846339544595833,0.819508039355801,0.84462464137239,0,0.846339544595833,0.833343082941428,0.833331157843768,0.832961635568643,0.818686192470728
"L1CAM interactions",0.782966017896013,0.774250530185416,0,0.784082154285959,0.813617738791781,0.813466292278403,0.845861424605519,0.781183309687021,0.816383386328953,0.780837604033737,0.81554692865235,0.8133733571988,0.817646344808129,0.813453892804802,0.814477988435893,0.780600563880949,0.84683283409868,0,0.779452409944298,0.783137147819254,0.781360053241474,0.814889517424153,0.806260954290492,0,0,0.813369286317486,0.814404976343072,0.849042921691658,0.7830035427078,0,0.816847812646318,0,0.813934164225744,0.81554692865235,0.81838507229531,0.81146601641285,0,0.81554692865235,0.813527512997568,0.781981535767183,0.815597218603222,0.815158350325165
"GPCR ligand binding",0.928581964309753,0.914145405696682,0,0.901746870068881,0.915238144189401,0.914384107696569,0.914966073810617,0.900737120846836,0.915787733711508,0.899913077099558,0.930310072040369,0.914612861592493,0.899837283342273,0.914612136595273,0.883997656491015,0.9004163033144,0.91451088890278,0.887159794888927,0.899914692209317,0,0,0.915079746323345,0.914044114809027,0,0,0.914341119835805,0.915202462963776,0.91462304560581,0.915367551171303,0,0.915636151219572,0.915057879272176,0.915075251724076,0.930310072040369,0.900210630615424,0.928350998179998,0,0.930310072040369,0.901367250713197,0.915449530580543,0.91532842043038,0
"Signaling by Retinoic Acid",0.522065321421806,0,0,0,0,0.519030610904091,0.248519224857085,0,0,0,0.526428366833668,0.246609107311272,0.638257146909194,0.246236429908016,0,0.247916474553801,0.25009505800464,0,0.250342030399924,0,0,0.247463364894494,0.576832350682284,0,0,0.518873246569276,0.246810635919292,0.523521741591276,0,0,0.253214068354366,0,0,0.526428366833668,0,0.246240730625593,0,0.526428366833668,0.521883007054706,0,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0.78584212672591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686033904346501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Class B/2 (Secretin family receptors)",0.915913145718677,0.88143111288111,0,0.854467922207619,0.814026214370825,0.880743619038935,0.851382393008659,0.851185971413175,0.886172113231269,0,0.919930246064285,0.880990385536768,0,0.882197744551008,0.815175451240425,0.850440209909079,0.883204003297174,0.818852217426492,0,0,0,0.883390871445389,0.845057271096945,0,0,0.880643690922607,0.882645939807766,0.883464718947317,0.88405989278805,0,0.885184609826744,0.888487274915872,0.847454216833851,0.919930246064285,0,0.91537624972358,0,0.919930246064285,0,0,0.845569334346456,0
