"","HBS1L","SNAP91"
"Activation of Matrix Metalloproteinases",0,0.859345288267646
"Interaction between L1 and Ankyrins",0,0
"Regulation of signaling by NODAL",0,0.613450593516761
"Class B/2 (Secretin family receptors)",0,0.739550533824943
"Blood group systems biosynthesis",0,0
"Degradation of the extracellular matrix",0,0.851759549463869
"Regulation of FZD by ubiquitination",0.488715105312701,0.629205525416366
"Presynaptic nicotinic acetylcholine receptors",0,0
"Binding and entry of HIV virion",0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0
"Defensins",0,0
"Heme degradation",0,0
"Collagen degradation",0,0.564939306339678
"NCAM1 interactions",0,0.408226993871063
"Interleukin-6 family signaling",0,0.634948086026982
"O2/CO2 exchange in erythrocytes",0,0
"Recycling of bile acids and salts",0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0,0
"Basigin interactions",0,0
"APOBEC3G mediated resistance to HIV-1 infection",0,0
"Chemokine receptors bind chemokines",0.684359553314928,0.773353342219124
"Acetylcholine binding and downstream events",0,0
"Postsynaptic nicotinic acetylcholine receptors",0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.494574854422099
"NCAM signaling for neurite out-growth",0,0.52459604036027
"Antimicrobial peptides",0,-0.0183443459762781
"Carboxyterminal post-translational modifications of tubulin",0,0
"GPCR ligand binding",0.748159574776545,0.792645932218259
"IL-6-type cytokine receptor ligand interactions",0,0
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",0,0
"Lewis blood group biosynthesis",0,0
"Collagen formation",0.823315674217339,0.81928417790841
"Extracellular matrix organization",0.772595664291518,0.835421551005418
"Scavenging by Class A Receptors",0,0
"Bile acid and bile salt metabolism",0,0
"Assembly of collagen fibrils and other multimeric structures",0,0.742450949177659
"Receptor-type tyrosine-protein phosphatases",0,0
"Signaling by NODAL",0,0.613450593516761
"Regulation of gene expression in beta cells",0,0
"The canonical retinoid cycle in rods (twilight vision)",0,0
"Integration of provirus",0,0
"Complement cascade",0,0.496128776634993
"Metabolism of fat-soluble vitamins",0,0.528407730138067
"Retinoid metabolism and transport",0,0.528407730138067
"Collagen chain trimerization",0,0
"Nucleotide catabolism",0,0
"Calcitonin-like ligand receptors",0,0.252750701226499
"Stimuli-sensing channels",0.375025469422409,0.370367016538075
"Binding and Uptake of Ligands by Scavenger Receptors",0,0
