"","EP300","PIK3CA","APC","TP53","LYN","NUP107","KIF2B","KRAS","PPP2R2C","DCLRE1C","UPF1","IHH","PRKCI","PRPF6","PAK4","BDNF","BPTF","HSPG2","UTP3","CACNA1S","NMBR","TAS2R19","CNR1","HTR5A","OTUD7A","CSF2RA","MYL1","TDRD3","SLIT2","CD109","LAMA1","BOD1L1","CACNA1B","IFIT1","KCNS3"
"Deposition of new CENPA-containing nucleosomes at the centromere",0.886001775086971,0.885800308892793,0.887309785819471,0.920385949831621,0.887469189579186,0.921627073462729,0.921900822798193,0.88654937607978,0.88589695975748,0.885080207664377,0.887309785819471,0.888087914718036,0.889406513539444,0.845939273896833,0.886086518805669,0.89044840393436,0.887692890564592,0,0.887402809317527,0.885305743588462,0,0,0,0,0.892806038336573,0,0.849924757213388,0.853673880181665,0.887492360436041,0,0,0.851707444037877,0,0,0
"Nucleosome assembly",0.886001775086971,0.885800308892793,0.887309785819471,0.920385949831621,0.887469189579186,0.921627073462729,0.921900822798193,0.88654937607978,0.88589695975748,0.885080207664377,0.887309785819471,0.888087914718036,0.889406513539444,0.845939273896833,0.886086518805669,0.89044840393436,0.887692890564592,0,0.887402809317527,0.885305743588462,0,0,0,0,0.892806038336573,0,0.849924757213388,0.853673880181665,0.887492360436041,0,0,0.851707444037877,0,0,0
"Metabolism of folate and pterines",0.823027742269783,0.822681057483147,0.827030703965053,0.822913238686365,0.82430508452334,0.884332066881765,0.825520045318805,0,0,0.828450146270682,0.822077793597707,0,0,0,0,0.767303551878436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0,0.864571766743427,0,0,0,0,0,0,0.820194434866845,0,0,0,0,0.868379047688518,0.86960047534739,0,0,0,0,0.868462351581477,0.867611497436561,0.866881429763178,0.866868088407082,0.86684159569236,0,0,0,0,0,0,0,0,0.86952864866025,0,0
"Activation of Matrix Metalloproteinases",0.939358487316945,0.916882160558318,0.916196538327071,0.916969676911532,0.917964640967976,0.917304368862742,0.892937942537675,0.91802845629637,0.89398251355205,0.894218558489775,0,0.895548212084906,0.918560809992853,0,0.918459357039417,0.918503755536683,0,0.940980363218755,0,0,0.918234751245829,0.917526346493254,0.917520409982479,0.91750862150421,0,0.892531677278987,0.894255215837694,0,0,0.897892633007876,0.918584676724714,0,0,0,0
"Carnitine metabolism",0.766871956360667,0.685689124514201,0.691684801855558,0.769129301198345,0.689647729639028,0,0.687187286834634,0.689881100777914,0.69342243806005,0.775041533542659,0,0,0.694243085448498,0.689469330323817,0,0.696714462036678,0.699402407323485,0.690695547307361,0,0.597910909545139,0.690635516503935,0.689447516231495,0.689425806552714,0.689382696367927,0,0.772882630834157,0,0,0,0.700718338257953,0,0.700521775466133,0.594353731207103,0,0.606609181629562
"DNA strand elongation",0.908764738150022,0.878592144666011,0.878704408660736,0.914484253933438,0.880324067114875,0.909983690948071,0.88030426420183,0.876687951438812,0.880918872093909,0.882071331682225,0.881215303040288,0.879511931282649,0,0.879493501852351,0,0.880904926545991,0.884591819196838,0,0.881311840489532,0,0,0,0,0,0.883180958342094,0.881430940964365,0.88007761849151,0.886919175819576,0,0,0,0,0,0.879970585980549,0
"Scavenging of heme from plasma",0.714995202335058,0.733900374064765,0.660521243879654,0.715820568615979,0.736525166049907,0.663340677425043,0.663771226515533,0.718387890498724,0.661673400621441,0,0,0.719877662010111,0.662217538927714,0,0.720104124399655,0,0,0.774041536325572,0.718589695550589,0,0.659825504927618,0.659037789685729,0.659023394870114,0.658994810238927,0,0,0,0,0.722315212270625,0.666511018863219,0.722300836595902,0,0,0,0
"Impaired BRCA2 binding to PALB2",0.838210302056766,0.774228247625662,0.843420076944742,0.893358590632723,0.838854136937366,0.841626122960917,0.840466451723742,0.836624274737253,0,0.898370859187839,0.837808808189457,0.844632212537392,0.779845837480824,0.841043990684876,0.84154147515127,0.841795081936448,0.787276893021009,0.783423604671491,0.837953716177267,0,0,0,0,0,0.84637063299054,0,0,0.851459481329735,0.843818324126328,0,0,0,0,0.785052739710874,0
"mRNA decay by 3' to 5' exoribonuclease",0.750603934491229,0.748033338970928,0.754592679345609,0.748383472147692,0.751976197269727,0.757882817265673,0,0.752619409499875,0,0.756899311735639,0.754592679345609,0.756611930561746,0,0.752168927859373,0,0,0,0.652178516548159,0.850512598635172,0,0,0.751757161485642,0.7517334108459,0.751686247805005,0.768855502124483,0,0,0,0,0,0,0,0,0,0
"Collagen chain trimerization",0.854513267739591,0.889089252731434,0.893407064107508,0.891194425648934,0.892612913916768,0.8923421250569,0.893343178047024,0.892703893378839,0.894084479523631,0,0.893407064107508,0.891342359494556,0.894404407935975,0,0.89190725159705,0,0.895745223604564,0.893374568605039,0,0.893537766504755,0.856056500409203,0,0,0,0,0.89124669364373,0,0,0,0.894576259449065,0.892652008416597,0,0,0,0
"Blood group systems biosynthesis",0.8377558698233,0,0.840400575236192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGI-ADAM interactions",0.805390138269703,0.805104034814348,0.806285470772953,0.802887510755813,0.807474023153588,0.807058171338594,0.805038791728429,0.805205607945847,0.858171674166009,0,0.806285470772953,0,0.86483947424644,0.807367216770166,0,0,0.809876194080644,0.808941081954862,0,0.857332084231291,0.805657271200258,0.807354156830413,0.807341159402295,0.807315349645568,0,0.806580552903159,0,0,0,0,0,0,0.861595069557047,0,0.811693783868267
